Date,Open,High,Low,Close,Volume
9-Dec-16,32.78,32.83,31.91,32.35,10774375
8-Dec-16,32.78,32.92,32.45,32.71,10131405
7-Dec-16,31.80,32.65,31.29,32.51,12588974
6-Dec-16,31.71,31.83,31.21,31.61,10087976
5-Dec-16,31.70,31.84,31.34,31.53,13035877
2-Dec-16,30.20,31.45,30.06,31.44,15229645
1-Dec-16,32.14,32.18,29.85,30.10,25173904
30-Nov-16,32.16,32.54,32.05,32.20,14878917
29-Nov-16,31.67,32.35,31.57,32.16,8982904
28-Nov-16,31.84,32.16,31.62,31.84,8412891
25-Nov-16,31.71,31.97,31.44,31.88,4703898
23-Nov-16,31.64,31.95,31.50,31.88,9876745
22-Nov-16,31.53,31.80,31.35,31.67,8955598
21-Nov-16,30.88,31.45,30.84,31.35,13076803
18-Nov-16,30.47,31.25,30.35,30.74,23958862
17-Nov-16,30.39,30.85,30.00,30.73,18374962
16-Nov-16,30.00,30.30,29.54,30.02,16103223
15-Nov-16,29.31,29.64,29.10,29.61,12678706
14-Nov-16,29.40,29.50,28.93,28.99,12293754
11-Nov-16,28.50,28.84,28.24,28.82,12748367
10-Nov-16,29.21,29.90,28.10,28.18,14796754
9-Nov-16,29.33,29.33,28.36,29.13,12558628
8-Nov-16,29.34,29.67,29.11,29.51,7395779
7-Nov-16,28.67,29.35,28.63,29.33,12024855
4-Nov-16,28.05,28.64,28.02,28.22,8665773
3-Nov-16,28.52,28.59,28.12,28.27,12013760
2-Nov-16,28.74,29.09,28.47,28.59,9944303
1-Nov-16,29.11,29.23,28.51,28.90,10437813
31-Oct-16,28.73,29.16,28.71,29.08,10929238
28-Oct-16,28.96,29.18,28.57,28.66,11541636
27-Oct-16,29.07,29.30,28.67,28.86,9128007
26-Oct-16,28.71,29.02,28.62,28.85,7343464
25-Oct-16,29.08,29.30,28.75,28.86,9773198
24-Oct-16,28.71,29.16,28.65,29.15,12300692
21-Oct-16,28.26,28.56,28.05,28.43,9875721
20-Oct-16,28.22,28.45,28.02,28.38,12119108
19-Oct-16,27.98,28.43,27.95,28.32,11794033
18-Oct-16,28.24,28.34,27.96,28.02,11970776
17-Oct-16,28.65,28.65,27.74,27.80,11038569
14-Oct-16,27.95,28.40,27.82,28.07,12138271
13-Oct-16,28.25,28.26,27.56,27.86,16963790
12-Oct-16,28.66,28.80,28.26,28.64,11687678
11-Oct-16,29.37,29.39,28.30,28.64,20018667
10-Oct-16,29.97,30.00,29.35,29.38,10270686
7-Oct-16,29.83,29.91,29.48,29.75,11641487
6-Oct-16,30.05,30.07,29.44,29.89,13015401
5-Oct-16,29.74,30.18,29.59,29.94,7940018
4-Oct-16,29.90,30.13,29.52,29.61,8483142
3-Oct-16,30.18,30.40,29.80,29.92,9867563
30-Sep-16,29.68,30.21,29.66,30.15,13210894
29-Sep-16,29.66,29.82,29.30,29.58,11533967
28-Sep-16,29.73,29.98,29.47,29.74,14034816
27-Sep-16,29.35,29.76,29.26,29.64,17381889
26-Sep-16,29.49,29.62,29.22,29.35,12610260
23-Sep-16,30.33,30.42,29.61,29.66,13971788
22-Sep-16,30.76,31.07,30.17,30.29,15660404
21-Sep-16,30.43,30.67,30.00,30.57,21288337
20-Sep-16,30.60,30.71,30.19,30.39,13183700
19-Sep-16,30.44,30.78,30.27,30.30,13655492
16-Sep-16,30.38,30.44,29.89,30.05,16245771
15-Sep-16,29.58,30.38,29.52,30.15,15579797
14-Sep-16,29.38,29.50,29.27,29.43,12259396
13-Sep-16,29.29,29.62,29.08,29.38,13010389
12-Sep-16,28.64,29.77,28.53,29.59,16269116
9-Sep-16,29.50,29.65,28.67,28.86,14681876
8-Sep-16,29.86,29.96,29.64,29.79,8170398
7-Sep-16,30.03,30.25,29.87,29.91,11248833
6-Sep-16,30.04,30.22,29.79,29.98,14689448
2-Sep-16,30.39,30.41,29.82,30.02,11523479
1-Sep-16,29.94,30.29,29.82,30.29,10705194
31-Aug-16,29.89,29.91,29.55,29.84,10595677
30-Aug-16,30.19,30.20,29.70,29.99,12069319
29-Aug-16,29.92,30.27,29.60,30.05,9799140
26-Aug-16,29.78,30.16,29.70,29.97,12175151
25-Aug-16,29.63,29.96,29.59,29.65,10441738
24-Aug-16,29.95,30.00,29.61,29.70,12402095
23-Aug-16,29.25,30.15,29.20,29.95,23549505
22-Aug-16,29.50,29.53,28.87,29.15,29150820
19-Aug-16,28.98,29.74,28.64,29.64,53885959
18-Aug-16,27.60,27.71,27.26,27.68,20765004
17-Aug-16,27.43,27.43,27.00,27.29,10255330
16-Aug-16,27.43,27.52,27.21,27.22,6704672
15-Aug-16,27.40,27.75,27.35,27.47,10768461
12-Aug-16,26.86,27.22,26.86,27.18,9852879
11-Aug-16,26.56,26.99,26.41,26.82,7599083
10-Aug-16,26.80,26.86,26.37,26.41,6234346
9-Aug-16,26.95,26.95,26.71,26.79,6923710
8-Aug-16,26.85,26.92,26.72,26.83,5746138
5-Aug-16,26.50,26.87,26.38,26.81,6914596
4-Aug-16,26.20,26.37,26.14,26.37,4926186
3-Aug-16,25.90,26.22,25.86,26.20,5615640
2-Aug-16,26.23,26.25,25.68,25.97,10462246
1-Aug-16,26.41,26.46,26.19,26.27,6456670
29-Jul-16,26.58,26.68,26.16,26.29,8805576
28-Jul-16,26.82,26.95,26.58,26.62,8239113
27-Jul-16,26.88,27.11,26.62,26.90,10220850
26-Jul-16,26.66,26.83,26.46,26.81,11876967
25-Jul-16,26.44,26.58,26.25,26.49,6859553
22-Jul-16,26.39,26.41,26.08,26.37,5292082
21-Jul-16,26.61,26.66,26.06,26.23,14638512
20-Jul-16,26.57,26.76,26.42,26.65,9809520
19-Jul-16,26.50,26.82,26.32,26.39,15996681
18-Jul-16,26.53,26.64,26.36,26.60,13472967
15-Jul-16,26.15,26.34,25.95,26.34,11635444
14-Jul-16,26.08,26.24,25.74,26.10,14888635
13-Jul-16,25.49,25.97,25.42,25.91,15989732
12-Jul-16,25.32,25.46,25.13,25.41,10622966
11-Jul-16,25.00,25.30,25.00,25.15,11026227
8-Jul-16,24.50,24.97,24.43,24.93,14148112
7-Jul-16,24.02,24.46,24.00,24.29,10056914
6-Jul-16,23.62,24.02,23.52,24.00,9625834
5-Jul-16,23.75,23.87,23.49,23.84,8747113
1-Jul-16,23.77,24.02,23.74,23.89,8592957
30-Jun-16,23.71,23.98,23.46,23.97,10256713
29-Jun-16,23.25,23.71,23.18,23.56,13315337
28-Jun-16,22.75,22.97,22.56,22.94,13573757
27-Jun-16,23.04,23.17,22.17,22.29,20469065
24-Jun-16,23.50,23.96,23.14,23.23,35722847
23-Jun-16,24.34,24.53,24.13,24.52,10942852
22-Jun-16,23.83,24.27,23.78,23.97,11645677
21-Jun-16,23.69,23.92,23.64,23.83,7720110
20-Jun-16,23.87,23.96,23.63,23.63,13020721
17-Jun-16,23.65,23.65,23.36,23.43,22138510
16-Jun-16,23.52,23.74,23.32,23.69,12827761
15-Jun-16,23.84,23.95,23.52,23.70,13912714
14-Jun-16,23.72,23.88,23.46,23.74,14600478
13-Jun-16,23.98,24.15,23.85,23.94,11253046
10-Jun-16,24.40,24.45,23.96,24.07,12630169
9-Jun-16,24.03,24.46,23.91,24.42,11920923
8-Jun-16,24.20,24.30,24.09,24.23,8014917
7-Jun-16,24.31,24.36,24.11,24.17,10476123
6-Jun-16,24.42,24.53,24.10,24.17,13550487
3-Jun-16,24.41,24.47,24.11,24.39,16194520
2-Jun-16,24.50,24.65,24.44,24.52,18034782
1-Jun-16,24.30,24.48,24.23,24.38,10480933
31-May-16,24.32,24.46,24.10,24.42,18801418
27-May-16,23.86,24.58,23.80,24.44,18551861
26-May-16,23.67,23.87,23.60,23.73,12321209
25-May-16,23.79,23.88,23.38,23.66,14740177
24-May-16,22.93,23.49,22.92,23.49,18511423
23-May-16,22.88,23.02,22.77,22.90,24828671
20-May-16,21.72,22.78,21.70,22.66,53364772
19-May-16,19.79,20.04,19.72,19.91,13621845
18-May-16,19.64,20.10,19.59,19.92,9994934
17-May-16,19.80,19.98,19.59,19.64,7836558
16-May-16,19.54,19.98,19.54,19.85,7779585
13-May-16,19.58,19.72,19.52,19.61,10151875
12-May-16,20.14,20.18,19.46,19.63,11751838
11-May-16,19.89,20.16,19.84,20.01,20476336
10-May-16,19.90,20.00,19.79,19.98,11649965
9-May-16,19.87,20.01,19.80,19.89,5606081
6-May-16,19.75,19.90,19.63,19.87,7062191
5-May-16,19.89,19.98,19.70,19.85,9254979
4-May-16,20.00,20.02,19.71,19.85,12095424
3-May-16,20.11,20.34,19.98,20.10,16604437
