Date,Open,High,Low,Close,Volume
9-Dec-16,118.94,118.94,116.92,118.57,1029760
8-Dec-16,117.44,119.32,116.80,118.90,1092913
7-Dec-16,114.82,117.06,114.73,116.76,1177114
6-Dec-16,115.73,115.73,114.04,115.20,1806182
5-Dec-16,113.99,115.18,113.35,114.63,1122721
2-Dec-16,114.89,114.95,112.95,113.47,860883
1-Dec-16,115.43,116.72,114.61,115.04,1225772
30-Nov-16,113.29,114.67,113.07,114.21,1426196
29-Nov-16,112.87,113.84,111.96,112.06,1077357
28-Nov-16,112.98,114.06,112.00,112.50,1046433
25-Nov-16,114.24,114.53,113.49,114.46,338037
23-Nov-16,114.01,114.64,112.82,113.69,831188
22-Nov-16,114.42,115.24,112.86,113.79,960683
21-Nov-16,114.09,114.56,113.24,114.24,826271
18-Nov-16,113.55,114.75,113.04,113.14,1087487
17-Nov-16,114.38,115.50,113.09,113.59,1370703
16-Nov-16,113.22,114.25,112.99,114.00,1087805
15-Nov-16,113.13,114.30,111.45,114.22,1800980
14-Nov-16,112.59,115.29,112.33,114.26,2013083
11-Nov-16,109.31,111.05,108.81,110.85,1839836
10-Nov-16,104.50,111.88,103.94,109.89,4188711
9-Nov-16,91.72,102.12,91.46,102.00,3674969
8-Nov-16,90.83,91.34,89.61,90.73,714628
7-Nov-16,89.91,91.28,89.55,91.20,1173087
4-Nov-16,87.70,89.11,87.22,87.77,1260465
3-Nov-16,86.61,88.70,86.56,87.55,1975182
2-Nov-16,87.29,87.63,86.25,86.76,1002677
1-Nov-16,88.97,89.34,86.96,87.70,1283215
31-Oct-16,89.38,89.71,87.70,88.39,1661298
28-Oct-16,90.96,91.02,89.01,89.23,1425007
27-Oct-16,90.44,91.20,89.49,90.89,2488828
26-Oct-16,96.41,96.41,90.11,90.13,2710503
25-Oct-16,98.02,98.34,96.99,97.23,938312
24-Oct-16,98.29,99.45,97.87,97.98,902514
21-Oct-16,96.73,97.84,96.73,97.57,700081
20-Oct-16,97.97,98.90,97.65,97.85,728471
19-Oct-16,97.76,98.52,97.44,98.09,700013
18-Oct-16,97.61,97.89,96.92,97.13,766301
17-Oct-16,97.08,97.55,96.26,96.40,921778
14-Oct-16,99.01,99.97,97.08,97.08,1236125
13-Oct-16,98.70,98.91,96.87,98.70,706202
12-Oct-16,99.92,100.92,99.62,100.09,542849
11-Oct-16,101.36,101.83,99.13,99.69,694860
10-Oct-16,102.17,102.46,101.46,101.62,567179
7-Oct-16,102.72,102.72,100.62,101.16,903400
6-Oct-16,103.20,103.46,102.20,102.81,577871
5-Oct-16,101.75,103.64,101.20,103.19,920683
4-Oct-16,101.21,101.96,100.80,101.03,920590
3-Oct-16,99.14,101.59,99.14,100.83,938341
30-Sep-16,98.70,100.34,98.26,99.77,958204
29-Sep-16,98.89,99.42,96.72,97.42,773297
28-Sep-16,99.05,99.55,98.30,99.15,885623
27-Sep-16,97.42,98.49,96.75,98.37,929363
26-Sep-16,98.14,99.01,97.39,97.86,1004612
23-Sep-16,100.52,101.22,99.53,99.64,888121
22-Sep-16,101.50,101.61,100.61,100.89,718166
21-Sep-16,100.11,101.10,99.77,100.86,614159
20-Sep-16,100.30,100.76,99.35,99.37,671577
19-Sep-16,99.83,101.29,99.63,99.96,699060
16-Sep-16,99.94,100.00,98.38,99.31,1965948
15-Sep-16,98.82,101.46,98.82,100.92,887214
14-Sep-16,99.18,100.00,98.56,99.21,920101
13-Sep-16,99.96,100.45,98.78,99.24,847272
12-Sep-16,98.58,101.81,98.30,101.52,1070266
9-Sep-16,100.24,100.81,99.40,99.41,740585
8-Sep-16,100.59,101.13,100.56,100.75,644448
7-Sep-16,100.16,100.89,99.89,100.76,589352
6-Sep-16,100.85,101.01,99.72,100.66,780087
2-Sep-16,100.36,101.45,99.87,101.11,622894
1-Sep-16,101.49,101.71,99.34,99.89,1062687
31-Aug-16,100.67,101.24,99.73,101.08,1556185
30-Aug-16,99.00,100.75,99.00,100.66,775771
