Date,Open,High,Low,Close,Volume
9-Dec-16,67.14,67.19,65.92,66.56,2411886
8-Dec-16,66.75,67.40,66.11,66.50,2862583
7-Dec-16,66.37,66.72,65.27,66.39,5181765
6-Dec-16,65.62,66.76,64.06,66.35,2148338
5-Dec-16,65.98,67.76,65.76,66.41,3595636
2-Dec-16,65.09,65.90,64.64,65.11,2072971
1-Dec-16,67.39,67.63,64.72,65.14,4643623
30-Nov-16,64.89,66.83,63.67,65.95,6955994
29-Nov-16,59.76,61.47,58.05,60.74,4391339
28-Nov-16,63.41,63.61,61.25,61.35,4022125
25-Nov-16,63.14,63.65,62.40,62.84,1831983
23-Nov-16,62.18,63.80,62.00,63.65,2339919
22-Nov-16,63.56,63.97,61.12,62.47,3304613
21-Nov-16,63.70,64.40,62.60,63.27,3446243
18-Nov-16,61.60,62.74,61.35,62.08,2753635
17-Nov-16,63.48,63.74,61.14,61.40,2974241
16-Nov-16,62.78,63.62,62.14,62.45,2995183
15-Nov-16,59.96,63.50,59.96,63.39,6053676
14-Nov-16,57.53,58.98,57.22,58.93,2993417
11-Nov-16,57.95,58.98,56.97,57.72,3518077
10-Nov-16,58.04,58.60,57.23,58.32,3272272
9-Nov-16,57.03,59.08,56.79,58.02,3270482
8-Nov-16,56.94,57.64,56.50,56.93,2338623
7-Nov-16,57.60,57.76,56.19,57.45,4614505
4-Nov-16,55.20,56.79,54.61,56.14,6235546
3-Nov-16,58.46,58.46,54.73,55.52,8755974
2-Nov-16,59.18,60.18,58.54,59.46,4963101
1-Nov-16,60.32,60.36,58.38,59.53,2778762
31-Oct-16,60.42,60.74,59.39,59.48,2590945
28-Oct-16,61.63,62.62,60.20,60.72,3640812
27-Oct-16,61.99,62.73,61.25,61.70,2405243
26-Oct-16,60.02,61.98,59.91,61.68,3093697
25-Oct-16,61.57,61.99,60.39,60.57,2163457
24-Oct-16,62.25,62.53,60.47,61.58,3019002
21-Oct-16,62.97,63.13,61.87,62.19,3176498
20-Oct-16,63.51,63.84,62.60,63.48,3449160
19-Oct-16,63.50,64.91,63.00,64.32,3624739
18-Oct-16,62.44,63.69,62.42,62.83,4125723
17-Oct-16,61.64,62.20,60.63,61.85,3512024
14-Oct-16,62.62,62.78,61.62,61.77,3580306
13-Oct-16,62.00,62.73,60.51,62.07,4738727
12-Oct-16,62.71,63.17,61.83,62.71,3325818
11-Oct-16,63.90,64.18,62.42,62.87,2971356
10-Oct-16,63.98,65.00,63.71,64.16,2357116
7-Oct-16,64.25,64.60,62.77,63.33,3922773
6-Oct-16,64.85,65.17,63.71,64.09,3369492
5-Oct-16,64.96,65.71,64.36,64.65,3451217
4-Oct-16,64.16,65.81,63.03,63.79,6326980
3-Oct-16,63.73,64.64,62.89,63.95,2899987
30-Sep-16,64.33,65.09,63.75,63.87,5292485
29-Sep-16,63.32,66.00,62.93,63.74,7894833
28-Sep-16,60.07,64.06,59.53,63.70,8110999
27-Sep-16,59.02,59.88,58.11,59.59,4282437
26-Sep-16,61.11,61.21,59.85,59.94,3945899
23-Sep-16,60.17,61.44,59.16,60.02,6190895
22-Sep-16,61.57,62.19,60.78,61.00,7239837
21-Sep-16,58.21,60.94,58.09,60.89,7520898
20-Sep-16,57.58,58.46,57.33,57.49,3003063
19-Sep-16,59.09,59.25,57.76,57.85,3261981
16-Sep-16,57.73,58.86,57.56,58.56,5097992
15-Sep-16,57.21,58.74,56.90,58.70,4960317
14-Sep-16,57.11,58.81,56.56,56.75,5045256
13-Sep-16,58.60,59.60,57.20,57.51,7544599
12-Sep-16,59.08,60.19,58.30,59.90,6267853
9-Sep-16,58.49,59.78,58.34,59.40,9468778
8-Sep-16,56.56,59.33,56.00,59.05,10856939
7-Sep-16,56.97,58.99,54.78,55.13,14583568
6-Sep-16,51.38,52.00,50.73,51.67,2223823
2-Sep-16,50.34,51.54,50.32,51.29,2472670
1-Sep-16,49.35,49.86,48.53,49.79,3730974
31-Aug-16,51.89,52.02,49.64,49.70,4318643
30-Aug-16,53.10,53.83,52.15,52.43,1560592
29-Aug-16,52.05,53.15,51.85,52.83,1350740
26-Aug-16,52.79,53.18,52.00,52.35,1846007
25-Aug-16,52.58,53.04,51.96,52.51,1704647
24-Aug-16,52.97,53.33,52.60,52.74,1730182
23-Aug-16,53.07,53.48,52.51,53.39,2715262
22-Aug-16,52.58,53.30,52.32,53.15,1926494
19-Aug-16,53.39,53.70,52.97,53.49,2046781
18-Aug-16,51.99,53.75,51.77,53.60,3314970
17-Aug-16,50.81,51.94,50.45,51.63,3073020
16-Aug-16,49.67,51.34,48.87,50.97,3756938
15-Aug-16,49.37,50.07,49.09,49.88,2948672
12-Aug-16,49.70,50.15,48.90,49.01,2791208
11-Aug-16,49.34,50.28,48.94,49.59,3053477
10-Aug-16,50.40,50.78,48.71,48.78,3211808
9-Aug-16,50.66,50.84,49.82,50.23,3316497
8-Aug-16,50.15,51.74,50.07,50.67,4476904
5-Aug-16,49.90,50.06,48.04,49.64,5645717
4-Aug-16,51.18,52.90,49.94,50.18,5225768
3-Aug-16,50.15,51.87,49.40,51.73,4234178
2-Aug-16,50.50,50.83,48.82,49.94,2556020
1-Aug-16,51.82,52.00,49.62,49.87,3433324
29-Jul-16,51.15,52.74,51.00,52.50,2493592
28-Jul-16,51.72,52.49,51.54,51.84,1919516
27-Jul-16,52.82,53.89,51.37,51.76,2393734
26-Jul-16,51.69,52.87,51.58,52.75,1828611
25-Jul-16,53.04,53.24,51.65,51.97,2741749
22-Jul-16,53.90,54.25,53.17,53.65,2215548
21-Jul-16,54.75,55.93,53.27,53.40,2815555
20-Jul-16,54.35,55.06,53.41,54.60,2134868
19-Jul-16,56.11,56.28,54.91,55.11,2228560
18-Jul-16,56.91,57.07,56.08,56.33,2406966
15-Jul-16,57.46,57.64,56.70,57.12,2633024
14-Jul-16,57.36,57.73,56.80,56.88,1950706
13-Jul-16,57.54,57.83,56.04,56.54,2718042
12-Jul-16,56.40,58.34,56.20,57.54,2963377
11-Jul-16,55.54,56.25,55.04,55.11,2023452
8-Jul-16,55.70,55.99,54.68,55.17,2592281
7-Jul-16,55.97,56.67,54.45,54.90,2323167
6-Jul-16,54.39,55.47,54.18,55.30,2420512
5-Jul-16,55.41,56.13,53.72,54.67,2374879
1-Jul-16,55.76,57.38,55.40,56.67,2583594
30-Jun-16,55.82,56.08,55.09,55.67,3052748
29-Jun-16,54.76,56.23,54.60,55.81,2701734
28-Jun-16,53.42,54.20,52.95,54.18,2438262
27-Jun-16,53.88,54.16,51.38,52.00,4084473
24-Jun-16,55.50,56.92,54.80,54.86,6229095
23-Jun-16,57.14,58.18,56.54,58.16,3879827
22-Jun-16,56.62,56.85,55.75,56.43,2806740
21-Jun-16,54.82,57.00,54.27,56.63,2897007
20-Jun-16,54.99,55.62,54.45,55.32,2245993
17-Jun-16,53.77,54.47,53.54,53.87,3163326
