Date,Open,High,Low,Close,Volume
9-Dec-16,68.75,68.83,68.32,68.51,754750
8-Dec-16,68.22,68.95,68.07,68.83,853896
7-Dec-16,67.64,68.15,67.29,68.07,1687482
6-Dec-16,67.88,68.08,67.42,67.60,1061064
5-Dec-16,67.97,68.16,67.58,67.85,1324382
2-Dec-16,66.90,67.49,66.87,67.34,1623697
1-Dec-16,68.23,68.43,66.35,66.74,2238014
30-Nov-16,68.65,69.19,68.19,68.26,1382992
29-Nov-16,68.35,68.77,68.29,68.43,1297787
28-Nov-16,68.60,68.80,68.40,68.49,1517124
25-Nov-16,67.95,68.67,67.81,68.67,377318
23-Nov-16,67.95,68.22,67.76,68.04,656416
22-Nov-16,68.19,68.23,67.80,68.02,819896
21-Nov-16,68.23,68.52,67.60,67.97,1288420
18-Nov-16,68.11,68.52,67.68,68.04,2428215
17-Nov-16,67.87,68.10,67.40,68.01,1303747
16-Nov-16,67.08,67.86,66.68,67.80,1185400
15-Nov-16,66.87,67.19,66.49,67.13,975745
14-Nov-16,66.86,67.11,66.35,66.63,1135598
11-Nov-16,66.21,66.83,66.06,66.63,1247882
10-Nov-16,67.55,67.90,66.39,66.47,1880294
9-Nov-16,65.64,67.58,64.92,67.35,1718615
8-Nov-16,66.46,66.94,66.16,66.81,696660
7-Nov-16,65.79,66.55,65.79,66.54,1060913
4-Nov-16,64.92,65.43,64.83,64.91,834373
3-Nov-16,65.14,65.27,64.73,64.89,998205
2-Nov-16,65.78,66.13,64.93,65.11,1651934
1-Nov-16,66.10,66.46,65.56,66.02,1833712
31-Oct-16,65.71,66.11,65.65,65.93,1416571
28-Oct-16,65.50,66.09,65.18,65.49,1062194
27-Oct-16,65.79,65.89,65.33,65.37,1372658
26-Oct-16,64.99,65.75,64.93,65.53,1090501
25-Oct-16,65.99,66.01,64.81,65.19,1367368
24-Oct-16,66.48,66.65,65.71,65.99,1671886
21-Oct-16,65.87,66.28,65.30,65.96,2469551
20-Oct-16,65.03,66.78,64.96,66.43,3494111
19-Oct-16,65.00,65.33,64.12,64.71,2203945
18-Oct-16,63.63,63.76,62.72,63.21,1735788
17-Oct-16,63.72,63.79,62.97,63.05,1131242
14-Oct-16,63.65,64.12,63.37,63.56,1197414
13-Oct-16,63.40,63.46,62.64,63.30,1504743
12-Oct-16,64.05,64.32,63.64,63.96,879539
11-Oct-16,64.68,64.85,63.66,64.00,1244096
10-Oct-16,65.64,65.79,64.74,64.86,1047729
7-Oct-16,65.43,65.50,64.83,65.37,1631063
6-Oct-16,64.94,65.56,64.70,65.52,1013925
5-Oct-16,64.66,65.16,64.30,64.90,982942
4-Oct-16,64.59,64.73,64.10,64.30,862534
3-Oct-16,64.68,65.00,64.38,64.40,1201844
30-Sep-16,64.82,65.18,64.73,64.92,1516179
29-Sep-16,64.97,65.06,64.48,64.68,1292484
28-Sep-16,64.71,65.03,64.45,64.98,1707712
27-Sep-16,63.97,64.50,63.55,64.50,2562035
26-Sep-16,64.27,64.49,63.98,64.04,1315642
23-Sep-16,65.51,65.51,64.40,64.42,1213580
22-Sep-16,64.98,65.77,64.98,65.68,1113774
21-Sep-16,64.28,64.97,64.08,64.90,1148420
20-Sep-16,65.10,65.18,64.11,64.13,2621938
19-Sep-16,63.05,63.81,62.98,63.76,1605005
16-Sep-16,62.56,62.99,62.36,62.95,1867260
15-Sep-16,61.80,62.99,61.76,62.79,1136518
14-Sep-16,61.56,61.86,61.38,61.78,869266
13-Sep-16,61.62,62.19,61.41,61.61,1125500
12-Sep-16,61.01,62.32,60.97,62.17,1397958
9-Sep-16,62.15,62.44,61.28,61.29,2056461
8-Sep-16,62.58,63.09,62.56,62.89,1788440
7-Sep-16,62.95,63.08,62.52,62.87,1365950
6-Sep-16,62.60,62.94,62.46,62.66,980735
2-Sep-16,62.46,62.66,62.34,62.58,794243
1-Sep-16,62.17,62.44,61.85,62.33,1055290
31-Aug-16,62.11,62.45,62.02,62.31,1253132
30-Aug-16,62.09,62.39,61.99,62.27,1244221
29-Aug-16,61.50,62.40,61.41,62.08,1208763
26-Aug-16,61.68,62.27,61.09,61.51,1216566
25-Aug-16,61.25,61.51,61.00,61.44,555341
24-Aug-16,61.46,61.86,61.31,61.43,896477
23-Aug-16,61.75,61.79,61.44,61.48,740640
22-Aug-16,61.00,61.52,60.89,61.50,889261
19-Aug-16,60.35,61.35,60.28,61.19,1195981
18-Aug-16,59.91,60.69,59.91,60.51,2389134
17-Aug-16,59.97,60.03,59.58,59.96,674087
16-Aug-16,60.35,60.69,59.84,59.84,932106
