Date,Open,High,Low,Close,Volume
9-Dec-16,18.43,19.12,18.25,18.94,2427705
8-Dec-16,18.50,18.60,18.01,18.39,2841564
7-Dec-16,18.24,18.71,18.08,18.29,3327791
6-Dec-16,17.51,18.11,17.19,18.09,2973492
5-Dec-16,17.16,17.77,17.09,17.70,2457107
2-Dec-16,17.13,17.46,15.95,16.93,5474752
1-Dec-16,17.62,17.93,17.41,17.76,2133308
30-Nov-16,16.98,17.64,16.88,17.54,2400320
29-Nov-16,17.15,17.35,16.38,16.50,2980292
28-Nov-16,17.98,18.12,17.21,17.67,2835416
25-Nov-16,18.07,18.11,17.73,17.96,681445
23-Nov-16,17.47,18.05,17.35,17.99,2349254
22-Nov-16,16.83,17.83,16.75,17.77,2486870
21-Nov-16,16.40,16.58,16.19,16.53,1328467
18-Nov-16,15.96,16.33,15.96,16.16,1479686
17-Nov-16,16.54,16.54,15.98,16.01,2043864
16-Nov-16,16.80,16.92,16.27,16.44,3203854
15-Nov-16,17.46,17.60,16.94,17.47,2510278
14-Nov-16,17.25,18.00,17.08,17.77,3273111
11-Nov-16,16.78,17.09,16.02,16.99,3108315
10-Nov-16,16.25,17.17,16.25,16.66,5407593
9-Nov-16,15.16,16.12,15.04,15.84,4431371
8-Nov-16,14.23,14.87,14.11,14.62,1398060
7-Nov-16,14.55,14.62,14.14,14.36,1664595
4-Nov-16,13.31,14.34,13.29,14.15,2311095
3-Nov-16,13.27,13.56,13.16,13.40,2060571
2-Nov-16,13.22,13.54,13.15,13.16,1441109
1-Nov-16,13.77,13.86,13.15,13.37,2384258
31-Oct-16,13.64,13.87,13.42,13.64,1826131
28-Oct-16,13.37,14.00,13.35,13.61,2036481
27-Oct-16,14.08,14.20,13.42,13.47,3543111
26-Oct-16,15.01,15.01,13.89,14.27,5790304
25-Oct-16,16.77,17.30,14.90,15.12,8849695
24-Oct-16,18.05,18.55,17.72,17.80,2203749
21-Oct-16,17.54,17.82,17.21,17.77,1388759
20-Oct-16,17.53,18.08,17.07,17.79,1966760
19-Oct-16,17.00,17.79,16.90,17.74,1506085
18-Oct-16,17.25,17.37,16.67,16.92,703946
17-Oct-16,16.51,16.96,16.50,16.79,1015338
14-Oct-16,16.89,17.09,16.43,16.44,931864
13-Oct-16,16.72,16.74,16.14,16.65,2022704
12-Oct-16,17.11,17.46,17.06,17.17,1179240
11-Oct-16,17.67,17.67,17.00,17.17,2345306
10-Oct-16,17.87,18.26,17.78,17.83,1595366
7-Oct-16,18.32,18.42,17.29,17.61,2215097
6-Oct-16,17.80,18.21,17.71,18.15,1032273
5-Oct-16,17.43,18.12,17.29,17.89,1657042
4-Oct-16,17.74,17.76,17.19,17.20,1849424
3-Oct-16,18.28,18.35,17.55,17.77,1870983
30-Sep-16,18.11,18.21,17.70,18.07,1776019
29-Sep-16,18.03,18.24,17.69,17.84,1877087
28-Sep-16,17.50,18.07,17.49,18.07,2396904
27-Sep-16,17.18,17.44,16.85,17.38,1977919
26-Sep-16,17.43,17.64,17.24,17.48,2911257
23-Sep-16,17.55,17.93,17.48,17.55,1540560
22-Sep-16,17.75,18.07,17.65,17.67,2534824
21-Sep-16,16.75,17.46,16.75,17.43,2918503
20-Sep-16,16.49,16.74,16.13,16.60,2830919
19-Sep-16,16.00,16.64,16.00,16.32,2521546
16-Sep-16,15.78,15.89,15.62,15.77,2548408
15-Sep-16,15.93,16.13,15.74,15.94,2270203
14-Sep-16,15.70,16.14,15.49,15.93,2871528
13-Sep-16,16.23,16.23,15.31,15.66,4579703
12-Sep-16,15.85,16.84,15.70,16.70,3638324
9-Sep-16,17.68,17.71,16.16,16.16,4880225
8-Sep-16,18.01,18.09,17.69,17.95,2377611
7-Sep-16,17.95,18.06,17.74,18.00,2460511
6-Sep-16,17.14,18.06,17.09,18.04,3069555
2-Sep-16,17.17,17.42,16.79,17.04,2287615
1-Sep-16,17.10,17.14,16.61,16.90,2973068
31-Aug-16,17.32,17.57,16.96,17.06,2915443
30-Aug-16,18.30,18.47,17.52,17.60,2672830
29-Aug-16,17.11,18.54,16.92,18.50,4246698
26-Aug-16,17.00,17.27,16.55,16.65,2438749
25-Aug-16,16.54,17.12,16.54,16.81,2925300
24-Aug-16,17.51,17.57,16.57,16.59,2257934
23-Aug-16,17.80,18.02,17.64,17.66,1546063
22-Aug-16,17.10,17.63,17.07,17.60,1440778
19-Aug-16,17.58,17.59,17.16,17.36,1276457
18-Aug-16,17.95,17.97,17.61,17.83,1420203
17-Aug-16,17.54,17.96,17.27,17.77,1585362
16-Aug-16,18.03,18.05,17.59,17.69,1416567
15-Aug-16,17.30,18.07,17.25,17.99,2649970
12-Aug-16,17.51,17.65,17.01,17.13,1739641
11-Aug-16,16.99,17.67,16.82,17.58,2443942
10-Aug-16,17.20,17.46,16.83,17.00,1725538
9-Aug-16,17.15,17.31,16.98,17.06,2051592
8-Aug-16,17.41,17.61,17.22,17.24,1291650
5-Aug-16,17.34,17.68,17.17,17.25,2001131
4-Aug-16,17.66,17.66,16.99,17.26,1238656
3-Aug-16,16.96,17.92,16.54,17.67,4366805
2-Aug-16,17.40,17.61,16.83,17.03,1389926
1-Aug-16,17.74,17.79,17.28,17.44,1490869
29-Jul-16,17.87,18.07,17.53,17.81,1925258
28-Jul-16,18.09,18.32,17.63,17.90,3619108
27-Jul-16,18.29,18.67,17.72,17.96,7211908
26-Jul-16,15.59,18.14,14.85,17.98,6297927
25-Jul-16,15.01,15.37,14.95,15.13,2141823
22-Jul-16,14.90,15.15,14.69,15.12,1753113
21-Jul-16,14.96,15.45,14.78,14.98,2007827
20-Jul-16,14.32,14.94,14.11,14.76,2274279
19-Jul-16,14.93,15.02,14.36,14.55,2110434
18-Jul-16,15.44,15.51,14.94,15.10,2628460
15-Jul-16,15.30,15.64,15.10,15.63,4135571
14-Jul-16,15.17,15.57,15.02,15.38,3286185
13-Jul-16,15.20,15.25,14.47,15.01,2990278
12-Jul-16,14.85,15.36,14.37,15.05,5673863
11-Jul-16,13.90,14.58,13.88,14.47,3158131
8-Jul-16,13.37,13.91,13.26,13.66,3086840
7-Jul-16,12.76,13.47,12.74,13.10,2532243
6-Jul-16,12.43,12.80,12.26,12.71,2448781
5-Jul-16,13.37,13.44,12.47,12.69,1906206
1-Jul-16,12.73,13.57,12.71,13.48,3165637
30-Jun-16,12.31,12.77,12.10,12.75,2501656
29-Jun-16,12.29,12.36,11.93,12.08,1982061
28-Jun-16,11.83,12.08,11.55,11.95,2864730
27-Jun-16,12.25,12.30,11.33,11.56,3699300
24-Jun-16,13.28,13.56,12.25,12.43,13267981
23-Jun-16,13.80,14.24,13.55,14.21,2348978
22-Jun-16,13.73,14.02,13.28,13.37,2313107
21-Jun-16,13.91,13.93,13.31,13.58,2045679
20-Jun-16,13.81,14.15,13.76,13.94,1986747
17-Jun-16,13.55,13.99,13.47,13.57,4024773
16-Jun-16,13.24,13.44,12.77,13.43,2066261
15-Jun-16,13.25,13.66,13.14,13.37,2037394
14-Jun-16,13.12,13.52,12.80,13.08,2342561
13-Jun-16,13.45,13.77,13.27,13.29,2130580
10-Jun-16,13.40,13.73,13.13,13.44,3325257
9-Jun-16,13.79,13.84,13.31,13.67,2739011
8-Jun-16,13.94,14.17,13.85,14.07,4384593
7-Jun-16,13.44,13.88,13.35,13.60,2287300
6-Jun-16,13.13,13.66,13.13,13.59,2773300
3-Jun-16,12.76,13.12,12.60,13.05,2856825
2-Jun-16,12.05,12.57,12.01,12.56,1893098
1-Jun-16,12.18,12.36,11.78,12.19,2640857
31-May-16,12.26,12.64,12.23,12.38,3138456
27-May-16,12.15,12.33,12.00,12.22,2497353
26-May-16,12.28,12.39,12.03,12.15,4211724
25-May-16,11.70,12.07,11.70,11.98,4073092
24-May-16,11.70,11.89,11.53,11.62,3913013
23-May-16,11.52,11.80,11.41,11.76,6231544
20-May-16,11.40,11.44,11.06,11.23,4189238
19-May-16,11.35,11.48,10.92,11.25,10723347
18-May-16,12.45,13.06,11.50,11.56,17636601
17-May-16,14.39,14.58,13.85,14.17,1744750
16-May-16,14.58,15.01,14.13,14.17,2638430
13-May-16,14.20,14.73,14.05,14.16,1350394
12-May-16,14.79,14.95,14.15,14.32,1920952
11-May-16,14.90,15.03,14.50,14.65,1747920
10-May-16,14.35,14.85,14.18,14.85,1583683
9-May-16,15.08,15.08,13.95,14.15,2194170
6-May-16,15.04,15.89,14.82,15.56,1404577
5-May-16,15.76,15.88,14.98,15.10,1711209
