Date,Open,High,Low,Close,Volume
9-Dec-16,73.43,73.65,72.38,72.62,742516
8-Dec-16,73.31,74.16,72.95,73.68,755111
7-Dec-16,73.50,74.03,72.46,73.31,756786
6-Dec-16,72.59,73.32,72.17,73.21,1116711
5-Dec-16,71.81,72.75,71.81,72.71,1023659
2-Dec-16,71.18,72.03,71.08,71.72,822231
1-Dec-16,72.06,72.11,70.72,71.18,1003062
30-Nov-16,72.99,73.00,71.79,72.06,1383702
29-Nov-16,72.45,73.31,72.10,72.95,952341
28-Nov-16,71.60,72.72,71.56,72.57,843057
25-Nov-16,71.31,71.72,71.08,71.71,253664
23-Nov-16,71.50,72.02,71.10,71.22,679669
22-Nov-16,70.51,71.74,70.36,71.68,676241
21-Nov-16,70.58,70.76,70.11,70.25,525867
18-Nov-16,71.68,71.78,70.49,70.58,552053
17-Nov-16,71.27,72.44,71.23,71.94,1044896
16-Nov-16,70.91,71.54,70.52,71.38,886553
15-Nov-16,70.80,71.36,70.58,71.17,693560
14-Nov-16,69.58,70.79,69.15,70.75,1063073
11-Nov-16,70.08,70.50,68.93,69.55,964519
10-Nov-16,71.27,71.43,69.84,70.28,963399
9-Nov-16,70.33,71.31,68.98,71.04,658019
8-Nov-16,71.40,71.71,71.02,71.26,627674
7-Nov-16,71.67,71.79,70.97,71.61,587441
4-Nov-16,70.32,71.68,70.31,70.68,1107984
3-Nov-16,69.55,70.56,69.39,70.45,1386649
2-Nov-16,69.10,69.34,68.68,68.99,806341
1-Nov-16,69.85,69.96,68.68,69.19,848020
31-Oct-16,68.67,69.97,68.66,69.79,979816
28-Oct-16,70.10,70.70,68.55,68.61,1377182
27-Oct-16,71.27,71.27,70.07,70.36,1854914
26-Oct-16,74.20,75.38,68.62,70.96,2878813
25-Oct-16,75.75,76.08,75.36,75.77,915903
24-Oct-16,76.11,76.50,75.58,75.90,499116
21-Oct-16,75.40,75.72,74.91,75.50,408932
20-Oct-16,76.31,76.31,75.35,75.93,589483
19-Oct-16,76.62,77.06,75.94,76.65,368591
18-Oct-16,77.03,77.48,76.42,76.44,461890
17-Oct-16,76.66,77.48,76.40,76.51,387828
14-Oct-16,76.18,77.10,76.17,76.45,393087
13-Oct-16,75.39,76.25,74.77,75.72,499730
12-Oct-16,75.80,76.24,75.72,76.08,472015
11-Oct-16,75.84,75.95,75.29,75.56,352747
10-Oct-16,76.93,77.36,76.15,76.21,429075
7-Oct-16,77.37,77.37,75.90,76.40,531154
6-Oct-16,75.89,77.36,75.78,77.20,560926
5-Oct-16,75.78,76.58,75.54,76.05,678152
4-Oct-16,78.10,78.33,75.55,75.75,969302
3-Oct-16,77.36,78.08,77.08,78.04,912078
30-Sep-16,77.57,78.05,76.95,77.79,582163
29-Sep-16,78.06,78.28,76.94,77.05,404220
28-Sep-16,77.93,78.45,77.77,78.31,331274
27-Sep-16,77.29,77.88,77.11,77.78,409020
26-Sep-16,77.78,78.29,77.40,77.46,421653
23-Sep-16,78.35,78.89,78.13,78.25,331803
22-Sep-16,78.77,78.96,78.20,78.84,702498
21-Sep-16,77.66,78.18,77.28,78.15,423164
20-Sep-16,78.01,78.01,77.58,77.62,533775
19-Sep-16,76.95,77.72,76.89,77.45,606629
16-Sep-16,76.91,77.25,76.40,76.41,799839
15-Sep-16,75.57,76.95,75.41,76.84,438565
14-Sep-16,75.50,76.00,75.31,75.52,382840
13-Sep-16,75.81,76.15,75.22,75.61,506265
12-Sep-16,74.96,76.50,74.68,76.29,518586
9-Sep-16,77.02,77.06,75.33,75.33,1004067
8-Sep-16,77.95,78.32,77.61,77.62,533811
7-Sep-16,78.03,78.48,77.79,78.33,395574
6-Sep-16,78.51,78.55,77.40,78.11,466017
2-Sep-16,77.39,78.37,77.39,78.14,529966
1-Sep-16,77.56,77.92,76.81,77.34,484325
31-Aug-16,77.46,77.67,77.05,77.44,560046
30-Aug-16,77.46,77.87,77.21,77.50,333677
29-Aug-16,77.14,77.80,76.85,77.37,500442
26-Aug-16,78.08,78.24,76.73,76.93,577405
25-Aug-16,77.37,78.23,76.84,77.90,650725
24-Aug-16,78.19,78.19,77.20,77.37,347252
23-Aug-16,77.62,78.30,77.54,78.16,491312
22-Aug-16,77.17,77.19,76.47,77.16,546589
19-Aug-16,76.42,77.62,76.29,77.45,418202
18-Aug-16,77.16,77.39,76.76,76.95,645018
17-Aug-16,77.38,77.43,77.03,77.29,514254
16-Aug-16,77.94,78.09,77.30,77.30,391594
15-Aug-16,78.40,78.66,78.16,78.17,458360
12-Aug-16,78.06,78.36,77.98,78.19,428586
11-Aug-16,78.79,79.02,77.87,78.30,585196
10-Aug-16,78.73,79.27,78.03,78.69,673227
9-Aug-16,78.84,79.09,78.48,78.73,503650
8-Aug-16,78.33,78.98,78.05,78.72,698267
5-Aug-16,77.84,78.95,77.70,78.46,572273
4-Aug-16,77.43,77.88,77.26,77.39,430896
3-Aug-16,77.73,77.82,76.74,77.24,722256
2-Aug-16,78.21,78.66,77.76,77.85,997685
1-Aug-16,77.94,78.28,77.62,78.15,706493
29-Jul-16,77.84,78.11,77.01,77.89,706819
28-Jul-16,78.54,78.82,77.36,78.15,748096
27-Jul-16,76.67,78.82,76.57,78.55,1531459
26-Jul-16,74.50,76.45,73.64,76.37,1579994
25-Jul-16,72.62,72.80,71.85,72.26,646910
22-Jul-16,72.30,72.93,72.03,72.60,621617
21-Jul-16,73.48,73.50,72.19,72.36,542500
20-Jul-16,73.03,73.77,72.94,73.43,407937
19-Jul-16,73.46,73.54,72.47,72.91,473010
18-Jul-16,73.35,74.28,73.20,73.81,671351
15-Jul-16,73.68,74.18,73.47,73.53,582798
14-Jul-16,73.73,74.02,73.35,73.36,584177
13-Jul-16,73.32,73.77,72.98,73.18,846330
12-Jul-16,73.16,73.44,72.72,72.96,1027292
11-Jul-16,73.50,73.62,72.69,72.99,747850
8-Jul-16,72.91,73.36,72.47,73.30,520798
7-Jul-16,71.97,72.81,71.67,72.17,790909
6-Jul-16,71.12,72.14,70.81,71.82,1097216
5-Jul-16,72.17,72.29,70.81,71.13,1309796
1-Jul-16,72.53,73.46,72.19,72.62,1582435
