Date,Open,High,Low,Close,Volume
9-Dec-16,810.81,811.59,799.10,803.10,360422
8-Dec-16,807.52,813.70,802.20,807.71,330124
7-Dec-16,789.94,810.00,784.21,809.87,501864
6-Dec-16,787.00,792.46,778.11,779.81,444813
5-Dec-16,786.14,787.77,772.35,776.42,391743
2-Dec-16,783.26,789.71,781.01,783.74,242616
1-Dec-16,780.61,789.04,778.13,780.76,299155
30-Nov-16,790.66,791.51,779.89,783.18,340537
29-Nov-16,793.90,798.84,789.13,790.24,256535
28-Nov-16,795.00,801.77,790.83,793.90,276359
25-Nov-16,796.15,809.78,795.01,797.96,128614
23-Nov-16,793.92,806.51,792.92,798.05,479134
22-Nov-16,780.03,795.49,777.93,793.79,423957
21-Nov-16,753.84,779.53,752.85,777.90,319020
18-Nov-16,772.19,773.25,752.82,755.24,271150
17-Nov-16,750.11,775.34,750.11,773.12,326342
16-Nov-16,745.81,754.25,741.50,751.95,310606
15-Nov-16,743.00,758.89,739.57,744.80,483499
14-Nov-16,751.00,752.99,727.37,729.36,513945
11-Nov-16,744.49,752.00,742.16,750.35,196394
10-Nov-16,743.00,753.66,740.85,746.28,361246
9-Nov-16,721.41,742.99,720.45,740.85,288177
8-Nov-16,733.15,736.94,729.06,731.88,289710
7-Nov-16,735.81,739.55,730.77,732.87,360138
4-Nov-16,742.30,744.09,729.00,731.65,349752
3-Nov-16,740.62,745.01,737.59,738.87,241467
2-Nov-16,730.43,742.75,730.10,738.03,160321
1-Nov-16,742.61,743.56,731.60,734.45,196816
31-Oct-16,736.86,742.51,732.28,742.16,286058
28-Oct-16,727.26,737.74,725.00,735.37,381219
27-Oct-16,752.20,752.84,725.50,726.37,401669
26-Oct-16,750.25,753.22,747.22,751.56,184383
25-Oct-16,749.26,751.97,745.94,750.39,250222
24-Oct-16,747.84,753.81,747.84,752.94,179467
21-Oct-16,744.73,750.35,742.00,746.98,415267
20-Oct-16,752.65,752.65,744.17,746.27,243314
19-Oct-16,749.00,752.91,734.32,750.44,389818
18-Oct-16,759.00,759.00,753.32,753.80,242648
17-Oct-16,760.71,762.00,754.16,754.95,465390
14-Oct-16,770.07,775.36,762.82,763.51,243329
13-Oct-16,758.72,768.37,756.45,767.86,193900
12-Oct-16,759.34,766.09,759.10,762.22,328048
11-Oct-16,764.97,765.58,759.43,760.61,331450
10-Oct-16,765.00,768.60,762.50,764.44,205278
7-Oct-16,766.28,766.28,759.03,760.34,268695
6-Oct-16,758.17,764.75,755.17,761.93,259179
5-Oct-16,763.28,764.99,758.14,759.44,278318
4-Oct-16,762.57,762.57,754.47,758.54,251759
3-Oct-16,763.28,767.03,759.15,760.71,336532
30-Sep-16,768.12,772.36,762.69,768.34,354110
29-Sep-16,765.03,771.49,759.14,765.76,385523
28-Sep-16,780.00,780.00,764.59,767.15,436429
27-Sep-16,772.04,783.33,765.26,779.61,794553
26-Sep-16,743.72,759.94,742.39,758.88,753136
23-Sep-16,746.05,751.80,737.50,744.85,818102
22-Sep-16,758.58,760.98,740.05,748.23,1030135
21-Sep-16,741.78,755.56,741.78,751.45,592877
20-Sep-16,749.02,750.77,742.00,744.06,362168
19-Sep-16,735.00,747.01,734.14,746.35,382199
16-Sep-16,737.38,741.88,734.22,735.52,410417
15-Sep-16,737.56,740.53,732.09,739.11,300851
14-Sep-16,746.28,747.78,738.19,739.21,328679
13-Sep-16,736.10,746.79,734.45,744.15,583325
12-Sep-16,724.95,743.12,723.68,740.38,596509
9-Sep-16,727.64,728.67,722.16,722.44,400512
8-Sep-16,729.90,730.65,726.07,729.38,317670
7-Sep-16,736.83,739.13,731.08,732.12,338876
6-Sep-16,739.75,743.24,731.80,737.26,311485
2-Sep-16,748.41,748.41,737.50,739.73,213491
1-Sep-16,744.23,748.47,742.50,744.77,310160
31-Aug-16,741.48,745.48,736.90,741.80,315824
30-Aug-16,752.87,752.87,737.03,741.86,433178
29-Aug-16,753.58,759.37,748.85,750.85,364269
26-Aug-16,771.28,771.50,752.13,753.47,450829
25-Aug-16,773.43,779.82,772.41,773.05,235197
24-Aug-16,784.62,788.36,773.76,777.12,351031
23-Aug-16,794.84,795.57,787.97,788.88,187617
22-Aug-16,793.66,795.43,790.18,790.67,159524
19-Aug-16,788.47,794.00,787.14,793.90,182295
18-Aug-16,787.31,792.34,783.47,788.36,169007
17-Aug-16,787.57,789.44,782.13,786.26,160254
16-Aug-16,790.00,793.95,788.09,789.54,155746
15-Aug-16,796.72,798.65,793.29,794.36,161257
12-Aug-16,799.03,802.90,795.34,795.86,112762
11-Aug-16,806.68,813.48,798.96,801.24,206293
10-Aug-16,798.79,804.72,798.00,803.45,128098
9-Aug-16,800.59,803.00,797.02,798.00,150836
8-Aug-16,808.32,808.88,800.04,801.26,114981
5-Aug-16,809.68,812.84,805.02,806.29,145487
4-Aug-16,802.72,809.99,802.72,808.24,85929
3-Aug-16,803.53,808.27,800.88,804.91,126583
2-Aug-16,813.55,816.83,800.50,802.53,151075
1-Aug-16,816.12,817.74,810.14,811.78,137385
29-Jul-16,816.00,816.52,810.00,813.97,221898
28-Jul-16,791.45,818.00,791.45,815.98,303342
27-Jul-16,802.50,802.92,788.84,790.32,164197
26-Jul-16,794.59,805.56,794.59,800.44,205728
25-Jul-16,796.92,798.96,794.60,798.46,128856
22-Jul-16,796.41,796.87,790.96,794.53,114383
21-Jul-16,798.89,799.46,790.33,792.63,102039
20-Jul-16,796.87,801.00,796.47,800.04,194453
19-Jul-16,789.08,799.90,782.30,795.66,246619
18-Jul-16,800.90,803.98,793.63,796.38,232713
15-Jul-16,810.00,810.00,798.83,799.14,183669
14-Jul-16,806.29,807.89,798.30,805.18,155795
13-Jul-16,805.29,807.36,796.83,801.31,134591
12-Jul-16,811.34,815.00,799.57,801.08,208195
11-Jul-16,815.15,819.54,808.62,809.72,179756
8-Jul-16,804.00,815.45,801.85,815.02,217381
7-Jul-16,804.84,809.06,797.69,799.66,204083
6-Jul-16,803.00,810.75,802.10,805.56,235707
5-Jul-16,800.00,804.20,796.26,803.36,302914
1-Jul-16,795.96,802.94,792.72,798.72,196604
30-Jun-16,792.99,797.04,786.17,793.84,327059
29-Jun-16,794.21,804.77,790.19,792.82,326959
28-Jun-16,770.30,791.58,768.53,790.46,439219
27-Jun-16,764.94,772.48,762.38,767.65,315231
24-Jun-16,743.31,775.99,741.52,769.92,480486
23-Jun-16,760.44,763.85,756.80,762.77,173229
22-Jun-16,751.64,763.93,749.17,756.30,266009
21-Jun-16,749.13,751.67,744.36,748.74,194593
20-Jun-16,757.07,758.15,750.98,752.06,170170
17-Jun-16,750.56,750.56,743.95,745.83,293801
16-Jun-16,745.35,751.42,741.58,751.31,410536
15-Jun-16,748.02,755.82,747.00,747.69,185105
14-Jun-16,748.28,749.40,743.69,748.38,246694
13-Jun-16,753.30,758.16,750.15,751.14,300506
10-Jun-16,757.34,758.59,752.65,754.15,239594
9-Jun-16,761.19,765.50,755.25,760.07,256373
8-Jun-16,758.34,763.56,757.49,760.58,205746
7-Jun-16,754.01,762.06,752.28,760.84,287877
6-Jun-16,761.31,762.09,748.93,756.12,384346
3-Jun-16,766.15,769.66,758.21,761.31,310361
2-Jun-16,760.76,770.44,756.58,768.59,295633
1-Jun-16,759.70,764.66,758.40,760.75,327691
31-May-16,767.49,767.52,759.23,762.20,599012
27-May-16,768.00,773.28,763.63,765.75,289727
26-May-16,766.45,776.33,764.74,767.38,333315
25-May-16,760.75,771.85,757.45,767.63,329576
24-May-16,733.35,766.64,732.22,760.42,571050
23-May-16,760.24,761.50,740.51,742.08,509120
20-May-16,759.24,769.16,755.87,761.56,386041
19-May-16,745.00,758.97,742.63,756.52,420340
18-May-16,759.50,765.43,754.36,760.86,347245
