Date,Open,High,Low,Close,Volume
9-Dec-16,47.80,48.37,47.44,48.08,2087342
8-Dec-16,47.61,48.18,47.25,48.01,2283410
7-Dec-16,45.90,47.83,45.90,47.68,2572378
6-Dec-16,45.89,46.05,45.35,46.02,2029185
5-Dec-16,44.96,45.94,44.88,45.92,2116938
2-Dec-16,45.34,46.10,44.68,44.77,1740903
1-Dec-16,44.90,45.74,44.65,45.41,2043909
30-Nov-16,45.05,45.49,44.63,44.81,2179142
29-Nov-16,45.27,45.78,44.77,45.06,2090416
28-Nov-16,45.38,45.38,44.37,45.25,2660904
25-Nov-16,45.67,45.93,45.28,45.52,698379
23-Nov-16,45.66,46.08,45.30,45.41,1604882
22-Nov-16,45.13,46.00,44.52,45.73,2026958
21-Nov-16,44.60,44.97,44.29,44.84,1876284
18-Nov-16,44.62,44.86,43.51,44.42,1511076
17-Nov-16,44.82,45.06,44.01,44.92,1705647
16-Nov-16,44.95,45.37,44.41,44.83,1501716
15-Nov-16,45.94,45.94,43.86,45.03,3360786
14-Nov-16,43.96,46.52,43.90,45.84,4280944
11-Nov-16,43.24,44.04,43.10,43.90,2612934
10-Nov-16,41.30,44.59,41.26,43.71,4437360
9-Nov-16,38.86,41.25,38.71,41.16,2092928
8-Nov-16,39.51,40.09,39.03,39.71,1141167
7-Nov-16,39.30,39.74,39.01,39.61,1537616
4-Nov-16,39.14,39.53,38.60,38.67,1873920
3-Nov-16,39.45,39.70,39.14,39.28,1519915
2-Nov-16,39.88,40.27,39.36,39.37,1782664
1-Nov-16,40.58,40.59,39.63,39.98,1333808
31-Oct-16,40.54,40.74,40.22,40.42,1694167
28-Oct-16,40.13,40.67,39.98,40.37,1018567
27-Oct-16,40.60,40.80,39.96,40.13,1420892
26-Oct-16,40.62,41.04,40.48,40.57,1293370
25-Oct-16,40.79,41.10,40.51,40.72,1200382
24-Oct-16,40.68,41.03,40.46,40.98,1759449
21-Oct-16,40.06,40.69,40.02,40.45,1480521
20-Oct-16,40.26,40.40,39.86,40.30,2130943
19-Oct-16,40.27,40.48,40.04,40.29,1725877
18-Oct-16,40.75,40.89,40.14,40.24,1884701
17-Oct-16,41.10,41.18,40.33,40.42,2389626
14-Oct-16,42.03,42.25,41.15,41.19,1890950
13-Oct-16,42.19,42.48,41.56,41.66,1885082
12-Oct-16,42.60,43.06,42.55,42.66,1377549
11-Oct-16,43.96,44.00,42.52,42.53,3209101
10-Oct-16,44.50,44.65,43.93,43.93,1657208
7-Oct-16,45.17,45.33,44.10,44.34,4119203
6-Oct-16,44.74,45.22,44.32,45.06,2898256
5-Oct-16,44.27,45.18,44.10,44.80,2677993
4-Oct-16,43.07,44.36,42.94,44.00,3738728
3-Oct-16,43.07,43.16,42.73,42.99,1699547
30-Sep-16,42.30,43.26,42.29,43.11,2424906
29-Sep-16,42.27,42.74,42.09,42.18,1652795
28-Sep-16,42.16,42.42,41.91,42.29,1866787
27-Sep-16,42.20,42.68,42.06,42.16,2105077
26-Sep-16,43.41,43.42,42.14,42.21,2618170
23-Sep-16,43.46,44.00,43.36,43.50,2791164
22-Sep-16,43.75,44.87,43.18,43.43,4968692
21-Sep-16,42.98,43.34,42.44,43.11,3504367
20-Sep-16,43.34,43.69,42.89,43.05,2198117
19-Sep-16,43.46,43.70,43.02,43.34,2067412
16-Sep-16,42.83,43.29,42.64,43.20,3134615
15-Sep-16,42.68,43.42,42.38,43.10,2145970
14-Sep-16,43.19,43.29,42.37,42.93,2032908
13-Sep-16,43.37,43.70,43.01,43.27,2434006
12-Sep-16,43.35,44.16,42.99,43.85,1779069
9-Sep-16,45.29,45.38,43.48,43.48,3159998
8-Sep-16,46.01,46.16,45.37,45.39,2687016
7-Sep-16,46.07,46.45,45.79,46.35,2092736
6-Sep-16,46.19,46.44,45.87,46.23,2064039
2-Sep-16,46.12,46.46,45.96,46.19,1414585
1-Sep-16,46.41,46.70,45.58,45.89,1774338
31-Aug-16,46.05,46.59,45.89,46.37,2229748
30-Aug-16,45.88,46.39,45.55,45.97,2838840
29-Aug-16,45.60,45.93,45.19,45.67,1696072
26-Aug-16,46.30,46.35,45.03,45.45,2544806
25-Aug-16,45.86,46.56,45.65,46.36,1951931
24-Aug-16,45.89,46.14,45.60,45.86,2044834
23-Aug-16,45.15,45.89,44.88,45.81,1455401
22-Aug-16,45.31,45.49,44.69,44.98,1185651
19-Aug-16,45.45,45.61,44.96,45.49,1239327
18-Aug-16,45.34,45.62,44.80,45.60,1474209
17-Aug-16,45.67,45.67,44.71,45.22,1891038
16-Aug-16,46.13,46.44,45.70,45.85,1998730
15-Aug-16,46.11,46.81,46.04,46.50,2075830
12-Aug-16,45.63,46.54,45.52,46.13,4220336
11-Aug-16,44.45,45.76,44.44,45.73,1771154
10-Aug-16,44.55,45.02,44.04,44.14,1049098
9-Aug-16,44.93,45.08,44.45,44.55,1326340
8-Aug-16,44.97,45.63,44.88,44.96,1196744
5-Aug-16,43.59,44.94,43.52,44.81,1741911
4-Aug-16,43.61,44.06,43.01,43.41,1323126
3-Aug-16,43.33,43.75,41.91,43.71,2201961
2-Aug-16,44.85,45.20,43.57,43.58,2961388
1-Aug-16,44.95,45.58,44.53,45.05,2776578
29-Jul-16,43.97,44.99,43.86,44.95,2474692
28-Jul-16,44.00,44.21,43.45,44.07,1940848
27-Jul-16,44.32,44.58,43.57,43.94,2086858
26-Jul-16,44.17,44.67,43.80,44.46,1724389
25-Jul-16,44.52,44.76,44.16,44.21,1836408
22-Jul-16,44.33,44.58,43.87,44.48,1003558
21-Jul-16,44.50,44.72,44.04,44.12,1178424
20-Jul-16,44.24,44.51,44.15,44.44,1260755
19-Jul-16,44.16,44.46,44.10,44.22,1420424
18-Jul-16,44.49,44.75,44.32,44.34,1936189
15-Jul-16,45.31,45.31,44.36,44.37,2119229
14-Jul-16,45.52,45.55,44.90,44.95,1293486
13-Jul-16,45.81,45.97,44.81,45.04,1880726
12-Jul-16,45.72,46.12,45.32,45.83,2583299
11-Jul-16,44.51,45.38,44.50,45.15,2518100
8-Jul-16,43.81,44.57,43.48,44.46,1849757
7-Jul-16,43.69,44.23,43.14,43.39,1854318
6-Jul-16,42.23,43.73,42.02,43.55,4205464
5-Jul-16,43.55,43.71,41.86,42.26,2195053
1-Jul-16,43.02,44.00,43.00,43.57,2476552
30-Jun-16,43.10,43.27,42.18,43.22,2493870
29-Jun-16,42.82,43.42,42.52,42.90,2653585
28-Jun-16,42.37,42.66,42.01,42.59,2784440
27-Jun-16,42.98,43.00,41.51,41.86,5159116
24-Jun-16,42.60,43.62,42.37,43.31,7611384
23-Jun-16,41.29,44.60,41.15,43.83,14128072
22-Jun-16,43.29,43.81,43.00,43.18,3659122
21-Jun-16,44.02,44.26,43.06,43.33,2435651
20-Jun-16,44.16,45.03,43.97,44.07,2514613
17-Jun-16,42.50,44.09,42.18,43.85,5301137
16-Jun-16,42.75,42.85,41.76,42.45,2913076
15-Jun-16,42.82,44.46,42.82,42.94,2483699
14-Jun-16,42.75,43.02,42.18,42.81,2011324
13-Jun-16,43.33,43.62,42.63,43.00,1571209
10-Jun-16,43.50,43.68,42.90,43.53,1574583
9-Jun-16,45.14,45.16,43.72,44.00,2288374
8-Jun-16,45.60,45.88,45.11,45.53,1257763
7-Jun-16,45.50,45.72,45.09,45.42,1626775
6-Jun-16,44.50,45.36,44.02,45.33,2593743
3-Jun-16,44.73,44.76,43.79,44.45,1629853
2-Jun-16,44.33,45.00,44.30,44.94,1356764
1-Jun-16,44.82,44.82,44.20,44.52,1273765
31-May-16,44.69,45.04,44.50,44.75,2066369
27-May-16,43.93,44.65,43.90,44.53,1496546
