Date,Open,High,Low,Close,Volume
9-Dec-16,46.86,47.25,46.34,47.25,5052103
8-Dec-16,46.65,47.30,46.62,46.98,5620417
7-Dec-16,46.00,46.54,45.71,46.49,4449935
6-Dec-16,45.76,46.03,45.49,46.00,4213903
5-Dec-16,45.66,45.84,45.40,45.53,5334663
2-Dec-16,45.75,45.76,45.04,45.21,4718970
1-Dec-16,45.34,46.15,45.12,45.84,7133001
30-Nov-16,44.60,45.31,44.59,45.25,6956889
29-Nov-16,44.14,44.33,43.99,44.15,3170489
28-Nov-16,44.38,44.56,43.99,44.04,4308164
25-Nov-16,44.61,44.72,44.51,44.65,1936154
23-Nov-16,44.61,44.86,44.38,44.61,4225874
22-Nov-16,44.70,44.88,44.19,44.50,6328781
21-Nov-16,44.60,44.73,44.30,44.62,5704871
18-Nov-16,44.00,44.55,43.81,44.49,7578132
17-Nov-16,42.91,44.11,42.84,44.01,9389870
16-Nov-16,41.60,43.16,41.60,42.82,9903127
15-Nov-16,42.44,42.98,41.95,42.98,8574172
14-Nov-16,42.00,43.20,41.96,42.85,9672141
11-Nov-16,41.32,42.00,41.25,41.85,10197271
10-Nov-16,41.15,42.12,41.08,41.42,14267684
9-Nov-16,39.47,40.89,39.24,40.61,10663812
8-Nov-16,39.02,39.09,38.70,38.88,5386385
7-Nov-16,39.00,39.34,38.88,39.34,5678023
4-Nov-16,38.57,38.71,38.23,38.25,4514574
3-Nov-16,38.72,38.98,38.43,38.51,5870990
2-Nov-16,38.82,38.91,38.43,38.62,5572799
1-Nov-16,39.30,39.43,38.68,39.03,5341328
31-Oct-16,39.31,39.50,39.19,39.20,3511513
28-Oct-16,39.39,39.43,38.89,39.15,5242659
27-Oct-16,39.29,39.62,39.18,39.33,4423585
26-Oct-16,38.76,39.21,38.71,39.06,4143275
25-Oct-16,38.84,39.12,38.74,38.88,3450343
24-Oct-16,39.03,39.18,38.91,38.92,4018715
21-Oct-16,38.61,38.93,38.49,38.80,5636468
20-Oct-16,38.88,39.19,38.50,38.96,7822252
19-Oct-16,38.32,38.96,37.61,38.77,9842977
18-Oct-16,37.79,37.97,37.45,37.89,4850461
17-Oct-16,37.95,38.02,37.40,37.43,4684490
14-Oct-16,38.40,38.48,37.64,37.89,7965854
13-Oct-16,38.33,38.34,37.54,37.87,4525374
12-Oct-16,38.79,39.00,38.66,38.71,4066909
11-Oct-16,39.06,39.42,38.66,38.75,7485218
10-Oct-16,39.23,39.26,39.02,39.19,3282239
7-Oct-16,38.94,39.05,38.49,38.89,3702335
6-Oct-16,38.88,39.01,38.60,38.96,3793913
5-Oct-16,38.50,38.99,38.38,38.84,6977427
4-Oct-16,37.72,38.35,37.42,38.28,10280211
3-Oct-16,37.58,37.84,37.44,37.61,2513563
30-Sep-16,37.54,37.90,37.34,37.72,4264479
29-Sep-16,37.51,37.99,37.13,37.28,4157357
28-Sep-16,37.45,37.67,37.25,37.65,3133851
27-Sep-16,36.93,37.44,36.80,37.40,4250939
26-Sep-16,37.57,37.67,36.98,37.03,5744342
23-Sep-16,38.03,38.41,37.87,37.87,6215347
22-Sep-16,38.43,38.48,38.02,38.14,4892566
21-Sep-16,38.20,38.45,37.92,38.27,4215973
20-Sep-16,38.38,38.39,37.89,37.95,3043335
19-Sep-16,38.09,38.38,37.92,38.08,3184778
16-Sep-16,37.84,37.95,37.60,37.84,5540687
15-Sep-16,37.27,38.18,37.15,38.11,5091339
14-Sep-16,37.73,37.84,37.37,37.43,3954750
13-Sep-16,38.24,38.39,37.48,37.77,6176173
12-Sep-16,38.09,38.81,37.92,38.71,7196408
9-Sep-16,38.16,38.47,38.08,38.20,7638507
8-Sep-16,37.92,38.27,37.77,38.23,4240896
7-Sep-16,37.77,37.92,37.61,37.86,8663434
6-Sep-16,38.39,38.48,37.78,37.85,4288419
2-Sep-16,38.17,38.54,38.17,38.49,2952890
1-Sep-16,38.60,38.65,37.97,38.32,3889888
31-Aug-16,38.42,38.51,38.05,38.50,4281087
30-Aug-16,38.19,38.34,38.07,38.33,2919463
29-Aug-16,38.11,38.28,37.87,38.09,3373160
26-Aug-16,38.05,38.27,37.70,37.99,4754482
25-Aug-16,37.80,37.95,37.68,37.91,2442001
24-Aug-16,37.93,38.03,37.68,37.77,1874305
23-Aug-16,37.98,38.04,37.85,37.86,2164475
22-Aug-16,37.77,37.88,37.62,37.79,2033236
19-Aug-16,37.64,37.84,37.47,37.80,2165640
18-Aug-16,37.59,37.77,37.49,37.75,1923092
17-Aug-16,37.48,37.78,37.40,37.67,2808454
16-Aug-16,37.46,37.61,37.33,37.50,2421856
