Date,Open,High,Low,Close,Volume
9-Dec-16,41.60,41.88,41.23,41.86,2268987
8-Dec-16,41.73,41.92,41.28,41.63,3168184
7-Dec-16,39.45,41.98,39.41,41.60,5987086
6-Dec-16,37.39,39.50,37.30,39.16,6046081
5-Dec-16,36.49,37.80,36.43,37.49,3897101
2-Dec-16,36.75,36.95,35.74,36.07,3450371
1-Dec-16,35.98,37.33,35.94,36.83,4499275
30-Nov-16,34.91,36.04,34.74,35.60,3188229
29-Nov-16,35.00,35.04,34.44,34.46,1603737
28-Nov-16,35.66,35.95,35.29,35.39,1622273
25-Nov-16,35.50,35.98,35.40,35.68,1191729
23-Nov-16,35.65,35.79,35.31,35.39,2331213
22-Nov-16,35.89,36.03,35.30,35.81,2432871
21-Nov-16,35.93,36.37,35.63,36.16,1953164
18-Nov-16,35.41,35.96,35.22,35.68,2455343
17-Nov-16,34.50,35.39,34.42,35.38,2355312
16-Nov-16,34.22,34.58,34.11,34.49,2271265
15-Nov-16,34.22,34.56,33.82,34.46,2804363
14-Nov-16,34.58,35.11,33.81,34.22,3785240
11-Nov-16,35.13,35.69,34.10,34.38,4943337
10-Nov-16,34.11,35.46,34.00,35.20,3920406
9-Nov-16,33.70,34.50,33.09,34.03,4810881
8-Nov-16,35.10,35.51,34.72,35.37,1904801
7-Nov-16,34.94,35.25,34.69,35.22,1863002
4-Nov-16,34.21,34.60,34.00,34.09,1914632
3-Nov-16,34.95,35.21,34.14,34.23,2178151
2-Nov-16,35.12,35.56,34.74,34.76,2271722
1-Nov-16,36.03,36.16,34.91,35.27,1954161
31-Oct-16,35.71,36.14,35.49,35.84,2210792
28-Oct-16,35.42,36.11,35.23,35.63,2524627
27-Oct-16,34.50,35.67,34.11,35.44,4406167
26-Oct-16,34.84,36.00,34.80,35.39,5335829
25-Oct-16,35.30,35.65,34.48,34.95,3236368
24-Oct-16,35.12,35.52,35.01,35.47,1717450
21-Oct-16,34.57,34.92,34.12,34.79,2139826
20-Oct-16,34.83,35.02,34.64,34.96,1897136
19-Oct-16,33.77,34.91,33.58,34.88,2422587
18-Oct-16,34.54,34.54,33.09,33.64,3363001
17-Oct-16,34.62,35.06,34.15,34.16,2223483
14-Oct-16,34.91,35.22,34.54,34.67,1814229
13-Oct-16,35.12,35.19,34.46,34.54,3086910
12-Oct-16,35.55,35.65,35.33,35.60,2640123
11-Oct-16,35.97,36.11,35.38,35.56,2653638
10-Oct-16,35.93,36.32,35.86,36.10,2816722
7-Oct-16,35.38,35.76,35.00,35.69,3706349
6-Oct-16,35.23,35.71,34.74,35.51,3535388
5-Oct-16,35.22,36.53,35.20,36.30,2748983
4-Oct-16,35.44,35.59,34.88,35.05,2239867
3-Oct-16,35.19,35.27,34.96,35.19,1364543
30-Sep-16,34.59,35.34,34.46,35.18,2263834
29-Sep-16,34.69,35.04,34.25,34.30,1460309
28-Sep-16,34.66,34.97,34.26,34.79,2825079
27-Sep-16,34.66,34.76,34.25,34.49,1993637
26-Sep-16,34.82,34.86,34.54,34.73,2742284
23-Sep-16,35.01,35.26,34.94,35.09,1775835
22-Sep-16,34.58,35.16,34.58,35.10,2811544
21-Sep-16,34.44,34.70,33.98,34.09,4521266
20-Sep-16,34.87,34.95,34.07,34.26,1549349
19-Sep-16,35.27,35.57,34.46,34.56,2095241
16-Sep-16,34.90,35.00,34.54,34.89,5158241
15-Sep-16,34.96,35.37,34.80,35.09,3543842
14-Sep-16,34.81,35.15,34.21,34.91,2603830
13-Sep-16,34.77,35.31,34.59,34.81,3292622
12-Sep-16,34.26,35.50,34.10,35.28,4162673
9-Sep-16,35.49,35.63,34.14,34.14,3527854
8-Sep-16,36.00,36.12,35.56,35.84,2959006
7-Sep-16,35.55,36.48,35.50,36.12,4057457
6-Sep-16,35.41,35.65,35.02,35.55,3141808
2-Sep-16,34.85,35.28,34.64,35.10,4048427
1-Sep-16,34.55,35.14,34.26,34.61,2617125
31-Aug-16,34.21,34.72,34.02,34.39,2089898
30-Aug-16,33.81,34.53,33.80,34.33,3342829
29-Aug-16,33.67,34.19,33.58,34.00,1618888
26-Aug-16,34.51,34.51,33.55,33.65,1842642
