Date,Open,High,Low,Close,Volume
1-Apr-16,66.18,66.81,65.80,66.01,19208284
31-Mar-16,67.63,68.11,67.00,67.05,4279594
30-Mar-16,67.13,67.83,66.86,67.68,2708407
29-Mar-16,65.78,66.73,65.46,66.57,3913972
28-Mar-16,66.50,66.64,65.93,66.46,3944385
24-Mar-16,65.54,66.07,65.21,66.00,1997109
23-Mar-16,66.38,66.63,65.99,66.22,2214885
22-Mar-16,67.42,67.83,66.62,66.72,1863814
21-Mar-16,65.95,67.74,65.52,67.65,1845435
18-Mar-16,67.75,67.75,66.24,66.42,2347494
17-Mar-16,66.97,67.71,66.65,67.32,1494359
16-Mar-16,66.77,66.94,65.72,66.54,993166
15-Mar-16,65.91,66.48,65.54,66.44,873639
14-Mar-16,67.10,67.29,66.31,66.55,1376616
11-Mar-16,67.05,67.86,66.48,67.77,1886387
10-Mar-16,66.19,66.53,65.62,66.41,1908260
9-Mar-16,66.97,67.01,65.96,66.12,2819552
8-Mar-16,68.41,68.41,66.19,66.24,1612040
7-Mar-16,67.53,68.79,66.68,68.79,1653305
4-Mar-16,68.17,68.55,67.00,67.79,2545948
3-Mar-16,67.27,67.89,66.99,67.82,2039632
2-Mar-16,66.75,67.54,66.02,67.54,1995260
1-Mar-16,65.98,67.18,65.72,67.15,2011396
29-Feb-16,66.28,66.78,65.52,65.56,1961414
26-Feb-16,66.75,67.02,65.81,66.10,1196118
25-Feb-16,65.71,65.97,64.70,65.91,883968
24-Feb-16,64.90,65.90,64.53,65.77,1459628
23-Feb-16,67.00,67.62,65.59,65.70,955221
22-Feb-16,66.72,67.48,66.72,67.37,1620087
19-Feb-16,65.53,66.36,65.33,66.33,1886205
18-Feb-16,66.89,66.95,65.85,66.11,1440027
17-Feb-16,65.94,66.93,65.77,66.28,2046940
16-Feb-16,65.21,65.85,64.50,65.61,1635824
12-Feb-16,63.55,64.71,63.14,64.36,1578041
11-Feb-16,60.89,63.30,60.89,62.93,2655254
10-Feb-16,61.80,63.02,61.79,62.04,2234383
9-Feb-16,62.97,63.50,61.63,62.12,2877850
8-Feb-16,62.15,63.99,61.84,63.64,2412005
5-Feb-16,63.77,64.08,62.37,62.91,11523854
4-Feb-16,65.10,66.06,64.13,64.31,3992924
3-Feb-16,64.20,64.71,62.39,64.69,3199258
2-Feb-16,63.93,64.07,62.88,63.19,4783185
1-Feb-16,64.98,65.27,64.09,65.09,3000280
29-Jan-16,63.87,65.78,63.73,65.66,3503504
28-Jan-16,62.89,63.78,62.05,63.72,3142868
27-Jan-16,60.34,61.96,60.16,60.81,4351188
26-Jan-16,60.64,60.95,59.36,60.74,4411174
25-Jan-16,59.65,61.29,59.05,59.11,2783487
22-Jan-16,59.49,61.19,58.86,60.58,2747796
21-Jan-16,57.04,58.97,56.72,57.80,2332362
20-Jan-16,57.68,57.94,56.16,57.16,2677280
19-Jan-16,58.92,59.54,57.86,58.33,2116428
15-Jan-16,57.66,59.17,57.62,58.57,3074607
14-Jan-16,59.44,60.29,57.74,59.91,2020489
13-Jan-16,60.45,60.94,58.91,59.17,2545351
12-Jan-16,60.56,60.97,58.65,59.71,2652127
11-Jan-16,60.09,60.22,59.03,59.84,1992278
8-Jan-16,60.95,61.19,59.75,59.93,2048226
7-Jan-16,60.71,61.97,60.46,60.73,2685766
6-Jan-16,61.93,63.19,61.76,61.92,2521224
5-Jan-16,63.19,63.43,62.15,63.20,2255873
4-Jan-16,63.04,63.50,62.02,62.93,2485829
31-Dec-15,62.82,63.67,62.73,63.20,1016058
30-Dec-15,63.00,63.72,62.85,63.13,1115109
29-Dec-15,64.57,64.71,63.30,63.76,1841112
28-Dec-15,62.86,63.70,62.67,63.66,964152
24-Dec-15,64.19,64.73,63.61,63.74,603907
23-Dec-15,64.09,64.27,63.21,64.25,1271422
22-Dec-15,62.16,63.08,61.97,62.82,1399908
21-Dec-15,61.45,62.11,61.15,61.81,1401110
18-Dec-15,62.21,62.81,61.25,61.32,3744671
17-Dec-15,64.13,64.29,62.56,62.56,1812900
16-Dec-15,64.37,64.91,63.81,64.20,1631142
15-Dec-15,63.95,64.71,63.61,64.60,2444015
14-Dec-15,62.69,63.67,62.48,63.15,2400968
