Date,Open,High,Low,Close,Volume
9-Dec-16,52.79,53.40,52.78,53.34,3136056
8-Dec-16,53.01,53.37,52.78,52.92,4104130
7-Dec-16,52.15,53.29,52.10,53.16,3853758
6-Dec-16,51.96,52.69,51.83,52.58,3510807
5-Dec-16,51.32,52.39,51.19,51.63,3800482
2-Dec-16,50.02,50.63,49.84,50.40,5594701
1-Dec-16,50.85,51.11,49.73,49.88,5822320
30-Nov-16,52.39,52.42,51.29,51.41,5548491
29-Nov-16,52.35,53.27,52.20,53.22,4152852
28-Nov-16,52.09,52.27,51.59,52.06,2338277
25-Nov-16,52.25,52.59,51.90,52.55,1498895
23-Nov-16,52.02,52.43,51.73,52.30,3324223
22-Nov-16,51.02,51.86,50.90,51.77,3732860
21-Nov-16,51.46,51.63,51.12,51.26,3345230
18-Nov-16,51.14,51.64,51.03,51.50,2278694
17-Nov-16,50.94,51.65,50.86,51.50,3087774
16-Nov-16,50.48,50.97,50.04,50.94,3681718
15-Nov-16,51.00,51.00,50.40,50.97,2512739
14-Nov-16,49.59,50.97,49.50,50.78,5583686
11-Nov-16,49.72,50.16,49.50,49.82,3722799
10-Nov-16,49.36,50.22,49.13,49.92,4968123
9-Nov-16,48.94,49.56,48.44,49.36,4594336
8-Nov-16,48.81,49.98,48.73,49.82,2519486
7-Nov-16,48.57,49.03,48.36,48.99,2428604
4-Nov-16,48.15,48.66,48.00,48.04,1644917
3-Nov-16,48.68,48.88,48.14,48.32,2797553
2-Nov-16,48.47,48.82,48.16,48.27,2304912
1-Nov-16,49.09,49.29,47.93,48.42,3648126
31-Oct-16,48.65,49.26,48.33,49.10,4371294
28-Oct-16,47.48,48.86,47.06,48.45,5915030
27-Oct-16,47.06,47.11,46.11,46.53,4670403
26-Oct-16,46.55,47.17,46.53,47.15,3221003
25-Oct-16,46.78,47.06,46.71,46.92,2823492
24-Oct-16,46.64,47.13,46.59,47.00,3293115
21-Oct-16,46.82,46.88,46.43,46.71,2850823
20-Oct-16,46.50,47.26,46.42,47.20,4194060
19-Oct-16,46.28,46.63,46.05,46.62,2535589
18-Oct-16,46.64,46.99,46.50,46.52,2587778
17-Oct-16,46.23,46.51,45.92,46.11,2997331
14-Oct-16,46.84,46.99,46.11,46.15,4007490
13-Oct-16,46.40,46.91,46.23,46.79,3698984
12-Oct-16,46.45,47.01,46.23,46.70,4540079
11-Oct-16,47.51,47.73,46.65,46.85,3515733
10-Oct-16,47.54,47.90,47.48,47.51,3202665
7-Oct-16,48.26,48.60,47.74,47.75,5033252
6-Oct-16,48.70,49.14,48.69,48.83,3813043
5-Oct-16,48.88,49.05,48.61,48.77,4068248
4-Oct-16,49.31,49.64,49.02,49.19,4205755
3-Oct-16,48.74,49.48,48.74,49.13,4338467
30-Sep-16,48.55,49.23,48.46,48.82,4481452
