Date,Open,High,Low,Close,Volume
9-Dec-16,77.49,77.89,76.52,77.04,1417589
8-Dec-16,76.74,77.50,75.58,77.47,1274837
7-Dec-16,75.69,76.74,75.29,76.72,1755957
6-Dec-16,75.56,75.76,74.99,75.56,1434677
5-Dec-16,74.44,75.57,74.22,75.39,2429187
2-Dec-16,75.09,75.51,74.00,74.04,1530075
1-Dec-16,74.82,75.18,74.32,74.86,1440096
30-Nov-16,75.04,75.40,74.72,74.85,1504437
29-Nov-16,74.38,75.20,74.34,74.98,1450659
28-Nov-16,74.32,74.89,74.12,74.21,1642333
25-Nov-16,74.23,74.82,74.11,74.30,705345
23-Nov-16,74.04,74.22,73.56,74.12,1072354
22-Nov-16,73.91,74.38,73.75,73.94,2067145
21-Nov-16,74.67,74.88,73.95,74.37,1839999
18-Nov-16,73.89,74.59,73.71,74.40,2426920
17-Nov-16,74.20,74.42,73.01,74.01,1194068
16-Nov-16,73.82,74.31,73.58,74.18,1523592
15-Nov-16,73.52,74.09,73.31,74.08,1429186
14-Nov-16,73.93,74.33,73.38,73.51,2430980
11-Nov-16,72.55,73.72,72.35,73.58,1551353
10-Nov-16,71.56,73.65,71.56,72.80,1486567
9-Nov-16,70.01,71.59,69.18,71.45,1242534
8-Nov-16,70.64,70.73,69.50,70.49,1498419
7-Nov-16,69.26,70.48,69.26,70.46,1312949
4-Nov-16,69.13,69.28,68.34,68.69,1345514
3-Nov-16,68.70,69.20,68.47,68.94,1338950
2-Nov-16,68.44,68.86,68.21,68.46,1651908
1-Nov-16,68.12,68.52,67.93,68.42,1504078
31-Oct-16,67.98,68.25,67.59,68.12,2026965
28-Oct-16,67.64,67.85,66.97,67.59,1586737
27-Oct-16,67.47,67.86,67.01,67.43,2173397
26-Oct-16,65.93,67.88,65.57,67.30,4499574
25-Oct-16,68.54,69.57,67.76,69.43,2282380
24-Oct-16,68.88,69.39,68.72,69.12,1165113
21-Oct-16,68.26,69.04,68.12,68.86,989782
20-Oct-16,68.64,68.97,68.47,68.75,1164694
19-Oct-16,69.07,69.07,68.51,68.76,1073658
18-Oct-16,69.19,70.45,68.62,68.80,1500831
17-Oct-16,68.50,68.97,67.61,68.67,3417784
14-Oct-16,70.56,70.95,70.13,70.26,1348563
13-Oct-16,70.00,70.38,69.85,70.31,919295
12-Oct-16,70.68,70.70,70.06,70.39,1281471
11-Oct-16,70.75,71.04,70.39,70.71,1494748
10-Oct-16,70.49,71.11,70.31,70.90,1023999
7-Oct-16,70.50,70.58,69.98,70.34,1043810
6-Oct-16,69.78,70.35,69.50,70.26,1298208
5-Oct-16,70.58,70.58,69.88,70.18,1280377
4-Oct-16,70.66,70.83,69.93,70.20,954002
3-Oct-16,70.39,70.64,69.57,70.50,1387298
30-Sep-16,70.72,71.07,70.38,70.46,1412897
29-Sep-16,70.23,70.85,70.07,70.31,1402859
28-Sep-16,70.21,70.51,69.59,70.25,1040023
27-Sep-16,69.53,70.14,69.10,70.12,999811
26-Sep-16,69.35,69.81,69.22,69.54,1147758
23-Sep-16,69.12,69.67,68.50,69.59,1478662
22-Sep-16,68.73,69.46,68.60,69.25,1495747
21-Sep-16,68.52,68.57,67.96,68.54,934357
20-Sep-16,67.81,68.10,67.24,68.04,1007592
