Date,Open,High,Low,Close,Volume
9-Dec-16,137.17,137.94,133.87,134.80,1417420
8-Dec-16,136.51,138.57,135.10,137.13,1118893
7-Dec-16,136.88,137.52,135.81,136.83,1694289
6-Dec-16,135.51,137.74,134.13,137.25,1121753
5-Dec-16,133.65,135.45,131.65,134.70,1085657
2-Dec-16,135.08,135.95,132.63,133.44,1386371
1-Dec-16,134.17,136.92,134.17,134.50,1638545
30-Nov-16,137.96,138.05,134.53,134.74,2099674
29-Nov-16,136.77,139.95,136.77,138.30,1391714
28-Nov-16,138.83,139.34,136.20,136.77,1193539
25-Nov-16,139.88,141.48,138.53,138.67,306591
23-Nov-16,139.70,140.50,136.81,139.53,843153
22-Nov-16,137.35,140.77,136.72,139.73,1458412
21-Nov-16,138.13,139.95,136.04,137.08,1077588
18-Nov-16,139.62,142.00,136.73,138.70,1172966
17-Nov-16,137.23,140.20,136.26,140.00,1146271
16-Nov-16,137.93,138.72,136.55,137.89,1049127
15-Nov-16,136.08,138.66,134.29,137.80,1082972
14-Nov-16,134.23,138.78,133.10,136.12,2048661
11-Nov-16,134.62,136.42,131.89,133.67,1187202
10-Nov-16,136.09,138.51,133.01,134.77,2572402
9-Nov-16,127.46,136.77,124.48,135.80,2847457
8-Nov-16,125.52,130.24,125.41,128.77,1386156
7-Nov-16,122.57,126.92,122.35,126.25,1811859
4-Nov-16,117.74,122.80,117.11,121.65,1735413
3-Nov-16,119.50,123.33,117.23,117.31,2321020
2-Nov-16,115.59,118.14,115.45,117.85,1828729
1-Nov-16,119.55,120.84,115.03,116.03,1728572
31-Oct-16,121.80,122.50,118.83,118.83,1414612
28-Oct-16,123.16,123.63,121.18,121.62,1229628
27-Oct-16,124.16,124.72,122.40,123.06,739086
26-Oct-16,124.38,124.76,123.72,123.80,1117869
25-Oct-16,123.60,124.89,123.53,124.30,947682
24-Oct-16,124.45,124.70,123.30,124.06,796185
21-Oct-16,122.90,124.32,122.57,124.18,639700
20-Oct-16,123.97,124.81,123.36,123.63,854352
19-Oct-16,123.65,123.98,122.51,123.55,1295742
18-Oct-16,120.00,124.67,119.50,123.65,1640757
17-Oct-16,120.63,120.90,116.30,118.64,1943938
14-Oct-16,121.56,122.25,120.68,120.90,570185
13-Oct-16,121.57,122.48,120.09,121.16,1194925
12-Oct-16,125.10,125.75,121.31,121.96,2546147
11-Oct-16,127.34,127.34,124.98,125.00,1085518
10-Oct-16,127.27,128.00,127.14,127.73,565983
7-Oct-16,127.45,128.16,126.90,127.23,670283
6-Oct-16,127.04,127.61,126.56,126.90,624338
5-Oct-16,128.35,128.68,126.74,127.09,995010
4-Oct-16,128.31,128.55,127.31,128.11,910346
3-Oct-16,129.80,130.22,127.82,128.01,705574
30-Sep-16,131.28,131.43,129.60,130.32,1415939
29-Sep-16,131.80,133.57,130.55,130.80,1206817
28-Sep-16,131.99,132.36,130.78,131.50,459724
27-Sep-16,130.11,131.89,129.84,131.70,883185
