Date,Open,High,Low,Close,Volume
9-Dec-16,69.47,69.48,68.93,69.45,8580877
8-Dec-16,69.17,69.48,68.94,69.23,8776270
7-Dec-16,68.76,69.43,68.07,69.33,10549399
6-Dec-16,68.62,68.98,68.22,68.70,10671253
5-Dec-16,69.02,69.32,68.38,68.68,9845644
2-Dec-16,69.95,70.34,68.64,68.78,13361365
1-Dec-16,69.41,70.05,69.23,69.86,9673429
30-Nov-16,70.08,70.28,69.25,69.51,11504500
29-Nov-16,68.50,70.22,68.28,70.14,15245615
28-Nov-16,68.79,69.00,68.02,68.31,9786228
25-Nov-16,68.93,69.24,68.79,69.16,3481776
23-Nov-16,69.11,69.92,68.92,68.96,9431490
22-Nov-16,68.26,69.16,68.20,69.02,13216408
21-Nov-16,68.33,68.71,67.97,68.20,8627624
18-Nov-16,68.23,68.60,67.93,68.34,10462568
17-Nov-16,67.40,68.72,66.80,68.49,11681080
16-Nov-16,66.78,67.52,66.59,67.47,11434445
15-Nov-16,67.08,67.69,66.56,66.98,15704674
14-Nov-16,66.18,68.13,66.18,67.26,18835808
11-Nov-16,64.74,66.57,64.60,66.46,15883390
10-Nov-16,63.53,65.92,63.50,65.10,27402401
9-Nov-16,62.00,64.10,62.00,63.45,20162069
8-Nov-16,61.63,62.92,61.44,62.52,11165823
7-Nov-16,61.53,61.75,61.05,61.51,9671500
4-Nov-16,60.46,61.24,60.04,60.66,10799311
3-Nov-16,61.56,61.95,60.84,60.95,9536993
2-Nov-16,61.36,61.63,61.10,61.47,11720335
1-Nov-16,62.52,62.52,61.14,61.45,10513990
31-Oct-16,62.19,62.48,61.70,61.82,9695376
28-Oct-16,61.48,62.72,61.48,61.88,14461636
27-Oct-16,62.65,62.75,60.60,61.48,22483856
26-Oct-16,64.93,64.93,62.38,62.56,21418787
25-Oct-16,65.00,65.63,64.39,64.52,15201529
24-Oct-16,65.59,65.59,64.62,64.96,9645893
21-Oct-16,63.97,64.31,63.57,64.06,11443677
20-Oct-16,64.78,64.90,64.18,64.35,10700574
19-Oct-16,65.12,65.52,64.72,64.91,8533211
18-Oct-16,65.47,65.50,64.81,64.88,7678181
17-Oct-16,65.14,65.58,64.98,65.02,5392118
14-Oct-16,65.20,65.74,64.99,65.20,7663840
13-Oct-16,64.88,65.30,64.21,65.12,7144831
12-Oct-16,65.09,65.57,64.91,65.24,6413001
11-Oct-16,65.72,65.72,64.87,64.96,7381848
10-Oct-16,65.47,65.99,65.43,65.78,7425005
7-Oct-16,65.71,65.73,64.96,65.36,7471618
6-Oct-16,65.60,65.79,65.08,65.41,7247662
5-Oct-16,66.14,66.24,65.56,65.80,8251405
4-Oct-16,66.07,66.38,65.64,65.83,7295036
3-Oct-16,65.88,66.35,65.70,66.19,6735012
30-Sep-16,66.54,66.57,66.20,66.34,10567846
29-Sep-16,66.68,66.68,65.78,66.25,9331956
28-Sep-16,66.17,66.71,66.00,66.68,7806127
27-Sep-16,65.76,66.40,65.60,66.17,8627977
26-Sep-16,67.25,67.25,65.70,65.81,7822463
23-Sep-16,66.69,67.50,66.69,67.15,9201215
22-Sep-16,67.50,67.53,66.86,67.30,8715482
21-Sep-16,66.18,67.34,66.07,67.16,8460178
20-Sep-16,66.31,66.76,66.02,66.23,7575861
19-Sep-16,65.98,66.33,65.58,65.85,6794346
16-Sep-16,65.98,66.14,65.28,65.92,13581361
15-Sep-16,64.91,66.43,64.82,66.24,10140801
14-Sep-16,64.98,65.43,64.75,65.17,7610574
13-Sep-16,65.28,65.54,64.74,64.77,12579670
12-Sep-16,64.95,65.90,64.85,65.76,8604093
9-Sep-16,65.23,65.88,64.82,65.11,14162460
8-Sep-16,66.22,66.44,65.86,66.16,8110050
7-Sep-16,66.12,66.45,66.01,66.35,7126716
6-Sep-16,66.04,66.40,65.62,66.34,7280976
2-Sep-16,66.38,66.56,65.95,66.16,6007871
1-Sep-16,65.60,66.08,65.27,65.89,8862554
31-Aug-16,65.34,65.69,64.97,65.26,6786926
30-Aug-16,65.67,65.67,65.11,65.55,6390579
29-Aug-16,65.67,65.99,65.56,65.66,5815909
26-Aug-16,65.74,66.19,65.16,65.51,6732292
25-Aug-16,65.76,65.89,65.43,65.56,6473985
24-Aug-16,65.48,65.87,65.38,65.69,8843094
23-Aug-16,66.70,66.72,65.34,65.66,10079986
22-Aug-16,66.36,66.47,65.82,66.44,5702042
19-Aug-16,67.16,67.25,66.18,66.29,12830255
18-Aug-16,67.87,67.87,67.08,67.41,5663657
17-Aug-16,67.32,67.88,67.03,67.77,5493499
16-Aug-16,67.24,67.66,67.15,67.31,4716726
15-Aug-16,67.51,67.96,67.46,67.52,4786394
12-Aug-16,67.33,67.80,67.32,67.51,4112402
11-Aug-16,67.25,67.80,67.17,67.68,5918261
10-Aug-16,66.90,67.35,66.63,67.22,7541113
9-Aug-16,67.21,67.42,66.84,66.90,8391469
8-Aug-16,67.10,67.20,66.75,67.07,7304770
5-Aug-16,67.53,67.82,67.14,67.39,6914311
4-Aug-16,66.68,67.27,66.68,67.18,6729703
3-Aug-16,67.01,67.29,66.42,66.84,7468576
2-Aug-16,67.64,67.64,66.89,66.90,7045717
1-Aug-16,67.40,67.75,67.34,67.54,6598586
29-Jul-16,67.87,67.94,67.07,67.25,9927422
28-Jul-16,67.72,68.36,67.67,67.86,8844145
27-Jul-16,68.20,68.32,66.52,67.92,11852642
26-Jul-16,67.29,67.47,66.66,67.18,8490481
25-Jul-16,67.56,67.70,67.28,67.47,6028088
22-Jul-16,67.50,67.76,67.05,67.46,7688889
21-Jul-16,66.97,67.36,66.61,67.02,7496839
20-Jul-16,67.02,67.21,66.22,67.12,5942563
19-Jul-16,66.67,67.22,66.49,67.09,7860577
18-Jul-16,66.77,67.18,66.69,66.86,5068843
15-Jul-16,67.56,67.63,66.68,66.88,7287767
14-Jul-16,67.26,67.37,66.89,67.02,7470903
13-Jul-16,67.18,67.37,66.70,66.83,8520655
12-Jul-16,67.69,67.95,67.01,67.15,9719299
11-Jul-16,67.51,67.69,66.91,67.41,7553215
8-Jul-16,66.60,67.18,66.30,67.11,13959267
7-Jul-16,64.80,66.42,64.75,66.26,15390104
6-Jul-16,65.03,65.20,64.68,65.10,10737863
5-Jul-16,64.72,65.28,64.56,65.01,9172335
1-Jul-16,64.91,65.43,64.27,65.28,8795675
30-Jun-16,64.25,65.42,64.00,65.19,14670511
29-Jun-16,63.66,64.16,63.18,63.94,10313393
28-Jun-16,63.06,63.15,62.22,63.07,10740402
27-Jun-16,61.02,62.72,60.97,62.46,15852258
24-Jun-16,60.84,62.60,60.66,61.65,17872444
23-Jun-16,63.34,63.47,62.63,62.95,7145945
22-Jun-16,62.54,63.16,62.21,62.64,5793314
21-Jun-16,62.47,62.80,62.05,62.54,8884886
20-Jun-16,62.93,63.43,62.42,62.46,7797929
17-Jun-16,63.17,63.17,62.14,62.37,11962871
16-Jun-16,62.19,63.24,61.85,63.10,7540420
15-Jun-16,62.46,63.10,62.25,62.35,8173358
14-Jun-16,62.01,62.70,61.94,62.64,7468858
13-Jun-16,62.73,63.12,62.22,62.39,7676511
10-Jun-16,62.19,62.97,62.12,62.80,7866181
9-Jun-16,62.87,63.13,62.54,62.93,5616532
8-Jun-16,63.28,63.52,63.06,63.22,6692561
7-Jun-16,63.35,63.68,63.19,63.25,6409126
6-Jun-16,63.71,63.90,63.22,63.40,5956601
3-Jun-16,63.67,63.78,63.00,63.56,5956634
2-Jun-16,63.67,63.82,63.39,63.66,6428844
1-Jun-16,63.44,63.83,63.05,63.73,7698919
31-May-16,62.82,63.39,62.50,63.30,11921388
27-May-16,62.61,63.16,62.47,62.88,8076812
26-May-16,62.55,62.87,62.09,62.29,6774791
25-May-16,62.60,63.17,61.69,62.60,8949032
24-May-16,62.08,62.50,61.69,62.44,9929236
23-May-16,61.44,62.48,61.43,61.81,11746528
20-May-16,60.12,61.88,60.12,61.76,11117370
19-May-16,60.00,60.59,59.62,60.25,8886647
18-May-16,60.53,60.83,59.86,60.38,13268685
17-May-16,61.72,61.76,60.34,60.43,15685155
16-May-16,61.47,62.52,61.37,62.00,8752973
13-May-16,62.02,62.52,61.65,61.84,8218684
12-May-16,62.35,62.66,61.82,62.26,8328096
11-May-16,62.48,62.77,61.88,62.07,8094494
10-May-16,61.43,62.72,61.39,62.64,10781124
9-May-16,61.57,61.88,61.18,61.42,6427677
6-May-16,60.89,61.44,60.61,61.42,7779717
5-May-16,61.04,61.46,60.54,61.05,8334229
4-May-16,60.59,61.59,60.50,60.89,10618417
3-May-16,60.91,61.79,60.65,60.95,11210140
2-May-16,61.09,61.53,60.57,61.23,10645427
29-Apr-16,60.53,61.05,60.02,60.76,14653927
28-Apr-16,60.72,62.00,60.50,61.15,14047498
27-Apr-16,62.20,62.79,60.48,61.30,17059162
26-Apr-16,61.02,61.56,60.88,61.05,8770741
25-Apr-16,61.02,61.10,60.48,61.00,12190969
22-Apr-16,60.88,61.50,60.59,61.10,10935830
21-Apr-16,61.25,61.36,60.38,60.94,14229213
20-Apr-16,62.60,62.60,61.31,61.46,13417868
19-Apr-16,62.44,62.91,62.04,62.28,9381261
18-Apr-16,61.69,62.66,61.54,62.48,8606303
15-Apr-16,62.13,62.43,61.40,61.97,8196938
14-Apr-16,62.16,62.30,61.67,61.84,6821458
13-Apr-16,62.18,62.39,61.73,61.95,7829002
12-Apr-16,61.39,62.06,61.26,61.72,7429110
11-Apr-16,61.92,62.10,61.44,61.44,7138663
8-Apr-16,61.63,61.96,61.28,61.60,5710670
7-Apr-16,62.04,62.31,61.02,61.40,9597641
6-Apr-16,61.05,62.26,60.99,62.20,10822432
5-Apr-16,60.84,61.43,60.80,61.13,7184525
4-Apr-16,61.51,61.81,61.12,61.43,7334286
1-Apr-16,60.59,61.99,60.39,61.87,10654063
31-Mar-16,60.73,61.37,60.64,61.08,8794921
30-Mar-16,60.92,61.25,60.52,60.80,7985591
29-Mar-16,59.81,60.89,59.68,60.75,7876025
28-Mar-16,59.57,60.35,59.45,60.09,7262464
24-Mar-16,58.76,60.18,58.69,60.01,9851028
23-Mar-16,59.11,59.70,59.00,59.25,8382472
22-Mar-16,59.30,60.30,59.30,59.87,7733706
21-Mar-16,59.71,60.06,59.62,59.84,6106575
18-Mar-16,60.85,60.90,59.52,59.76,18677061
17-Mar-16,59.93,61.14,59.71,60.75,10538962
