Date,Open,High,Low,Close,Volume
9-Dec-16,122.41,122.74,121.70,122.74,1345592
8-Dec-16,121.33,122.33,120.14,122.29,2799681
7-Dec-16,119.08,121.30,117.25,120.85,2397801
6-Dec-16,117.79,119.38,116.84,119.10,1811986
5-Dec-16,117.00,117.96,116.30,117.91,2147793
2-Dec-16,115.44,116.29,114.79,115.64,1643586
1-Dec-16,113.59,115.31,113.00,114.92,1845732
30-Nov-16,113.54,113.55,112.58,112.91,2039261
29-Nov-16,112.17,112.99,111.54,112.67,957253
28-Nov-16,111.77,112.42,111.19,111.88,1381580
25-Nov-16,112.39,112.87,112.02,112.84,690701
23-Nov-16,112.39,113.22,111.92,112.59,1231149
22-Nov-16,114.51,115.31,112.26,112.29,2014509
21-Nov-16,113.64,114.46,113.07,114.23,1749406
18-Nov-16,115.72,115.73,113.82,113.93,2891788
17-Nov-16,115.20,116.12,114.48,115.50,2063273
16-Nov-16,115.87,116.98,114.01,115.09,2917604
15-Nov-16,115.54,116.12,113.96,116.07,2430202
14-Nov-16,114.31,116.14,113.50,115.82,2571199
11-Nov-16,116.84,117.40,113.55,114.38,2972539
10-Nov-16,113.00,117.80,112.71,117.05,5024766
9-Nov-16,106.51,112.92,106.51,112.00,4217653
8-Nov-16,104.83,105.96,103.72,105.63,1563213
7-Nov-16,104.28,104.86,103.39,104.80,1899904
4-Nov-16,103.04,103.78,102.06,102.85,2170408
3-Nov-16,104.06,104.13,101.68,103.01,2910400
2-Nov-16,99.74,101.65,99.58,101.19,1470408
1-Nov-16,100.53,100.68,98.95,99.64,1430710
31-Oct-16,100.21,100.66,99.51,100.10,1146100
28-Oct-16,100.12,100.71,99.18,99.91,1100678
27-Oct-16,100.64,101.42,99.19,100.12,2403532
26-Oct-16,102.99,103.77,102.42,102.84,1663649
25-Oct-16,103.15,104.01,103.15,103.33,995042
24-Oct-16,104.45,104.50,103.47,103.54,1052596
21-Oct-16,103.13,104.22,103.01,104.09,976187
20-Oct-16,103.83,104.26,103.65,103.65,931406
19-Oct-16,104.00,104.41,103.54,103.93,584654
18-Oct-16,104.18,104.63,103.50,104.09,637943
17-Oct-16,105.54,105.54,103.62,103.73,884805
14-Oct-16,104.28,105.65,104.02,105.44,1313840
13-Oct-16,103.63,104.22,103.24,103.92,977155
12-Oct-16,103.74,104.58,103.59,104.27,937868
11-Oct-16,104.12,104.47,103.64,103.93,1334388
10-Oct-16,104.25,104.60,103.77,104.11,1087868
7-Oct-16,103.95,104.33,103.43,103.82,844120
6-Oct-16,104.00,104.53,103.72,104.19,1309052
5-Oct-16,104.23,104.47,103.19,104.06,1466460
4-Oct-16,104.31,104.71,103.09,103.93,1422096
3-Oct-16,104.09,104.78,103.76,104.07,1077394
