Date,Open,High,Low,Close,Volume
9-Dec-16,120.37,120.96,120.04,120.71,481457
8-Dec-16,120.07,120.90,119.35,120.55,479785
7-Dec-16,118.64,120.50,118.44,120.37,531780
6-Dec-16,117.89,118.53,117.65,118.40,538449
5-Dec-16,117.00,118.18,116.70,118.05,682194
2-Dec-16,115.73,116.81,115.36,116.65,553307
1-Dec-16,114.61,116.01,114.21,115.89,631271
30-Nov-16,115.61,115.75,114.38,114.60,717548
29-Nov-16,116.18,116.27,115.52,115.58,542005
28-Nov-16,116.17,116.59,115.80,116.13,672056
25-Nov-16,115.77,116.50,115.07,116.49,285905
23-Nov-16,115.07,115.72,114.58,115.32,583353
22-Nov-16,112.81,115.02,112.81,114.84,723083
21-Nov-16,111.98,112.81,110.98,112.79,592965
18-Nov-16,110.37,111.77,109.74,111.71,1522885
17-Nov-16,109.01,110.70,108.98,110.40,581092
16-Nov-16,108.74,109.07,107.97,108.99,573749
15-Nov-16,109.36,109.56,108.36,109.14,629891
14-Nov-16,109.15,109.97,108.21,109.04,709768
11-Nov-16,107.29,108.84,106.99,108.72,649634
10-Nov-16,107.70,108.39,107.36,107.98,805404
9-Nov-16,103.53,107.85,102.84,107.49,816213
8-Nov-16,104.79,105.96,104.34,105.63,412446
7-Nov-16,104.14,104.86,103.77,104.81,438059
4-Nov-16,103.23,103.84,102.87,103.06,493871
3-Nov-16,102.70,103.13,102.07,102.99,582073
2-Nov-16,102.90,103.46,102.49,102.57,733326
1-Nov-16,106.45,106.54,103.96,104.36,843046
31-Oct-16,106.45,107.13,105.76,106.67,726865
28-Oct-16,105.53,106.73,105.29,105.93,471235
27-Oct-16,106.83,107.00,105.42,105.67,413413
26-Oct-16,106.32,106.83,105.76,106.61,463439
25-Oct-16,106.64,106.92,106.07,106.73,598167
24-Oct-16,107.07,107.60,106.54,106.97,380020
21-Oct-16,106.13,106.76,105.86,106.45,666385
20-Oct-16,107.90,107.98,106.16,106.57,964197
19-Oct-16,108.18,108.78,107.79,108.08,549106
18-Oct-16,109.28,111.03,108.30,108.40,551078
17-Oct-16,109.02,109.55,108.16,108.25,455659
14-Oct-16,109.46,110.15,109.23,109.25,324564
13-Oct-16,109.36,109.77,108.39,109.33,415099
12-Oct-16,109.58,110.11,109.24,109.75,388381
11-Oct-16,110.31,110.90,108.98,109.32,513928
10-Oct-16,110.84,111.36,110.50,110.78,467967
7-Oct-16,112.03,112.03,110.34,110.46,611518
6-Oct-16,110.40,112.00,110.31,111.76,507016
5-Oct-16,111.35,111.91,110.61,110.92,771531
4-Oct-16,112.44,112.75,110.43,111.48,839297
3-Oct-16,112.77,113.90,112.16,112.42,785451
30-Sep-16,111.90,112.81,111.33,112.60,1414000
29-Sep-16,115.55,116.07,111.09,111.36,1511236
28-Sep-16,118.89,118.90,115.62,116.17,1475206
27-Sep-16,113.19,113.72,112.33,113.43,731948
26-Sep-16,113.85,113.98,113.10,113.19,434605
23-Sep-16,114.98,115.86,113.97,114.16,353193
22-Sep-16,114.99,116.24,114.71,115.10,392527
21-Sep-16,113.92,114.88,113.01,114.71,541659
20-Sep-16,114.11,114.27,113.34,113.86,502024
19-Sep-16,113.54,114.29,113.08,113.32,394649
16-Sep-16,113.55,113.97,112.91,113.32,1092711
15-Sep-16,112.99,114.57,112.54,114.09,683835
14-Sep-16,113.03,114.06,112.58,113.14,832884
13-Sep-16,113.76,114.38,112.87,112.94,1093199
12-Sep-16,114.08,114.92,113.76,114.73,929729
9-Sep-16,116.47,116.91,113.53,113.81,1338921
8-Sep-16,117.82,117.87,117.13,117.19,489769
7-Sep-16,118.86,118.96,118.14,118.30,710203
6-Sep-16,119.12,119.94,117.84,119.15,545761
2-Sep-16,118.23,119.18,118.07,118.84,558123
1-Sep-16,118.00,118.00,117.09,117.70,476174
31-Aug-16,117.09,117.69,116.50,117.51,712059
30-Aug-16,116.07,117.06,115.88,117.04,523197
29-Aug-16,115.56,116.65,115.04,116.38,431528
