Date,Open,High,Low,Close,Volume
9-Dec-16,56.38,56.48,55.42,55.84,3590732
8-Dec-16,56.99,56.99,55.88,56.17,6757742
7-Dec-16,55.35,57.20,55.00,57.10,8329977
6-Dec-16,54.86,55.34,54.20,55.30,5425561
5-Dec-16,54.04,55.09,53.95,54.76,6418593
2-Dec-16,53.86,54.56,53.75,54.02,4625363
1-Dec-16,55.24,55.57,53.89,54.08,6484592
30-Nov-16,55.75,56.26,54.98,55.08,5043798
29-Nov-16,56.80,56.95,55.52,55.63,7217553
28-Nov-16,58.02,58.50,56.83,56.95,24846803
25-Nov-16,52.04,53.51,52.00,53.25,5414012
23-Nov-16,52.60,52.65,51.35,51.86,11782804
22-Nov-16,53.11,53.55,52.37,53.18,13416651
21-Nov-16,55.53,55.67,54.68,55.10,6516619
18-Nov-16,56.50,56.86,55.04,55.57,10857486
17-Nov-16,55.25,56.94,55.13,56.38,10510520
16-Nov-16,53.79,55.45,53.77,55.33,7337021
15-Nov-16,53.94,54.41,53.75,54.17,5899594
14-Nov-16,54.07,54.28,53.09,53.95,8622194
11-Nov-16,53.80,54.12,52.82,53.95,10084371
10-Nov-16,53.46,54.66,52.96,53.81,9834018
9-Nov-16,52.51,53.19,51.46,53.01,21742599
8-Nov-16,54.75,55.23,54.33,54.89,6802202
7-Nov-16,54.00,55.25,53.52,54.75,10761832
4-Nov-16,51.53,52.98,51.50,52.08,8291603
3-Nov-16,51.52,51.94,51.38,51.65,5407739
2-Nov-16,51.49,52.19,51.22,51.41,3494537
1-Nov-16,51.99,51.99,51.12,51.50,4121556
31-Oct-16,51.90,51.98,51.16,51.35,3866394
28-Oct-16,51.52,51.96,51.40,51.57,6042419
27-Oct-16,51.04,51.50,50.86,51.30,3780268
26-Oct-16,50.55,51.12,50.43,50.87,3386488
25-Oct-16,50.39,51.04,50.31,50.64,7715605
24-Oct-16,50.20,50.90,50.11,50.45,6622642
21-Oct-16,49.93,50.02,49.35,49.71,4665071
20-Oct-16,50.70,50.70,49.72,50.08,5684016
19-Oct-16,50.43,50.84,50.25,50.39,3236035
18-Oct-16,50.27,50.63,49.70,50.22,4249697
17-Oct-16,50.49,50.92,50.06,50.10,3351062
14-Oct-16,50.70,51.66,50.33,50.34,6275455
13-Oct-16,49.79,51.37,49.68,51.25,9048017
12-Oct-16,50.94,50.94,49.74,49.98,3760901
11-Oct-16,50.37,50.56,49.54,49.89,3735529
10-Oct-16,50.77,50.95,50.36,50.45,2792315
7-Oct-16,51.28,51.37,50.28,50.35,3834245
6-Oct-16,51.08,51.41,50.62,51.21,4083172
5-Oct-16,50.36,51.43,50.06,50.90,5255075
4-Oct-16,51.10,51.25,49.92,50.09,7811066
3-Oct-16,48.66,51.26,48.50,50.40,16804000
30-Sep-16,48.83,49.76,45.44,47.71,53397247
29-Sep-16,55.21,55.93,54.99,55.00,4911915
28-Sep-16,54.49,54.96,54.16,54.89,5013287
27-Sep-16,54.17,54.74,53.92,54.40,2797780
26-Sep-16,54.35,54.35,53.61,54.15,4193596
23-Sep-16,54.14,54.56,53.71,54.41,4752213
22-Sep-16,54.03,54.32,53.62,54.21,5048459
21-Sep-16,52.98,53.49,52.92,53.45,3942092
20-Sep-16,53.60,53.68,52.95,52.96,5230606
19-Sep-16,53.72,54.02,53.01,53.33,4467687
16-Sep-16,53.94,53.97,52.86,53.32,7785231
15-Sep-16,53.26,54.41,52.91,54.10,6539045
14-Sep-16,54.03,54.98,53.95,54.03,4674575
13-Sep-16,55.72,55.77,54.48,55.00,6676936
12-Sep-16,55.17,56.52,55.05,56.40,5593350
9-Sep-16,56.36,56.36,55.23,55.23,4507480
8-Sep-16,57.93,57.94,56.06,56.16,5701394
7-Sep-16,58.69,59.00,58.22,58.38,3824743
6-Sep-16,58.27,58.66,58.12,58.66,2586099
2-Sep-16,57.95,58.61,57.88,58.36,3672655
1-Sep-16,57.75,57.87,56.95,57.59,3352440
31-Aug-16,57.73,57.91,57.06,57.44,3368016
30-Aug-16,58.09,58.19,57.50,57.91,2430124
29-Aug-16,57.75,58.10,57.45,57.85,2221123
26-Aug-16,57.62,58.20,57.33,57.87,3397186
25-Aug-16,57.70,57.97,57.34,57.57,2349481
24-Aug-16,58.03,58.25,57.35,57.67,4697876
23-Aug-16,57.60,58.66,57.53,58.15,5375295
22-Aug-16,56.98,57.81,56.85,57.74,2510419
19-Aug-16,57.02,57.65,56.93,57.14,3386313
18-Aug-16,56.79,57.00,56.32,56.94,3386666
17-Aug-16,57.25,57.45,56.42,57.00,5413007
16-Aug-16,57.65,57.98,57.28,57.30,3664444
15-Aug-16,58.00,58.31,57.29,57.88,5675824
12-Aug-16,57.16,58.25,57.06,58.20,3788831
11-Aug-16,57.82,57.92,57.12,57.33,3232492
10-Aug-16,57.89,57.89,57.31,57.53,2878148
9-Aug-16,58.20,58.47,57.59,57.67,4352230
8-Aug-16,59.64,59.71,58.24,58.31,5272065
5-Aug-16,58.09,60.47,56.85,59.71,8794082
4-Aug-16,58.22,58.96,57.89,58.77,5096850
3-Aug-16,57.85,58.31,57.50,58.15,2504215
2-Aug-16,58.15,58.51,57.53,57.85,3796826
1-Aug-16,57.58,58.48,57.36,58.45,2993610
29-Jul-16,58.03,58.08,57.17,57.49,2937935
28-Jul-16,58.31,58.63,57.52,57.89,2459947
27-Jul-16,58.55,58.55,57.88,58.25,2684976
26-Jul-16,58.34,58.91,58.33,58.62,3348952
25-Jul-16,58.25,58.40,57.88,58.40,3175457
22-Jul-16,58.59,58.59,57.53,58.36,3820408
21-Jul-16,58.54,58.83,58.22,58.31,3195172
20-Jul-16,57.74,58.82,57.50,58.72,3589195
19-Jul-16,57.85,58.04,57.48,57.67,4218095
18-Jul-16,57.84,58.03,57.63,57.98,3645482
15-Jul-16,57.52,58.07,56.52,57.76,6336358
14-Jul-16,59.07,59.41,58.73,58.94,2711612
13-Jul-16,58.69,58.86,58.05,58.49,3024059
12-Jul-16,57.99,58.68,57.95,58.36,3313050
11-Jul-16,58.08,58.71,58.08,58.44,2851087
8-Jul-16,57.39,58.16,57.11,57.93,3658249
7-Jul-16,56.84,57.47,56.61,56.84,2161202
6-Jul-16,55.98,56.84,55.42,56.77,5234806
5-Jul-16,56.70,56.87,56.09,56.40,6498727
1-Jul-16,57.16,58.16,57.00,57.20,8307127
30-Jun-16,57.37,57.48,56.70,57.24,5863116
29-Jun-16,56.74,57.51,56.30,57.09,6184109
28-Jun-16,56.38,56.69,55.62,56.00,6468515
27-Jun-16,57.42,57.55,55.16,55.48,7969566
24-Jun-16,60.00,60.04,57.96,58.01,9228117
23-Jun-16,62.44,62.71,61.63,62.70,2894107
22-Jun-16,61.48,62.15,61.43,61.72,3895631
21-Jun-16,61.46,61.85,61.19,61.60,3178880
20-Jun-16,60.50,61.76,60.42,61.30,3638388
17-Jun-16,59.88,60.02,58.94,59.55,3821420
16-Jun-16,59.25,59.86,58.59,59.71,3225859
15-Jun-16,60.86,60.86,59.51,59.63,3783887
14-Jun-16,59.98,60.72,59.88,60.60,3393861
13-Jun-16,59.92,60.98,59.76,60.05,3205281
10-Jun-16,60.26,60.79,59.80,60.27,4264167
9-Jun-16,60.89,61.16,60.39,60.99,4381359
8-Jun-16,60.72,61.76,60.61,61.62,3670837
7-Jun-16,60.74,61.06,60.26,60.73,3233257
6-Jun-16,60.05,60.42,59.47,60.35,4511132
3-Jun-16,61.32,61.33,60.10,60.12,3859757
2-Jun-16,61.16,61.35,60.69,61.34,2947032
1-Jun-16,61.43,61.55,60.90,61.13,3065100
31-May-16,62.60,62.63,61.26,61.44,4503704
27-May-16,62.48,62.73,62.14,62.46,2273553
26-May-16,62.52,62.81,62.05,62.26,2700217
25-May-16,63.00,63.15,62.53,62.60,3847780
24-May-16,62.04,63.00,61.95,62.91,3669376
23-May-16,62.83,62.90,61.70,61.74,3070386
20-May-16,61.91,63.23,61.91,62.94,4649723
19-May-16,61.59,62.15,61.45,62.01,3590337
18-May-16,61.55,62.40,61.39,62.02,2886295
17-May-16,61.49,62.06,61.31,61.64,4453652
16-May-16,61.30,62.04,60.87,61.81,2983655
13-May-16,60.95,62.09,60.79,61.35,3482391
12-May-16,61.27,61.46,60.51,61.13,2201343
11-May-16,61.56,61.98,60.90,61.10,2923780
10-May-16,60.80,61.95,60.56,61.74,3720248
9-May-16,60.57,61.17,60.05,60.82,4111983
6-May-16,56.45,60.80,56.21,60.55,7379904
5-May-16,57.50,57.76,57.06,57.59,6253699
4-May-16,57.20,57.83,57.00,57.54,5056693
3-May-16,58.01,58.30,57.52,57.65,4558139
2-May-16,58.37,58.63,57.95,58.37,5367342
29-Apr-16,59.25,59.50,57.78,58.37,4415850
28-Apr-16,60.10,60.50,59.58,59.73,3109772
27-Apr-16,60.50,61.25,60.11,60.58,1913241
26-Apr-16,60.27,60.95,60.16,60.63,2067968
25-Apr-16,60.09,60.31,59.69,60.21,2087509
22-Apr-16,59.98,60.62,59.69,60.44,3283503
21-Apr-16,59.88,60.42,59.71,60.05,2544520
20-Apr-16,59.99,60.39,59.33,60.09,2369425
19-Apr-16,60.63,60.63,59.25,59.85,2289996
18-Apr-16,59.95,60.51,59.12,60.38,3570082
15-Apr-16,60.85,60.96,59.95,60.07,5264343
14-Apr-16,60.45,60.76,60.06,60.36,2710866
13-Apr-16,60.07,60.74,59.44,60.45,6631429
12-Apr-16,60.84,60.84,58.94,59.46,6215590
11-Apr-16,60.66,61.12,59.96,59.98,3367919
8-Apr-16,60.50,60.80,59.92,60.16,2536664
7-Apr-16,61.01,61.23,59.89,59.99,4332026
6-Apr-16,61.10,61.65,60.89,61.56,2093650
5-Apr-16,61.35,61.56,60.89,61.18,2551428
4-Apr-16,63.12,63.14,61.60,61.76,3850741
1-Apr-16,62.32,63.19,62.21,63.12,2425302
31-Mar-16,62.34,63.02,62.04,62.70,3497478
30-Mar-16,62.13,62.85,61.79,62.45,5370228
29-Mar-16,60.18,61.79,59.95,61.62,4540530
28-Mar-16,60.25,60.73,59.92,60.18,3251831
