Date,Open,High,Low,Close,Volume
9-Dec-16,74.90,74.98,74.20,74.85,2358921
8-Dec-16,74.00,74.97,73.52,74.68,2861705
7-Dec-16,72.58,74.02,72.50,73.82,3136881
6-Dec-16,72.59,72.80,72.02,72.73,1981385
5-Dec-16,73.48,74.04,72.65,72.89,3432101
2-Dec-16,73.73,73.79,72.90,73.13,3233772
1-Dec-16,73.75,74.60,73.47,73.62,4813769
30-Nov-16,71.58,73.69,71.11,73.61,5184790
29-Nov-16,70.77,71.33,70.35,71.20,2473001
28-Nov-16,70.89,71.06,70.29,70.89,2835013
25-Nov-16,70.69,71.00,70.30,71.00,1591899
23-Nov-16,70.68,70.86,70.26,70.32,3139201
22-Nov-16,70.06,71.20,69.81,70.91,3726657
21-Nov-16,69.18,70.15,69.10,70.07,3007480
18-Nov-16,69.02,69.07,68.46,68.84,1842077
17-Nov-16,69.20,69.25,68.26,69.17,1876517
16-Nov-16,68.37,69.64,68.28,68.88,1836607
15-Nov-16,69.13,69.17,67.48,68.64,2202480
14-Nov-16,69.63,69.96,68.60,69.07,3368465
11-Nov-16,70.73,70.90,67.72,69.21,5739800
10-Nov-16,69.97,71.22,69.79,70.95,4866673
9-Nov-16,66.20,70.37,66.19,70.28,5745565
8-Nov-16,69.66,69.71,69.11,69.26,4316596
7-Nov-16,69.44,69.72,68.88,69.51,3047079
4-Nov-16,68.69,68.93,68.17,68.61,3505804
3-Nov-16,68.61,68.70,68.29,68.50,2507180
2-Nov-16,68.49,68.56,68.01,68.36,3055737
1-Nov-16,69.00,69.02,67.92,68.44,3724496
31-Oct-16,69.67,69.72,68.78,68.79,2453015
28-Oct-16,70.16,70.35,69.11,69.45,2649098
27-Oct-16,68.90,70.45,68.78,69.84,4170958
26-Oct-16,69.14,69.25,68.57,68.68,2723680
25-Oct-16,70.05,70.15,69.06,69.62,3288168
24-Oct-16,69.98,70.17,69.60,70.14,2579046
21-Oct-16,68.74,69.79,68.63,69.70,1824762
20-Oct-16,69.17,69.73,69.01,69.46,1390622
19-Oct-16,69.80,69.97,69.38,69.53,1794638
18-Oct-16,69.27,69.67,69.09,69.50,1946655
17-Oct-16,69.15,69.63,68.32,68.66,2167010
14-Oct-16,68.15,69.28,68.15,69.03,2109271
13-Oct-16,68.18,68.67,67.15,68.14,2042158
12-Oct-16,69.04,69.26,68.37,68.78,1444550
11-Oct-16,68.48,69.01,68.16,68.94,2224712
10-Oct-16,68.85,69.67,68.65,68.94,1930241
7-Oct-16,69.40,69.47,68.12,68.35,2391252
6-Oct-16,67.86,69.11,67.48,69.06,2188250
5-Oct-16,67.22,68.32,67.03,68.08,2114419
4-Oct-16,68.07,68.42,66.83,66.88,2923153
3-Oct-16,67.56,68.68,67.50,67.84,2402776
30-Sep-16,66.76,67.43,66.69,66.97,2932141
29-Sep-16,67.09,67.48,66.14,66.37,1884993
28-Sep-16,67.23,67.79,66.48,67.19,2702556
27-Sep-16,66.50,67.32,66.33,67.26,1765930
26-Sep-16,66.71,66.99,66.02,66.52,2440441
23-Sep-16,66.58,67.64,66.55,66.77,2661570
22-Sep-16,67.38,67.64,66.58,66.85,2486463
21-Sep-16,66.96,67.28,66.52,67.00,3077281
20-Sep-16,67.82,67.92,66.69,66.70,2555783
19-Sep-16,68.54,68.54,66.96,67.33,4735809
16-Sep-16,67.56,67.56,66.75,67.25,6014023
15-Sep-16,67.03,67.85,66.87,67.56,3266213
14-Sep-16,66.99,67.36,66.76,67.03,2934432
13-Sep-16,67.67,67.67,66.42,67.09,2543470
12-Sep-16,68.15,68.37,67.32,68.17,3133869
9-Sep-16,69.08,69.98,68.22,68.43,4149433
8-Sep-16,69.25,69.84,68.76,69.68,3225684
7-Sep-16,69.43,69.77,69.01,69.41,1815892
6-Sep-16,70.05,70.26,69.47,69.69,1643030
2-Sep-16,70.18,70.61,69.63,70.09,1914967
1-Sep-16,69.74,70.04,69.06,69.73,1930545
31-Aug-16,69.95,69.97,69.23,69.60,2182561
30-Aug-16,70.54,70.90,70.10,70.24,2591149
29-Aug-16,71.09,71.09,69.60,70.45,1652610
26-Aug-16,70.50,71.07,69.35,69.65,1845105
25-Aug-16,70.35,70.95,69.96,70.24,2412038
24-Aug-16,70.26,70.69,70.08,70.37,2708746
23-Aug-16,70.00,70.90,69.48,70.44,4437543
22-Aug-16,69.70,70.00,69.23,69.95,2395319
19-Aug-16,69.00,69.96,68.96,69.78,2524020
18-Aug-16,68.64,69.46,68.31,69.45,3814044
17-Aug-16,68.13,68.91,67.77,68.62,2120021
16-Aug-16,68.45,68.79,67.92,68.03,1915523
15-Aug-16,67.86,68.99,67.74,68.64,2802681
12-Aug-16,68.94,69.03,67.43,67.66,3060253
11-Aug-16,69.03,69.25,68.17,68.99,3072167
10-Aug-16,68.93,69.16,68.74,69.08,1284715
9-Aug-16,69.40,69.47,68.76,68.80,1232427
8-Aug-16,69.12,69.60,69.04,69.30,1792174
5-Aug-16,69.20,69.37,68.93,69.22,1766955
4-Aug-16,69.00,69.20,68.55,68.85,1497507
3-Aug-16,68.80,69.15,68.38,68.91,1330758
2-Aug-16,69.14,69.27,67.92,68.73,2466827
1-Aug-16,69.44,69.85,68.90,69.35,6030785
29-Jul-16,69.17,69.60,68.96,69.17,2199967
28-Jul-16,69.25,69.51,68.47,69.24,1895345
27-Jul-16,69.22,69.76,68.62,69.12,2157866
26-Jul-16,69.26,69.87,69.12,69.16,4216787
25-Jul-16,68.30,68.93,67.99,68.88,2424827
22-Jul-16,67.89,68.63,67.65,68.43,1780142
