Date,Open,High,Low,Close,Volume
9-Dec-16,103.23,103.82,102.76,103.62,3164330
8-Dec-16,102.57,104.77,102.30,103.92,4334083
7-Dec-16,102.45,103.23,102.03,102.86,4921086
6-Dec-16,100.84,103.00,100.66,102.52,3039304
5-Dec-16,102.32,102.56,101.04,101.29,3462147
2-Dec-16,102.04,102.45,101.10,101.50,3282489
1-Dec-16,100.95,103.04,100.15,102.70,6152288
30-Nov-16,100.56,102.08,100.20,100.20,5146353
29-Nov-16,100.71,101.11,99.84,100.35,5902405
28-Nov-16,103.49,103.71,101.69,101.70,4903517
25-Nov-16,101.68,104.83,100.80,103.92,6584679
23-Nov-16,99.53,102.50,98.57,102.17,20499126
22-Nov-16,92.75,93.14,91.84,92.01,5413981
21-Nov-16,92.25,92.40,91.33,92.30,2756087
18-Nov-16,91.69,92.19,91.53,91.96,2398470
17-Nov-16,91.27,92.04,90.99,91.77,1954235
16-Nov-16,90.86,91.52,90.75,91.25,1725478
15-Nov-16,91.34,91.56,90.84,91.25,2368413
14-Nov-16,90.97,92.00,90.97,91.62,2727767
11-Nov-16,90.47,91.15,89.69,91.10,3176846
10-Nov-16,90.59,91.83,89.96,90.70,3479439
9-Nov-16,89.54,92.99,89.17,90.11,7834692
8-Nov-16,88.79,89.56,88.61,88.99,1915290
7-Nov-16,89.00,89.78,88.23,89.00,2572313
4-Nov-16,88.27,88.53,87.68,88.06,1974177
3-Nov-16,88.13,88.58,87.87,88.30,2201066
2-Nov-16,87.86,88.69,87.85,88.16,3101673
1-Nov-16,88.12,88.43,87.38,88.09,2998271
31-Oct-16,87.92,88.85,87.80,88.30,2536380
28-Oct-16,87.18,87.60,86.67,87.17,2483137
27-Oct-16,87.49,87.60,86.69,87.00,1998024
26-Oct-16,85.88,87.47,85.62,87.04,2192599
25-Oct-16,86.33,87.49,86.22,86.52,2039166
24-Oct-16,86.81,87.19,86.18,86.70,1323392
21-Oct-16,85.45,86.50,85.27,86.43,1394886
20-Oct-16,86.39,86.45,85.33,86.11,1951768
19-Oct-16,86.50,86.93,85.95,86.56,1915316
18-Oct-16,87.12,87.12,85.81,86.61,1881993
17-Oct-16,86.43,86.73,86.30,86.47,1118660
14-Oct-16,86.88,87.29,86.34,86.40,1800740
13-Oct-16,86.45,86.77,86.12,86.34,2437082
12-Oct-16,87.13,87.62,86.60,86.94,2167683
11-Oct-16,87.18,87.79,86.57,87.05,2008081
10-Oct-16,87.42,89.34,87.30,87.49,3719779
7-Oct-16,85.28,86.66,85.12,86.30,2922678
6-Oct-16,85.13,86.02,85.05,85.29,2029433
5-Oct-16,85.00,85.78,84.51,85.12,1782975
4-Oct-16,85.55,86.24,84.65,84.70,2126319
3-Oct-16,84.61,85.80,84.24,85.35,2679584
30-Sep-16,84.22,85.49,84.18,85.35,3157773
29-Sep-16,84.09,84.91,83.47,83.86,2725510
28-Sep-16,82.72,84.17,82.70,84.09,3389522
27-Sep-16,83.22,83.55,82.80,83.05,2797917
26-Sep-16,83.27,83.82,83.20,83.58,3409633
23-Sep-16,83.77,84.15,83.18,83.34,2561257
22-Sep-16,83.39,84.24,83.19,84.16,2790628
21-Sep-16,82.84,83.19,82.33,83.05,2020055
20-Sep-16,82.60,83.36,82.26,82.47,1918242
19-Sep-16,82.29,82.71,81.89,82.11,2073747
16-Sep-16,81.20,82.07,80.69,81.95,3596007
15-Sep-16,80.78,81.78,80.43,81.61,2161548
14-Sep-16,80.94,81.42,80.35,80.57,2452922
13-Sep-16,82.40,82.71,80.85,81.09,3166282
12-Sep-16,82.02,83.66,81.77,83.09,3635285
9-Sep-16,83.20,83.36,82.21,82.23,3112130
8-Sep-16,83.87,83.98,83.25,83.58,2234649
7-Sep-16,84.20,84.40,83.77,84.02,2186598
6-Sep-16,83.93,84.64,83.82,84.47,2906657
2-Sep-16,83.95,84.19,83.74,84.05,2069928
1-Sep-16,84.50,84.82,83.38,83.55,2996580
31-Aug-16,85.49,85.49,83.92,84.55,4440328
30-Aug-16,87.00,87.05,85.51,85.72,2918872
29-Aug-16,86.66,87.05,86.35,86.93,2007601
26-Aug-16,87.33,87.99,86.59,86.74,3031566
25-Aug-16,87.29,87.70,86.93,87.29,3044647
24-Aug-16,87.86,88.43,87.35,87.42,3795959
23-Aug-16,88.40,88.63,87.26,88.09,5280009
22-Aug-16,86.90,88.43,86.60,87.96,7998136
19-Aug-16,79.51,88.09,79.37,87.32,23735606
18-Aug-16,77.16,77.67,76.73,76.94,4041188
17-Aug-16,78.00,78.31,77.24,77.43,2764648
16-Aug-16,78.19,78.42,77.74,78.15,1947391
15-Aug-16,77.15,78.65,76.96,78.28,2667441
12-Aug-16,77.99,78.23,76.83,77.00,3812256
11-Aug-16,78.29,78.47,77.92,77.99,2773015
10-Aug-16,78.98,79.19,77.99,78.15,1780544
9-Aug-16,79.00,79.50,78.39,78.89,3067908
8-Aug-16,78.55,78.99,78.41,78.92,2698589
5-Aug-16,78.07,78.83,77.71,78.34,2460102
4-Aug-16,78.40,78.76,77.41,77.74,2235467
3-Aug-16,77.76,78.61,77.71,78.31,1865304
2-Aug-16,77.36,77.94,77.36,77.70,3483358
1-Aug-16,77.75,77.98,77.18,77.69,1898647
29-Jul-16,77.27,78.18,77.13,77.71,3753890
28-Jul-16,78.48,78.56,77.81,78.17,4712409
27-Jul-16,79.36,79.50,78.39,78.45,2496545
26-Jul-16,78.68,79.99,78.56,78.99,4139767
25-Jul-16,79.03,79.10,76.87,77.92,7436304
22-Jul-16,82.20,82.20,79.84,80.12,4753522
21-Jul-16,83.06,83.62,82.10,82.22,3123847
20-Jul-16,83.04,83.46,82.75,82.81,2297555
19-Jul-16,82.82,83.32,82.47,83.26,2487648
18-Jul-16,83.21,83.92,81.96,83.82,2489129
15-Jul-16,83.96,83.96,82.88,83.41,2774593
14-Jul-16,83.58,84.65,83.39,83.64,3588149
13-Jul-16,82.68,83.52,82.43,82.96,2772599
12-Jul-16,81.29,82.64,80.38,82.42,3866581
11-Jul-16,80.97,81.40,80.49,80.99,2314715
8-Jul-16,80.22,81.09,80.00,80.97,1974902
7-Jul-16,79.65,80.17,79.04,79.37,2167512
6-Jul-16,79.05,79.49,78.25,79.47,2387270
5-Jul-16,80.26,80.53,78.61,79.17,2990663
1-Jul-16,81.22,81.38,80.34,80.90,2734341
30-Jun-16,81.89,81.95,79.83,81.04,4921422
29-Jun-16,82.03,82.28,80.55,81.51,2821417
28-Jun-16,80.93,81.85,80.04,81.38,2537948
27-Jun-16,81.33,81.37,79.78,80.58,3573240
24-Jun-16,81.58,83.16,81.40,81.72,4897602
23-Jun-16,84.93,84.95,83.53,84.29,2284961
22-Jun-16,84.56,84.85,83.89,83.92,2177616
21-Jun-16,85.39,85.40,84.04,84.09,3536050
20-Jun-16,86.76,86.99,85.46,85.59,3069658
17-Jun-16,85.64,86.54,85.45,86.00,3526149
16-Jun-16,84.31,85.31,83.15,85.12,2075532
15-Jun-16,85.56,85.78,84.74,84.83,1466048
14-Jun-16,85.00,85.39,83.64,85.15,3168082
13-Jun-16,85.64,86.87,85.30,85.32,2771475
10-Jun-16,86.06,86.49,85.10,85.67,3538348
9-Jun-16,86.29,87.16,85.96,86.95,1802168
8-Jun-16,87.97,88.20,86.42,87.18,3511275
7-Jun-16,87.28,87.85,87.05,87.31,2456254
6-Jun-16,85.75,87.80,85.70,87.48,4967685
3-Jun-16,84.87,86.20,84.80,85.57,4244420
2-Jun-16,82.73,84.14,82.42,84.06,2830801
1-Jun-16,81.96,83.01,81.35,82.83,2451957
31-May-16,82.10,83.12,81.86,82.29,6380021
27-May-16,80.20,80.50,79.82,80.50,1743828
26-May-16,80.84,81.08,80.12,80.27,2501018
25-May-16,80.18,80.88,79.95,80.49,2471423
24-May-16,78.99,79.73,78.41,79.64,3374894
23-May-16,77.50,79.17,77.25,77.88,4604027
20-May-16,80.80,80.95,77.50,77.74,12348156
19-May-16,82.18,83.34,81.68,82.25,5059867
18-May-16,82.85,83.11,81.92,82.60,2670351
17-May-16,83.66,84.25,82.58,83.20,2528729
16-May-16,82.71,84.14,82.71,83.63,2302848
13-May-16,83.80,84.29,82.28,82.47,2421667
12-May-16,84.26,84.93,82.57,84.15,3936321
11-May-16,83.65,84.95,83.02,83.90,3340444
10-May-16,80.91,84.38,80.61,83.81,5942233
9-May-16,81.04,81.12,80.02,80.58,1649113
6-May-16,80.74,81.70,80.59,81.45,1258526
5-May-16,82.23,82.30,80.77,81.20,2868472
4-May-16,83.22,83.49,81.76,82.18,1648894
3-May-16,83.55,83.85,82.53,83.40,1936347
2-May-16,84.17,84.93,83.48,84.29,1826676
29-Apr-16,83.53,84.64,83.40,84.11,2108604
28-Apr-16,84.13,85.34,83.50,83.93,2151778
27-Apr-16,84.07,85.24,83.56,84.71,2833276
26-Apr-16,82.93,83.99,82.75,83.42,2072993
25-Apr-16,82.61,82.75,81.36,82.41,2153454
22-Apr-16,82.95,83.46,82.70,82.80,2085389
21-Apr-16,84.49,84.94,82.40,82.80,3988456
20-Apr-16,82.27,84.94,81.70,84.26,6406748
19-Apr-16,78.75,82.63,78.67,82.36,6848836
18-Apr-16,77.18,78.48,76.81,78.32,2242643
15-Apr-16,77.66,78.21,77.36,77.44,2534866
14-Apr-16,78.45,78.80,77.48,77.66,2350891
13-Apr-16,76.75,78.53,76.33,78.46,3130912
12-Apr-16,75.91,76.94,75.79,76.60,2011457
11-Apr-16,76.46,77.16,75.75,75.75,1666811
8-Apr-16,76.71,77.25,75.91,76.31,2076193
7-Apr-16,76.00,76.28,75.50,76.18,2440571
6-Apr-16,76.12,76.53,75.35,76.34,2533670
5-Apr-16,75.40,76.63,75.27,76.07,2494222
4-Apr-16,76.28,76.84,75.78,75.90,2930467
1-Apr-16,76.26,76.59,74.91,76.50,6396321
31-Mar-16,80.18,80.36,76.91,76.99,6488814
30-Mar-16,81.00,81.09,80.01,80.12,2551883
29-Mar-16,79.14,80.70,79.14,80.50,2301196
28-Mar-16,80.32,80.57,79.50,80.17,3154188
24-Mar-16,80.50,80.58,80.00,80.24,3261071
23-Mar-16,81.91,82.00,80.54,80.84,1863616
22-Mar-16,82.39,82.56,81.99,82.26,1544778
21-Mar-16,82.78,83.03,81.93,82.72,2371730
18-Mar-16,83.27,83.86,82.46,82.63,7185726
17-Mar-16,81.62,83.52,81.27,83.06,3500640
16-Mar-16,80.62,81.57,80.25,81.41,2570727
15-Mar-16,80.97,81.02,80.06,80.65,3149719
14-Mar-16,82.61,83.32,81.52,81.85,2816987
