Date,Open,High,Low,Close,Volume
9-Dec-16,29.46,29.46,28.51,28.86,4671222
8-Dec-16,28.77,29.70,28.77,29.49,4741107
7-Dec-16,28.02,28.82,27.96,28.78,3764767
6-Dec-16,27.88,28.05,27.53,28.05,4543624
5-Dec-16,27.46,27.78,27.18,27.51,5325565
2-Dec-16,27.25,27.48,27.14,27.28,4258152
1-Dec-16,27.73,27.82,27.21,27.31,5117883
30-Nov-16,28.85,28.89,27.69,27.72,7376317
29-Nov-16,28.55,29.07,28.48,28.84,3425714
28-Nov-16,28.75,28.75,28.32,28.49,3167255
25-Nov-16,28.87,29.03,28.78,28.88,1048838
23-Nov-16,28.53,28.92,28.43,28.81,2338391
22-Nov-16,28.96,29.03,28.58,28.72,2942864
21-Nov-16,28.64,28.95,28.43,28.91,4262821
18-Nov-16,28.56,28.84,28.46,28.54,3667390
17-Nov-16,28.27,28.99,28.23,28.57,4667067
16-Nov-16,28.21,28.26,27.70,27.79,3996343
15-Nov-16,28.23,28.87,27.72,28.31,7139585
14-Nov-16,27.50,27.98,27.31,27.97,5744403
11-Nov-16,27.45,28.00,27.28,27.33,7925176
10-Nov-16,27.62,28.14,27.19,27.52,13933224
9-Nov-16,27.18,27.82,26.69,27.54,9241679
8-Nov-16,27.80,28.22,27.18,27.77,12852136
7-Nov-16,29.28,29.44,29.00,29.37,5300669
4-Nov-16,28.32,29.36,28.20,28.75,6098260
3-Nov-16,28.71,28.79,28.27,28.29,3992782
2-Nov-16,28.65,28.84,28.32,28.61,2741545
1-Nov-16,28.83,29.06,28.39,28.66,2565314
31-Oct-16,28.73,29.02,28.67,28.83,2708678
28-Oct-16,28.11,28.87,28.08,28.64,3198837
27-Oct-16,28.67,28.76,27.78,28.06,5865011
26-Oct-16,28.72,28.86,28.46,28.58,4861224
25-Oct-16,29.10,29.10,28.60,28.81,3804621
24-Oct-16,29.28,29.50,29.22,29.29,3031392
21-Oct-16,29.12,29.28,28.99,29.08,4166436
20-Oct-16,29.52,29.54,29.01,29.37,5190969
19-Oct-16,29.53,29.77,29.18,29.73,4265212
18-Oct-16,29.10,29.54,28.89,29.40,3438538
17-Oct-16,28.92,29.23,28.68,28.80,4226897
14-Oct-16,29.02,29.30,28.77,28.88,4698016
13-Oct-16,29.19,29.20,28.71,28.88,4278740
12-Oct-16,29.30,29.62,29.16,29.47,2869048
11-Oct-16,29.57,29.65,29.05,29.20,2624370
10-Oct-16,29.95,30.11,29.55,29.62,3651221
7-Oct-16,30.33,30.62,29.53,29.60,3508393
6-Oct-16,29.91,30.39,29.76,30.28,2286550
5-Oct-16,30.08,30.37,30.02,30.08,2729559
4-Oct-16,30.11,30.48,29.79,29.90,3894420
3-Oct-16,30.06,30.17,29.85,30.08,2215781
30-Sep-16,30.33,30.41,29.98,30.20,4380073
29-Sep-16,30.37,30.63,30.06,30.14,4657576
28-Sep-16,30.05,30.36,29.96,30.32,2505835
27-Sep-16,29.89,30.26,29.76,30.02,3389229
26-Sep-16,30.06,30.25,29.72,29.92,6189393
23-Sep-16,30.50,30.75,30.18,30.18,3160885
22-Sep-16,30.55,30.87,30.44,30.61,3348740
21-Sep-16,29.98,30.30,29.64,30.26,4603338
20-Sep-16,30.63,30.63,29.84,29.94,4736517
19-Sep-16,30.18,30.90,30.18,30.46,3385532
16-Sep-16,30.22,30.41,29.88,29.97,5200054
15-Sep-16,30.11,30.57,29.95,30.47,4008110
14-Sep-16,30.04,30.37,29.89,30.11,4542640
13-Sep-16,30.82,30.97,29.86,30.03,6158354
12-Sep-16,29.98,30.73,29.94,30.57,5251585
9-Sep-16,31.23,31.25,29.98,30.22,4469300
8-Sep-16,31.97,31.97,31.52,31.54,2895031
7-Sep-16,31.41,32.19,31.41,32.02,3308360
6-Sep-16,31.64,31.83,31.30,31.45,2809180
2-Sep-16,31.78,32.12,31.54,31.61,3098558
1-Sep-16,32.11,32.22,31.47,31.56,3592069
31-Aug-16,32.09,32.12,31.82,32.06,2614798
30-Aug-16,31.85,32.15,31.77,32.09,3211739
29-Aug-16,31.90,32.21,31.78,31.84,4786464
26-Aug-16,32.67,32.79,31.71,31.94,3419967
25-Aug-16,32.57,32.89,32.50,32.63,1851387
24-Aug-16,32.83,33.01,32.54,32.67,3008950
23-Aug-16,32.22,33.26,32.02,32.99,6104022
22-Aug-16,31.88,32.13,31.64,32.07,3237179
19-Aug-16,31.96,32.10,31.82,31.88,2919768
18-Aug-16,32.08,32.23,31.75,32.05,3212745
17-Aug-16,32.23,32.39,31.78,32.05,3056097
16-Aug-16,32.39,32.42,32.10,32.35,2062151
15-Aug-16,32.19,32.86,32.19,32.46,2601275
12-Aug-16,32.32,32.41,31.94,32.16,2542866
11-Aug-16,32.29,32.62,32.12,32.35,2530822
10-Aug-16,32.37,32.38,31.84,32.16,2134185
9-Aug-16,32.10,32.29,31.96,32.27,3261395
8-Aug-16,32.37,32.52,32.03,32.11,2633149
5-Aug-16,32.24,32.46,32.06,32.30,3550131
4-Aug-16,32.27,32.40,31.71,32.07,3649870
3-Aug-16,31.93,32.50,31.82,32.29,3508914
2-Aug-16,32.69,32.85,32.03,32.09,2890471
1-Aug-16,32.82,33.11,32.69,32.85,3164729
29-Jul-16,33.77,33.79,32.70,32.88,5547749
28-Jul-16,33.75,33.98,33.63,33.74,3033502
27-Jul-16,34.02,34.33,33.64,33.79,4060930
26-Jul-16,33.78,34.00,33.40,33.93,4963728
25-Jul-16,33.95,34.17,33.69,33.75,4169972
22-Jul-16,34.04,34.46,33.46,33.96,6411935
21-Jul-16,34.24,34.56,33.85,34.29,7150579
20-Jul-16,34.10,34.46,33.94,34.41,5354093
19-Jul-16,33.95,34.22,33.76,34.07,3534813
18-Jul-16,33.92,34.02,33.63,33.95,2205488
15-Jul-16,34.05,34.12,33.47,33.80,4228142
14-Jul-16,34.15,34.28,33.90,34.00,3394310
13-Jul-16,33.91,34.08,33.71,33.90,3079273
12-Jul-16,34.15,34.20,33.72,33.82,4258673
11-Jul-16,33.95,34.26,33.81,33.86,3530063
8-Jul-16,33.18,33.97,33.11,33.82,4711984
7-Jul-16,32.90,33.24,32.60,32.83,5287311
6-Jul-16,31.51,32.72,31.48,32.71,6325738
5-Jul-16,31.65,31.86,31.27,31.77,2936366
1-Jul-16,31.48,31.99,31.45,31.85,3121335
30-Jun-16,31.05,31.52,30.75,31.48,3494284
29-Jun-16,30.59,31.14,30.27,30.98,3079633
28-Jun-16,29.91,30.32,29.83,30.24,2626755
27-Jun-16,29.98,30.05,29.14,29.48,3686315
24-Jun-16,30.03,30.83,29.85,30.36,7777174
23-Jun-16,31.18,31.29,30.86,31.29,1715343
22-Jun-16,30.96,31.24,30.77,30.79,1839666
21-Jun-16,31.37,31.52,30.70,31.01,2541779
20-Jun-16,31.39,31.51,31.06,31.08,2025198
17-Jun-16,30.55,31.00,30.41,30.90,3068227
16-Jun-16,30.46,30.66,30.17,30.54,3102596
15-Jun-16,30.43,31.05,30.28,30.72,2301847
14-Jun-16,30.57,30.80,30.13,30.37,3283052
