Date,Open,High,Low,Close,Volume
9-Dec-16,29.55,29.63,28.61,29.10,4909706
8-Dec-16,28.74,29.72,28.73,29.55,2829303
7-Dec-16,27.83,28.86,27.74,28.80,2616356
6-Dec-16,27.42,27.80,27.22,27.79,2188915
5-Dec-16,26.76,27.59,26.72,27.39,3065992
2-Dec-16,27.01,27.52,26.52,26.60,2426432
1-Dec-16,27.22,27.51,27.08,27.15,2909732
30-Nov-16,27.72,28.00,27.09,27.09,2766650
29-Nov-16,27.25,27.66,27.16,27.65,2647923
28-Nov-16,27.49,27.50,26.77,27.22,2467639
25-Nov-16,27.33,27.62,27.10,27.54,647352
23-Nov-16,27.44,27.53,27.17,27.35,1897265
22-Nov-16,27.53,27.97,27.29,27.46,3218967
21-Nov-16,27.50,27.96,27.49,27.55,2003366
18-Nov-16,27.91,28.13,27.46,27.50,2588850
17-Nov-16,27.50,28.17,27.45,28.03,3578180
16-Nov-16,27.76,28.23,27.59,27.63,2678567
15-Nov-16,28.35,28.35,27.30,27.80,5461485
14-Nov-16,26.50,28.46,26.49,28.35,7012886
11-Nov-16,25.61,26.51,25.51,26.44,3238742
10-Nov-16,25.95,26.47,25.71,26.03,4515304
9-Nov-16,25.00,26.10,24.95,25.90,3128242
8-Nov-16,25.50,25.94,25.33,25.85,3443598
7-Nov-16,26.19,26.19,25.53,25.55,3777884
4-Nov-16,25.73,26.54,25.62,25.64,5612967
3-Nov-16,25.33,26.02,25.33,25.78,5001620
2-Nov-16,25.69,25.70,24.99,25.20,3609440
1-Nov-16,25.84,26.05,24.75,25.79,6898290
31-Oct-16,26.02,26.39,25.77,26.11,5694342
28-Oct-16,26.19,26.34,25.77,25.85,2344705
27-Oct-16,26.50,26.58,26.02,26.16,2609262
26-Oct-16,26.16,26.48,26.02,26.44,1829922
25-Oct-16,26.65,26.74,26.15,26.18,2230163
24-Oct-16,26.77,26.97,26.43,26.62,4068311
21-Oct-16,25.56,27.57,25.50,26.64,10706236
20-Oct-16,25.56,25.78,25.37,25.71,2949970
19-Oct-16,25.27,25.62,25.24,25.61,2193564
18-Oct-16,25.60,25.69,25.18,25.21,1501187
17-Oct-16,25.29,25.50,25.20,25.29,2260308
14-Oct-16,25.76,25.94,25.16,25.34,3253515
13-Oct-16,25.89,25.95,25.36,25.68,2746656
12-Oct-16,26.40,26.52,26.14,26.17,2448288
11-Oct-16,27.00,27.29,26.27,26.40,3297658
10-Oct-16,27.39,27.50,27.03,27.04,2103305
7-Oct-16,27.87,27.87,27.13,27.17,3578695
6-Oct-16,27.63,28.26,27.51,27.84,2476920
5-Oct-16,27.52,27.86,27.33,27.69,3702725
4-Oct-16,27.38,27.53,27.10,27.40,3373486
3-Oct-16,26.91,27.45,26.77,27.39,4270577
30-Sep-16,26.93,27.11,26.76,26.92,4818007
29-Sep-16,26.56,27.25,26.23,26.81,3978786
28-Sep-16,26.50,26.81,26.34,26.80,3004571
27-Sep-16,25.84,26.39,25.61,26.37,4885986
26-Sep-16,26.01,26.17,25.75,26.16,4907396
23-Sep-16,25.65,26.16,25.59,26.09,4432987
22-Sep-16,24.48,25.83,24.46,25.71,6441935
21-Sep-16,24.29,24.56,24.13,24.53,3483763
20-Sep-16,24.70,24.70,24.26,24.27,4373838
19-Sep-16,24.44,24.68,24.28,24.55,2265488
16-Sep-16,24.26,24.39,23.96,24.35,5492893
15-Sep-16,24.74,24.80,24.18,24.41,4156710
14-Sep-16,24.24,24.96,24.24,24.74,1949921
13-Sep-16,24.88,25.00,24.58,24.73,3402476
12-Sep-16,24.39,25.19,24.22,25.18,3402070
9-Sep-16,25.17,25.30,24.53,24.55,3856070
8-Sep-16,25.00,25.45,24.91,25.38,3913876
7-Sep-16,25.12,25.25,24.89,25.07,2861215
6-Sep-16,25.90,25.91,24.88,25.09,4864391
2-Sep-16,25.74,25.96,25.74,25.89,1746988
1-Sep-16,25.52,25.76,25.43,25.69,2285636
31-Aug-16,25.54,25.70,25.34,25.51,2457335
30-Aug-16,25.68,25.81,25.46,25.59,1921418
29-Aug-16,25.76,25.91,25.65,25.66,1105691
26-Aug-16,25.99,26.21,25.58,25.73,2233563
25-Aug-16,26.15,26.26,25.81,25.87,1999518
24-Aug-16,26.40,26.54,26.08,26.11,2530804
23-Aug-16,26.59,26.66,26.34,26.39,2420805
22-Aug-16,26.73,26.73,26.37,26.56,2689079
19-Aug-16,26.75,26.86,26.62,26.73,2037214
18-Aug-16,26.92,27.09,26.72,26.84,3284514
17-Aug-16,26.38,27.02,26.37,26.97,4628192
16-Aug-16,26.44,26.46,26.25,26.35,1606917
15-Aug-16,26.46,26.70,26.40,26.58,1813876
12-Aug-16,26.09,26.51,25.87,26.35,3196757
11-Aug-16,25.85,26.12,25.75,26.10,2097958
10-Aug-16,25.69,25.99,25.51,25.76,2592170
9-Aug-16,26.16,26.26,25.64,25.65,3175558
8-Aug-16,26.49,26.56,25.99,26.20,3114825
5-Aug-16,26.53,26.58,26.23,26.33,2542910
4-Aug-16,26.76,26.91,25.94,26.42,3992184
3-Aug-16,26.81,27.73,26.30,26.83,7548715
2-Aug-16,26.00,26.53,25.50,26.42,8682352
1-Aug-16,25.16,25.31,24.73,24.77,5154950
29-Jul-16,25.21,25.23,24.71,25.09,4499884
