Date,Open,High,Low,Close,Volume
9-Dec-16,4.02,4.04,3.85,3.94,9433353
8-Dec-16,3.92,3.98,3.77,3.95,9568716
7-Dec-16,3.92,4.00,3.82,3.91,11424246
6-Dec-16,3.70,4.03,3.66,3.94,11105785
5-Dec-16,3.88,4.01,3.81,3.85,13147014
2-Dec-16,3.71,3.83,3.66,3.72,11919889
1-Dec-16,4.11,4.13,3.67,3.79,25311460
30-Nov-16,3.25,3.79,3.15,3.78,35609464
29-Nov-16,2.77,2.92,2.73,2.83,11031001
28-Nov-16,3.19,3.19,2.98,2.98,12190732
25-Nov-16,3.16,3.20,3.12,3.15,3114687
23-Nov-16,3.14,3.25,3.12,3.23,6710017
22-Nov-16,3.23,3.26,3.10,3.19,8879404
21-Nov-16,3.13,3.24,3.12,3.23,11411682
18-Nov-16,3.02,3.10,2.99,3.02,9297245
17-Nov-16,3.04,3.09,2.96,3.00,8327589
16-Nov-16,3.06,3.09,2.92,2.96,10340030
15-Nov-16,3.03,3.16,3.02,3.11,15133632
14-Nov-16,2.79,2.93,2.71,2.92,11376919
11-Nov-16,2.84,2.88,2.58,2.86,13292016
10-Nov-16,2.87,2.90,2.80,2.85,12645230
9-Nov-16,2.55,2.89,2.54,2.86,12958977
8-Nov-16,2.52,2.72,2.51,2.64,7559049
7-Nov-16,2.53,2.65,2.51,2.63,8703548
4-Nov-16,2.27,2.50,2.27,2.43,9948983
3-Nov-16,2.50,2.55,2.22,2.44,14683596
2-Nov-16,2.26,2.48,2.25,2.41,13217415
1-Nov-16,2.47,2.48,2.32,2.43,10140450
31-Oct-16,2.57,2.62,2.33,2.39,13763620
28-Oct-16,2.69,2.75,2.56,2.59,9210729
27-Oct-16,2.72,2.78,2.68,2.69,7796984
26-Oct-16,2.63,2.78,2.56,2.69,10991992
25-Oct-16,2.74,2.80,2.65,2.67,8154719
24-Oct-16,2.85,2.85,2.65,2.78,8164795
21-Oct-16,2.87,2.92,2.80,2.83,9366844
20-Oct-16,2.80,2.95,2.75,2.90,8434673
19-Oct-16,2.86,2.97,2.81,2.87,9384253
18-Oct-16,2.82,2.87,2.71,2.77,7609688
17-Oct-16,2.82,2.85,2.64,2.77,10508169
14-Oct-16,2.85,2.91,2.78,2.81,8253887
13-Oct-16,2.87,2.89,2.78,2.81,12069425
12-Oct-16,3.02,3.02,2.83,2.93,11359251
11-Oct-16,3.16,3.18,2.96,3.04,9373712
10-Oct-16,3.15,3.29,3.10,3.18,11560530
7-Oct-16,3.25,3.27,2.97,2.98,11102131
6-Oct-16,3.34,3.40,3.20,3.24,10897282
5-Oct-16,3.32,3.40,3.24,3.25,10306674
4-Oct-16,3.32,3.36,3.09,3.17,8529630
3-Oct-16,3.31,3.35,3.18,3.29,9024176
30-Sep-16,3.21,3.33,3.09,3.23,12867765
29-Sep-16,3.18,3.38,3.06,3.15,20827924
28-Sep-16,2.71,3.21,2.63,3.19,20496698
27-Sep-16,2.74,2.76,2.60,2.63,11135289
26-Sep-16,2.84,2.95,2.76,2.77,10386887
23-Sep-16,2.89,2.99,2.70,2.77,10666840
22-Sep-16,2.88,2.98,2.87,2.95,11146747
21-Sep-16,2.73,2.78,2.63,2.77,11495510
20-Sep-16,2.78,2.80,2.61,2.62,9669669
19-Sep-16,2.92,2.93,2.77,2.77,7518609
16-Sep-16,2.80,2.85,2.73,2.81,13216109
15-Sep-16,2.88,2.94,2.80,2.86,6774609
14-Sep-16,2.94,3.07,2.82,2.82,15568273
13-Sep-16,3.03,3.08,2.90,2.94,11634499
12-Sep-16,3.07,3.23,3.02,3.12,10928086
9-Sep-16,3.30,3.33,3.09,3.09,9638811
8-Sep-16,3.40,3.48,3.26,3.41,13573702
7-Sep-16,3.28,3.38,3.22,3.28,11318527
6-Sep-16,3.24,3.28,3.15,3.23,9846556
2-Sep-16,3.02,3.24,3.00,3.20,15009043
1-Sep-16,3.00,3.10,2.86,2.89,12844940
31-Aug-16,3.05,3.15,2.96,3.08,11629075
30-Aug-16,3.19,3.30,3.07,3.10,7351308
29-Aug-16,3.00,3.17,2.99,3.17,6219154
26-Aug-16,3.04,3.21,3.03,3.08,8690527
25-Aug-16,2.98,3.11,2.96,3.04,7297189
24-Aug-16,3.05,3.15,2.97,2.99,7376967
23-Aug-16,2.96,3.20,2.95,3.14,8688391
22-Aug-16,3.05,3.14,2.96,2.99,9479411
19-Aug-16,3.31,3.35,3.16,3.17,14600029
18-Aug-16,3.11,3.38,3.11,3.38,13781617
17-Aug-16,3.08,3.14,3.00,3.06,10506987
16-Aug-16,3.10,3.18,3.02,3.13,8682595
15-Aug-16,2.96,3.20,2.93,3.13,12278188
12-Aug-16,2.98,3.01,2.82,2.88,7476912
11-Aug-16,2.82,2.94,2.73,2.86,11889799
10-Aug-16,2.94,3.01,2.73,2.75,13626270
9-Aug-16,3.27,3.30,2.98,3.01,13275023
8-Aug-16,3.09,3.42,3.09,3.20,17920766
5-Aug-16,3.04,3.11,2.92,3.02,10600897
4-Aug-16,2.71,3.13,2.65,2.99,22479644
3-Aug-16,2.68,2.71,2.52,2.66,12544668
2-Aug-16,2.86,2.90,2.58,2.66,10322441
1-Aug-16,2.85,2.85,2.71,2.72,7849601
29-Jul-16,2.88,2.90,2.71,2.90,10811210
28-Jul-16,2.90,3.03,2.86,2.94,7458684
27-Jul-16,3.06,3.18,2.82,2.93,9345558
26-Jul-16,2.84,3.08,2.80,3.05,6559307
25-Jul-16,2.96,2.96,2.79,2.90,7240157
22-Jul-16,3.15,3.18,2.97,3.04,7505323
21-Jul-16,3.33,3.44,3.10,3.13,7800406
20-Jul-16,3.20,3.35,3.10,3.34,5999764
19-Jul-16,3.30,3.30,3.19,3.24,5228312
18-Jul-16,3.22,3.31,3.14,3.27,6037624
15-Jul-16,3.45,3.46,3.24,3.27,6032954
14-Jul-16,3.48,3.50,3.39,3.42,6520135
13-Jul-16,3.69,3.73,3.30,3.35,9395443
12-Jul-16,3.29,3.74,3.26,3.67,13942439
11-Jul-16,3.22,3.29,3.10,3.13,7404093
8-Jul-16,3.22,3.27,3.12,3.22,8068194
7-Jul-16,3.30,3.40,3.07,3.12,12145479
6-Jul-16,3.19,3.31,3.10,3.23,14855781
5-Jul-16,3.52,3.52,3.12,3.25,12978678
1-Jul-16,3.63,3.79,3.55,3.64,11280670
30-Jun-16,3.84,3.84,3.56,3.59,14619012
29-Jun-16,3.98,4.06,3.79,3.80,15745082
28-Jun-16,4.05,4.09,3.75,3.86,14780897
27-Jun-16,4.16,4.21,3.75,3.79,11545558
24-Jun-16,4.28,4.48,4.21,4.30,44544883
23-Jun-16,4.46,4.70,4.46,4.68,9637802
22-Jun-16,4.62,4.64,4.39,4.44,8048337
21-Jun-16,4.38,4.58,4.32,4.48,9476653
20-Jun-16,4.41,4.54,4.29,4.46,11368720
17-Jun-16,4.11,4.30,4.10,4.23,15194963
16-Jun-16,3.97,4.04,3.85,3.96,10745312
15-Jun-16,3.88,4.20,3.85,4.08,10999953
14-Jun-16,3.83,3.99,3.70,3.88,8303669
13-Jun-16,3.74,4.06,3.70,3.87,9900747
10-Jun-16,4.10,4.13,3.80,3.82,12513779
9-Jun-16,4.40,4.44,4.15,4.19,13479007
8-Jun-16,4.52,4.74,4.49,4.52,10798733
7-Jun-16,4.40,4.45,4.28,4.38,16341982
6-Jun-16,4.40,4.42,4.20,4.32,10563258
3-Jun-16,4.21,4.31,4.12,4.22,10279767
2-Jun-16,4.06,4.21,3.93,4.20,12610646
1-Jun-16,3.87,4.24,3.78,4.20,12778212
31-May-16,4.00,4.15,3.94,4.01,11382714
27-May-16,3.97,4.04,3.86,3.93,9226964
26-May-16,4.40,4.44,4.03,4.04,13692133
25-May-16,3.96,4.28,3.96,4.21,12560149
24-May-16,4.04,4.11,3.83,3.90,10844315
23-May-16,3.91,4.10,3.81,3.99,8115941
20-May-16,4.01,4.19,3.90,4.03,6445247
19-May-16,4.01,4.04,3.71,4.00,10281272
18-May-16,4.21,4.32,4.10,4.16,11245009
17-May-16,4.16,4.37,4.13,4.23,10299135
16-May-16,4.12,4.32,4.06,4.22,12924905
13-May-16,4.04,4.16,3.85,3.90,11641631
12-May-16,4.36,4.43,3.97,4.10,14564537
11-May-16,3.80,4.38,3.72,4.11,17565192
10-May-16,3.53,3.97,3.46,3.92,17181610
9-May-16,3.64,3.70,3.30,3.52,9932000
6-May-16,3.47,3.89,3.44,3.64,11917979
5-May-16,3.71,3.96,3.44,3.61,15823757
4-May-16,3.72,3.80,3.17,3.26,16517142
3-May-16,3.67,3.70,3.39,3.62,9425081
2-May-16,3.92,3.98,3.63,3.85,13112501
29-Apr-16,4.33,4.35,3.66,3.86,19171457
28-Apr-16,4.66,4.80,4.03,4.06,20276684
27-Apr-16,4.21,4.70,4.19,4.64,21409460
26-Apr-16,3.93,4.19,3.81,4.10,15530684
25-Apr-16,4.12,4.17,3.75,3.95,18525528
22-Apr-16,3.77,4.10,3.72,4.09,15349333
21-Apr-16,3.85,4.00,3.60,3.66,21370555
20-Apr-16,3.47,3.90,3.47,3.71,26529037
19-Apr-16,3.37,3.77,3.36,3.60,15278148
18-Apr-16,2.76,3.30,2.72,3.29,12616896
15-Apr-16,2.94,3.25,2.88,3.18,12953089
14-Apr-16,3.20,3.32,2.96,3.06,14093380
13-Apr-16,3.09,3.29,3.01,3.15,15082282
12-Apr-16,2.60,3.30,2.56,3.23,23139715
11-Apr-16,2.63,2.72,2.53,2.56,10459176
8-Apr-16,2.33,2.57,2.29,2.50,14944543
7-Apr-16,2.22,2.32,2.13,2.17,9135124
6-Apr-16,2.10,2.29,2.01,2.23,16333068
5-Apr-16,2.00,2.08,1.97,2.01,16641876
4-Apr-16,2.04,2.15,1.95,2.03,10363255
1-Apr-16,2.14,2.16,2.01,2.03,14642576
31-Mar-16,2.13,2.32,2.08,2.22,11567139
30-Mar-16,2.25,2.28,2.10,2.17,11445179
29-Mar-16,2.12,2.16,2.02,2.12,12569706
28-Mar-16,2.25,2.32,2.13,2.25,9410783
24-Mar-16,2.07,2.29,2.00,2.27,12954183
23-Mar-16,2.34,2.38,2.15,2.19,7392273
22-Mar-16,2.54,2.57,2.30,2.43,8937676
21-Mar-16,2.54,2.71,2.46,2.58,9681432
18-Mar-16,2.74,2.88,2.47,2.61,29941335
17-Mar-16,2.42,2.68,2.40,2.61,15344647
16-Mar-16,2.16,2.36,2.14,2.34,13358452
15-Mar-16,2.09,2.09,1.95,2.07,13525302
14-Mar-16,2.13,2.29,2.05,2.23,15289936
11-Mar-16,2.34,2.53,2.30,2.40,16715039
10-Mar-16,2.29,2.30,1.97,2.21,18748737
9-Mar-16,2.60,2.64,2.20,2.29,23623932
8-Mar-16,3.48,3.53,2.18,2.22,27822950
7-Mar-16,3.19,3.70,3.05,3.66,49804164
4-Mar-16,2.28,3.28,2.16,3.26,55134585
3-Mar-16,1.69,2.31,1.67,2.13,26308576
2-Mar-16,1.37,1.78,1.32,1.78,18021814
1-Mar-16,1.31,1.41,1.22,1.39,15707109
29-Feb-16,1.20,1.31,1.19,1.28,11568279
26-Feb-16,1.11,1.24,1.10,1.19,16204251
25-Feb-16,0.94,1.12,0.94,1.07,8866357
24-Feb-16,0.93,1.01,0.90,0.95,9612923
23-Feb-16,1.07,1.11,0.98,0.99,10872202
22-Feb-16,1.06,1.11,1.02,1.08,10085121
19-Feb-16,1.03,1.03,0.89,1.01,18425903
18-Feb-16,1.08,1.14,1.02,1.05,9259108
17-Feb-16,1.11,1.15,1.02,1.10,15627358
16-Feb-16,1.19,1.23,1.02,1.03,11090958
12-Feb-16,1.10,1.33,1.01,1.12,17974048
11-Feb-16,1.10,1.12,1.00,1.03,13285387
10-Feb-16,1.22,1.26,1.11,1.12,6873286
9-Feb-16,1.24,1.31,1.11,1.17,9274065
8-Feb-16,1.51,1.51,1.22,1.26,11127755
5-Feb-16,1.41,1.67,1.35,1.56,12251087
4-Feb-16,1.47,1.65,1.46,1.51,15621990
3-Feb-16,1.24,1.48,1.11,1.48,15472046
2-Feb-16,1.20,1.27,1.11,1.19,11109999
1-Feb-16,1.42,1.46,1.21,1.26,12879063
29-Jan-16,1.33,1.58,1.32,1.56,15213454
28-Jan-16,1.29,1.35,1.14,1.32,11863570
27-Jan-16,1.06,1.19,1.02,1.09,15141196
26-Jan-16,1.09,1.12,0.98,1.05,15491702
25-Jan-16,1.29,1.32,1.00,1.01,9761473
22-Jan-16,1.39,1.52,1.33,1.34,17846380
