Date,Open,High,Low,Close,Volume
9-Dec-16,66.31,66.68,65.99,66.49,988676
8-Dec-16,64.25,66.78,63.93,66.28,2457805
7-Dec-16,64.10,64.46,63.61,64.01,1626138
6-Dec-16,64.32,64.33,63.51,64.10,1367181
5-Dec-16,64.37,64.46,63.29,64.11,2100196
2-Dec-16,64.72,64.84,64.16,64.23,1906518
1-Dec-16,63.50,65.36,63.34,64.59,2777529
30-Nov-16,63.56,63.95,63.18,63.35,4754899
29-Nov-16,63.26,63.76,62.90,63.66,1984881
28-Nov-16,63.40,63.57,62.71,63.20,2175911
25-Nov-16,63.57,63.72,63.02,63.33,936297
23-Nov-16,62.80,63.48,62.71,63.36,2192169
22-Nov-16,62.69,63.14,62.25,63.03,2822172
21-Nov-16,61.42,63.05,61.25,62.85,3416345
18-Nov-16,61.92,62.02,61.13,61.52,3764862
17-Nov-16,60.40,62.08,60.39,61.99,2497394
16-Nov-16,59.95,60.49,59.89,60.43,1984330
15-Nov-16,60.59,60.69,59.96,60.30,1225390
14-Nov-16,59.54,60.80,59.39,60.59,2333528
11-Nov-16,59.80,60.04,59.06,59.53,2073520
10-Nov-16,60.25,60.25,59.36,59.98,2731405
9-Nov-16,59.38,59.53,57.00,59.33,2763633
8-Nov-16,57.79,58.40,57.61,58.02,1668393
7-Nov-16,59.53,59.65,57.68,57.85,1973666
4-Nov-16,58.58,59.31,58.26,58.63,3568049
3-Nov-16,58.00,59.85,58.00,58.46,3619866
2-Nov-16,57.87,58.38,57.67,57.97,2314506
1-Nov-16,58.69,58.79,57.50,57.82,2612538
31-Oct-16,55.49,59.72,55.49,58.62,6291056
28-Oct-16,55.86,56.21,54.50,55.16,2500921
27-Oct-16,56.89,57.07,55.87,55.93,1747239
26-Oct-16,57.79,57.88,56.77,56.86,2802741
25-Oct-16,58.27,58.95,58.11,58.29,2054019
24-Oct-16,61.55,61.55,57.58,58.10,6225425
21-Oct-16,60.82,61.11,60.24,60.96,2525925
20-Oct-16,62.74,62.74,61.05,61.10,2925253
19-Oct-16,62.55,62.82,62.06,62.78,1614675
18-Oct-16,62.82,62.98,62.45,62.51,1508531
17-Oct-16,62.80,62.97,62.12,62.26,1439796
14-Oct-16,63.02,63.34,62.84,62.85,1329729
13-Oct-16,62.30,63.12,61.74,62.99,1431767
12-Oct-16,62.01,62.88,62.01,62.66,2332950
11-Oct-16,63.61,63.61,61.95,62.00,2447966
10-Oct-16,63.79,64.40,63.70,63.70,1201493
7-Oct-16,64.27,64.43,63.01,63.43,1828425
6-Oct-16,63.88,64.50,63.35,64.28,1504168
5-Oct-16,64.33,64.66,64.01,64.11,1226443
4-Oct-16,64.15,64.58,63.90,64.34,1706899
3-Oct-16,65.69,65.89,63.72,64.10,2880196
30-Sep-16,65.50,66.36,64.72,66.07,3478786
29-Sep-16,66.18,66.36,65.29,65.46,1519777
28-Sep-16,66.22,66.30,65.45,66.21,1729884
27-Sep-16,66.09,66.58,65.84,66.33,1783990
26-Sep-16,66.09,66.35,65.95,66.15,1673784
23-Sep-16,66.58,66.82,66.20,66.50,1792714
22-Sep-16,65.98,66.88,65.97,66.72,1650675
21-Sep-16,64.98,65.87,64.97,65.83,1530014
20-Sep-16,65.99,65.99,64.94,64.99,1873187
19-Sep-16,64.48,64.85,63.38,63.60,1776819
16-Sep-16,63.95,64.56,63.57,64.44,2480597
15-Sep-16,63.19,64.35,63.09,64.07,1691268
14-Sep-16,64.13,64.27,63.25,63.34,2097465
13-Sep-16,64.22,64.51,63.73,63.95,2228295
12-Sep-16,63.08,64.97,63.08,64.71,2062740
9-Sep-16,63.92,64.31,63.53,63.65,1761062
8-Sep-16,64.64,64.64,64.17,64.43,1144090
7-Sep-16,64.06,64.77,64.06,64.33,1236504
6-Sep-16,64.01,64.40,63.36,64.06,1421532
2-Sep-16,64.35,65.02,64.35,64.78,1388449
1-Sep-16,64.51,64.65,63.83,64.19,2346029
31-Aug-16,64.98,64.98,64.02,64.63,1698953
30-Aug-16,64.32,64.84,64.32,64.66,1404239
29-Aug-16,63.76,64.56,63.76,64.41,1205779
26-Aug-16,64.17,64.41,63.30,63.68,2155025
25-Aug-16,64.30,64.60,64.05,64.24,1309740
24-Aug-16,65.50,65.75,64.46,64.51,2248972
23-Aug-16,65.51,65.88,65.12,65.45,2324963
22-Aug-16,64.63,65.60,64.52,65.17,3533164
19-Aug-16,63.98,64.94,62.76,64.48,6543344
18-Aug-16,67.34,67.98,67.23,67.65,1715758
17-Aug-16,68.26,68.48,66.75,67.20,2817165
16-Aug-16,68.22,68.50,67.19,68.26,2292837
15-Aug-16,69.20,69.35,68.32,68.33,2174548
12-Aug-16,70.08,70.11,68.98,69.15,1798078
11-Aug-16,70.16,70.56,69.51,70.09,2211723
10-Aug-16,72.09,72.25,69.94,70.11,2725617
9-Aug-16,73.36,74.15,71.40,72.31,3928423
8-Aug-16,76.93,76.94,75.25,75.36,1930597
5-Aug-16,76.25,76.97,76.18,76.96,869666
4-Aug-16,76.09,76.33,75.77,75.91,672574
3-Aug-16,75.89,76.14,75.73,76.08,817237
2-Aug-16,76.93,77.00,75.80,76.00,913901
1-Aug-16,77.63,77.90,76.87,77.00,595316
29-Jul-16,76.62,77.61,76.39,77.54,1035031
28-Jul-16,76.45,76.86,76.13,76.76,597380
27-Jul-16,78.00,78.00,76.30,76.55,1728956
26-Jul-16,77.85,78.40,77.72,78.18,573434
25-Jul-16,77.68,78.07,77.50,77.94,843967
22-Jul-16,77.71,78.33,77.40,77.91,3519291
21-Jul-16,77.65,78.01,77.26,77.58,682577
20-Jul-16,77.58,77.85,77.23,77.62,839652
19-Jul-16,77.32,77.62,77.04,77.35,592563
18-Jul-16,77.70,77.92,77.18,77.51,704691
15-Jul-16,77.97,78.05,77.48,77.73,526088
14-Jul-16,78.45,78.50,77.68,77.73,922516
13-Jul-16,77.97,78.29,77.69,77.99,733912
12-Jul-16,78.59,78.77,77.81,77.85,892418
11-Jul-16,78.36,78.65,78.20,78.44,754658
8-Jul-16,77.36,78.21,77.27,78.07,743856
7-Jul-16,76.68,77.18,76.48,76.92,1150918
6-Jul-16,76.45,76.80,76.06,76.68,1080473
5-Jul-16,76.88,77.04,76.08,76.37,672347
1-Jul-16,77.50,77.74,77.06,77.32,542675
30-Jun-16,76.85,77.33,76.11,77.32,926477
29-Jun-16,75.29,76.79,75.13,76.68,747482
28-Jun-16,74.30,74.96,73.98,74.61,944817
27-Jun-16,75.18,75.34,73.53,73.78,1031940
24-Jun-16,75.15,76.57,74.99,75.70,1626300
23-Jun-16,76.76,77.15,76.50,77.15,509289
22-Jun-16,75.82,76.41,75.46,76.18,622506
21-Jun-16,76.11,76.11,75.41,75.65,565459
20-Jun-16,75.82,76.39,75.38,75.77,793161
17-Jun-16,75.71,75.79,74.84,75.11,1299446
16-Jun-16,75.19,75.79,74.79,75.68,863232
15-Jun-16,75.76,76.17,75.37,75.45,780415
14-Jun-16,75.33,75.69,74.93,75.63,486911
13-Jun-16,75.64,76.16,75.54,75.56,923714
10-Jun-16,76.73,76.90,75.76,76.08,687782
