Date,Open,High,Low,Close,Volume
9-Dec-16,119.52,120.51,119.15,120.50,1121976
8-Dec-16,118.85,119.76,118.42,119.61,922648
7-Dec-16,116.98,118.82,116.64,118.81,1134250
6-Dec-16,118.22,118.38,116.42,116.89,1136945
5-Dec-16,117.35,119.05,117.00,118.56,1008441
2-Dec-16,118.43,118.74,116.41,116.89,1166080
1-Dec-16,116.91,118.55,116.71,118.49,1925706
30-Nov-16,116.59,117.37,116.16,116.73,1276482
29-Nov-16,116.04,116.98,115.78,116.41,725806
28-Nov-16,116.14,117.00,116.05,116.34,1070936
25-Nov-16,116.75,116.84,116.12,116.64,359271
23-Nov-16,116.31,117.44,116.31,116.79,754258
22-Nov-16,114.99,116.56,114.89,116.36,990213
21-Nov-16,114.84,115.23,114.36,114.92,530327
18-Nov-16,114.65,115.27,114.09,114.28,710299
17-Nov-16,114.64,114.88,114.12,114.83,758906
16-Nov-16,114.13,114.84,114.05,114.78,619769
15-Nov-16,113.98,114.28,113.50,114.14,912647
14-Nov-16,115.79,116.20,113.77,113.98,1329954
11-Nov-16,115.84,116.46,115.33,115.67,1062783
10-Nov-16,115.00,116.99,114.69,116.15,1272914
9-Nov-16,111.81,115.18,111.07,114.76,1346116
8-Nov-16,112.82,114.01,112.64,113.60,583362
7-Nov-16,111.97,113.01,111.76,112.87,840854
4-Nov-16,111.18,111.78,110.65,110.67,1012380
3-Nov-16,112.19,112.31,111.10,111.18,943048
2-Nov-16,112.16,112.57,111.50,111.99,919866
1-Nov-16,113.80,114.81,111.39,112.14,1673119
31-Oct-16,115.39,115.60,114.00,114.17,1524146
28-Oct-16,115.21,116.21,114.58,115.10,860134
27-Oct-16,115.44,115.44,114.65,114.96,892293
26-Oct-16,115.64,115.87,115.11,115.35,755271
25-Oct-16,116.38,116.57,115.85,115.95,621153
24-Oct-16,116.15,116.80,116.15,116.71,676940
21-Oct-16,116.03,116.03,115.02,115.78,741254
20-Oct-16,116.73,116.89,115.91,116.43,588722
