Date,Open,High,Low,Close,Volume
6-Sep-16,28.75,29.13,28.65,29.05,102673327
2-Sep-16,28.82,28.84,28.70,28.77,30119639
1-Sep-16,28.89,28.96,28.83,28.86,36802117
31-Aug-16,28.88,29.00,28.86,28.99,43364572
30-Aug-16,28.68,29.00,28.68,28.99,47113513
29-Aug-16,28.70,28.78,28.62,28.67,9720699
26-Aug-16,28.70,28.75,28.62,28.70,5917105
25-Aug-16,28.65,28.72,28.60,28.69,6619609
24-Aug-16,28.64,28.76,28.60,28.74,12136581
23-Aug-16,28.65,28.70,28.34,28.63,15993647
22-Aug-16,28.59,28.71,28.54,28.63,14688188
19-Aug-16,28.51,28.72,28.50,28.71,25555325
18-Aug-16,28.43,28.55,28.31,28.54,21609796
17-Aug-16,28.68,28.69,28.44,28.57,12809604
16-Aug-16,28.56,28.73,28.52,28.69,23256961
15-Aug-16,28.45,28.52,28.40,28.47,7289261
12-Aug-16,28.43,28.50,28.38,28.48,7076425
11-Aug-16,28.38,28.49,28.27,28.49,9568067
10-Aug-16,28.53,28.59,28.29,28.36,8971678
9-Aug-16,28.40,28.74,28.39,28.58,10599778
8-Aug-16,28.42,28.47,28.34,28.45,9171433
5-Aug-16,28.22,28.44,28.19,28.43,6633790
4-Aug-16,28.24,28.28,28.15,28.20,7829142
3-Aug-16,28.01,28.20,27.99,28.20,10343206
2-Aug-16,28.24,28.33,28.10,28.13,8469273
1-Aug-16,28.30,28.39,28.26,28.36,7393382
29-Jul-16,28.23,28.39,28.23,28.28,10478159
28-Jul-16,28.19,28.45,28.19,28.34,8929477
27-Jul-16,28.46,28.48,28.23,28.34,19007386
26-Jul-16,28.52,28.59,28.36,28.40,12499760
25-Jul-16,28.38,28.58,28.38,28.56,9355952
22-Jul-16,28.19,28.46,28.16,28.41,11225337
21-Jul-16,28.05,28.40,28.05,28.21,12910587
20-Jul-16,28.09,28.21,28.05,28.17,14102674
19-Jul-16,28.00,28.14,27.95,28.11,31630490
18-Jul-16,27.47,27.69,27.45,27.54,26730914
15-Jul-16,27.53,27.61,27.45,27.55,16957435
14-Jul-16,27.57,27.63,27.52,27.53,9831790
13-Jul-16,27.57,27.64,27.49,27.53,7871256
12-Jul-16,27.53,27.68,27.51,27.61,11183979
11-Jul-16,27.51,27.60,27.50,27.51,14594160
8-Jul-16,27.37,27.56,27.34,27.51,17175595
7-Jul-16,27.35,27.40,27.29,27.33,9415246
6-Jul-16,27.24,27.37,27.19,27.30,12002851
5-Jul-16,27.17,27.36,27.17,27.29,8686921
1-Jul-16,27.15,27.41,27.13,27.35,18846897
30-Jun-16,27.16,27.21,27.10,27.17,16977402
29-Jun-16,27.17,27.23,27.09,27.15,13672507
28-Jun-16,27.16,27.24,27.04,27.18,17416486
27-Jun-16,27.17,27.38,26.93,27.04,15577151
24-Jun-16,27.49,27.60,27.29,27.29,17531833
23-Jun-16,27.71,27.86,27.69,27.86,11327222
22-Jun-16,27.64,27.76,27.64,27.65,11916848
21-Jun-16,27.72,27.84,27.71,27.74,10020455
20-Jun-16,27.59,27.80,27.58,27.72,8309736
17-Jun-16,27.71,27.75,27.38,27.40,19741245
16-Jun-16,27.52,27.73,27.47,27.68,8308928
15-Jun-16,27.64,27.72,27.59,27.62,7012539
14-Jun-16,27.60,27.71,27.51,27.61,9448295
13-Jun-16,27.52,27.84,27.52,27.67,6490059
10-Jun-16,27.74,27.84,27.68,27.71,6184860
9-Jun-16,27.85,27.98,27.82,27.87,7099074
8-Jun-16,28.01,28.10,27.90,27.94,8465901
7-Jun-16,28.00,28.07,27.90,28.01,18661190
6-Jun-16,27.98,28.10,27.93,27.97,12226843
3-Jun-16,27.91,27.95,27.69,27.91,17084378
2-Jun-16,27.79,27.96,27.78,27.93,10698614
1-Jun-16,27.74,27.98,27.72,27.95,10109870
31-May-16,27.78,27.95,27.72,27.95,17323584
27-May-16,27.71,27.95,27.68,27.83,7734349
26-May-16,27.76,27.90,27.73,27.84,5781706
25-May-16,27.84,27.91,27.78,27.82,7462522
24-May-16,27.73,27.89,27.65,27.87,8415319
23-May-16,27.73,27.91,27.69,27.70,10740181
20-May-16,27.72,27.82,27.64,27.81,8135136
19-May-16,27.72,27.75,27.55,27.65,8533598
18-May-16,27.66,27.77,27.62,27.73,10787718
17-May-16,27.73,27.97,27.58,27.66,19319417
16-May-16,27.36,27.85,27.36,27.78,19552958
13-May-16,27.02,27.44,27.00,27.37,16052704
12-May-16,27.22,27.32,26.95,27.04,11341971
11-May-16,26.98,27.32,26.75,27.14,24671731
10-May-16,26.90,27.09,26.82,27.07,13151842
9-May-16,26.53,26.99,26.53,26.86,16650407
6-May-16,26.25,26.52,26.17,26.44,13552297
5-May-16,26.22,26.35,26.19,26.27,7937001
4-May-16,26.13,26.38,26.08,26.19,9085136
3-May-16,26.35,26.39,26.15,26.16,11072015
2-May-16,26.14,26.49,26.00,26.45,8384948
29-Apr-16,26.15,26.19,25.84,26.11,11990612
28-Apr-16,26.32,26.52,26.12,26.19,14225545
27-Apr-16,26.45,26.51,26.28,26.47,11665837
26-Apr-16,26.50,26.61,26.43,26.48,5146458
25-Apr-16,26.49,26.57,26.42,26.50,5512019
22-Apr-16,26.47,26.67,26.40,26.57,9760995
21-Apr-16,26.34,26.47,26.25,26.44,8977577
20-Apr-16,26.07,26.48,26.06,26.37,15798057
19-Apr-16,25.44,25.77,25.44,25.55,9243266
18-Apr-16,25.44,25.67,25.44,25.54,11441264
15-Apr-16,25.64,25.76,25.53,25.55,12508303
14-Apr-16,25.70,25.72,25.56,25.63,11657160
