Date,Open,High,Low,Close,Volume
9-Dec-16,105.59,106.99,105.35,106.45,4049614
8-Dec-16,104.03,105.25,102.36,104.93,6189119
7-Dec-16,103.92,104.97,102.69,103.53,3777737
6-Dec-16,103.52,105.30,102.56,103.97,3539660
5-Dec-16,104.88,106.81,104.32,104.46,5883879
2-Dec-16,104.81,105.47,103.39,103.74,4078342
1-Dec-16,105.71,107.47,103.85,104.75,6505337
30-Nov-16,97.31,103.07,97.09,102.52,10120960
29-Nov-16,91.60,93.38,90.00,92.44,4010441
28-Nov-16,96.64,96.84,93.27,93.47,3031187
25-Nov-16,96.39,96.80,95.19,95.98,1518348
23-Nov-16,94.79,97.70,94.64,97.00,2680677
22-Nov-16,95.79,96.20,93.42,95.27,3867772
21-Nov-16,95.00,97.00,94.86,95.67,4642425
18-Nov-16,92.75,94.28,92.38,93.15,2755401
17-Nov-16,96.10,96.58,92.04,92.34,5875327
16-Nov-16,94.51,96.02,94.05,95.22,4103429
15-Nov-16,94.03,94.99,93.05,94.57,8288424
14-Nov-16,91.19,92.80,90.09,92.68,2467001
11-Nov-16,92.07,92.54,90.12,91.41,2340304
10-Nov-16,92.64,93.70,92.06,92.63,2983016
9-Nov-16,93.35,94.67,92.52,93.43,4685943
8-Nov-16,92.90,94.10,92.57,93.36,2382312
7-Nov-16,93.60,93.60,92.21,93.43,2988167
4-Nov-16,94.87,96.00,91.51,91.80,6775080
3-Nov-16,90.88,92.88,90.59,92.08,4157869
2-Nov-16,89.91,91.79,88.94,90.94,3302628
1-Nov-16,91.32,92.22,89.90,91.16,2496014
31-Oct-16,90.66,91.23,90.18,90.42,2406920
28-Oct-16,91.65,94.09,90.68,90.80,3269761
27-Oct-16,92.51,92.89,91.30,91.74,3581326
26-Oct-16,91.85,93.10,90.38,92.14,3286408
25-Oct-16,93.48,94.19,92.57,92.67,1429135
24-Oct-16,93.98,94.67,92.28,93.62,2568962
21-Oct-16,94.19,95.02,93.64,93.88,2729648
20-Oct-16,93.97,95.50,93.77,94.91,2472183
19-Oct-16,94.26,96.18,94.00,95.06,3163808
18-Oct-16,94.96,95.16,92.94,93.13,2735372
17-Oct-16,94.46,94.95,93.05,93.78,2100090
14-Oct-16,96.27,96.27,93.91,94.48,2526786
13-Oct-16,95.43,95.93,93.99,95.50,2252434
12-Oct-16,95.88,96.76,95.15,96.30,2415752
11-Oct-16,96.75,97.07,95.72,96.05,2099930
10-Oct-16,97.28,98.10,97.13,97.29,1963552
7-Oct-16,96.88,97.33,96.05,96.44,1742934
6-Oct-16,97.55,98.06,96.39,97.14,1790213
5-Oct-16,96.37,98.32,96.09,97.38,3284513
4-Oct-16,96.32,96.37,94.51,95.14,1724720
3-Oct-16,96.27,96.71,95.06,96.11,2318565
30-Sep-16,95.55,97.20,94.69,96.71,4006452
29-Sep-16,94.28,95.94,93.14,95.05,4486465
28-Sep-16,89.46,94.58,88.57,93.96,4533827
27-Sep-16,88.15,89.00,87.18,88.56,2939020
26-Sep-16,90.22,90.63,89.01,89.26,2131450
23-Sep-16,92.25,92.36,89.40,89.75,3679821
22-Sep-16,94.61,95.00,92.43,92.61,3047683
21-Sep-16,91.56,93.79,91.10,93.52,3189143
20-Sep-16,90.16,91.85,90.04,90.40,3050139
19-Sep-16,91.66,91.87,90.02,90.05,3739977
16-Sep-16,89.54,91.46,89.27,90.97,4559711
15-Sep-16,88.85,92.39,88.49,90.95,3946570
14-Sep-16,89.88,90.82,88.17,88.45,3673725
13-Sep-16,91.61,92.13,89.53,90.40,3985874
12-Sep-16,92.05,93.53,91.35,92.98,2498803
9-Sep-16,94.36,94.87,92.62,92.65,3013286
8-Sep-16,95.18,95.93,94.16,95.43,3697251
7-Sep-16,94.78,95.16,94.04,94.32,4271513
6-Sep-16,90.25,95.20,90.06,94.83,7421615
2-Sep-16,89.27,89.50,88.68,88.91,1938356
1-Sep-16,88.31,88.64,87.44,88.55,2420698
31-Aug-16,89.76,89.90,88.02,88.49,2709139
30-Aug-16,91.27,91.69,89.64,90.07,1618365
29-Aug-16,89.98,91.33,89.61,91.14,2226139
26-Aug-16,90.73,91.51,89.92,90.18,1641064
25-Aug-16,90.70,90.85,90.00,90.25,1929886
24-Aug-16,90.77,91.40,90.56,90.73,2329222
23-Aug-16,90.73,91.85,90.71,91.21,2986408
22-Aug-16,90.83,91.84,90.27,91.17,2276099
19-Aug-16,91.17,91.94,90.66,91.76,2338553
18-Aug-16,90.82,92.10,90.29,91.73,4122216
17-Aug-16,89.81,90.66,89.30,90.22,3160436
16-Aug-16,90.19,90.80,88.84,90.26,2463394
15-Aug-16,91.51,91.97,90.54,90.55,2794091
12-Aug-16,90.65,91.42,90.00,91.20,1912569
11-Aug-16,90.07,91.15,89.08,90.28,3445361
10-Aug-16,90.87,90.87,89.20,89.42,2664129
9-Aug-16,91.29,91.39,89.90,90.38,3064217
8-Aug-16,90.97,92.00,90.47,90.66,4506052
5-Aug-16,87.23,90.77,86.75,90.16,8928252
4-Aug-16,82.03,84.30,81.60,84.24,4243041
3-Aug-16,80.00,82.42,79.67,82.37,3036515
2-Aug-16,79.37,80.36,78.52,79.89,3039628
1-Aug-16,81.04,81.13,78.26,78.70,3591753
29-Jul-16,79.00,81.89,78.86,81.70,2886943
28-Jul-16,79.74,80.71,79.25,79.90,2537360
27-Jul-16,80.76,81.95,79.64,79.78,3450208
26-Jul-16,78.47,80.45,78.04,80.45,2547963
25-Jul-16,80.38,80.56,78.19,78.75,4280286
22-Jul-16,82.05,82.20,80.19,80.98,2620092
21-Jul-16,82.15,83.46,81.20,81.49,1859092
20-Jul-16,81.53,82.86,80.92,82.11,2156700
19-Jul-16,82.87,83.15,81.86,82.04,2173752
18-Jul-16,83.92,84.31,82.74,83.25,1864795
15-Jul-16,84.51,84.90,83.64,84.10,2473836
14-Jul-16,84.84,84.93,83.88,84.63,2018117
13-Jul-16,84.59,85.07,82.62,83.84,2811984
12-Jul-16,84.55,85.96,84.14,85.14,2860734
11-Jul-16,82.94,83.89,82.60,82.90,1689166
8-Jul-16,82.84,83.07,81.57,82.54,1980107
7-Jul-16,83.83,83.86,81.12,81.61,2145773
6-Jul-16,82.03,83.11,81.86,82.76,2207321
5-Jul-16,83.12,84.03,81.67,82.76,2704752
1-Jul-16,83.78,85.73,83.37,84.78,2675525
30-Jun-16,83.44,83.96,82.64,83.42,3364026
29-Jun-16,82.80,84.01,82.41,83.44,2870274
28-Jun-16,80.65,81.77,79.85,81.75,3105723
27-Jun-16,80.00,80.80,78.11,78.59,4272144
24-Jun-16,81.58,82.88,80.81,81.06,4942171
23-Jun-16,84.76,84.97,83.97,84.50,2413209
