Date,Open,High,Low,Close,Volume
9-Dec-16,74.34,75.74,74.28,74.70,1757049
8-Dec-16,73.72,74.61,73.02,74.39,1144258
7-Dec-16,72.53,73.56,72.30,73.33,1603993
6-Dec-16,72.51,73.45,72.37,72.42,1211591
5-Dec-16,72.26,74.22,72.03,72.83,2018246
2-Dec-16,71.80,72.18,70.52,71.18,1371760
1-Dec-16,71.63,73.47,71.22,71.97,1916173
30-Nov-16,74.07,74.60,69.64,70.08,3106166
29-Nov-16,68.66,71.46,68.00,70.97,1200811
28-Nov-16,70.98,72.48,70.11,70.20,1639790
25-Nov-16,70.81,71.33,69.89,70.14,459367
23-Nov-16,69.15,71.29,69.05,71.19,1227081
22-Nov-16,70.47,71.30,68.70,69.53,1202340
21-Nov-16,68.49,70.40,68.02,70.32,1675785
18-Nov-16,67.20,68.40,66.95,67.14,1304441
17-Nov-16,69.05,69.59,66.66,66.90,1008393
16-Nov-16,68.69,69.68,68.41,68.48,1177744
15-Nov-16,68.31,70.44,68.08,68.78,1376090
14-Nov-16,65.76,67.52,65.49,67.41,1659831
11-Nov-16,65.28,66.32,64.32,65.70,1968374
10-Nov-16,65.02,66.37,65.02,65.76,1138794
9-Nov-16,63.24,66.52,63.24,65.71,1262177
8-Nov-16,65.18,65.51,63.83,63.96,1426351
7-Nov-16,64.37,66.12,63.91,65.75,1448776
4-Nov-16,63.92,64.26,63.32,63.34,1154102
3-Nov-16,64.46,64.82,63.23,63.76,889813
2-Nov-16,64.37,65.12,63.31,64.14,1249348
1-Nov-16,66.63,67.10,64.15,65.03,1429192
31-Oct-16,66.17,66.61,65.52,66.00,1671844
28-Oct-16,67.75,69.13,65.85,66.01,2302236
27-Oct-16,64.30,68.52,64.20,66.42,2881461
26-Oct-16,64.10,64.49,63.11,64.36,2523990
25-Oct-16,65.01,66.55,64.62,64.92,2528207
24-Oct-16,64.33,64.58,63.73,64.46,1453466
21-Oct-16,65.00,65.42,64.11,64.35,1698671
20-Oct-16,65.24,65.98,64.64,65.33,1428096
19-Oct-16,65.87,66.32,64.98,65.98,1614562
18-Oct-16,66.85,66.85,64.62,65.61,1454040
17-Oct-16,67.30,67.58,65.30,65.92,1463673
14-Oct-16,70.58,70.97,67.44,67.46,1542303
13-Oct-16,69.65,70.93,68.39,70.37,2219860
12-Oct-16,70.80,71.13,70.09,70.35,917181
11-Oct-16,72.50,72.86,70.60,71.05,1341457
10-Oct-16,72.83,73.59,72.65,72.95,1059911
7-Oct-16,73.17,73.41,72.31,72.35,1260162
6-Oct-16,73.25,73.87,72.59,72.86,871482
5-Oct-16,72.76,73.08,72.10,72.87,1274749
4-Oct-16,73.71,73.95,72.18,72.43,1132751
3-Oct-16,72.89,74.11,72.50,73.65,1291451
30-Sep-16,70.04,72.98,69.67,72.62,1893595
29-Sep-16,70.14,70.46,69.00,69.55,2336998
28-Sep-16,69.11,71.39,68.26,70.28,3700825
27-Sep-16,71.99,71.99,68.13,68.64,4027996
26-Sep-16,73.73,74.06,72.61,72.68,1076283
