Date,Open,High,Low,Close,Volume
9-Dec-16,35.46,35.74,35.16,35.64,2507223
8-Dec-16,35.56,36.04,35.34,35.44,4423064
7-Dec-16,35.51,35.75,35.04,35.50,2366207
6-Dec-16,35.33,35.62,34.90,35.52,2296822
5-Dec-16,35.32,35.85,35.00,35.21,3202227
2-Dec-16,35.11,35.11,34.42,34.93,2063528
1-Dec-16,34.85,35.38,34.65,35.30,2826376
30-Nov-16,34.49,34.89,34.45,34.51,2948372
29-Nov-16,34.08,34.34,33.82,34.07,1784880
28-Nov-16,34.33,34.56,33.77,33.89,2303061
25-Nov-16,34.59,34.67,34.29,34.67,766416
23-Nov-16,34.39,34.66,33.95,34.57,2786940
22-Nov-16,33.77,34.21,33.68,34.20,2695457
21-Nov-16,34.16,34.32,33.76,33.79,2875194
18-Nov-16,34.19,34.46,34.00,34.06,2841974
17-Nov-16,33.26,34.14,32.97,34.11,3490925
16-Nov-16,33.13,33.59,33.02,33.27,2690232
15-Nov-16,32.84,33.56,32.51,33.56,2920806
14-Nov-16,32.74,33.37,32.44,33.08,5214399
11-Nov-16,31.45,32.49,31.33,32.45,5493963
10-Nov-16,30.63,31.80,30.39,31.58,5909131
9-Nov-16,28.94,30.48,28.94,30.01,7177432
8-Nov-16,28.49,28.71,28.19,28.65,2249158
7-Nov-16,28.37,28.60,28.27,28.53,3270280
4-Nov-16,27.58,28.04,27.34,27.63,2365830
3-Nov-16,27.59,27.98,27.47,27.58,2390511
2-Nov-16,28.01,28.11,27.44,27.51,3176261
1-Nov-16,28.24,28.49,27.75,28.10,2909425
31-Oct-16,28.46,28.54,28.13,28.16,2783194
28-Oct-16,28.62,28.78,28.04,28.31,3707527
27-Oct-16,28.62,28.82,28.28,28.52,5777865
26-Oct-16,28.01,28.43,27.87,28.38,2763357
25-Oct-16,28.88,28.97,28.07,28.09,3894161
24-Oct-16,29.60,29.63,28.75,28.86,7192209
21-Oct-16,29.73,29.97,28.69,29.50,8710612
20-Oct-16,28.48,28.62,28.02,28.20,4184634
19-Oct-16,28.54,28.71,28.34,28.48,2155685
18-Oct-16,28.56,28.69,28.32,28.42,2244930
17-Oct-16,28.49,28.61,27.99,28.13,3950764
14-Oct-16,28.51,28.79,28.38,28.51,2268074
13-Oct-16,28.14,28.23,27.74,28.12,4157832
12-Oct-16,28.91,28.98,28.64,28.71,2203552
11-Oct-16,29.30,29.53,28.73,28.93,4227743
10-Oct-16,29.85,29.92,29.38,29.41,2135467
7-Oct-16,29.63,29.69,29.28,29.56,2834058
6-Oct-16,29.75,29.83,29.44,29.65,1392621
5-Oct-16,29.24,29.81,29.22,29.65,3304992
4-Oct-16,29.11,29.42,29.02,29.10,2287686
3-Oct-16,28.94,29.20,28.80,28.98,3174833
30-Sep-16,28.63,29.36,28.63,29.12,5359564
29-Sep-16,28.38,28.90,28.11,28.42,4648690
28-Sep-16,28.35,28.43,27.98,28.40,1968210
27-Sep-16,27.72,28.15,27.53,28.10,2237760
26-Sep-16,27.95,28.26,27.80,27.89,2703661
23-Sep-16,28.42,28.70,28.26,28.40,2624051
22-Sep-16,28.90,28.93,28.42,28.50,5831180
21-Sep-16,28.35,28.65,28.05,28.50,4995446
20-Sep-16,28.70,28.74,28.09,28.19,3372840
19-Sep-16,28.82,28.94,28.29,28.49,3142767
16-Sep-16,28.00,28.41,27.89,28.13,4645168
15-Sep-16,27.28,28.59,27.15,28.32,6143165
14-Sep-16,26.34,27.61,26.34,27.24,8909667
13-Sep-16,26.89,27.22,26.56,26.74,3949701
12-Sep-16,26.14,27.43,25.96,27.20,8595461
9-Sep-16,26.46,26.86,26.36,26.55,4054548
8-Sep-16,26.09,26.62,26.09,26.49,2481486
7-Sep-16,25.96,26.13,25.80,26.11,1299940
6-Sep-16,26.47,26.50,25.86,25.96,1909343
2-Sep-16,26.17,26.52,26.03,26.48,2191255
1-Sep-16,26.52,26.61,25.84,26.16,2840163
31-Aug-16,26.48,26.61,26.04,26.38,2816626
30-Aug-16,26.13,26.46,26.00,26.44,1871187
29-Aug-16,26.04,26.50,26.01,26.14,3209402
26-Aug-16,25.68,26.13,25.59,26.05,4074984
25-Aug-16,25.14,25.52,25.14,25.51,2930603
24-Aug-16,25.18,25.37,25.12,25.17,1365588
23-Aug-16,25.21,25.29,25.10,25.21,1763097
22-Aug-16,25.11,25.19,24.96,25.04,1525226
19-Aug-16,24.95,25.34,24.85,25.23,1657393
18-Aug-16,25.12,25.36,25.02,25.05,1974568
17-Aug-16,25.41,25.45,25.17,25.23,1593505
16-Aug-16,25.33,25.54,25.32,25.39,1094133
15-Aug-16,25.26,25.55,25.26,25.47,1431009
12-Aug-16,25.50,25.50,25.00,25.22,1665952
11-Aug-16,25.56,25.58,25.34,25.53,1094516
10-Aug-16,25.80,25.95,25.36,25.44,1263007
9-Aug-16,25.94,26.17,25.79,25.79,2103768
8-Aug-16,25.97,26.18,25.90,25.95,2228854
5-Aug-16,25.50,26.00,25.42,25.93,2399592
4-Aug-16,24.99,25.13,24.76,25.10,1515971
3-Aug-16,24.50,25.19,24.49,24.99,2215003
2-Aug-16,24.88,25.09,24.35,24.52,2060247
1-Aug-16,25.13,25.19,24.86,24.90,2908160
29-Jul-16,24.96,25.14,24.70,25.08,2982555
28-Jul-16,25.13,25.26,24.92,25.13,2044080
27-Jul-16,25.27,25.50,25.13,25.24,2297477
26-Jul-16,24.93,25.29,24.90,25.24,2984748
25-Jul-16,25.69,25.80,24.95,24.99,4848182
22-Jul-16,25.75,26.09,25.46,25.81,3270148
21-Jul-16,25.42,25.49,25.12,25.22,2669485
20-Jul-16,25.17,25.46,24.84,25.46,2405816
19-Jul-16,24.68,25.11,24.68,24.92,1614555
18-Jul-16,25.03,25.15,24.82,24.86,2083016
15-Jul-16,25.12,25.19,24.73,24.90,3244754
14-Jul-16,25.18,25.31,24.77,24.85,2747844
13-Jul-16,24.72,24.77,24.25,24.46,2860042
12-Jul-16,24.09,24.65,23.85,24.55,3180985
11-Jul-16,23.80,24.11,23.49,23.64,3033515
8-Jul-16,23.47,23.74,23.16,23.59,3257246
7-Jul-16,22.59,23.14,22.59,23.05,3500873
6-Jul-16,22.13,22.60,21.94,22.57,2926481
5-Jul-16,22.78,22.78,22.13,22.33,3712707
1-Jul-16,23.34,23.55,22.94,23.06,2508685
30-Jun-16,23.06,23.49,22.83,23.49,3503575
29-Jun-16,22.62,23.08,22.33,23.05,3511830
28-Jun-16,22.30,22.41,21.84,22.24,3461832
27-Jun-16,22.70,22.98,21.52,21.83,6840571
24-Jun-16,23.90,24.26,22.99,23.11,8421598
23-Jun-16,25.67,26.19,25.46,26.19,2438755
22-Jun-16,25.04,25.35,25.04,25.25,2350463
