Date,Open,High,Low,Close,Volume
9-Dec-16,36.77,37.17,36.59,36.77,481254
8-Dec-16,36.30,36.67,36.24,36.65,638218
7-Dec-16,35.86,36.38,35.72,36.34,640303
6-Dec-16,35.72,35.93,35.59,35.92,528312
5-Dec-16,35.68,35.88,35.51,35.71,536079
2-Dec-16,35.63,35.70,35.27,35.53,669632
1-Dec-16,35.94,36.25,35.25,35.59,910364
30-Nov-16,35.17,36.11,35.13,35.91,1514535
29-Nov-16,35.39,35.52,35.24,35.25,604658
28-Nov-16,35.50,35.80,35.15,35.27,1050324
25-Nov-16,35.47,35.88,35.14,35.64,269974
23-Nov-16,35.36,35.65,35.14,35.52,554730
22-Nov-16,35.45,35.72,35.24,35.35,747145
21-Nov-16,35.15,35.46,34.96,35.45,764191
18-Nov-16,35.12,35.31,34.71,35.08,668165
17-Nov-16,35.30,35.65,35.00,35.37,829234
16-Nov-16,35.25,35.62,35.05,35.24,982712
15-Nov-16,35.47,35.47,34.75,35.28,1033570
14-Nov-16,35.00,35.97,34.96,35.47,1368477
11-Nov-16,34.01,34.92,33.69,34.69,902208
10-Nov-16,33.54,34.34,33.54,34.20,1098866
9-Nov-16,31.89,33.57,31.81,33.46,865244
8-Nov-16,32.20,32.53,31.92,32.33,338995
7-Nov-16,32.44,32.45,32.04,32.19,625981
4-Nov-16,32.14,32.32,31.88,31.93,661033
3-Nov-16,32.88,32.88,32.14,32.17,571067
2-Nov-16,32.70,33.01,32.66,32.72,980867
1-Nov-16,32.96,33.05,32.66,32.83,983914
31-Oct-16,32.85,33.43,32.75,32.92,1335364
28-Oct-16,32.50,33.28,32.08,32.69,1126604
27-Oct-16,32.60,32.70,32.06,32.41,1132040
26-Oct-16,30.00,32.75,29.03,32.33,1871397
25-Oct-16,29.24,29.75,29.02,29.37,922183
24-Oct-16,29.06,29.30,29.04,29.18,388408
21-Oct-16,29.12,29.13,28.90,28.97,577379
20-Oct-16,29.21,29.63,29.20,29.22,431279
19-Oct-16,29.46,29.53,29.28,29.30,419500
18-Oct-16,29.06,29.36,29.02,29.31,659179
17-Oct-16,28.28,29.09,28.26,28.98,956583
14-Oct-16,29.28,29.60,29.22,29.28,452335
13-Oct-16,29.31,29.38,29.10,29.24,574687
12-Oct-16,29.97,29.97,29.49,29.50,662093
11-Oct-16,30.41,30.41,29.70,29.87,414606
10-Oct-16,30.46,30.73,30.33,30.42,416289
7-Oct-16,30.90,31.29,30.23,30.37,651712
6-Oct-16,30.65,30.74,30.10,30.69,857688
5-Oct-16,30.77,31.02,30.67,30.84,733627
4-Oct-16,31.63,31.70,30.71,30.79,671131
3-Oct-16,31.41,31.70,31.36,31.59,809626
30-Sep-16,31.43,31.60,31.18,31.42,694019
29-Sep-16,31.73,31.84,31.23,31.31,355437
28-Sep-16,31.71,31.91,31.54,31.70,396918
27-Sep-16,31.41,31.79,31.36,31.78,361527
26-Sep-16,31.43,31.60,31.36,31.43,440108
23-Sep-16,31.42,31.59,31.36,31.55,450176
22-Sep-16,31.67,31.72,31.48,31.51,541963
21-Sep-16,31.23,31.56,31.17,31.46,419521
20-Sep-16,31.41,31.48,31.00,31.14,444607
19-Sep-16,31.17,31.37,31.10,31.33,758360
16-Sep-16,30.88,31.17,30.63,31.00,1098444
15-Sep-16,30.32,30.98,30.32,30.96,779586
14-Sep-16,30.94,30.94,30.39,30.46,1137928
