Date,Open,High,Low,Close,Volume
9-Dec-16,57.50,57.60,56.52,57.14,1985693
8-Dec-16,54.88,56.64,54.88,56.00,2982583
7-Dec-16,53.99,54.74,53.91,54.67,1364566
6-Dec-16,53.50,54.11,53.18,53.89,1269000
5-Dec-16,53.99,54.16,53.33,53.58,1289046
2-Dec-16,53.40,53.69,52.72,53.44,1340828
1-Dec-16,54.17,54.61,53.33,53.39,2039325
30-Nov-16,53.67,54.45,53.37,53.51,2010072
29-Nov-16,53.83,54.34,52.76,52.77,1616867
28-Nov-16,54.68,54.86,53.65,54.06,1968834
25-Nov-16,54.50,54.90,54.12,54.82,1148022
23-Nov-16,52.47,54.92,52.19,54.22,2543176
22-Nov-16,52.53,52.98,52.19,52.80,1534661
21-Nov-16,51.59,52.55,51.47,52.25,1368585
18-Nov-16,51.40,51.51,51.12,51.34,933296
17-Nov-16,51.11,51.50,50.72,51.28,1354008
16-Nov-16,51.48,51.67,50.55,50.80,2593368
15-Nov-16,51.52,51.93,50.83,51.92,2407500
14-Nov-16,49.40,51.55,49.21,51.51,3605378
11-Nov-16,50.30,50.77,49.02,49.13,3580158
10-Nov-16,49.50,50.79,49.50,50.40,2830097
9-Nov-16,46.39,51.74,46.25,49.11,4687768
8-Nov-16,44.35,44.82,44.17,44.58,2448558
7-Nov-16,45.35,45.50,44.55,44.86,2812105
4-Nov-16,44.18,45.80,44.05,44.80,11166551
3-Nov-16,51.60,52.10,50.83,51.79,1989230
2-Nov-16,51.58,52.42,51.12,51.49,1794089
1-Nov-16,52.21,52.56,51.25,51.89,1760060
31-Oct-16,52.21,52.39,51.47,51.99,1165035
28-Oct-16,50.85,52.63,50.85,52.11,1880879
27-Oct-16,50.82,50.85,50.32,50.67,1058098
26-Oct-16,49.35,50.75,48.95,50.65,978995
25-Oct-16,49.70,49.89,49.46,49.77,1146822
24-Oct-16,49.92,50.08,49.53,49.86,610457
21-Oct-16,48.80,49.59,48.57,49.52,814870
20-Oct-16,49.77,49.84,49.32,49.35,856848
19-Oct-16,50.75,50.78,50.01,50.07,1078009
18-Oct-16,50.41,52.00,49.83,50.53,1206876
17-Oct-16,49.35,50.05,49.26,49.76,1342213
14-Oct-16,50.05,50.51,49.40,49.40,1841606
13-Oct-16,49.86,50.55,49.38,50.32,1275743
12-Oct-16,49.92,50.57,49.59,50.52,1723759
11-Oct-16,50.72,50.99,49.61,50.00,1407607
10-Oct-16,51.35,51.51,50.72,51.17,836034
7-Oct-16,51.23,51.41,50.56,50.67,1517848
6-Oct-16,51.22,51.54,51.01,51.35,886452
5-Oct-16,50.85,51.42,50.67,51.33,1033727
4-Oct-16,51.54,51.54,50.22,50.35,1204265
3-Oct-16,51.15,51.15,50.28,50.48,796078
30-Sep-16,51.00,51.56,50.75,51.32,920453
29-Sep-16,50.79,51.49,50.54,50.69,856032
28-Sep-16,49.27,50.59,49.07,50.55,926643
27-Sep-16,49.04,49.26,48.86,49.25,604109
26-Sep-16,49.01,49.53,48.88,49.14,503920
23-Sep-16,50.11,50.28,49.09,49.18,629985
22-Sep-16,49.83,50.25,49.66,50.20,993078
21-Sep-16,48.92,49.42,48.50,49.36,1117924
20-Sep-16,49.71,49.80,48.52,48.54,1370983
19-Sep-16,49.02,49.56,48.91,49.47,1005137
16-Sep-16,48.84,49.01,48.49,48.62,1270406
15-Sep-16,49.05,49.59,48.90,49.33,811285
14-Sep-16,49.61,49.82,48.76,49.00,1081836
13-Sep-16,49.52,50.08,49.30,49.58,1123806
12-Sep-16,49.02,50.58,48.97,50.25,1252370
9-Sep-16,50.69,50.69,49.32,49.40,1545096
8-Sep-16,51.59,51.93,51.06,51.08,1408654
7-Sep-16,51.17,51.83,51.08,51.58,791462
6-Sep-16,52.12,52.27,51.04,51.23,1283410
2-Sep-16,52.05,52.19,51.78,52.14,616211
1-Sep-16,51.90,52.43,50.98,51.53,899308
31-Aug-16,52.15,52.35,51.38,51.90,1002334
30-Aug-16,53.01,53.26,52.48,52.59,650568
29-Aug-16,52.85,53.37,52.78,53.08,671142
26-Aug-16,52.99,53.71,52.67,52.94,775287
25-Aug-16,52.80,53.04,52.68,52.88,793234
24-Aug-16,53.17,53.48,52.86,52.98,697427
23-Aug-16,52.80,53.52,52.70,53.30,953489
22-Aug-16,52.34,52.45,51.96,52.37,662790
19-Aug-16,52.18,52.86,51.98,52.55,1142374
18-Aug-16,51.98,52.74,51.80,52.56,941750
17-Aug-16,51.66,51.96,51.24,51.89,1440755
16-Aug-16,51.99,52.02,51.25,51.66,1269049
15-Aug-16,51.58,52.43,51.43,52.02,662796
12-Aug-16,52.01,52.11,51.11,51.41,765600
11-Aug-16,51.95,52.38,51.82,52.02,993724
10-Aug-16,52.18,52.50,51.76,51.86,1271777
9-Aug-16,51.69,52.36,51.42,51.99,1105058
8-Aug-16,51.97,52.71,51.44,51.54,1329968
5-Aug-16,50.49,52.04,50.09,51.94,2665561
4-Aug-16,52.72,53.44,52.44,52.94,1025504
3-Aug-16,52.75,52.98,52.35,52.89,777902
2-Aug-16,52.89,52.91,52.17,52.84,1128595
1-Aug-16,53.52,53.75,52.71,53.04,1466568
29-Jul-16,53.55,53.66,52.63,53.52,1136987
28-Jul-16,53.72,53.99,53.32,53.70,910425
27-Jul-16,53.65,54.45,53.58,53.97,1296627
26-Jul-16,52.81,53.56,52.81,53.53,606148
25-Jul-16,52.27,52.80,52.04,52.73,819602
22-Jul-16,53.03,53.18,52.18,52.54,955153
21-Jul-16,53.38,54.20,53.12,53.25,744856
20-Jul-16,52.84,53.56,52.40,53.44,672225
19-Jul-16,52.91,53.05,52.70,52.90,788118
18-Jul-16,52.85,53.10,52.59,52.99,918298
15-Jul-16,53.40,53.40,52.94,53.04,806600
14-Jul-16,53.58,53.83,53.18,53.20,684854
13-Jul-16,53.50,53.58,52.43,52.88,744305
12-Jul-16,52.62,53.25,52.45,53.19,1191767
11-Jul-16,51.97,52.57,51.97,52.04,685973
8-Jul-16,50.78,51.70,50.78,51.57,824499
7-Jul-16,49.76,50.52,49.64,50.05,1090897
6-Jul-16,48.33,49.64,48.27,49.50,1291966
5-Jul-16,48.77,48.95,47.91,48.77,1589147
1-Jul-16,49.33,50.29,48.88,49.24,1196209
30-Jun-16,48.74,49.30,48.16,49.28,1468477
29-Jun-16,47.70,48.92,47.10,48.55,3125551
