Date,Open,High,Low,Close,Volume
9-Dec-16,51.12,51.73,50.95,51.72,819309
8-Dec-16,51.28,51.46,50.53,51.03,875553
7-Dec-16,49.70,51.26,49.70,51.06,1819104
6-Dec-16,48.58,49.78,48.42,49.75,2116990
5-Dec-16,50.00,50.00,48.80,49.00,1362123
2-Dec-16,49.89,49.93,49.00,49.42,1811339
1-Dec-16,48.13,50.77,47.81,49.85,3446256
30-Nov-16,45.86,48.07,45.76,47.45,1736633
29-Nov-16,46.05,46.05,44.89,45.04,1031145
28-Nov-16,46.74,46.85,46.37,46.48,1079321
25-Nov-16,46.79,46.89,46.51,46.89,397807
23-Nov-16,46.61,47.14,46.52,46.84,1326871
22-Nov-16,46.73,46.95,46.48,46.78,844610
21-Nov-16,46.37,47.04,46.35,46.60,859229
18-Nov-16,45.67,46.09,45.60,45.98,1314189
17-Nov-16,45.85,47.02,45.55,45.74,943472
16-Nov-16,45.37,45.82,45.04,45.64,1258146
15-Nov-16,45.66,45.80,45.02,45.62,1288672
14-Nov-16,46.14,47.00,45.23,45.67,1584938
11-Nov-16,45.86,46.63,45.28,45.83,1595585
10-Nov-16,44.60,46.04,44.59,45.94,1827779
9-Nov-16,41.63,44.55,41.63,44.19,1725041
8-Nov-16,41.90,42.29,41.53,41.86,1486738
7-Nov-16,42.24,42.58,41.65,42.04,1211883
4-Nov-16,41.63,41.92,41.03,41.35,1435736
3-Nov-16,41.76,41.96,41.35,41.68,926670
2-Nov-16,41.84,41.98,41.39,41.59,1732112
1-Nov-16,42.61,42.61,41.53,42.11,1667819
31-Oct-16,42.43,43.05,42.17,42.35,1613316
28-Oct-16,39.37,42.98,39.13,42.21,3464426
27-Oct-16,44.10,44.13,43.31,43.51,1662555
26-Oct-16,42.91,44.22,42.90,43.76,1167896
25-Oct-16,43.46,43.47,42.86,43.19,1293988
24-Oct-16,43.83,44.12,43.29,43.47,839726
21-Oct-16,43.10,43.88,42.66,43.60,1013225
20-Oct-16,44.08,44.79,43.42,43.73,1359258
19-Oct-16,43.19,45.04,42.97,44.45,2442316
18-Oct-16,42.98,43.29,42.41,42.93,1953319
17-Oct-16,43.48,43.56,43.07,43.11,1207508
14-Oct-16,44.05,44.22,43.02,43.39,1837612
13-Oct-16,43.99,44.01,43.36,43.69,1958075
12-Oct-16,44.86,45.12,44.54,44.57,946614
11-Oct-16,46.20,46.20,44.80,45.00,1137374
10-Oct-16,47.00,47.00,46.10,46.30,942077
7-Oct-16,47.78,47.78,46.42,46.75,725959
6-Oct-16,48.15,48.15,47.43,47.88,857857
5-Oct-16,48.20,48.81,48.10,48.24,1466314
4-Oct-16,48.75,48.75,47.50,47.72,746731
3-Oct-16,47.96,48.57,47.67,48.19,909157
30-Sep-16,47.64,48.49,47.58,48.24,1667957
29-Sep-16,47.17,47.92,46.98,47.33,1841815
28-Sep-16,45.84,47.26,45.75,47.20,1023026
27-Sep-16,45.00,45.88,44.73,45.82,1371131
26-Sep-16,46.17,46.17,45.41,45.45,1158648
23-Sep-16,47.80,47.87,46.16,46.18,1308226
22-Sep-16,47.74,48.27,47.69,48.17,440163
21-Sep-16,46.69,47.19,46.50,47.12,756301
20-Sep-16,47.29,47.60,46.43,46.44,688214
19-Sep-16,47.00,47.54,46.97,47.27,782172
16-Sep-16,46.30,46.74,45.88,46.66,1047190
15-Sep-16,46.11,46.93,45.97,46.77,501016
14-Sep-16,45.98,46.34,45.81,46.08,549716
13-Sep-16,46.42,46.94,45.89,46.08,497310
12-Sep-16,45.61,47.37,45.61,47.20,726514
9-Sep-16,47.40,47.91,46.24,46.24,1116879
8-Sep-16,47.91,48.26,47.50,48.08,574382
7-Sep-16,47.92,48.02,47.67,47.98,514088
6-Sep-16,48.82,49.00,47.97,48.09,523824
2-Sep-16,48.50,48.96,48.27,48.77,412948
1-Sep-16,48.31,48.53,47.43,48.07,588883
31-Aug-16,48.80,48.84,47.88,48.37,689233
30-Aug-16,49.41,49.66,48.93,49.03,450908
29-Aug-16,49.03,49.66,48.67,49.42,532366
26-Aug-16,48.79,49.42,48.61,49.13,858608
25-Aug-16,48.56,48.76,48.31,48.65,636161
24-Aug-16,48.86,49.26,48.57,48.69,490688
23-Aug-16,49.17,49.55,49.00,49.24,692233
22-Aug-16,48.96,49.03,48.44,48.90,639404
19-Aug-16,48.64,49.64,48.63,49.26,1354075
18-Aug-16,48.68,48.85,48.44,48.85,548659
17-Aug-16,48.45,48.65,48.11,48.60,1008585
16-Aug-16,48.09,48.42,47.81,48.35,974057
15-Aug-16,47.67,48.38,47.67,48.27,611824
12-Aug-16,47.73,47.74,47.25,47.49,567900
11-Aug-16,47.26,48.18,47.02,47.82,985944
10-Aug-16,47.30,47.42,46.71,46.95,690918
9-Aug-16,47.41,47.74,46.90,47.15,749814
8-Aug-16,47.17,47.67,47.13,47.48,1073319
5-Aug-16,46.67,46.99,46.43,46.89,709717
4-Aug-16,46.33,47.04,46.33,46.58,940088
3-Aug-16,45.49,46.76,45.44,46.39,1265487
2-Aug-16,45.92,45.99,45.27,45.63,2114460
1-Aug-16,47.58,47.65,45.67,45.96,1951581
29-Jul-16,49.13,49.15,47.18,47.85,2693335
28-Jul-16,49.30,49.61,48.88,49.40,1820948
27-Jul-16,48.69,49.48,48.69,49.45,1747701
26-Jul-16,47.31,48.67,47.31,48.60,915978
25-Jul-16,47.24,47.47,46.80,47.36,833601
22-Jul-16,47.40,47.72,46.98,47.68,864759
21-Jul-16,47.76,48.44,47.35,47.47,1467214
20-Jul-16,47.46,48.20,46.78,47.93,1498650
19-Jul-16,47.99,48.07,47.39,47.49,922662
18-Jul-16,48.39,48.59,48.11,48.31,1271170
15-Jul-16,48.66,48.91,48.51,48.56,1287445
14-Jul-16,48.34,48.76,48.23,48.60,4037857
13-Jul-16,47.85,48.13,47.41,47.71,2258586
12-Jul-16,46.79,47.92,46.78,47.82,1960594
11-Jul-16,46.08,46.52,45.85,46.17,1301999
8-Jul-16,45.57,45.96,45.44,45.79,2985534
7-Jul-16,45.12,45.80,44.75,44.95,1324253
6-Jul-16,43.89,44.90,43.54,44.87,1833423
5-Jul-16,45.02,45.03,43.92,44.17,1445451
1-Jul-16,45.09,45.79,45.04,45.45,1329828
30-Jun-16,44.50,45.17,44.06,45.17,1381732
29-Jun-16,44.15,44.66,43.79,44.39,1731373
28-Jun-16,43.77,44.13,42.86,43.52,2102860
27-Jun-16,44.61,44.88,42.85,43.00,2250522
24-Jun-16,47.97,48.33,45.32,45.50,2989712
23-Jun-16,50.41,50.66,50.10,50.28,1915490
22-Jun-16,50.02,50.13,49.48,49.51,1279681
21-Jun-16,50.31,50.39,49.57,49.77,1010880
20-Jun-16,50.79,50.96,50.39,50.42,1322831
17-Jun-16,49.68,50.43,49.33,50.00,952767
16-Jun-16,49.51,49.63,48.44,49.41,960413
15-Jun-16,50.36,50.62,49.84,49.92,1027833
14-Jun-16,49.82,50.49,49.51,50.21,1114307
13-Jun-16,50.57,50.80,49.93,49.95,922319
10-Jun-16,51.61,51.61,50.65,50.83,758397
9-Jun-16,51.82,52.29,51.61,52.27,809124
8-Jun-16,52.14,52.50,51.83,52.32,1242071
7-Jun-16,51.09,52.07,50.98,51.77,1479811
6-Jun-16,49.48,51.25,49.25,51.07,1704239
3-Jun-16,49.00,49.22,48.42,49.16,858957
2-Jun-16,47.95,48.98,47.93,48.98,946836
1-Jun-16,47.73,48.25,47.31,48.16,806639
31-May-16,48.18,48.64,47.76,48.13,973086
27-May-16,48.42,48.53,47.82,48.14,706042
26-May-16,48.69,49.00,48.36,48.42,1038125
25-May-16,47.07,48.67,46.86,48.54,1696472
24-May-16,46.21,46.96,46.06,46.80,887912
23-May-16,45.67,46.06,45.48,45.91,584032
20-May-16,45.34,45.87,45.31,45.82,859758
19-May-16,45.47,45.52,44.53,44.91,668728
18-May-16,45.60,46.10,45.29,45.58,1203514
17-May-16,45.71,46.33,45.56,45.89,910198
16-May-16,45.78,46.33,45.65,45.77,989039
