Date,Open,High,Low,Close,Volume
9-Dec-16,24.82,24.92,24.42,24.56,11681853
8-Dec-16,24.88,25.34,24.84,24.88,11903525
7-Dec-16,24.00,24.61,23.97,24.58,7055927
6-Dec-16,23.60,24.02,23.59,23.99,5312896
5-Dec-16,23.67,23.96,23.61,23.63,8595922
2-Dec-16,23.54,23.73,23.52,23.55,5690894
1-Dec-16,24.03,24.13,23.48,23.53,8877076
30-Nov-16,24.22,24.46,23.98,24.03,7854198
29-Nov-16,24.20,24.40,24.16,24.17,5566123
28-Nov-16,24.25,24.42,24.18,24.20,4544325
25-Nov-16,24.18,24.36,24.16,24.29,2605050
23-Nov-16,23.96,24.22,23.93,24.19,4577347
22-Nov-16,23.98,24.06,23.88,24.00,5668964
21-Nov-16,23.90,24.00,23.77,23.87,5198690
18-Nov-16,23.82,23.89,23.69,23.83,4752072
17-Nov-16,23.74,23.88,23.74,23.82,4409222
16-Nov-16,23.55,23.90,23.52,23.67,6311515
15-Nov-16,23.30,23.70,23.30,23.65,6632742
14-Nov-16,23.48,23.65,23.40,23.49,7637193
11-Nov-16,23.12,23.47,23.11,23.40,9153718
10-Nov-16,23.31,23.58,23.17,23.19,13188903
9-Nov-16,22.77,23.32,22.54,23.21,10550748
8-Nov-16,22.98,23.28,22.95,23.16,6608788
7-Nov-16,22.80,23.09,22.76,22.98,11174170
4-Nov-16,22.35,22.62,22.33,22.40,21053128
3-Nov-16,22.48,22.55,22.23,22.33,10994661
2-Nov-16,22.51,22.68,22.30,22.46,11589889
1-Nov-16,22.82,22.89,22.39,22.58,8994615
31-Oct-16,22.73,22.75,22.53,22.71,10242788
28-Oct-16,22.87,23.12,22.66,22.68,14260447
27-Oct-16,23.10,23.15,22.88,22.92,8345440
26-Oct-16,22.91,23.24,22.88,23.02,12335666
25-Oct-16,23.43,23.43,22.73,22.97,17599143
24-Oct-16,23.95,24.14,23.73,23.89,9829373
21-Oct-16,23.63,23.85,23.51,23.82,5938610
20-Oct-16,23.72,23.87,23.69,23.80,4177366
19-Oct-16,23.63,23.93,23.56,23.76,6462550
18-Oct-16,23.65,23.83,23.59,23.61,8054864
17-Oct-16,23.41,23.58,23.40,23.43,5821220
14-Oct-16,23.40,23.61,23.37,23.39,6775478
13-Oct-16,23.20,23.28,23.06,23.20,8697865
12-Oct-16,23.58,23.61,23.25,23.41,9556058
11-Oct-16,23.72,23.80,23.56,23.64,5939106
10-Oct-16,23.86,23.96,23.78,23.81,6739830
7-Oct-16,23.86,23.95,23.66,23.78,8529596
