Date,Open,High,Low,Close,Volume
9-Dec-16,98.59,99.34,97.90,98.63,747859
8-Dec-16,99.51,99.79,98.34,98.85,617097
7-Dec-16,97.11,99.87,97.01,99.81,578544
6-Dec-16,97.38,97.97,96.62,97.49,611575
5-Dec-16,96.25,97.81,96.23,97.35,587354
2-Dec-16,96.30,97.01,95.52,95.75,506354
1-Dec-16,96.16,97.58,96.06,96.22,709134
30-Nov-16,96.45,97.34,96.21,96.23,1032936
29-Nov-16,97.05,97.32,96.29,96.55,501659
28-Nov-16,97.59,97.95,96.59,97.05,614455
25-Nov-16,97.41,98.05,96.89,97.90,227152
23-Nov-16,96.89,97.86,96.87,97.31,519982
22-Nov-16,96.36,97.34,95.98,97.17,502375
21-Nov-16,94.69,96.29,94.57,95.96,645298
18-Nov-16,94.50,94.87,93.98,94.55,1038931
17-Nov-16,95.44,95.44,94.23,94.60,873470
16-Nov-16,95.75,96.40,94.75,95.35,588220
15-Nov-16,96.36,97.32,95.05,96.08,844658
14-Nov-16,94.78,96.49,94.66,96.15,1108346
11-Nov-16,93.13,94.78,93.13,94.62,822189
10-Nov-16,90.59,94.57,90.59,93.50,1935038
9-Nov-16,87.16,90.26,86.61,90.18,1001240
8-Nov-16,88.50,88.93,88.04,88.71,631228
7-Nov-16,88.98,88.98,87.96,88.63,865374
4-Nov-16,88.18,88.70,87.58,87.67,659861
3-Nov-16,88.63,88.88,87.68,87.91,672952
2-Nov-16,88.87,89.43,88.14,88.44,755327
1-Nov-16,90.87,90.87,88.50,89.00,754954
31-Oct-16,90.09,90.71,89.60,90.59,751761
28-Oct-16,89.34,90.71,89.28,89.84,598729
27-Oct-16,91.38,91.38,89.11,89.15,904933
26-Oct-16,90.30,91.17,90.19,91.06,568277
25-Oct-16,90.51,90.96,90.25,90.49,833523
24-Oct-16,91.15,91.86,90.75,91.02,784133
21-Oct-16,88.86,90.77,88.51,90.59,1178741
20-Oct-16,91.80,91.87,88.81,89.51,1405072
19-Oct-16,92.70,94.55,90.58,92.12,2775096
18-Oct-16,98.59,98.96,96.27,96.35,839791
17-Oct-16,97.75,98.25,97.43,97.83,584803
14-Oct-16,98.14,98.66,97.84,98.01,352034
13-Oct-16,97.37,97.87,96.62,97.70,450994
12-Oct-16,98.00,98.65,97.25,98.09,312239
11-Oct-16,98.08,98.26,97.19,97.29,440813
10-Oct-16,98.74,98.99,98.30,98.42,242104
7-Oct-16,99.94,99.94,97.86,98.27,433508
6-Oct-16,98.54,99.42,97.96,99.22,541912
5-Oct-16,98.92,99.27,98.58,98.91,652430
4-Oct-16,99.73,100.34,98.05,98.39,482095
3-Oct-16,99.57,100.15,99.05,99.83,703595
30-Sep-16,100.01,100.84,100.00,100.45,655921
29-Sep-16,100.60,101.01,99.53,99.58,538293
28-Sep-16,100.32,100.92,99.96,100.74,540141
27-Sep-16,98.58,100.44,98.58,100.41,642708
26-Sep-16,98.02,98.82,97.87,98.51,497388
23-Sep-16,100.87,101.06,98.54,98.62,762141
22-Sep-16,100.27,101.88,100.14,101.47,824650
21-Sep-16,98.88,100.00,98.84,99.93,420954
20-Sep-16,99.14,99.61,98.58,98.75,496732
19-Sep-16,97.40,99.26,96.96,98.62,604601
16-Sep-16,96.54,97.53,95.96,97.15,786273
15-Sep-16,96.41,97.07,96.23,96.89,1028750
14-Sep-16,97.31,97.79,96.53,96.74,716234
13-Sep-16,97.87,98.41,96.96,97.10,922402
12-Sep-16,96.39,98.68,96.06,98.56,643303
9-Sep-16,98.98,99.01,96.98,96.99,838687
8-Sep-16,100.18,100.23,99.60,99.72,523481
7-Sep-16,101.06,101.12,99.78,100.30,884096
6-Sep-16,103.33,103.67,101.45,101.66,716565
2-Sep-16,104.04,104.04,103.06,103.41,454770
1-Sep-16,103.00,103.24,102.22,103.01,529797
31-Aug-16,103.42,103.42,102.36,102.82,793397
30-Aug-16,105.10,105.14,103.54,103.70,605696
29-Aug-16,103.39,105.18,103.32,105.09,458249
26-Aug-16,104.14,104.81,102.86,103.32,502140
25-Aug-16,104.05,104.56,103.72,104.17,537505
24-Aug-16,103.96,104.65,103.65,104.44,510764
23-Aug-16,103.00,104.12,102.84,104.03,663956
22-Aug-16,103.52,103.82,102.74,102.97,523230
19-Aug-16,103.02,104.01,102.77,103.80,635835
18-Aug-16,102.38,103.37,102.27,103.36,414969
17-Aug-16,101.82,102.62,101.71,102.49,401072
16-Aug-16,102.68,102.85,101.73,102.05,395678
15-Aug-16,101.49,102.73,101.44,102.52,398293
12-Aug-16,101.89,101.89,101.15,101.50,415277
11-Aug-16,101.65,102.41,101.39,102.00,654347
10-Aug-16,100.95,101.32,100.63,101.21,672611
9-Aug-16,101.19,101.52,100.63,100.75,369563
8-Aug-16,102.16,102.38,101.32,101.46,716271
5-Aug-16,101.22,101.99,101.10,101.70,419832
4-Aug-16,99.03,101.28,99.03,100.80,502924
3-Aug-16,100.46,100.73,99.75,100.73,457232
2-Aug-16,101.80,102.02,100.45,100.57,474726
1-Aug-16,102.11,102.13,101.12,101.98,563283
29-Jul-16,102.29,102.60,101.48,102.24,816020
28-Jul-16,101.38,102.84,100.97,102.64,810452
27-Jul-16,101.17,101.95,100.79,101.73,732305
26-Jul-16,100.18,101.14,100.18,101.01,587151
25-Jul-16,99.71,100.47,99.49,100.47,529416
22-Jul-16,98.68,100.02,98.42,99.90,564395
21-Jul-16,100.00,100.02,98.57,98.78,635937
20-Jul-16,99.78,100.75,99.46,100.01,796073
19-Jul-16,100.00,101.32,98.33,99.74,1635169
18-Jul-16,102.84,102.94,101.75,101.98,906709
15-Jul-16,104.05,104.05,102.59,102.96,670025
14-Jul-16,104.51,104.76,103.53,103.83,702732
13-Jul-16,105.56,105.56,104.00,104.36,771207
12-Jul-16,105.39,105.97,104.81,105.18,670951
11-Jul-16,105.47,105.90,105.03,105.24,465844
8-Jul-16,104.03,105.02,103.41,104.97,489651
7-Jul-16,103.46,103.97,102.22,102.94,764028
6-Jul-16,101.63,103.99,101.21,103.26,1306955
5-Jul-16,101.92,102.08,100.43,101.20,906211
1-Jul-16,100.99,102.47,100.71,102.14,762250
30-Jun-16,99.70,101.28,99.13,101.25,1009327
29-Jun-16,98.25,99.38,98.00,99.18,519872
28-Jun-16,96.00,97.72,95.65,97.41,763343
27-Jun-16,96.12,96.15,94.10,95.31,683580
24-Jun-16,96.16,97.59,96.16,96.85,1188991
23-Jun-16,99.00,99.43,98.55,99.41,339485
22-Jun-16,97.83,98.35,97.71,97.95,487966
21-Jun-16,97.82,97.83,97.26,97.55,384778
20-Jun-16,97.90,98.35,97.53,97.61,399268
17-Jun-16,96.64,97.25,96.31,96.91,725607
16-Jun-16,95.58,96.85,95.27,96.59,438678
15-Jun-16,95.70,96.79,95.64,95.96,437817
14-Jun-16,94.73,95.70,94.73,95.58,527983
13-Jun-16,96.00,96.40,95.02,95.12,491726
10-Jun-16,96.74,96.92,96.01,96.50,331346
9-Jun-16,97.12,97.61,96.52,97.23,501480
8-Jun-16,97.50,97.91,97.40,97.69,418070
7-Jun-16,97.29,97.78,97.10,97.47,349722
6-Jun-16,96.07,97.28,95.66,96.97,615979
3-Jun-16,96.46,96.50,95.63,96.16,582776
2-Jun-16,95.82,97.01,95.45,96.93,677351
1-Jun-16,96.06,96.46,95.75,96.31,566453
31-May-16,97.46,97.46,96.17,96.92,743752
27-May-16,96.59,97.06,96.57,97.06,401046
26-May-16,96.21,96.93,95.88,96.32,452241
25-May-16,95.36,96.65,95.18,96.29,546423
24-May-16,94.08,95.55,93.98,95.31,555159
23-May-16,93.99,94.04,93.20,93.72,535752
20-May-16,93.99,94.94,93.92,94.14,696883
19-May-16,92.93,93.97,92.25,93.48,700656
18-May-16,94.01,94.75,92.91,94.18,818189
17-May-16,96.63,97.06,93.98,94.33,1111229
16-May-16,96.31,97.35,96.07,96.94,722647
13-May-16,96.94,97.55,95.86,96.07,452201
12-May-16,96.32,97.26,96.31,97.11,566865
11-May-16,97.52,98.07,96.02,96.12,589340
10-May-16,97.25,98.07,97.25,97.95,422603
9-May-16,96.60,97.40,96.51,97.01,541279
6-May-16,95.91,97.03,95.42,97.00,378701
5-May-16,96.36,97.27,95.85,95.96,631246
4-May-16,96.06,96.30,95.40,96.07,638914
3-May-16,95.94,96.58,95.70,96.39,759364
2-May-16,96.16,96.88,96.03,96.76,477853
29-Apr-16,96.91,96.91,95.58,95.97,948100
28-Apr-16,97.60,98.21,97.11,97.34,483244
27-Apr-16,98.05,98.46,97.47,98.23,588600
26-Apr-16,96.93,98.37,96.93,98.22,502323
25-Apr-16,96.75,97.05,96.22,96.90,386382
22-Apr-16,96.21,97.41,96.20,96.78,735490
21-Apr-16,96.73,97.02,95.78,96.19,727971
20-Apr-16,96.81,97.21,95.58,96.49,1002826
19-Apr-16,100.00,100.00,96.54,96.88,1650400
18-Apr-16,98.95,99.83,98.73,99.83,1011230
15-Apr-16,98.80,99.80,98.59,99.40,760017
14-Apr-16,99.29,99.50,98.10,98.42,811343
13-Apr-16,98.11,99.44,98.01,99.33,628509
12-Apr-16,97.00,97.80,95.97,97.59,914853
11-Apr-16,97.54,98.03,96.79,96.79,551294
8-Apr-16,97.64,97.77,96.85,97.19,529599
7-Apr-16,97.83,98.10,96.38,96.91,518315
6-Apr-16,97.84,98.11,96.53,98.04,930800
5-Apr-16,98.53,98.88,97.34,97.72,1180407
4-Apr-16,98.93,99.04,97.77,98.31,855049
1-Apr-16,98.63,99.79,98.43,99.72,654524
31-Mar-16,99.12,99.59,98.51,99.36,681040
30-Mar-16,99.08,99.40,98.54,99.12,398048
29-Mar-16,97.86,98.78,97.54,98.61,677839
28-Mar-16,98.05,98.36,97.66,97.84,355180
24-Mar-16,97.13,97.80,96.93,97.72,605416
23-Mar-16,97.22,98.12,96.54,97.62,644105
22-Mar-16,97.63,97.69,96.87,96.95,710388
21-Mar-16,97.80,97.97,96.58,97.52,770337
18-Mar-16,98.82,98.82,97.25,98.05,1361521
17-Mar-16,95.85,98.54,95.49,98.41,1332404
16-Mar-16,94.77,95.74,94.37,95.57,561449
15-Mar-16,94.40,95.05,94.16,94.88,469067
14-Mar-16,95.19,95.45,94.72,95.00,400102
11-Mar-16,94.72,95.52,94.51,95.37,663754
10-Mar-16,94.17,94.29,92.93,93.92,544074
9-Mar-16,93.98,94.30,92.82,93.94,496495
8-Mar-16,94.02,94.63,93.67,93.87,686675
7-Mar-16,93.39,94.72,93.24,94.50,753275
4-Mar-16,93.80,93.99,93.12,93.65,695437
3-Mar-16,93.63,94.06,93.01,93.93,565804
2-Mar-16,92.00,93.71,91.46,93.54,1074881
1-Mar-16,90.97,93.08,90.78,93.03,862876
29-Feb-16,91.22,91.65,90.15,90.15,1005632
26-Feb-16,92.20,92.44,90.73,91.26,661802
25-Feb-16,91.60,92.12,90.73,91.87,675602
24-Feb-16,90.51,91.09,90.06,91.04,821594
23-Feb-16,92.31,92.78,91.54,91.75,531357
22-Feb-16,92.78,93.14,91.97,92.39,811844
19-Feb-16,90.18,92.45,89.83,92.07,1321175
18-Feb-16,90.14,91.28,89.93,90.79,1088788
