Date,Open,High,Low,Close,Volume
9-Dec-16,30.19,30.58,29.95,30.04,4324442
8-Dec-16,29.87,30.44,29.70,30.11,4606975
7-Dec-16,29.55,30.19,29.50,30.13,3792246
6-Dec-16,29.28,29.63,29.19,29.43,3374450
5-Dec-16,29.15,29.26,28.82,29.23,3194474
2-Dec-16,28.76,29.46,28.76,29.08,2709346
1-Dec-16,29.33,29.35,28.42,28.61,4239792
30-Nov-16,29.33,29.67,29.01,29.53,5586518
29-Nov-16,29.38,29.90,29.33,29.60,4169214
28-Nov-16,29.25,29.78,29.20,29.38,4247361
25-Nov-16,29.59,29.65,29.13,29.26,2109091
23-Nov-16,29.16,29.57,28.92,29.51,4957785
22-Nov-16,29.03,29.43,28.54,29.40,3896923
21-Nov-16,29.02,29.33,28.60,28.67,3473203
18-Nov-16,28.78,28.94,28.48,28.68,3052653
17-Nov-16,29.21,29.35,28.67,28.76,2677592
16-Nov-16,29.34,29.61,29.07,29.32,2261120
15-Nov-16,29.51,29.96,28.98,29.41,4668698
14-Nov-16,27.98,29.51,27.85,29.40,5546027
11-Nov-16,27.85,28.41,27.85,28.10,4526285
10-Nov-16,28.66,28.79,27.61,27.94,7961215
9-Nov-16,28.76,29.38,27.89,28.83,6493744
8-Nov-16,29.82,29.84,29.28,29.71,4476953
7-Nov-16,29.94,30.28,29.66,30.26,5102050
4-Nov-16,28.77,29.57,28.61,29.52,7522357
3-Nov-16,29.23,29.23,28.38,28.67,6363124
2-Nov-16,30.41,30.45,29.22,29.23,6656556
1-Nov-16,30.95,32.32,30.25,30.47,10682701
31-Oct-16,34.27,34.45,34.13,34.25,5307394
28-Oct-16,34.21,34.46,34.06,34.14,3324457
27-Oct-16,35.00,35.00,34.02,34.08,3996162
26-Oct-16,35.54,35.62,34.87,35.07,3815023
25-Oct-16,36.13,36.15,35.58,35.59,3194840
24-Oct-16,36.09,36.52,35.80,36.08,2855849
21-Oct-16,36.38,36.60,35.78,35.85,4302719
20-Oct-16,36.77,36.99,36.57,36.66,2378123
19-Oct-16,36.71,37.35,36.60,36.85,2909013
18-Oct-16,36.56,37.09,36.38,36.69,2473668
17-Oct-16,36.26,36.63,36.09,36.32,2529854
14-Oct-16,36.47,36.67,36.13,36.24,1634999
13-Oct-16,35.93,36.65,35.76,36.47,2851180
12-Oct-16,35.72,36.12,35.63,36.09,2200423
11-Oct-16,35.96,36.14,35.53,35.75,2083220
10-Oct-16,35.95,36.29,35.90,36.06,1434608
7-Oct-16,36.11,36.70,35.85,35.91,2707135
6-Oct-16,36.18,36.39,35.68,35.95,2583897
5-Oct-16,36.97,37.19,36.06,36.31,2929889
4-Oct-16,37.76,37.82,36.46,36.84,4279993
3-Oct-16,37.78,38.09,37.51,37.61,3046523
30-Sep-16,38.82,39.10,37.92,37.95,4186165
29-Sep-16,39.17,39.32,38.52,38.54,2922586
28-Sep-16,38.92,39.36,38.81,39.34,2109075
27-Sep-16,39.60,39.61,38.66,38.76,3713458
26-Sep-16,39.12,39.70,39.04,39.60,3432298
23-Sep-16,38.81,39.53,38.46,39.28,3202143
22-Sep-16,38.40,38.98,38.33,38.91,2910589
21-Sep-16,37.63,38.21,37.12,38.15,2588861
20-Sep-16,37.73,37.95,37.54,37.64,2531551
19-Sep-16,37.31,37.51,37.21,37.44,2643731
16-Sep-16,36.88,37.22,36.65,37.16,4296804
15-Sep-16,36.89,37.21,36.65,37.03,2387086
14-Sep-16,37.12,37.32,36.69,36.94,2999996
13-Sep-16,37.90,38.01,36.81,36.95,3853931
12-Sep-16,37.90,38.45,37.67,38.10,5210847
9-Sep-16,39.19,39.19,37.82,38.13,6581048
8-Sep-16,40.08,40.08,39.38,39.60,7247472
7-Sep-16,40.02,40.43,39.98,40.33,3140098
6-Sep-16,39.18,40.15,39.01,40.13,3650044
2-Sep-16,38.91,39.58,38.73,39.08,1951298
1-Sep-16,39.35,39.39,38.59,38.80,2668167
31-Aug-16,39.43,39.59,39.10,39.33,3067950
30-Aug-16,39.23,39.44,38.87,39.42,2187663
29-Aug-16,38.74,39.38,38.74,39.13,1869769
26-Aug-16,39.67,39.79,38.43,38.74,2944714
25-Aug-16,39.46,39.90,39.37,39.58,1728679
24-Aug-16,39.79,39.92,39.23,39.46,1567750
23-Aug-16,39.63,39.99,39.47,39.78,2403030
22-Aug-16,39.48,39.71,39.24,39.42,3575612
19-Aug-16,39.72,39.96,39.26,39.47,4020665
18-Aug-16,39.49,39.96,39.49,39.84,3992844
17-Aug-16,39.31,39.74,39.02,39.61,5660115
16-Aug-16,39.30,39.36,39.04,39.23,4875548
15-Aug-16,39.13,39.50,39.06,39.49,3807247
12-Aug-16,38.62,39.48,38.56,39.13,2668372
11-Aug-16,39.49,39.60,38.34,38.56,4229031
10-Aug-16,39.08,39.87,39.08,39.50,4581424
9-Aug-16,38.49,39.12,38.00,38.95,4504669
8-Aug-16,38.44,38.68,38.27,38.44,2026001
5-Aug-16,38.50,38.69,38.30,38.41,1855528
4-Aug-16,38.43,38.58,38.18,38.50,2339113
3-Aug-16,39.00,39.13,38.40,39.09,2662977
2-Aug-16,39.34,39.47,38.82,38.96,2464179
1-Aug-16,39.23,39.48,39.02,39.45,2290773
29-Jul-16,39.05,39.60,39.04,39.23,4811095
28-Jul-16,38.69,39.18,38.37,39.02,3320497
27-Jul-16,38.79,38.86,38.32,38.67,2777263
26-Jul-16,38.88,38.98,38.62,38.82,3180832
25-Jul-16,38.90,39.08,38.60,39.08,2803969
22-Jul-16,38.46,39.00,38.38,38.90,2622250
21-Jul-16,38.23,38.71,38.09,38.55,3180903
20-Jul-16,38.08,38.34,37.85,38.34,3472556
19-Jul-16,37.50,38.17,37.33,38.13,2919117
18-Jul-16,37.47,37.60,37.16,37.37,2799506
15-Jul-16,36.97,37.50,36.78,37.43,3757192
14-Jul-16,37.28,37.34,36.66,36.95,2530190
13-Jul-16,37.14,37.43,36.63,37.43,3416767
12-Jul-16,36.59,37.30,36.44,37.03,5675477
11-Jul-16,36.00,36.66,35.79,36.54,4078590
8-Jul-16,35.38,35.94,34.99,35.94,4030116
7-Jul-16,35.42,35.50,34.56,34.88,3553982
6-Jul-16,35.62,35.77,35.12,35.53,2768503
5-Jul-16,35.30,35.74,35.21,35.73,3400030
1-Jul-16,35.48,35.85,35.26,35.32,2349369
30-Jun-16,35.46,35.58,34.83,35.38,3531159
29-Jun-16,35.04,35.62,34.98,35.37,3731136
28-Jun-16,34.43,34.98,34.21,34.97,4899140
27-Jun-16,34.07,34.32,33.60,34.18,4699600
24-Jun-16,33.54,34.98,33.42,34.23,5904724
23-Jun-16,34.26,34.62,33.94,34.11,3734563
22-Jun-16,33.74,34.39,33.73,34.05,5045065
21-Jun-16,34.98,35.17,34.78,35.01,2957892
20-Jun-16,35.34,35.43,34.86,34.87,3916840
17-Jun-16,34.91,35.32,34.77,35.18,4685921
16-Jun-16,34.70,34.98,34.63,34.94,2730543
15-Jun-16,34.51,35.12,34.51,34.80,3071824
14-Jun-16,34.56,34.69,34.31,34.50,2630020
13-Jun-16,34.43,34.98,34.43,34.59,2432488
10-Jun-16,34.28,34.50,34.15,34.43,2188710
9-Jun-16,34.34,34.51,34.07,34.48,2013761
8-Jun-16,34.00,34.39,33.76,34.37,2400216
7-Jun-16,33.44,34.18,33.44,34.06,2896832
