Date,Open,High,Low,Close,Volume
22-Sep-16,77.59,77.75,76.82,77.05,18604035
21-Sep-16,76.81,77.38,76.47,77.25,18105147
20-Sep-16,75.86,77.74,75.81,76.90,9944910
19-Sep-16,75.70,76.07,74.83,75.09,978854
16-Sep-16,75.70,75.83,74.98,75.45,1454807
15-Sep-16,75.35,76.06,74.95,75.94,1948163
14-Sep-16,75.20,75.78,74.44,75.27,2487663
13-Sep-16,74.90,75.70,74.72,75.17,2445926
12-Sep-16,73.64,75.62,73.56,75.49,1408119
9-Sep-16,76.19,76.58,74.03,74.12,1848897
8-Sep-16,76.86,76.86,76.30,76.59,1494281
7-Sep-16,76.38,76.88,76.36,76.76,944941
6-Sep-16,76.95,77.35,76.41,76.48,815136
2-Sep-16,77.75,77.77,76.97,77.18,1389371
1-Sep-16,77.29,77.88,77.02,77.40,1239556
31-Aug-16,78.03,78.34,77.39,77.46,1308976
30-Aug-16,78.88,78.88,78.07,78.20,1985334
29-Aug-16,78.56,79.30,78.56,78.73,875030
26-Aug-16,78.85,79.19,78.23,78.43,967233
25-Aug-16,77.99,78.81,77.72,78.67,923910
24-Aug-16,78.47,78.59,78.04,78.15,971195
23-Aug-16,78.39,78.80,78.39,78.51,1519142
22-Aug-16,79.19,79.33,78.22,78.45,4777585
19-Aug-16,78.39,79.55,78.29,79.51,1261875
18-Aug-16,78.80,78.91,78.52,78.74,5676563
17-Aug-16,78.54,78.75,78.12,78.72,1096860
16-Aug-16,78.50,78.77,78.16,78.46,1607866
15-Aug-16,77.94,78.75,77.94,78.54,1259337
12-Aug-16,77.62,78.32,77.49,77.85,1105996
11-Aug-16,77.88,78.21,77.56,77.93,795855
10-Aug-16,77.97,78.33,77.54,77.74,2075542
9-Aug-16,78.23,79.23,77.69,77.83,2806322
8-Aug-16,79.06,79.08,78.24,78.29,3409432
5-Aug-16,78.90,79.26,78.66,78.91,1395811
4-Aug-16,77.81,78.50,77.79,78.48,749890
3-Aug-16,77.01,77.86,76.85,77.83,845043
2-Aug-16,77.50,77.59,76.54,77.20,627220
1-Aug-16,78.02,78.12,77.35,77.71,711634
29-Jul-16,77.67,78.20,77.43,78.06,775317
28-Jul-16,76.47,78.02,75.95,77.91,1146892
27-Jul-16,77.63,77.69,76.53,77.01,1333647
26-Jul-16,77.44,78.11,77.26,78.08,1045378
25-Jul-16,77.42,77.71,77.20,77.66,2060215
22-Jul-16,77.00,77.62,76.81,77.52,844260
21-Jul-16,76.56,77.13,76.43,76.95,851645
20-Jul-16,77.21,77.22,76.62,76.69,653330
19-Jul-16,76.90,77.26,76.34,77.26,1481142
18-Jul-16,76.97,77.36,76.82,77.11,923988
15-Jul-16,77.14,77.24,76.28,76.97,879180
14-Jul-16,77.45,77.59,77.07,77.15,1318540
