Date,Open,High,Low,Close,Volume
9-Dec-16,16.08,16.15,15.74,15.78,9865108
8-Dec-16,16.14,16.25,16.10,16.16,9581858
7-Dec-16,15.62,16.17,15.60,16.15,11679164
6-Dec-16,15.51,15.64,15.46,15.60,6886901
5-Dec-16,15.26,15.55,15.26,15.55,11538522
2-Dec-16,15.03,15.30,15.02,15.12,8377096
1-Dec-16,15.41,15.48,15.02,15.06,12821748
30-Nov-16,15.17,15.53,15.10,15.40,15933281
29-Nov-16,15.06,15.32,15.03,15.15,9762866
28-Nov-16,15.06,15.20,15.00,15.08,12791803
25-Nov-16,14.84,15.24,14.83,15.18,8875184
23-Nov-16,15.35,15.72,14.78,14.87,23440339
22-Nov-16,16.06,16.19,15.90,15.95,19634533
21-Nov-16,15.94,16.07,15.93,16.00,10618264
18-Nov-16,15.88,15.96,15.80,15.87,10878170
17-Nov-16,15.86,15.96,15.82,15.89,9623313
16-Nov-16,15.86,15.90,15.72,15.80,10164148
15-Nov-16,15.96,16.07,15.82,15.87,14279443
14-Nov-16,15.85,16.19,15.80,16.10,14528223
11-Nov-16,15.40,15.83,15.36,15.82,10306751
10-Nov-16,15.62,15.90,15.44,15.49,16182124
9-Nov-16,15.07,15.71,14.99,15.57,16866869
8-Nov-16,15.03,15.32,14.87,15.28,11642128
7-Nov-16,14.90,15.14,14.89,15.05,9780786
4-Nov-16,14.50,14.93,14.43,14.71,11832488
3-Nov-16,14.67,14.88,14.51,14.54,10558862
2-Nov-16,14.28,14.83,14.28,14.65,22284959
1-Nov-16,14.51,14.56,14.12,14.35,25361506
31-Oct-16,14.13,14.49,14.03,14.49,16364161
28-Oct-16,13.94,14.19,13.94,14.09,15247826
27-Oct-16,13.96,14.10,13.87,13.99,14106496
26-Oct-16,13.85,14.07,13.84,13.91,17328483
25-Oct-16,13.97,13.99,13.86,13.90,11069895
24-Oct-16,13.86,13.97,13.83,13.97,9762521
21-Oct-16,14.01,14.04,13.77,13.80,14610055
20-Oct-16,14.08,14.16,13.98,14.10,6824020
19-Oct-16,14.18,14.27,14.04,14.12,9918238
18-Oct-16,14.19,14.42,14.09,14.21,12762819
17-Oct-16,14.50,14.56,14.01,14.03,22058010
14-Oct-16,14.63,15.00,14.48,14.48,23107530
13-Oct-16,15.20,15.25,14.94,15.15,14423584
12-Oct-16,15.48,15.56,15.31,15.35,10064117
