Date,Open,High,Low,Close,Volume
9-Dec-16,22.76,23.06,22.38,22.95,4322061
8-Dec-16,23.17,23.17,21.45,22.79,9291024
7-Dec-16,22.74,23.60,22.69,23.34,6374795
6-Dec-16,22.15,22.73,21.99,22.69,4076273
5-Dec-16,21.72,22.16,21.59,22.14,3533059
2-Dec-16,21.78,22.16,21.55,21.72,2043861
1-Dec-16,21.99,22.18,21.65,21.78,2773458
30-Nov-16,22.37,22.44,22.16,22.16,2693998
29-Nov-16,21.91,22.62,21.68,22.38,3554998
28-Nov-16,23.20,23.33,21.78,21.82,5283434
25-Nov-16,23.66,24.06,23.66,23.98,956391
23-Nov-16,23.38,23.88,23.35,23.68,1751417
22-Nov-16,23.40,23.66,23.28,23.39,2216492
21-Nov-16,23.23,23.62,23.18,23.25,2180325
18-Nov-16,23.00,23.43,22.94,23.15,2278631
17-Nov-16,22.23,23.09,22.09,23.03,2958284
16-Nov-16,23.35,23.42,22.08,22.23,4387917
15-Nov-16,23.63,23.96,23.44,23.90,2161530
14-Nov-16,22.94,23.62,22.85,23.57,3610010
11-Nov-16,21.92,23.00,21.84,22.83,3223919
10-Nov-16,21.37,22.32,21.30,22.04,4422116
9-Nov-16,21.72,21.72,20.90,21.30,6586494
8-Nov-16,21.99,22.31,21.84,22.14,2166875
7-Nov-16,22.23,22.40,21.94,22.03,2079714
4-Nov-16,22.18,22.24,21.92,21.93,1584297
3-Nov-16,22.41,22.52,22.11,22.17,1400079
2-Nov-16,22.39,22.53,22.31,22.35,1839056
1-Nov-16,23.06,23.14,22.26,22.35,1746158
31-Oct-16,22.83,23.02,22.64,22.97,2638160
28-Oct-16,22.68,22.94,22.57,22.73,2256222
27-Oct-16,22.85,22.92,22.63,22.69,2190611
26-Oct-16,23.01,23.21,22.79,22.79,1750691
25-Oct-16,23.50,23.55,23.00,23.00,1827504
24-Oct-16,23.54,23.72,23.46,23.49,2658927
21-Oct-16,23.24,23.63,23.11,23.39,2106742
20-Oct-16,23.17,23.31,23.10,23.29,2333797
19-Oct-16,23.19,23.30,23.09,23.21,1372444
18-Oct-16,23.28,23.28,23.03,23.09,1816969
17-Oct-16,23.04,23.30,23.00,23.12,1543254
14-Oct-16,23.01,23.31,23.01,23.07,1108822
13-Oct-16,22.85,23.03,22.67,22.95,994712
12-Oct-16,22.80,23.05,22.77,23.01,1049959
11-Oct-16,22.80,23.00,22.67,22.82,1249743
