Date,Open,High,Low,Close,Volume
9-Dec-16,106.32,106.32,104.51,105.51,671121
8-Dec-16,107.04,107.44,105.38,105.91,983855
7-Dec-16,106.65,107.54,106.42,107.13,784485
6-Dec-16,105.78,106.52,105.06,106.48,692826
5-Dec-16,105.66,106.17,105.39,105.94,785512
2-Dec-16,104.30,105.71,104.07,104.96,696741
1-Dec-16,104.06,104.82,103.54,104.34,833533
30-Nov-16,105.17,105.78,103.54,103.56,776685
29-Nov-16,104.26,105.52,104.04,104.68,743328
28-Nov-16,104.39,104.72,103.67,104.01,956107
25-Nov-16,104.52,105.07,104.15,104.79,169990
23-Nov-16,104.07,104.53,103.37,104.17,678574
22-Nov-16,104.11,104.41,103.34,104.05,1088915
21-Nov-16,103.92,104.65,102.98,103.90,602979
18-Nov-16,103.88,104.00,102.73,103.57,828073
17-Nov-16,103.87,104.20,103.08,103.79,1140565
16-Nov-16,104.28,104.54,103.70,104.00,785428
15-Nov-16,105.26,105.93,104.33,104.87,805724
14-Nov-16,103.97,105.90,103.61,105.07,1229477
11-Nov-16,102.18,103.99,102.07,103.42,867047
10-Nov-16,101.82,103.02,100.89,102.81,1214792
9-Nov-16,97.17,101.47,96.82,101.20,1531435
8-Nov-16,96.97,97.95,96.67,97.46,778404
7-Nov-16,96.00,97.22,95.52,96.98,1056355
4-Nov-16,92.78,94.66,92.35,94.25,1133912
3-Nov-16,92.99,93.42,92.40,92.80,563851
2-Nov-16,93.03,93.89,92.51,93.16,1422860
1-Nov-16,92.28,93.40,90.95,92.73,1485049
31-Oct-16,89.89,90.00,89.01,89.21,844347
28-Oct-16,89.59,90.19,89.02,89.39,557043
27-Oct-16,91.61,91.66,88.89,88.98,686094
26-Oct-16,90.40,91.57,90.21,91.38,749722
25-Oct-16,91.16,91.50,90.31,90.71,525069
24-Oct-16,91.24,91.54,90.98,91.28,351735
21-Oct-16,90.33,90.82,89.88,90.54,299718
20-Oct-16,91.65,91.70,90.88,91.05,287762
19-Oct-16,89.82,91.82,89.82,91.64,529322
18-Oct-16,90.40,90.49,89.51,90.39,817907
17-Oct-16,89.66,89.90,89.40,89.58,600339
14-Oct-16,90.42,90.81,89.67,89.67,524328
13-Oct-16,90.30,90.83,89.38,89.78,644959
12-Oct-16,91.03,91.81,90.84,91.06,543725
11-Oct-16,92.19,92.24,90.74,91.17,367215
10-Oct-16,92.94,93.39,92.39,92.45,396748
7-Oct-16,92.48,92.90,91.90,92.62,515668
6-Oct-16,91.47,92.35,91.15,92.28,400898
