Date,Open,High,Low,Close,Volume
9-Dec-16,25.64,25.65,24.85,24.90,1588877
8-Dec-16,25.47,25.93,25.18,25.47,1085021
7-Dec-16,25.10,25.65,24.99,25.49,1933382
6-Dec-16,25.05,25.23,24.92,25.13,1383758
5-Dec-16,24.80,25.38,24.78,25.12,1455844
2-Dec-16,24.47,24.96,24.24,24.68,2033200
1-Dec-16,25.59,25.67,24.18,24.53,2154461
30-Nov-16,26.00,26.26,25.77,25.78,1652306
29-Nov-16,26.20,26.34,25.53,25.98,2165099
28-Nov-16,27.15,27.15,26.09,26.11,1517070
25-Nov-16,26.55,27.39,26.51,27.25,945679
23-Nov-16,27.03,27.27,26.47,26.57,1758781
22-Nov-16,28.75,28.75,26.91,27.29,3659452
21-Nov-16,31.15,32.07,28.25,28.69,4119988
18-Nov-16,29.70,30.37,29.61,30.15,1962390
17-Nov-16,29.63,29.76,29.37,29.58,1177654
16-Nov-16,29.61,29.81,29.41,29.70,1216250
15-Nov-16,29.50,29.78,29.37,29.74,1624907
14-Nov-16,29.00,29.65,28.90,29.38,1263912
11-Nov-16,27.70,29.11,27.55,28.98,1804769
10-Nov-16,29.00,29.07,27.81,27.81,2104449
9-Nov-16,28.68,29.00,28.22,28.87,925057
8-Nov-16,28.42,29.04,28.22,29.00,1457520
7-Nov-16,28.05,28.60,28.03,28.48,1253623
4-Nov-16,27.45,27.96,27.25,27.69,1901014
3-Nov-16,28.00,28.37,27.51,27.55,1385889
2-Nov-16,28.15,28.41,27.96,28.10,1627818
1-Nov-16,28.66,28.97,27.96,28.25,1837846
31-Oct-16,28.72,28.97,28.62,28.72,1382784
28-Oct-16,28.18,28.63,28.00,28.59,1401239
27-Oct-16,28.35,28.41,27.93,28.22,790903
26-Oct-16,28.49,28.57,28.24,28.36,1168949
25-Oct-16,28.39,28.74,28.37,28.71,1759362
24-Oct-16,28.51,28.80,28.24,28.45,1721579
21-Oct-16,28.32,28.61,27.71,28.43,2159613
20-Oct-16,27.66,28.44,27.52,28.38,2399368
19-Oct-16,26.86,27.75,26.81,27.73,1257842
18-Oct-16,27.23,27.44,26.77,26.82,1516357
17-Oct-16,26.61,27.20,26.50,27.14,1937303
14-Oct-16,26.24,26.75,26.22,26.69,1400711
13-Oct-16,26.30,26.34,25.80,26.16,985818
12-Oct-16,25.92,26.49,25.86,26.47,1279322
11-Oct-16,25.88,26.06,25.75,26.00,1698319
10-Oct-16,26.30,26.46,25.89,25.89,1156654
7-Oct-16,25.58,26.34,25.53,26.29,2142817
6-Oct-16,25.05,25.65,25.02,25.56,1783024
5-Oct-16,24.97,25.47,24.88,25.15,1839503
4-Oct-16,24.92,25.01,24.54,24.98,1940930
3-Oct-16,24.42,24.72,24.24,24.66,1064654
30-Sep-16,24.81,24.82,24.19,24.38,1561668
29-Sep-16,24.74,24.95,24.49,24.83,1207490
28-Sep-16,24.84,24.84,24.23,24.78,881769
27-Sep-16,24.58,24.77,24.29,24.72,776614
26-Sep-16,24.62,24.70,24.47,24.59,711365
23-Sep-16,24.52,24.89,24.35,24.75,748361
22-Sep-16,24.36,24.68,24.00,24.64,1370800
21-Sep-16,24.10,24.30,23.95,24.21,1148371
20-Sep-16,24.06,24.40,23.86,24.15,1632707
19-Sep-16,24.48,24.74,24.08,24.09,1089729
16-Sep-16,24.00,24.40,23.81,24.39,1479826
15-Sep-16,23.55,23.81,23.33,23.80,986870
14-Sep-16,23.20,23.66,23.12,23.52,1005186
13-Sep-16,23.59,23.61,23.12,23.23,1149183
12-Sep-16,22.93,23.83,22.50,23.73,1624256
9-Sep-16,23.56,23.60,22.89,23.06,1698078
8-Sep-16,24.20,24.22,23.55,23.76,1497668
7-Sep-16,23.57,24.22,23.48,24.20,2706746
6-Sep-16,23.50,23.71,23.38,23.65,703641
2-Sep-16,23.12,23.60,23.01,23.50,1155680
1-Sep-16,22.96,23.12,22.78,23.10,1406611
31-Aug-16,22.57,22.94,22.50,22.83,2454990
30-Aug-16,22.92,22.92,22.56,22.59,777803
29-Aug-16,22.83,23.01,22.72,22.92,893033
26-Aug-16,22.83,23.02,22.58,22.76,825814
25-Aug-16,22.86,22.92,22.58,22.82,896438
24-Aug-16,22.94,23.06,22.74,22.95,1468483
23-Aug-16,23.01,23.18,22.89,23.00,914606
22-Aug-16,22.95,22.98,22.69,22.94,579512
19-Aug-16,22.74,23.03,22.52,23.02,812846
18-Aug-16,22.40,22.78,22.28,22.74,1019383
17-Aug-16,22.65,22.65,22.24,22.50,812365
16-Aug-16,22.81,22.86,22.44,22.67,1450921
15-Aug-16,22.18,22.83,22.18,22.82,1292149
12-Aug-16,22.05,22.29,22.01,22.20,915681
11-Aug-16,21.99,22.12,21.89,22.10,1573140
10-Aug-16,21.67,21.92,20.78,21.88,1068731
9-Aug-16,21.40,21.74,21.33,21.72,690878
8-Aug-16,21.47,21.64,21.26,21.48,787951
5-Aug-16,21.59,21.76,21.52,21.58,1127762
4-Aug-16,21.42,21.67,21.30,21.57,1006819
3-Aug-16,21.05,21.65,20.90,21.40,1830394
2-Aug-16,21.07,21.21,20.91,21.15,1900951
1-Aug-16,20.90,21.29,20.68,21.11,1590926
29-Jul-16,20.50,20.92,20.35,20.90,1512204
28-Jul-16,20.17,20.88,19.85,20.52,2250809
