Date,Open,High,Low,Close,Volume
9-Dec-16,53.54,54.12,53.39,53.83,2826688
8-Dec-16,53.45,54.07,53.11,53.66,2483124
7-Dec-16,51.87,53.34,51.87,53.30,3504747
6-Dec-16,51.25,51.80,51.00,51.77,2463325
5-Dec-16,50.96,51.46,50.75,51.41,3838279
2-Dec-16,49.74,50.47,49.37,50.46,3453574
1-Dec-16,48.94,49.75,48.90,49.73,3518616
30-Nov-16,48.96,48.96,48.49,48.72,2552301
29-Nov-16,48.73,49.10,48.63,48.84,2110815
28-Nov-16,48.66,48.94,48.51,48.69,1887813
25-Nov-16,48.80,48.89,48.55,48.85,814365
23-Nov-16,48.59,48.96,48.54,48.72,1635646
22-Nov-16,48.54,48.84,48.32,48.58,2661032
21-Nov-16,47.98,48.42,47.85,48.31,2503897
18-Nov-16,48.28,48.52,48.02,48.45,2305160
17-Nov-16,48.04,49.07,47.72,48.32,3450648
16-Nov-16,48.10,49.08,47.81,47.94,4937122
15-Nov-16,47.20,47.80,46.52,47.75,3876994
14-Nov-16,45.95,47.28,45.94,47.21,3604740
11-Nov-16,45.72,45.99,45.19,45.66,2100005
10-Nov-16,45.42,46.29,45.36,45.81,3842902
9-Nov-16,43.98,45.90,43.76,45.65,3703784
8-Nov-16,44.36,44.83,44.03,44.75,2283675
7-Nov-16,44.55,44.97,44.00,44.47,3036332
4-Nov-16,43.73,44.47,43.62,43.98,2268344
3-Nov-16,44.26,44.42,43.55,43.60,2464524
2-Nov-16,44.06,44.44,43.90,44.18,2687256
1-Nov-16,45.15,45.22,43.76,44.22,3086135
31-Oct-16,44.88,45.39,44.87,45.03,2317131
28-Oct-16,45.19,45.52,44.71,45.01,2374535
27-Oct-16,45.83,46.00,44.66,45.14,4070078
26-Oct-16,46.29,46.72,46.00,46.16,2737549
25-Oct-16,46.64,46.73,46.08,46.60,2743583
24-Oct-16,47.49,48.08,46.54,46.71,3544669
21-Oct-16,46.80,47.44,46.46,47.00,2206108
20-Oct-16,47.99,48.00,46.61,47.18,2937213
19-Oct-16,47.24,48.50,47.03,48.28,3520974
18-Oct-16,46.72,47.35,46.72,47.03,2625730
17-Oct-16,46.96,47.83,46.93,47.20,2397500
14-Oct-16,46.14,47.03,46.13,46.73,3486936
13-Oct-16,45.95,46.07,45.25,45.82,2549200
12-Oct-16,45.95,46.52,45.95,46.39,3471570
11-Oct-16,46.56,46.56,45.40,45.72,2908173
10-Oct-16,47.14,47.34,46.31,46.78,3148036
7-Oct-16,47.49,47.68,46.52,46.82,3792942
6-Oct-16,46.82,47.96,46.79,47.30,3443616
5-Oct-16,47.38,47.47,45.76,46.71,5612677
4-Oct-16,47.89,48.16,46.87,47.09,2621425
3-Oct-16,47.98,48.24,47.62,47.80,2346006
30-Sep-16,47.50,48.25,47.32,47.98,4253061
29-Sep-16,48.00,48.09,47.08,47.32,2543157
28-Sep-16,47.63,48.14,47.30,48.11,2782832
27-Sep-16,47.36,47.69,47.08,47.50,2658123
26-Sep-16,48.25,48.30,47.32,47.36,3238888
23-Sep-16,47.98,48.71,47.94,48.41,3683721
22-Sep-16,48.77,49.04,47.72,47.91,3790772
21-Sep-16,48.31,48.73,47.89,48.49,3215060
20-Sep-16,49.18,49.47,48.02,48.02,3893748
19-Sep-16,49.31,49.90,48.99,48.99,2611752
16-Sep-16,49.04,49.86,48.71,49.19,5135241
15-Sep-16,47.52,48.41,47.44,48.25,2459451
14-Sep-16,47.57,47.96,47.30,47.53,1707580
13-Sep-16,47.88,48.39,47.39,47.73,2342467
12-Sep-16,47.30,48.44,47.17,48.21,2940629
9-Sep-16,48.77,48.88,47.65,47.71,2476093
8-Sep-16,49.26,49.46,48.96,49.07,2251434
7-Sep-16,49.15,49.63,49.04,49.48,2037548
6-Sep-16,49.25,49.48,48.92,49.35,2544169
2-Sep-16,49.00,49.22,48.77,49.12,1655248
1-Sep-16,48.59,48.99,48.30,48.71,2112686
31-Aug-16,48.80,48.89,48.17,48.49,2229201
30-Aug-16,48.90,49.33,48.80,48.99,2474020
29-Aug-16,48.80,49.43,48.77,48.90,2744015
26-Aug-16,48.64,49.70,48.54,48.89,5442825
25-Aug-16,46.54,48.71,46.35,48.39,6974548
24-Aug-16,47.00,47.00,46.48,46.56,1478464
23-Aug-16,46.98,47.23,46.70,46.96,1837902
22-Aug-16,47.14,47.14,46.08,46.56,3461891
19-Aug-16,47.33,47.58,46.86,47.46,1750147
18-Aug-16,47.29,47.70,47.25,47.61,2252411
17-Aug-16,46.76,47.33,46.72,47.31,2454666
16-Aug-16,46.45,47.48,46.43,46.66,2900580
15-Aug-16,46.50,46.88,46.32,46.32,2086304
12-Aug-16,46.84,47.02,46.30,46.50,2170062
11-Aug-16,46.46,47.02,46.46,46.93,2688093
10-Aug-16,46.07,47.39,46.07,46.79,4054425
9-Aug-16,46.20,46.50,46.02,46.06,1175241
8-Aug-16,45.93,46.34,45.84,46.18,2112891
5-Aug-16,46.11,46.47,45.89,45.98,1748858
