Date,Open,High,Low,Close,Volume
9-Dec-16,78.53,79.00,77.64,78.45,1860329
8-Dec-16,77.80,79.04,77.80,78.75,2293228
7-Dec-16,75.70,78.03,75.58,78.00,2179804
6-Dec-16,74.98,75.93,74.92,75.91,1635549
5-Dec-16,74.90,75.40,74.61,74.89,2093030
2-Dec-16,74.67,74.77,74.02,74.50,2508392
1-Dec-16,75.01,75.11,74.03,74.59,3347815
30-Nov-16,75.60,76.31,74.54,74.54,1999620
29-Nov-16,74.37,75.40,74.25,75.06,1975954
28-Nov-16,75.96,75.96,74.72,74.73,1879690
25-Nov-16,75.63,76.12,75.38,76.12,931681
23-Nov-16,75.72,75.88,75.40,75.58,1227966
22-Nov-16,75.39,75.76,75.22,75.62,1903801
21-Nov-16,74.85,75.33,74.49,75.11,1710059
18-Nov-16,74.46,74.72,74.13,74.46,1853703
17-Nov-16,75.24,75.44,74.53,74.68,2215919
16-Nov-16,75.10,75.78,74.74,75.23,1892800
15-Nov-16,75.13,75.94,74.61,75.92,2973178
14-Nov-16,76.09,76.45,74.82,75.07,4432113
11-Nov-16,75.17,75.89,75.15,75.83,2367827
10-Nov-16,74.83,75.90,74.75,75.72,3460666
9-Nov-16,71.57,74.71,71.32,74.26,4452037
8-Nov-16,70.57,72.36,70.40,71.87,3008447
7-Nov-16,69.78,70.78,69.59,70.72,3315992
4-Nov-16,67.04,69.37,67.04,68.75,3470897
3-Nov-16,67.42,67.67,66.81,66.99,2303354
2-Nov-16,67.35,67.57,66.84,67.29,2485929
1-Nov-16,67.49,68.00,66.83,67.32,2805541
31-Oct-16,67.36,67.99,66.97,67.29,2281034
28-Oct-16,67.07,67.99,66.52,66.95,2497447
27-Oct-16,66.80,67.34,66.03,67.04,3669144
26-Oct-16,66.17,66.86,63.87,66.33,4467336
25-Oct-16,65.61,65.61,64.24,64.60,3100175
24-Oct-16,66.25,67.08,65.49,65.79,2269800
21-Oct-16,65.11,65.97,64.76,65.76,1283017
20-Oct-16,65.25,66.39,65.18,65.81,2280558
19-Oct-16,65.04,65.81,64.60,65.43,1558202
18-Oct-16,65.90,66.04,64.94,64.96,1341998
17-Oct-16,65.90,66.14,65.08,65.27,1769281
14-Oct-16,65.71,66.39,65.59,65.79,1391397
13-Oct-16,65.39,65.60,64.85,65.39,2162329
12-Oct-16,64.85,66.19,64.79,65.92,1966087
11-Oct-16,66.27,66.68,64.58,64.78,3703994
10-Oct-16,67.79,68.01,66.93,67.22,830879
7-Oct-16,68.68,68.68,67.31,67.45,1927781
6-Oct-16,67.61,68.82,67.61,68.78,1452998
5-Oct-16,67.45,67.81,67.08,67.56,1595937
4-Oct-16,67.83,68.02,66.90,66.99,1701102
3-Oct-16,67.53,68.27,67.49,67.74,1358765
30-Sep-16,67.31,68.22,67.26,67.94,2132581
29-Sep-16,67.25,68.23,66.93,67.10,2384729
28-Sep-16,66.71,67.60,66.71,67.49,2314538
27-Sep-16,65.18,66.78,64.84,66.69,3012393
26-Sep-16,64.46,65.63,64.39,65.39,2376759
23-Sep-16,65.58,65.58,64.58,64.65,2248494
22-Sep-16,66.15,66.59,65.67,66.05,2294457
21-Sep-16,64.41,65.57,64.20,65.52,1813087
20-Sep-16,64.66,64.94,63.96,64.06,1763169
19-Sep-16,63.85,64.59,63.67,64.02,1680632
16-Sep-16,63.43,63.48,62.97,63.31,2462210
15-Sep-16,63.56,63.99,63.29,63.83,2883018
14-Sep-16,63.80,64.12,63.31,63.73,1920404
13-Sep-16,64.52,64.77,63.64,63.78,1840754
12-Sep-16,62.63,65.42,62.40,65.31,3828430
9-Sep-16,66.28,66.33,63.05,63.10,5552660
8-Sep-16,67.02,67.59,66.77,67.41,1682885
7-Sep-16,66.44,67.19,66.30,67.10,1230192
6-Sep-16,68.46,68.46,66.59,66.83,2114166
2-Sep-16,68.51,68.97,68.14,68.53,1075031
1-Sep-16,67.98,68.23,67.16,68.16,1478632
31-Aug-16,68.00,68.12,67.71,67.99,1506771
30-Aug-16,68.47,68.62,68.00,68.21,1214274
29-Aug-16,67.63,68.85,67.44,68.64,1568486
26-Aug-16,68.02,68.30,67.34,67.64,851899
25-Aug-16,67.44,68.12,67.27,67.79,1168621
24-Aug-16,67.91,67.96,67.42,67.55,977318
23-Aug-16,67.48,68.10,67.48,67.89,919861
22-Aug-16,67.38,67.43,66.97,67.21,1198992
19-Aug-16,67.17,67.67,67.10,67.44,1541605
18-Aug-16,67.30,67.50,67.15,67.27,1785792
17-Aug-16,67.40,67.53,66.96,67.26,2915402
16-Aug-16,68.01,68.17,67.38,67.39,1387180
15-Aug-16,68.38,68.52,68.16,68.30,1843663
12-Aug-16,68.04,68.23,67.50,68.00,1337545
11-Aug-16,68.17,68.61,68.10,68.34,993918
10-Aug-16,68.29,68.55,67.66,67.82,1242353
9-Aug-16,67.99,68.27,67.72,68.16,1671720
8-Aug-16,68.35,68.55,67.63,67.77,1954361
5-Aug-16,67.97,68.49,67.96,68.35,1624972
4-Aug-16,67.48,68.69,67.38,67.79,1949886
3-Aug-16,66.29,67.80,66.29,67.34,2589241
2-Aug-16,66.30,66.60,65.94,66.31,2665661
