Date,Open,High,Low,Close,Volume
9-Dec-16,126.47,127.02,125.46,127.02,1157384
8-Dec-16,127.90,127.96,126.10,126.78,1393627
7-Dec-16,126.24,127.99,126.14,127.93,1021176
6-Dec-16,126.10,126.69,125.41,126.49,1011684
5-Dec-16,125.74,126.62,125.46,126.11,1661571
2-Dec-16,124.59,125.77,123.50,125.20,1918577
1-Dec-16,125.70,126.27,124.90,125.30,2443064
30-Nov-16,126.31,127.61,125.18,125.18,2457674
29-Nov-16,124.59,126.16,124.13,125.61,1222883
28-Nov-16,125.41,125.75,124.73,124.87,906198
25-Nov-16,125.00,125.77,124.74,125.77,464967
23-Nov-16,124.48,125.24,124.41,124.94,1172732
22-Nov-16,123.52,124.62,123.19,124.44,1569872
21-Nov-16,123.36,124.44,123.26,123.48,1897400
18-Nov-16,123.94,124.39,123.22,123.96,1064827
17-Nov-16,124.50,124.98,123.90,124.09,1160980
16-Nov-16,124.63,125.15,123.90,124.57,1309226
15-Nov-16,123.27,124.98,122.60,124.97,1346506
14-Nov-16,124.48,124.97,123.26,123.51,1482187
11-Nov-16,122.76,124.19,122.52,123.91,1655591
10-Nov-16,121.59,123.59,121.58,123.25,2256059
9-Nov-16,116.47,121.65,116.00,121.15,2558188
8-Nov-16,116.97,118.88,116.68,117.74,1462828
7-Nov-16,115.32,117.29,115.00,117.16,1605432
4-Nov-16,113.63,114.97,113.23,114.02,1945405
3-Nov-16,113.82,113.91,113.13,113.56,1322876
2-Nov-16,112.25,113.99,111.85,113.42,2484089
1-Nov-16,113.57,113.85,111.53,112.12,1400542
31-Oct-16,114.33,114.37,113.54,113.57,1465314
28-Oct-16,113.51,114.76,113.25,113.84,1264663
27-Oct-16,113.60,113.93,112.27,113.32,1668964
26-Oct-16,111.68,114.62,111.50,113.38,2324629
25-Oct-16,112.68,113.13,111.84,111.84,1807257
24-Oct-16,113.50,113.85,112.48,113.09,2232368
21-Oct-16,112.14,113.78,112.13,113.06,2427425
20-Oct-16,113.72,115.00,111.84,113.28,3766977
19-Oct-16,115.57,115.93,115.06,115.72,2659677
18-Oct-16,116.86,117.14,114.96,115.08,1790512
17-Oct-16,115.99,116.75,115.90,116.07,1500303
14-Oct-16,117.07,117.07,115.87,115.89,1195287
13-Oct-16,116.03,116.22,115.48,115.84,1297914
12-Oct-16,115.25,117.20,115.18,116.80,1781234
11-Oct-16,116.11,116.41,113.82,115.04,3983324
10-Oct-16,117.58,118.49,116.16,116.41,1824170
7-Oct-16,119.36,119.58,117.05,117.20,2175563
6-Oct-16,119.07,119.72,118.68,119.56,1070753
5-Oct-16,119.65,120.00,119.03,119.27,999648
4-Oct-16,119.61,120.12,118.69,119.06,1724092
3-Oct-16,119.37,120.94,119.12,119.89,1587562
30-Sep-16,119.83,120.74,119.28,119.84,1962318
29-Sep-16,119.57,120.53,118.99,119.04,1515060
28-Sep-16,118.73,120.07,118.54,120.01,1473222
27-Sep-16,117.69,119.46,117.29,119.00,1582167
26-Sep-16,117.54,118.63,117.00,117.73,1134021
23-Sep-16,119.35,119.43,117.70,117.81,1112820
22-Sep-16,120.11,120.56,119.62,119.69,998214
21-Sep-16,118.80,119.21,117.78,119.06,1537892
20-Sep-16,117.91,118.95,117.80,118.40,1731986
19-Sep-16,117.00,117.98,116.71,117.16,999202
16-Sep-16,116.94,116.97,115.82,116.19,1743775
15-Sep-16,116.07,117.64,115.83,117.35,981391
14-Sep-16,115.72,116.50,115.52,116.12,1591949
13-Sep-16,116.79,117.39,115.45,115.69,2287220
12-Sep-16,115.14,118.04,114.91,117.76,1542391
9-Sep-16,118.09,118.32,115.78,115.78,1800424
8-Sep-16,119.16,119.89,118.92,119.02,1268272
7-Sep-16,119.50,119.77,119.04,119.66,1062590
6-Sep-16,121.03,121.31,119.07,119.82,2117495
2-Sep-16,123.50,123.50,119.95,121.12,1517916
1-Sep-16,118.86,119.65,118.04,119.64,1427161
31-Aug-16,119.94,119.98,118.75,118.85,1604732
30-Aug-16,120.48,120.48,119.86,120.17,1162401
29-Aug-16,119.71,120.67,119.58,120.49,1057725
26-Aug-16,119.64,120.78,119.07,119.63,1347483
25-Aug-16,119.12,119.72,118.86,119.40,1172033
24-Aug-16,119.72,119.95,119.25,119.53,1218748
23-Aug-16,119.75,120.50,119.69,119.78,1226608
22-Aug-16,119.22,119.79,119.00,119.75,994037
19-Aug-16,118.68,119.84,118.25,119.64,1314858
18-Aug-16,118.80,118.99,118.39,118.98,938877
17-Aug-16,118.26,119.07,118.00,118.99,1096328
16-Aug-16,118.96,119.14,118.33,118.36,927213
15-Aug-16,118.85,119.84,118.85,119.28,967574
12-Aug-16,118.85,119.19,118.31,118.89,866276
11-Aug-16,117.91,119.08,117.80,118.88,1002152
10-Aug-16,118.38,118.38,117.27,117.80,1143990
9-Aug-16,117.57,118.08,117.32,118.08,1416925
8-Aug-16,117.18,117.66,116.87,117.46,1626838
5-Aug-16,116.09,116.87,115.80,116.84,1077238
4-Aug-16,114.99,116.41,114.61,115.64,1112949
3-Aug-16,115.41,115.41,114.65,115.15,925767
2-Aug-16,115.41,115.96,113.99,115.08,1848697
1-Aug-16,114.92,115.86,114.31,115.44,1302729
29-Jul-16,115.32,115.74,114.56,115.40,856442
28-Jul-16,115.47,115.73,114.27,115.36,989301
27-Jul-16,115.97,116.32,114.75,115.75,1197792
26-Jul-16,114.97,115.98,114.50,115.90,1316863
25-Jul-16,114.58,114.83,114.06,114.81,993508
22-Jul-16,114.03,114.66,113.73,114.58,1420028
21-Jul-16,114.16,115.02,113.69,114.00,2255583
20-Jul-16,112.50,114.52,112.16,114.22,2947031
19-Jul-16,110.19,111.16,109.86,111.11,1290732
18-Jul-16,111.11,111.28,110.28,110.66,919876
15-Jul-16,111.47,111.56,110.76,111.22,1230788
14-Jul-16,111.45,111.78,111.02,111.05,1322145
13-Jul-16,110.53,110.78,109.40,110.59,1708897
12-Jul-16,109.77,110.16,109.29,110.02,1291402
11-Jul-16,108.78,109.44,108.57,109.01,1098896
8-Jul-16,106.81,108.49,106.69,108.36,1630412
7-Jul-16,105.36,106.30,104.99,105.92,1641748
6-Jul-16,103.45,105.26,103.08,105.17,1811238
5-Jul-16,104.26,104.35,103.27,103.91,1418605
1-Jul-16,104.31,105.42,104.14,104.81,1603116
30-Jun-16,102.14,104.16,102.14,104.16,1609896
29-Jun-16,101.74,102.00,101.20,101.82,1495429
28-Jun-16,99.41,100.55,99.03,100.53,1944834
27-Jun-16,100.90,100.94,98.32,98.70,2786933
24-Jun-16,103.29,104.08,101.21,101.69,3068689
23-Jun-16,106.35,106.82,105.91,106.82,1488648
22-Jun-16,106.19,106.69,105.75,105.80,1445341
21-Jun-16,106.64,106.74,105.97,106.07,1180207
20-Jun-16,107.04,108.20,106.70,106.73,1532510
17-Jun-16,105.47,106.44,105.12,106.24,2115160
16-Jun-16,104.91,105.56,103.86,105.31,1677230
15-Jun-16,106.18,106.44,105.02,105.18,2201254
14-Jun-16,105.38,106.19,104.94,105.70,1876877
13-Jun-16,106.75,107.16,105.60,105.63,3368699
10-Jun-16,108.08,108.55,107.61,108.09,1279826
9-Jun-16,108.56,108.98,107.78,108.80,1482155
8-Jun-16,108.63,109.54,108.44,109.39,1422456
7-Jun-16,107.67,109.06,107.67,108.53,1797743
6-Jun-16,107.30,108.00,107.15,107.76,1080715
3-Jun-16,107.12,107.37,106.47,107.21,1239214
2-Jun-16,106.44,107.12,105.93,107.12,1376115
1-Jun-16,105.21,106.75,104.60,106.70,2725277
31-May-16,105.47,106.14,104.92,106.03,2029350
27-May-16,105.25,105.50,104.84,105.34,835966
26-May-16,105.30,105.82,104.99,105.26,834611
25-May-16,105.09,105.90,104.91,105.14,1286452
24-May-16,103.86,105.18,102.61,104.91,931618
23-May-16,102.96,103.53,102.59,103.24,926017
20-May-16,103.34,103.78,103.01,103.14,1269221
19-May-16,102.58,103.30,101.68,102.76,1233621
18-May-16,103.61,104.33,102.68,103.31,1088000
17-May-16,104.28,105.14,103.40,103.83,1286858
16-May-16,103.26,104.56,103.16,104.30,1192289
13-May-16,104.41,104.83,102.72,102.98,1244381
12-May-16,104.52,105.03,103.77,104.53,1488422
11-May-16,105.28,105.66,104.28,104.28,944386
10-May-16,104.29,105.67,103.84,105.34,1181550
9-May-16,103.97,104.39,103.42,104.09,990444
6-May-16,103.10,104.19,103.01,104.19,979543
5-May-16,103.96,104.35,102.98,103.16,1366493
4-May-16,104.15,104.30,103.29,103.53,1254932
3-May-16,104.54,104.75,103.89,104.47,1501048
2-May-16,104.24,105.11,102.90,104.97,1389531
29-Apr-16,104.16,104.90,103.63,104.52,1768485
28-Apr-16,104.70,105.66,104.30,104.57,1279337
27-Apr-16,105.65,106.03,104.87,105.49,1124290
26-Apr-16,104.79,105.43,104.05,105.42,1488782
25-Apr-16,104.49,104.84,104.07,104.48,1315621
22-Apr-16,104.80,105.42,104.22,104.66,1765634
21-Apr-16,104.61,106.14,104.32,104.57,2086757
20-Apr-16,104.69,105.65,103.67,104.35,2930375
19-Apr-16,105.68,106.19,105.30,105.67,2088531
18-Apr-16,104.41,105.46,104.41,105.30,1326074
15-Apr-16,105.05,105.24,104.80,104.88,1249229
14-Apr-16,105.15,105.60,104.63,104.93,1133175
13-Apr-16,104.90,105.05,104.15,104.97,1856319
12-Apr-16,103.35,105.00,103.27,104.38,1345927
11-Apr-16,103.37,104.35,103.08,103.09,1030689
8-Apr-16,103.62,104.36,102.79,103.21,1123775
7-Apr-16,102.07,103.41,101.98,102.56,2040401
6-Apr-16,101.82,102.80,100.79,102.71,1373563
5-Apr-16,102.04,102.35,101.36,101.80,992949
4-Apr-16,103.47,103.70,102.34,102.67,1444373
1-Apr-16,101.74,103.61,101.36,103.44,1170498
31-Mar-16,102.56,102.98,102.00,102.44,1233887
30-Mar-16,102.11,102.94,101.95,102.63,1714337
29-Mar-16,100.42,101.57,100.33,101.41,1609450
28-Mar-16,101.49,101.73,101.16,101.40,1442062
24-Mar-16,101.44,101.82,101.22,101.39,1576622
23-Mar-16,102.30,102.45,101.68,102.10,1727584
22-Mar-16,101.44,102.47,101.19,102.28,1692928
21-Mar-16,101.03,101.91,100.64,101.75,1687808
18-Mar-16,100.88,101.32,100.31,101.32,2785827
17-Mar-16,98.45,101.04,98.41,100.68,2363563
16-Mar-16,97.82,98.76,97.57,98.32,1282923
15-Mar-16,97.10,97.99,96.74,97.98,1314184
14-Mar-16,97.78,98.50,97.46,98.04,1306899
11-Mar-16,97.97,98.67,97.79,98.17,1291974
10-Mar-16,97.25,97.63,96.13,97.06,1348752
9-Mar-16,97.40,97.73,96.57,96.88,1299566
8-Mar-16,97.31,97.56,96.44,97.10,1275394
7-Mar-16,97.00,98.04,97.00,97.78,1377121
4-Mar-16,96.76,98.11,96.22,97.73,1545942
3-Mar-16,96.88,97.06,95.85,96.57,1631987
2-Mar-16,96.40,97.08,96.10,97.02,1070134
1-Mar-16,95.13,97.12,94.71,96.84,1202206
29-Feb-16,95.13,95.67,94.25,94.25,1551269
26-Feb-16,95.50,95.73,94.76,94.93,1276502
25-Feb-16,94.64,95.10,93.97,94.98,1582952
24-Feb-16,93.62,94.56,92.99,94.21,2546452
23-Feb-16,96.19,96.56,94.68,94.75,1551539
22-Feb-16,96.25,97.34,96.21,96.43,1640702
19-Feb-16,95.14,95.89,94.32,95.86,2579630
18-Feb-16,95.10,95.85,94.76,95.57,1601931
17-Feb-16,94.00,95.21,93.79,94.93,2766641
16-Feb-16,93.01,93.71,91.68,93.54,2238164
12-Feb-16,90.44,92.10,90.06,91.88,1580126
11-Feb-16,88.93,90.37,88.32,89.60,1767754
10-Feb-16,90.63,91.86,90.10,90.42,1682030
9-Feb-16,89.48,91.04,89.25,90.36,1316560
8-Feb-16,89.33,90.57,88.67,90.26,2370720
5-Feb-16,91.00,91.37,89.94,90.41,1859097
4-Feb-16,89.57,92.70,89.52,91.46,1744963
3-Feb-16,89.76,90.00,88.00,89.98,2024125
2-Feb-16,89.30,89.70,88.20,88.60,3337561
1-Feb-16,88.48,90.28,88.42,89.92,2450268
29-Jan-16,89.26,90.07,88.70,90.07,3155090
28-Jan-16,87.11,88.77,86.61,88.76,3301704
27-Jan-16,87.50,88.00,84.62,86.21,3324788
26-Jan-16,82.08,84.34,81.91,84.31,2525779
25-Jan-16,84.05,84.05,80.95,81.05,1648767
22-Jan-16,82.76,83.21,81.51,82.16,2039506
21-Jan-16,81.83,82.51,80.58,81.65,3716013
20-Jan-16,80.28,82.16,79.15,81.34,2989971
19-Jan-16,81.94,82.29,80.69,81.69,2168191
15-Jan-16,80.77,81.99,80.63,81.25,2550723
14-Jan-16,82.83,83.98,81.82,82.83,2530168
13-Jan-16,84.49,84.88,82.24,82.48,2993840
12-Jan-16,84.09,84.52,82.57,83.79,2132694
11-Jan-16,84.37,84.37,81.81,83.19,4311176
8-Jan-16,85.18,85.49,83.83,84.02,2159130
7-Jan-16,85.33,85.98,84.51,84.73,2606632
6-Jan-16,87.92,88.67,86.91,87.52,2547745
5-Jan-16,91.08,91.50,89.13,89.73,2428571
4-Jan-16,91.29,91.42,89.91,91.06,1891791
31-Dec-15,92.79,93.42,92.41,92.68,1071056
30-Dec-15,94.10,94.42,93.16,93.19,969206
29-Dec-15,94.10,94.43,93.85,94.25,800421
28-Dec-15,93.83,94.02,93.15,93.73,750001
24-Dec-15,94.00,94.44,93.97,94.13,338990
23-Dec-15,93.44,94.35,93.15,94.21,1139296
22-Dec-15,92.58,92.99,91.75,92.82,1426242
21-Dec-15,91.69,92.02,90.96,91.84,1483840
18-Dec-15,92.08,92.20,90.87,90.92,2650778
17-Dec-15,93.95,94.17,92.54,92.55,2007606
