Date,Open,High,Low,Close,Volume
9-Dec-16,21.60,21.82,21.48,21.62,1588592
8-Dec-16,21.30,21.68,21.25,21.58,2373364
7-Dec-16,20.47,21.39,20.44,21.31,2876421
6-Dec-16,21.09,21.50,21.09,21.49,1784850
5-Dec-16,20.69,21.08,20.67,20.99,1425989
2-Dec-16,20.59,20.71,20.43,20.50,2302547
1-Dec-16,21.26,21.26,20.50,20.66,1919864
30-Nov-16,21.32,21.47,20.89,21.15,2900251
29-Nov-16,21.29,21.55,21.14,21.17,1693233
28-Nov-16,21.58,21.75,21.34,21.39,1658823
25-Nov-16,21.70,21.81,21.58,21.62,574780
23-Nov-16,21.39,21.84,21.30,21.72,2308335
22-Nov-16,20.57,21.47,20.54,21.40,3800971
21-Nov-16,20.48,20.62,20.32,20.43,2107950
18-Nov-16,20.63,20.70,20.39,20.41,2165534
17-Nov-16,20.71,20.82,20.52,20.63,2684773
16-Nov-16,21.25,21.39,20.56,20.65,3433073
15-Nov-16,21.78,21.87,21.38,21.42,2168608
14-Nov-16,21.70,22.03,21.62,21.70,1461690
11-Nov-16,21.23,21.70,21.12,21.65,1177333
10-Nov-16,21.68,22.08,21.27,21.29,2329136
9-Nov-16,20.96,21.70,20.45,21.57,1721339
8-Nov-16,21.09,21.43,20.88,21.31,1371397
7-Nov-16,20.84,21.26,20.78,21.10,1196515
4-Nov-16,20.50,20.79,20.38,20.45,1346541
3-Nov-16,20.75,20.76,20.45,20.52,2169014
2-Nov-16,21.07,21.19,20.69,20.72,1329264
1-Nov-16,21.45,21.54,20.88,21.05,2019045
31-Oct-16,21.43,21.54,21.25,21.34,1953679
28-Oct-16,21.54,21.96,21.42,21.42,1611791
27-Oct-16,21.75,21.84,21.38,21.53,1559188
26-Oct-16,21.52,22.04,21.49,21.68,2787245
25-Oct-16,21.80,21.85,21.53,21.78,1057891
24-Oct-16,21.92,22.07,21.77,21.85,1361000
21-Oct-16,21.60,21.81,21.37,21.68,1015070
20-Oct-16,21.85,21.97,21.51,21.73,1502098
19-Oct-16,21.64,22.04,21.64,21.93,2131807
18-Oct-16,21.51,21.76,21.42,21.75,1869659
17-Oct-16,21.21,21.52,21.11,21.35,1346742
14-Oct-16,21.43,21.55,21.24,21.26,1495449
13-Oct-16,21.26,21.37,20.88,21.31,1492980
12-Oct-16,21.66,21.72,21.48,21.48,1175009
11-Oct-16,21.84,21.89,21.43,21.60,1669768
10-Oct-16,21.90,22.21,21.83,21.84,1182172
7-Oct-16,21.98,22.11,21.68,21.78,1168310
6-Oct-16,21.96,22.11,21.74,22.02,1833207
5-Oct-16,21.90,22.20,21.81,21.92,2006370
4-Oct-16,21.76,22.08,21.68,21.74,2760246
3-Oct-16,21.72,22.02,21.38,21.61,4007284
30-Sep-16,21.90,21.97,21.67,21.82,2154975
29-Sep-16,22.00,22.12,21.60,21.75,2824053
28-Sep-16,22.24,22.47,21.99,22.00,3146217
27-Sep-16,21.78,22.03,21.68,21.92,2671263
26-Sep-16,21.78,21.95,21.66,21.78,2811046
23-Sep-16,22.16,22.49,21.88,21.89,3723690
22-Sep-16,22.08,22.79,21.84,22.40,8102528
21-Sep-16,23.60,23.85,23.43,23.73,4173227
20-Sep-16,23.81,23.81,23.16,23.16,2447656
19-Sep-16,22.73,23.42,22.62,23.14,3705904
16-Sep-16,22.38,22.58,22.09,22.48,2770963
15-Sep-16,21.49,22.46,21.44,22.43,3865695
14-Sep-16,20.84,21.43,20.73,21.43,2091198
13-Sep-16,20.82,21.07,20.63,20.77,1358199
12-Sep-16,20.51,21.04,20.49,20.93,1263392
9-Sep-16,21.41,21.44,20.63,20.69,1504015
8-Sep-16,21.69,21.70,21.54,21.58,1048483
7-Sep-16,21.58,21.79,21.53,21.78,1259398
6-Sep-16,21.44,21.57,21.32,21.57,1359629
2-Sep-16,21.37,21.52,21.25,21.42,974051
1-Sep-16,21.19,21.35,20.91,21.29,1265735
31-Aug-16,21.11,21.23,20.86,21.19,1741582
30-Aug-16,21.18,21.25,20.99,21.18,1285570
29-Aug-16,21.05,21.23,21.00,21.16,940314
26-Aug-16,21.07,21.14,20.92,21.08,1145584
25-Aug-16,20.90,21.13,20.83,21.08,1332128
24-Aug-16,21.00,21.09,20.90,20.93,1263142
23-Aug-16,21.00,21.12,20.98,21.04,1168171
22-Aug-16,20.97,20.99,20.68,20.93,1173321
19-Aug-16,20.94,21.10,20.87,21.08,955599
18-Aug-16,20.68,21.01,20.64,21.01,1023835
17-Aug-16,20.78,20.92,20.60,20.70,1872251
16-Aug-16,21.00,21.07,20.78,20.79,1317823
15-Aug-16,20.90,21.10,20.82,21.04,1294195
12-Aug-16,20.89,20.89,20.75,20.84,1127303
11-Aug-16,20.58,20.99,20.53,20.90,2038269
10-Aug-16,20.64,20.74,20.53,20.67,1686306
9-Aug-16,20.82,20.83,20.61,20.62,2206100
8-Aug-16,20.69,20.88,20.67,20.81,1670068
5-Aug-16,20.42,20.85,20.42,20.72,1552954
4-Aug-16,20.11,20.34,20.11,20.33,1277087
3-Aug-16,19.97,20.14,19.97,20.10,1822758
2-Aug-16,20.42,20.42,19.94,20.01,2461214
1-Aug-16,20.33,20.50,20.25,20.43,1726911
29-Jul-16,20.41,20.50,20.21,20.35,1029642
28-Jul-16,20.54,20.68,20.38,20.48,1467958
27-Jul-16,20.50,20.74,20.32,20.54,2357820
26-Jul-16,20.35,20.42,20.12,20.33,2245723
25-Jul-16,20.39,20.47,20.31,20.32,1561101
22-Jul-16,20.29,20.49,20.06,20.37,2118299
21-Jul-16,20.61,20.74,20.37,20.40,1364581
20-Jul-16,20.60,20.72,20.52,20.65,1743596
19-Jul-16,20.49,20.66,20.41,20.52,1883902
18-Jul-16,20.62,20.73,20.43,20.55,2580293
15-Jul-16,20.04,20.64,19.90,20.57,5445158
14-Jul-16,19.47,19.59,19.35,19.44,2192735
13-Jul-16,19.42,19.44,19.23,19.32,2374573
12-Jul-16,19.09,19.33,19.00,19.26,2926340
11-Jul-16,18.87,19.02,18.84,18.90,2071646
8-Jul-16,18.42,18.80,18.39,18.76,2033469
7-Jul-16,18.14,18.42,18.04,18.18,2180013
