Date,Open,High,Low,Close,Volume
9-Dec-16,61.15,61.74,60.54,61.57,1064611
8-Dec-16,60.30,61.78,60.03,60.89,1749140
7-Dec-16,60.86,60.96,60.14,60.30,1653407
6-Dec-16,59.93,60.78,59.79,60.49,1793595
5-Dec-16,61.20,61.23,59.57,59.85,2141548
2-Dec-16,61.79,61.79,60.17,60.66,1451351
1-Dec-16,62.48,63.16,61.45,61.63,1291255
30-Nov-16,62.38,63.42,61.99,62.01,1759017
29-Nov-16,61.80,62.12,61.07,61.72,1371663
28-Nov-16,62.13,62.62,61.83,61.92,1606874
25-Nov-16,62.10,62.27,61.38,62.17,637195
23-Nov-16,59.20,61.76,59.20,61.69,1950088
22-Nov-16,57.55,59.72,57.27,59.32,3155205
21-Nov-16,58.50,58.70,57.92,58.00,1085638
18-Nov-16,58.62,58.75,57.91,58.15,955106
17-Nov-16,58.71,58.98,58.48,58.83,890531
16-Nov-16,58.72,59.19,58.31,58.63,1457082
15-Nov-16,58.91,59.28,58.09,59.19,1534522
14-Nov-16,56.17,58.90,55.72,58.63,2709704
11-Nov-16,55.77,56.21,55.31,55.62,1122274
10-Nov-16,55.59,56.69,55.29,55.89,1673540
9-Nov-16,53.03,55.95,53.03,54.91,2822225
8-Nov-16,49.43,50.38,49.17,49.99,868979
7-Nov-16,50.15,50.29,49.16,49.42,1492079
4-Nov-16,50.79,50.80,49.25,49.25,1078661
3-Nov-16,50.75,51.21,50.10,51.03,571435
2-Nov-16,50.72,51.20,50.30,50.55,518351
1-Nov-16,51.99,51.99,50.22,50.75,957096
31-Oct-16,51.38,51.78,51.18,51.58,532260
28-Oct-16,50.76,51.84,50.74,51.10,510241
27-Oct-16,51.23,51.33,50.61,50.68,496036
26-Oct-16,50.05,51.18,49.90,50.87,468333
25-Oct-16,50.71,51.07,50.39,50.43,798136
24-Oct-16,50.95,51.23,50.80,50.98,387682
21-Oct-16,50.23,50.72,49.84,50.55,514059
20-Oct-16,50.49,50.81,50.21,50.67,496481
19-Oct-16,50.84,51.12,50.72,50.78,449358
18-Oct-16,50.95,51.13,50.46,50.58,510038
17-Oct-16,50.05,50.74,49.93,50.28,433011
14-Oct-16,50.44,50.77,50.05,50.05,783320
13-Oct-16,49.82,50.38,49.68,50.19,519592
12-Oct-16,50.07,50.67,49.62,50.36,813681
11-Oct-16,51.61,51.62,49.99,50.10,570977
10-Oct-16,52.27,52.58,51.80,51.84,359831
7-Oct-16,52.42,52.42,51.75,51.83,648715
6-Oct-16,52.12,52.41,51.67,52.39,643579
5-Oct-16,51.73,52.53,51.68,52.33,622972
4-Oct-16,51.93,52.31,51.28,51.32,564875
3-Oct-16,51.48,51.99,51.02,51.96,777531
30-Sep-16,51.97,52.19,51.68,51.72,1165588
29-Sep-16,52.21,52.79,51.94,51.96,533130
28-Sep-16,51.10,52.26,51.10,52.21,837125
27-Sep-16,50.63,50.93,50.34,50.75,908676
26-Sep-16,50.48,51.07,50.40,50.71,335980
23-Sep-16,51.06,51.47,50.64,50.65,412385
22-Sep-16,51.16,51.47,50.87,51.21,379016
21-Sep-16,49.96,50.68,49.64,50.64,560963
20-Sep-16,50.64,50.77,49.90,49.91,377394
19-Sep-16,49.88,50.58,49.88,50.27,789292
16-Sep-16,49.86,49.86,49.15,49.67,736371
15-Sep-16,49.37,50.31,49.17,50.14,597354
14-Sep-16,50.15,50.27,49.21,49.30,705655
13-Sep-16,50.09,50.51,49.91,50.15,671009
12-Sep-16,49.84,50.92,49.70,50.61,798802
9-Sep-16,51.19,51.28,50.14,50.15,758690
8-Sep-16,51.86,52.08,51.54,51.57,740834
7-Sep-16,51.50,51.86,51.27,51.78,802176
6-Sep-16,52.46,52.79,51.40,51.66,709016
2-Sep-16,52.42,52.46,51.91,52.25,956430
1-Sep-16,52.72,53.04,51.72,52.03,1017785
31-Aug-16,53.18,53.18,52.34,52.69,745925
30-Aug-16,54.73,54.86,53.42,53.48,780684
29-Aug-16,54.40,55.13,54.33,54.75,909476
26-Aug-16,54.63,55.24,54.20,54.48,717178
25-Aug-16,54.04,54.42,53.91,54.35,763648
24-Aug-16,54.39,54.81,53.99,54.11,417982
23-Aug-16,54.22,54.77,54.22,54.64,406206
22-Aug-16,53.61,54.16,53.25,54.09,537855
19-Aug-16,53.83,53.86,53.13,53.73,790734
18-Aug-16,53.38,54.04,53.27,53.97,521739
17-Aug-16,53.78,53.84,53.07,53.28,798023
16-Aug-16,53.93,54.23,53.40,53.69,742641
15-Aug-16,53.75,54.53,53.51,54.25,621752
12-Aug-16,54.22,54.32,53.38,53.51,723712
11-Aug-16,54.47,55.00,53.38,54.41,1225461
10-Aug-16,55.38,55.50,54.50,54.62,1237643
9-Aug-16,54.29,55.89,53.53,55.57,1449546
8-Aug-16,53.92,54.38,53.30,53.39,1129811
5-Aug-16,53.26,53.94,53.25,53.76,1176334
4-Aug-16,52.93,53.43,52.78,53.01,576182
