Date,Open,High,Low,Close,Volume
9-Dec-16,28.82,28.86,28.19,28.46,3259438
8-Dec-16,28.43,29.21,28.28,28.66,7608308
7-Dec-16,27.51,27.76,27.31,27.75,4537028
6-Dec-16,26.89,26.99,26.61,26.93,3413758
5-Dec-16,26.95,27.28,26.72,26.93,5105740
2-Dec-16,26.87,26.91,26.51,26.83,3788652
1-Dec-16,27.60,27.67,26.82,26.98,5802058
30-Nov-16,26.78,27.64,26.75,27.54,11126501
29-Nov-16,26.44,26.98,26.32,26.78,4695685
28-Nov-16,26.51,26.73,26.28,26.48,3613588
25-Nov-16,26.34,26.61,26.24,26.51,1055458
23-Nov-16,26.33,26.58,26.19,26.39,2391842
22-Nov-16,26.42,26.44,26.12,26.34,2907469
21-Nov-16,26.50,26.60,26.09,26.36,2862128
18-Nov-16,26.28,26.50,26.08,26.35,3112544
17-Nov-16,26.09,26.29,25.86,26.24,4379873
16-Nov-16,26.40,26.63,26.00,26.24,3555073
15-Nov-16,26.04,26.18,25.80,26.10,3761971
14-Nov-16,25.58,26.20,25.58,25.96,5994229
11-Nov-16,25.09,25.63,25.05,25.41,9045144
10-Nov-16,25.41,25.82,24.97,25.19,6144760
9-Nov-16,24.97,25.54,24.74,25.28,5942949
8-Nov-16,25.54,25.66,25.20,25.49,3196751
7-Nov-16,25.46,25.60,25.36,25.49,3929282
4-Nov-16,25.00,25.31,24.89,24.90,5134473
3-Nov-16,25.18,25.21,24.89,24.91,4714934
2-Nov-16,25.85,25.98,25.09,25.15,6628596
1-Nov-16,25.80,25.97,25.52,25.85,7901954
31-Oct-16,26.20,26.42,26.14,26.34,7352329
28-Oct-16,26.27,26.58,26.08,26.20,6218862
27-Oct-16,26.33,26.56,25.88,26.19,9176738
26-Oct-16,25.59,26.84,25.40,26.15,17773454
25-Oct-16,23.67,23.76,23.14,23.72,7827230
24-Oct-16,23.31,23.68,23.20,23.66,5380313
21-Oct-16,22.64,23.15,22.46,23.13,4736424
20-Oct-16,22.70,22.83,22.62,22.75,2896474
19-Oct-16,22.84,23.04,22.70,22.95,2561571
18-Oct-16,22.66,23.14,22.51,22.85,4969343
17-Oct-16,22.80,22.83,22.41,22.43,4001486
14-Oct-16,23.35,23.52,22.73,22.75,5591811
13-Oct-16,23.26,23.39,22.95,23.21,2533095
12-Oct-16,23.40,23.63,23.27,23.48,3143527
11-Oct-16,24.59,24.59,23.85,23.94,2715867
10-Oct-16,24.90,25.11,24.56,24.57,2816709
7-Oct-16,24.58,24.98,24.45,24.81,6485961
6-Oct-16,24.68,24.79,24.44,24.52,3199710
5-Oct-16,24.33,24.99,24.33,24.84,4370690
4-Oct-16,24.05,24.52,23.98,24.25,3949873
3-Oct-16,23.93,24.08,23.83,24.07,3219147
30-Sep-16,23.85,24.16,23.78,24.06,2680858
29-Sep-16,23.88,24.00,23.60,23.71,2456690
28-Sep-16,24.02,24.22,23.84,23.93,4957614
