Date,Open,High,Low,Close,Volume
9-Dec-16,18.54,18.54,18.19,18.46,11221681
8-Dec-16,18.40,18.61,18.17,18.37,14593387
7-Dec-16,17.97,18.30,17.85,18.25,14123862
6-Dec-16,17.86,17.98,17.58,17.95,12578939
5-Dec-16,17.89,18.01,17.62,17.70,19851784
2-Dec-16,17.88,17.99,17.58,17.90,17003701
1-Dec-16,17.42,17.87,17.42,17.86,15567064
30-Nov-16,17.42,17.59,17.20,17.31,18361320
29-Nov-16,17.03,17.22,16.96,17.01,10081906
28-Nov-16,17.21,17.30,16.94,17.00,12059861
25-Nov-16,17.41,17.44,17.20,17.33,6134531
23-Nov-16,17.33,17.57,17.28,17.52,16881852
22-Nov-16,17.27,17.31,17.07,17.18,13703949
21-Nov-16,17.15,17.29,16.96,17.18,16731373
18-Nov-16,17.05,17.10,16.92,17.01,16480732
17-Nov-16,16.78,17.01,16.72,17.00,25387529
16-Nov-16,16.67,16.97,16.54,16.73,23338603
15-Nov-16,16.63,17.12,16.33,17.09,26637678
14-Nov-16,16.60,17.07,16.46,16.79,32390461
11-Nov-16,15.72,16.35,15.62,16.33,32090770
10-Nov-16,15.50,16.04,15.28,15.79,28197802
9-Nov-16,14.66,15.31,14.56,15.23,33339985
8-Nov-16,14.43,14.51,14.16,14.41,17263257
7-Nov-16,14.34,14.58,14.34,14.54,17217876
4-Nov-16,13.98,14.17,13.85,14.05,13876213
3-Nov-16,13.95,14.19,13.94,13.96,14461845
2-Nov-16,14.10,14.10,13.83,13.95,13887297
1-Nov-16,14.21,14.28,13.95,14.14,15735625
31-Oct-16,14.15,14.24,14.07,14.12,11500494
28-Oct-16,14.29,14.33,14.00,14.07,18812743
27-Oct-16,14.27,14.38,14.16,14.27,15352414
26-Oct-16,13.87,14.27,13.85,14.18,24081102
25-Oct-16,13.31,13.89,13.20,13.87,36703575
24-Oct-16,13.10,13.25,13.09,13.10,12880843
21-Oct-16,12.91,13.06,12.84,13.04,10194614
20-Oct-16,12.92,13.15,12.88,13.02,19806796
19-Oct-16,12.70,12.98,12.67,12.92,15884380
18-Oct-16,12.54,12.65,12.36,12.63,18228829
17-Oct-16,12.54,12.57,12.33,12.35,9379584
14-Oct-16,12.53,12.62,12.42,12.52,14724315
13-Oct-16,12.55,12.57,12.20,12.31,14401533
12-Oct-16,12.75,12.79,12.65,12.70,18754042
11-Oct-16,12.78,12.84,12.63,12.74,15710884
10-Oct-16,12.82,12.90,12.78,12.80,10389560
7-Oct-16,12.71,12.82,12.56,12.68,10867806
6-Oct-16,12.78,12.85,12.68,12.73,10160272
5-Oct-16,12.47,12.79,12.47,12.76,15362282
4-Oct-16,12.21,12.56,12.18,12.41,15709530
3-Oct-16,12.11,12.22,12.06,12.15,11002194
30-Sep-16,12.12,12.22,12.00,12.17,22705265
29-Sep-16,12.20,12.37,11.97,12.05,13195708
28-Sep-16,12.18,12.25,12.05,12.24,11451505
27-Sep-16,11.96,12.18,11.89,12.15,13497281
26-Sep-16,12.20,12.26,11.99,12.01,17728618
23-Sep-16,12.30,12.47,12.26,12.31,11499121
22-Sep-16,12.29,12.37,12.26,12.34,13022922
21-Sep-16,12.24,12.31,12.08,12.24,14128943
20-Sep-16,12.38,12.39,12.14,12.19,8812983
19-Sep-16,12.33,12.39,12.20,12.26,9640304
16-Sep-16,12.24,12.28,12.13,12.26,17026410
15-Sep-16,12.17,12.39,12.15,12.37,14141494
14-Sep-16,12.31,12.40,12.19,12.22,14041629
13-Sep-16,12.45,12.47,12.18,12.32,19901751
12-Sep-16,12.18,12.62,12.08,12.62,26413007
9-Sep-16,12.36,12.54,12.26,12.26,18967736
8-Sep-16,12.40,12.45,12.28,12.40,17418592
7-Sep-16,12.31,12.40,12.24,12.37,11151442
6-Sep-16,12.54,12.56,12.24,12.35,13430526
2-Sep-16,12.50,12.57,12.35,12.55,13488037
1-Sep-16,12.60,12.64,12.30,12.44,13130095
31-Aug-16,12.53,12.60,12.41,12.56,20063485
30-Aug-16,12.35,12.50,12.35,12.49,10910021
29-Aug-16,12.23,12.42,12.23,12.32,15686371
26-Aug-16,12.29,12.43,12.20,12.32,19061122
25-Aug-16,12.07,12.28,12.07,12.26,19800041
24-Aug-16,12.17,12.22,12.06,12.08,20848971
23-Aug-16,12.24,12.26,12.13,12.14,11203565
22-Aug-16,12.21,12.33,12.13,12.18,21943584
19-Aug-16,12.19,12.26,12.14,12.23,14174251
18-Aug-16,12.18,12.35,12.14,12.21,14221672
17-Aug-16,12.19,12.28,12.14,12.19,15336940
16-Aug-16,12.12,12.28,12.07,12.17,14435983
15-Aug-16,12.07,12.22,12.06,12.20,15115257
12-Aug-16,12.01,12.02,11.89,11.99,13092431
11-Aug-16,12.16,12.19,12.08,12.12,11629815
10-Aug-16,12.21,12.27,12.12,12.12,22098360
9-Aug-16,12.19,12.30,12.16,12.24,17562153
8-Aug-16,12.30,12.40,12.15,12.17,18593876
5-Aug-16,11.91,12.27,11.88,12.26,23633784
4-Aug-16,11.67,11.80,11.67,11.73,14563476
3-Aug-16,11.44,11.68,11.44,11.67,18294062
2-Aug-16,11.46,11.52,11.35,11.45,17540426
1-Aug-16,11.68,11.80,11.45,11.48,16378726
29-Jul-16,11.57,11.82,11.57,11.70,76853316
28-Jul-16,11.56,11.72,11.47,11.65,14125959
27-Jul-16,11.57,11.72,11.53,11.57,18790077
26-Jul-16,11.66,11.71,11.44,11.61,25149922
25-Jul-16,11.77,11.84,11.64,11.68,14631750
22-Jul-16,11.72,11.83,11.62,11.81,11517901
21-Jul-16,11.78,11.90,11.64,11.68,10628501
20-Jul-16,11.77,11.84,11.63,11.82,9376435
19-Jul-16,11.67,11.82,11.61,11.72,7787208
18-Jul-16,11.69,11.75,11.62,11.73,9255791
15-Jul-16,11.86,11.91,11.64,11.70,12625596
14-Jul-16,11.83,11.89,11.73,11.78,14764251
13-Jul-16,11.53,11.61,11.38,11.56,13072137
12-Jul-16,11.40,11.56,11.38,11.47,15119153
11-Jul-16,11.24,11.36,11.17,11.22,11285757
8-Jul-16,11.17,11.29,11.06,11.09,14107496
7-Jul-16,10.81,11.09,10.81,10.94,14513471
6-Jul-16,10.55,10.85,10.38,10.80,16081699
5-Jul-16,10.93,10.96,10.60,10.68,14182079
1-Jul-16,10.97,11.11,10.88,10.96,17636815
30-Jun-16,11.03,11.05,10.80,11.05,23249009
29-Jun-16,10.80,10.88,10.55,10.82,21876578
28-Jun-16,10.54,10.70,10.35,10.67,29016410
27-Jun-16,10.92,10.92,10.21,10.29,23680629
24-Jun-16,11.28,11.49,11.05,11.07,24581159
23-Jun-16,11.76,11.99,11.76,11.99,10457551
22-Jun-16,11.64,11.80,11.56,11.57,8454664
21-Jun-16,11.65,11.69,11.46,11.63,10815279
20-Jun-16,11.81,11.96,11.57,11.60,10528273
17-Jun-16,11.48,11.78,11.48,11.62,15680203
16-Jun-16,11.56,11.59,11.34,11.53,15131847
15-Jun-16,11.67,11.89,11.62,11.66,11802392
14-Jun-16,11.99,12.16,11.53,11.65,19381879
13-Jun-16,12.17,12.33,12.07,12.08,10793378
10-Jun-16,12.31,12.32,12.18,12.25,11391627
9-Jun-16,12.60,12.61,12.29,12.44,14828641
8-Jun-16,12.68,12.79,12.62,12.70,13970209
7-Jun-16,12.87,12.88,12.68,12.69,9853646
6-Jun-16,12.73,12.96,12.71,12.84,13909514
3-Jun-16,12.42,12.73,12.39,12.71,10768253
2-Jun-16,12.85,12.98,12.78,12.96,8505156
1-Jun-16,12.67,12.93,12.56,12.89,12618830
31-May-16,12.94,12.98,12.76,12.82,13959389
27-May-16,12.78,12.96,12.75,12.88,13414757
26-May-16,12.93,12.94,12.69,12.75,7722929
25-May-16,12.83,13.08,12.83,12.96,14015089
24-May-16,12.60,12.80,12.56,12.75,11101401
23-May-16,12.48,12.56,12.31,12.48,9997640
20-May-16,12.44,12.60,12.42,12.48,9113699
19-May-16,12.49,12.67,12.28,12.39,14293026
18-May-16,11.93,12.57,11.92,12.52,19138604
17-May-16,11.85,12.08,11.76,11.94,11117158
16-May-16,11.70,11.95,11.67,11.90,10714833
13-May-16,11.86,12.04,11.63,11.67,8946366
12-May-16,12.04,12.16,11.79,11.88,8357295
11-May-16,11.99,12.17,11.96,11.96,8998628
10-May-16,11.91,12.09,11.90,12.03,10044905
9-May-16,11.87,11.96,11.70,11.80,11073982
6-May-16,11.76,11.92,11.72,11.88,10155864
5-May-16,11.92,12.00,11.78,11.87,10546267
4-May-16,12.06,12.12,11.77,11.89,13914967
3-May-16,12.27,12.29,12.05,12.19,12771139
2-May-16,12.37,12.52,12.20,12.46,12211788
29-Apr-16,12.31,12.44,12.19,12.29,17188629
28-Apr-16,12.45,12.64,12.36,12.42,13238963
27-Apr-16,12.58,12.68,12.45,12.57,10789433
26-Apr-16,12.49,12.64,12.38,12.57,11114812
25-Apr-16,12.53,12.54,12.32,12.41,11495198
22-Apr-16,12.32,12.66,12.31,12.58,16749766
21-Apr-16,12.02,12.51,12.00,12.29,18988598
20-Apr-16,12.04,12.16,11.95,12.14,16214413
19-Apr-16,11.82,12.03,11.80,11.98,12333340
18-Apr-16,11.60,11.86,11.58,11.79,8620740
15-Apr-16,11.80,11.80,11.63,11.70,10822462
14-Apr-16,11.46,11.87,11.44,11.73,16379471
13-Apr-16,11.16,11.58,11.13,11.50,17833946
12-Apr-16,10.89,11.03,10.84,11.02,9191398
11-Apr-16,10.82,11.02,10.80,10.89,11671116
8-Apr-16,10.80,10.96,10.71,10.72,8844795
7-Apr-16,10.83,10.91,10.60,10.66,15114258
6-Apr-16,10.81,11.04,10.74,10.99,13826043
5-Apr-16,10.80,10.91,10.76,10.80,12108239
4-Apr-16,10.94,11.22,10.89,10.96,10776209
1-Apr-16,10.96,11.04,10.80,10.97,11830994
31-Mar-16,11.11,11.20,10.95,11.04,11399091
30-Mar-16,11.11,11.29,11.05,11.15,13171904
