Date,Open,High,Low,Close,Volume
9-Dec-16,59.50,59.50,57.01,57.50,4169034
8-Dec-16,57.96,59.67,57.82,59.43,5313455
7-Dec-16,55.05,58.12,55.03,57.82,4752829
6-Dec-16,54.64,55.81,54.11,55.00,4477742
5-Dec-16,54.72,55.98,54.26,54.51,4669776
2-Dec-16,54.95,56.12,54.35,55.22,2757348
1-Dec-16,53.50,55.86,53.13,54.92,4229081
30-Nov-16,53.91,54.42,52.90,53.83,4424877
29-Nov-16,54.50,54.91,53.53,54.14,4027197
28-Nov-16,54.67,54.95,53.41,54.05,3463205
25-Nov-16,55.74,55.90,54.71,54.81,1500336
23-Nov-16,55.32,56.07,55.12,55.53,2261239
22-Nov-16,55.10,56.20,55.00,55.66,3104762
21-Nov-16,54.60,55.07,54.00,54.56,2962252
18-Nov-16,54.43,55.45,53.99,54.57,3519438
17-Nov-16,53.68,54.63,52.34,54.51,3746747
16-Nov-16,52.85,53.99,52.59,53.78,3246308
15-Nov-16,53.28,53.93,52.09,52.86,4847660
14-Nov-16,53.76,57.27,53.72,53.79,9967178
11-Nov-16,50.97,53.87,50.54,53.22,10670524
10-Nov-16,49.19,52.91,49.05,50.97,18580185
9-Nov-16,43.19,46.25,43.00,45.70,6659130
8-Nov-16,43.91,44.45,43.17,43.97,3434892
7-Nov-16,43.40,43.92,43.24,43.84,3194028
4-Nov-16,42.78,43.60,42.12,42.82,2717412
3-Nov-16,43.45,44.02,42.63,42.69,3133534
2-Nov-16,42.75,43.27,42.15,43.15,3742781
1-Nov-16,43.70,44.28,43.26,43.69,2187256
31-Oct-16,44.27,44.50,43.55,43.75,2018841
28-Oct-16,43.68,44.50,43.52,44.12,2213832
27-Oct-16,43.91,44.27,43.35,43.70,2912140
26-Oct-16,43.42,44.53,43.32,43.75,1959449
25-Oct-16,44.00,44.06,43.03,43.51,3078521
24-Oct-16,45.21,45.49,44.11,44.44,2734042
21-Oct-16,43.80,45.29,43.70,45.05,3749592
20-Oct-16,43.73,44.62,43.70,44.02,2990919
19-Oct-16,42.69,43.85,42.38,43.83,2731428
18-Oct-16,43.58,43.74,42.77,43.04,2821407
17-Oct-16,43.72,44.35,42.95,43.22,2848153
14-Oct-16,43.73,44.09,43.11,43.68,5856681
13-Oct-16,45.62,45.62,44.44,45.12,2335562
12-Oct-16,45.90,46.44,45.84,45.97,2850514
11-Oct-16,46.15,46.37,45.76,45.90,2373048
10-Oct-16,46.24,46.46,45.71,46.15,3390991
7-Oct-16,45.20,46.36,45.10,46.13,5736448
6-Oct-16,44.26,45.19,44.04,44.97,2909356
5-Oct-16,43.57,44.77,43.55,44.33,2792088
4-Oct-16,42.96,43.54,42.79,43.26,2472142
3-Oct-16,43.53,43.60,42.48,42.87,2179850
30-Sep-16,43.17,43.98,43.05,43.75,3095839
29-Sep-16,42.42,43.47,42.20,42.80,2942943
28-Sep-16,42.70,43.06,41.96,42.51,2780296
27-Sep-16,42.68,43.00,42.35,42.70,1887411
26-Sep-16,43.25,43.48,42.41,42.68,3236155
23-Sep-16,43.43,44.45,43.27,43.36,2893728
22-Sep-16,44.42,44.65,43.00,43.51,3963413
21-Sep-16,43.84,44.40,43.67,44.34,2314043
20-Sep-16,43.76,44.29,43.61,43.67,3217273
19-Sep-16,43.18,44.13,42.95,43.70,3564470
16-Sep-16,42.51,43.29,42.42,42.97,3724567
15-Sep-16,42.26,43.00,41.39,42.71,4189028
14-Sep-16,42.90,43.48,42.32,42.42,2851296
13-Sep-16,43.25,43.25,42.16,42.77,4109342
12-Sep-16,42.51,43.80,42.50,43.66,4375970
9-Sep-16,42.67,43.40,42.25,42.89,3845338
8-Sep-16,43.80,43.90,42.88,43.01,3750864
7-Sep-16,43.42,44.24,43.05,44.17,3398788
6-Sep-16,43.41,43.60,42.67,43.18,2902036
2-Sep-16,43.64,43.95,43.06,43.53,2179649
1-Sep-16,44.67,44.67,43.58,43.92,2844935
31-Aug-16,44.90,45.43,44.03,44.38,4264893
30-Aug-16,45.02,45.17,44.69,44.93,2983769
29-Aug-16,44.74,45.48,44.65,45.26,3044430
26-Aug-16,44.62,45.31,44.35,44.54,3092615
25-Aug-16,44.70,45.31,44.34,44.68,2268732
24-Aug-16,45.08,45.35,44.87,44.97,2064918
23-Aug-16,44.71,45.44,44.69,45.02,2756049
22-Aug-16,45.44,45.60,43.76,44.26,4053436
19-Aug-16,45.59,45.88,44.93,45.42,3312735
18-Aug-16,45.19,45.82,45.19,45.74,3784473
17-Aug-16,45.79,46.32,44.90,45.13,5476573
16-Aug-16,45.74,46.69,45.56,46.08,5231454
