Date,Open,High,Low,Close,Volume
9-Dec-16,46.86,47.46,46.82,47.37,960175
8-Dec-16,46.60,47.30,46.54,46.94,992488
7-Dec-16,45.94,46.50,45.88,46.49,1655744
6-Dec-16,45.35,46.02,45.23,45.94,1467056
5-Dec-16,45.25,45.35,45.02,45.21,880357
2-Dec-16,44.96,45.04,44.68,44.88,1022625
1-Dec-16,44.87,45.25,44.82,45.01,972007
30-Nov-16,44.64,44.96,44.57,44.65,1566131
29-Nov-16,44.38,44.58,44.29,44.42,756165
28-Nov-16,44.21,44.55,44.19,44.33,795579
25-Nov-16,44.76,44.76,44.38,44.47,419408
23-Nov-16,44.55,44.81,44.26,44.76,914856
22-Nov-16,44.35,44.55,44.07,44.45,1517563
21-Nov-16,44.08,44.20,43.89,44.20,709754
18-Nov-16,43.90,44.00,43.70,43.86,1387258
17-Nov-16,43.61,44.12,43.56,43.99,999562
16-Nov-16,43.67,43.71,43.37,43.61,637431
15-Nov-16,43.96,44.04,43.61,43.94,1335916
14-Nov-16,43.65,44.05,43.59,43.96,1608072
11-Nov-16,43.36,43.50,42.99,43.41,1307534
10-Nov-16,43.54,43.65,43.09,43.48,1661260
9-Nov-16,42.97,43.38,42.42,43.14,1546055
8-Nov-16,41.83,42.67,41.70,42.55,1635478
7-Nov-16,41.80,41.99,41.62,41.83,1151819
4-Nov-16,41.89,41.90,41.38,41.41,1078898
3-Nov-16,41.74,42.12,41.74,41.85,890561
2-Nov-16,42.30,42.42,41.70,41.79,1199396
1-Nov-16,43.02,43.12,42.17,42.36,1368310
31-Oct-16,43.04,43.68,42.37,43.03,2953246
28-Oct-16,41.09,41.34,40.86,41.02,955830
27-Oct-16,41.11,41.11,40.78,41.01,848227
26-Oct-16,40.73,41.11,40.73,40.88,668645
25-Oct-16,40.88,41.05,40.76,40.88,778631
24-Oct-16,40.97,41.08,40.85,40.89,452925
21-Oct-16,41.06,41.06,40.74,40.80,716205
20-Oct-16,41.66,41.81,41.33,41.41,603489
19-Oct-16,41.49,41.86,41.37,41.83,1100572
