Date,Open,High,Low,Close,Volume
9-Dec-16,23.87,24.04,23.65,24.00,1772473
8-Dec-16,23.55,24.16,23.38,23.91,1858541
7-Dec-16,22.98,23.41,22.85,23.41,2308025
6-Dec-16,23.00,23.12,22.75,22.98,2369527
5-Dec-16,22.72,22.98,22.64,22.96,2533990
2-Dec-16,22.69,22.71,22.44,22.55,2060007
1-Dec-16,22.13,22.78,22.11,22.77,2991118
30-Nov-16,21.69,22.05,21.62,22.02,2419356
29-Nov-16,21.13,21.44,21.12,21.33,1328177
28-Nov-16,21.18,21.30,21.05,21.10,1105085
25-Nov-16,21.38,21.42,21.19,21.35,503108
23-Nov-16,21.00,21.31,20.94,21.30,1583419
22-Nov-16,21.10,21.19,20.88,21.03,1057902
21-Nov-16,21.00,21.11,20.96,21.06,1407334
18-Nov-16,20.75,21.06,20.61,20.99,1236154
17-Nov-16,20.75,20.86,20.68,20.78,1245918
16-Nov-16,20.67,20.83,20.64,20.75,1274196
15-Nov-16,20.62,20.88,20.44,20.87,1602655
14-Nov-16,20.83,21.04,20.54,20.76,2912646
11-Nov-16,20.20,20.79,20.17,20.78,3396709
10-Nov-16,19.84,20.46,19.83,20.20,3883341
9-Nov-16,18.67,19.79,18.64,19.65,3540925
8-Nov-16,18.66,18.96,18.48,18.81,2869319
7-Nov-16,18.27,18.79,18.27,18.66,2546468
4-Nov-16,18.13,18.20,17.87,17.91,1749582
3-Nov-16,18.44,18.50,18.09,18.10,1753939
2-Nov-16,18.50,18.50,18.31,18.32,1365418
1-Nov-16,18.79,18.79,18.40,18.58,1443982
31-Oct-16,18.81,18.83,18.66,18.67,1474408
28-Oct-16,18.77,18.89,18.53,18.71,1646787
27-Oct-16,18.92,18.92,18.68,18.71,1427610
26-Oct-16,18.58,18.90,18.45,18.80,2169693
25-Oct-16,18.82,18.87,18.64,18.66,1260298
24-Oct-16,18.89,18.92,18.67,18.83,1425346
21-Oct-16,18.63,18.82,18.61,18.76,1115498
20-Oct-16,18.75,18.97,18.74,18.80,1743934
19-Oct-16,19.01,19.03,18.78,18.80,1708126
18-Oct-16,18.89,19.00,18.74,18.96,1526237
17-Oct-16,19.01,19.01,18.62,18.63,1660654
14-Oct-16,19.08,19.14,18.86,18.97,1798197
13-Oct-16,19.18,19.18,18.80,18.90,1942971
12-Oct-16,19.30,19.46,19.17,19.40,2627596
11-Oct-16,19.45,19.54,19.22,19.27,2501890
10-Oct-16,19.67,19.70,19.48,19.51,1765790
7-Oct-16,19.60,19.74,19.45,19.55,4069175
6-Oct-16,19.35,19.56,19.21,19.55,2710582
5-Oct-16,19.00,19.40,18.94,19.30,2427031
4-Oct-16,18.97,19.04,18.82,18.86,1425406
3-Oct-16,18.98,19.09,18.88,18.94,1070201
30-Sep-16,18.90,19.20,18.84,19.04,3049251
29-Sep-16,18.85,18.95,18.38,18.74,2405304
28-Sep-16,18.80,18.92,18.61,18.86,1306928
27-Sep-16,18.58,18.81,18.47,18.76,1139750
26-Sep-16,18.68,18.79,18.54,18.61,1478467
23-Sep-16,19.02,19.12,18.83,18.84,1382453
22-Sep-16,19.24,19.28,19.00,19.07,1161529
21-Sep-16,19.04,19.31,18.97,19.15,1848399
20-Sep-16,19.07,19.13,18.91,18.92,1431980
19-Sep-16,19.06,19.28,18.94,18.96,940756
16-Sep-16,18.93,19.04,18.80,18.97,2591910
15-Sep-16,18.77,19.15,18.76,19.08,1053694
14-Sep-16,18.96,19.08,18.76,18.85,1110501
13-Sep-16,19.13,19.13,18.51,19.01,1642276
12-Sep-16,18.83,19.46,18.63,19.38,2011111
9-Sep-16,19.32,19.41,18.97,18.98,1590010
8-Sep-16,19.20,19.49,19.10,19.47,1721875
7-Sep-16,18.77,19.21,18.73,19.20,1240680
6-Sep-16,19.02,19.08,18.76,18.84,1513717
2-Sep-16,19.01,19.15,18.85,19.03,1001884
1-Sep-16,19.20,19.22,18.77,18.89,1369308
31-Aug-16,19.03,19.25,18.98,19.15,2055002
30-Aug-16,19.01,19.18,18.92,19.09,1369927
29-Aug-16,18.85,19.14,18.85,19.04,1311013
26-Aug-16,18.92,19.04,18.70,18.82,1048486
25-Aug-16,18.52,18.90,18.52,18.83,899664
24-Aug-16,18.68,18.98,18.53,18.57,1465609
23-Aug-16,18.76,18.84,18.62,18.68,1068098
22-Aug-16,18.66,18.72,18.56,18.64,979920
19-Aug-16,18.76,18.76,18.60,18.70,1043654
18-Aug-16,18.86,19.00,18.77,18.86,1111092
17-Aug-16,18.82,18.87,18.66,18.83,852402
16-Aug-16,18.88,18.99,18.70,18.82,1066702
15-Aug-16,18.76,19.07,18.70,18.92,1391507
12-Aug-16,18.70,18.70,18.47,18.66,1106432
11-Aug-16,18.88,18.93,18.77,18.78,1150547
10-Aug-16,18.82,19.02,18.74,18.83,1629966
9-Aug-16,18.83,19.10,18.76,18.80,1607978
8-Aug-16,18.89,19.14,18.77,18.81,2284183
5-Aug-16,18.90,19.06,18.81,18.86,2482177
4-Aug-16,17.90,18.88,17.90,18.65,1850281
3-Aug-16,17.47,18.01,17.47,18.00,1471618
2-Aug-16,17.99,18.08,17.58,17.80,1880862
1-Aug-16,18.27,18.43,18.05,18.08,2128415
29-Jul-16,18.09,18.27,18.00,18.26,1101015
28-Jul-16,18.14,18.18,17.98,18.14,687111
27-Jul-16,18.14,18.27,18.06,18.17,1127026
26-Jul-16,18.12,18.21,18.08,18.12,770059
25-Jul-16,18.16,18.18,18.04,18.14,788915
22-Jul-16,18.07,18.20,18.03,18.16,637807
21-Jul-16,18.06,18.19,18.01,18.08,1122311
20-Jul-16,17.97,18.06,17.78,18.03,992654
19-Jul-16,17.86,18.06,17.81,17.92,974872
18-Jul-16,17.83,18.01,17.78,17.94,659732
15-Jul-16,17.97,17.97,17.69,17.83,1280289
14-Jul-16,18.02,18.11,17.84,17.86,1148672
13-Jul-16,17.62,17.81,17.51,17.79,1222448
12-Jul-16,17.65,17.71,17.54,17.59,1703767
11-Jul-16,17.55,17.68,17.41,17.41,1207805
8-Jul-16,17.46,17.55,17.25,17.46,2749939
7-Jul-16,17.27,17.50,16.98,17.17,1845698
6-Jul-16,16.71,17.25,16.53,17.24,2458246
5-Jul-16,17.31,17.31,16.82,16.88,1353955
1-Jul-16,17.34,17.81,17.30,17.47,2060270
30-Jun-16,16.72,17.33,16.55,17.33,2965078
29-Jun-16,16.44,16.77,16.22,16.69,2230727
28-Jun-16,15.96,16.24,15.80,16.20,2941130
27-Jun-16,15.93,15.97,15.48,15.65,3360786
24-Jun-16,16.91,17.20,16.26,16.28,4070352
23-Jun-16,17.43,17.98,17.43,17.98,2703316
22-Jun-16,17.07,17.28,17.01,17.15,1183364
21-Jun-16,17.13,17.17,16.97,17.03,1525047
20-Jun-16,17.28,17.37,17.08,17.09,1427362
17-Jun-16,16.94,17.25,16.89,17.03,2004410
