Date,Open,High,Low,Close,Volume
9-Dec-16,104.81,105.10,104.00,104.41,2541027
8-Dec-16,105.18,105.49,103.86,104.82,3024709
7-Dec-16,103.02,105.57,102.62,105.25,5423503
6-Dec-16,103.82,103.98,101.80,102.00,4975235
5-Dec-16,101.87,103.66,101.80,103.55,5428094
2-Dec-16,100.25,101.14,99.82,101.10,3981126
1-Dec-16,102.33,102.58,99.51,100.18,5452096
30-Nov-16,103.54,104.28,101.38,102.20,6889198
29-Nov-16,103.68,104.37,103.34,103.82,3356613
28-Nov-16,105.42,105.42,103.05,103.36,5401709
25-Nov-16,104.62,105.73,104.53,105.73,1566890
23-Nov-16,105.60,105.91,104.29,104.56,4955392
22-Nov-16,106.00,106.13,104.74,105.93,4570145
21-Nov-16,104.78,106.00,104.69,105.94,2650805
18-Nov-16,104.65,105.10,104.30,104.78,3274975
17-Nov-16,104.40,105.25,103.74,104.45,3096198
16-Nov-16,102.43,104.00,102.43,104.00,4567900
15-Nov-16,101.38,102.99,101.38,102.48,4633090
14-Nov-16,105.02,105.10,100.36,101.14,7106775
11-Nov-16,103.86,105.06,103.66,104.62,3300333
10-Nov-16,106.66,107.14,102.45,104.50,6584263
9-Nov-16,104.91,106.45,103.86,106.19,4774953
8-Nov-16,105.74,106.47,105.53,105.70,2864292
7-Nov-16,104.58,106.03,104.53,105.96,3067483
4-Nov-16,103.90,104.43,103.03,103.03,3067158
3-Nov-16,103.52,104.46,103.51,103.78,3127329
2-Nov-16,104.28,105.00,104.00,104.00,3527547
1-Nov-16,107.00,107.12,104.79,104.96,7076472
31-Oct-16,107.40,108.93,106.47,107.02,5819961
28-Oct-16,105.05,107.83,104.61,106.90,9282807
27-Oct-16,103.19,104.30,103.19,103.60,5096126
26-Oct-16,102.56,103.46,102.53,103.22,3355991
25-Oct-16,103.09,103.24,102.29,102.88,4869340
24-Oct-16,103.15,103.92,102.96,103.19,2565640
21-Oct-16,102.13,103.00,101.96,102.85,3018831
20-Oct-16,102.79,103.37,102.35,102.55,2945336
19-Oct-16,101.80,102.85,101.63,102.73,3305249
18-Oct-16,101.78,102.12,101.06,101.73,2624478
17-Oct-16,100.96,101.26,100.62,100.85,1975512
14-Oct-16,101.10,102.20,100.81,100.88,3280440
13-Oct-16,100.75,101.49,99.78,100.65,3657359
12-Oct-16,101.56,101.91,101.05,101.36,3467809
11-Oct-16,102.54,102.63,100.82,101.35,3412894
10-Oct-16,102.70,103.37,102.55,102.65,2376543
7-Oct-16,103.05,103.49,101.98,102.25,4225571
6-Oct-16,102.40,103.17,102.02,102.94,3875630
5-Oct-16,101.32,102.67,101.32,102.40,3768727
4-Oct-16,102.03,102.21,101.04,101.22,2881907
3-Oct-16,101.39,102.38,101.24,101.88,3696666
30-Sep-16,100.78,102.23,100.68,101.77,5503915
29-Sep-16,101.58,102.31,100.59,100.61,3009957
28-Sep-16,101.43,101.58,100.83,101.51,3629520
27-Sep-16,101.00,101.65,100.56,101.45,3547736
26-Sep-16,100.82,101.83,100.75,101.16,3468932
23-Sep-16,101.92,102.10,101.25,101.66,2759430
