Date,Open,High,Low,Close,Volume
9-Dec-16,32.46,32.63,32.30,32.61,4031880
8-Dec-16,32.21,32.67,32.09,32.54,2536728
7-Dec-16,31.22,32.23,31.22,32.13,4257509
6-Dec-16,31.29,31.37,31.01,31.24,3614443
5-Dec-16,30.65,31.20,30.52,31.19,4770447
2-Dec-16,30.24,30.55,30.08,30.32,4515443
1-Dec-16,31.67,31.67,30.26,30.33,5397030
30-Nov-16,32.32,32.47,31.54,31.65,3935982
29-Nov-16,32.13,32.37,32.03,32.21,2533111
28-Nov-16,32.60,32.72,32.00,32.16,3928171
25-Nov-16,32.41,32.72,32.25,32.71,1103028
23-Nov-16,32.53,32.70,32.25,32.39,2456018
22-Nov-16,32.58,32.70,32.26,32.56,4247194
21-Nov-16,32.70,32.75,32.06,32.49,4288534
18-Nov-16,32.16,32.56,32.10,32.46,4256459
17-Nov-16,31.56,32.42,31.54,32.25,4471037
16-Nov-16,31.72,31.90,31.18,31.38,4017168
15-Nov-16,32.11,32.58,31.46,31.93,3837783
14-Nov-16,31.38,31.72,31.26,31.65,4742287
11-Nov-16,31.23,31.68,30.90,31.27,4032926
10-Nov-16,31.01,31.86,31.01,31.45,5005253
9-Nov-16,30.38,31.20,30.04,30.93,3559267
8-Nov-16,30.24,30.58,30.07,30.46,3050783
7-Nov-16,30.48,30.55,30.10,30.27,3975569
4-Nov-16,29.58,30.38,29.42,29.84,5018411
3-Nov-16,29.55,29.78,29.38,29.45,4226097
2-Nov-16,29.94,30.12,29.40,29.43,5654127
1-Nov-16,30.86,30.95,29.74,29.98,5626798
31-Oct-16,30.82,30.98,30.65,30.88,4257948
28-Oct-16,30.54,31.10,30.50,30.72,5074224
27-Oct-16,30.65,30.99,30.25,30.50,6695845
26-Oct-16,30.24,30.84,30.22,30.60,7157116
25-Oct-16,32.37,32.39,30.04,30.38,14614515
24-Oct-16,33.31,33.84,33.20,33.56,4257839
21-Oct-16,32.91,33.20,32.66,33.09,3026687
20-Oct-16,32.82,33.27,32.71,33.19,3116803
19-Oct-16,33.54,33.59,32.76,32.94,4828005
18-Oct-16,34.21,34.21,33.44,33.47,3507405
17-Oct-16,33.58,33.99,33.54,33.80,2490050
14-Oct-16,33.70,34.06,33.52,33.52,2029774
13-Oct-16,33.36,33.46,32.91,33.36,2326758
12-Oct-16,33.29,33.77,33.12,33.56,2562325
11-Oct-16,34.23,34.47,33.12,33.23,2921545
10-Oct-16,33.88,34.05,33.65,33.88,3364248
7-Oct-16,34.80,34.86,33.50,33.51,8533031
6-Oct-16,34.17,35.07,34.13,34.93,2788916
5-Oct-16,34.06,34.46,34.03,34.24,3326337
4-Oct-16,33.95,34.34,33.75,33.86,3193260
3-Oct-16,34.13,34.40,33.68,33.96,2882490
30-Sep-16,34.45,34.50,33.96,34.31,5534791
29-Sep-16,34.57,34.83,34.11,34.22,2976594
28-Sep-16,34.82,34.97,34.39,34.55,4165005
27-Sep-16,34.18,34.87,34.09,34.82,4783429
26-Sep-16,34.09,34.66,34.02,34.33,3044179
23-Sep-16,34.38,34.57,34.12,34.27,3356489
22-Sep-16,33.71,34.35,33.71,34.33,5907641
21-Sep-16,33.04,33.43,32.70,33.39,4454847
20-Sep-16,33.16,33.16,32.61,32.85,4350456
19-Sep-16,33.10,33.36,32.84,32.93,3195674
16-Sep-16,33.36,33.38,32.88,32.90,5304371
15-Sep-16,33.26,33.68,33.20,33.60,2956815
14-Sep-16,33.08,33.53,33.04,33.24,4689700
13-Sep-16,33.33,33.45,32.89,33.03,5293108
12-Sep-16,33.04,33.89,32.89,33.69,5307562
9-Sep-16,34.86,34.87,33.06,33.26,6231075
8-Sep-16,35.17,35.24,34.95,35.15,2344250
7-Sep-16,35.24,35.42,35.07,35.28,2448035
6-Sep-16,35.64,35.70,35.14,35.31,2216898
2-Sep-16,35.68,35.89,35.30,35.46,2113013
1-Sep-16,35.50,35.82,35.22,35.53,4287412
31-Aug-16,35.26,35.64,35.11,35.48,3850373
30-Aug-16,35.49,35.59,35.26,35.41,2694414
29-Aug-16,35.33,35.65,35.33,35.46,2427082
26-Aug-16,35.39,35.54,35.02,35.22,1913031
25-Aug-16,35.28,35.31,35.12,35.26,1658433
24-Aug-16,35.62,35.70,35.16,35.28,2707508
23-Aug-16,35.52,35.98,35.46,35.71,3134223
22-Aug-16,35.19,35.40,34.98,35.38,2799210
19-Aug-16,35.07,35.36,35.02,35.20,3052743
18-Aug-16,35.47,35.47,35.21,35.21,3310978
17-Aug-16,35.42,35.55,35.08,35.47,3438575
16-Aug-16,36.04,36.12,35.49,35.51,2758972
15-Aug-16,36.14,36.41,36.08,36.15,1929415
12-Aug-16,36.07,36.20,35.78,36.07,2324619
11-Aug-16,36.31,36.51,36.08,36.18,2932754
10-Aug-16,36.29,36.40,36.08,36.29,1997849
9-Aug-16,36.56,36.59,36.12,36.23,2578259
8-Aug-16,36.64,36.70,36.38,36.48,2516915
5-Aug-16,36.51,36.75,36.39,36.67,2050239
4-Aug-16,36.57,36.62,36.13,36.28,2781558
