Date,Open,High,Low,Close,Volume
9-Dec-16,65.32,65.36,64.14,64.53,1455713
8-Dec-16,64.56,65.27,64.19,65.19,1822343
7-Dec-16,63.52,64.59,63.04,64.50,1628599
6-Dec-16,63.22,63.70,62.98,63.49,2150219
5-Dec-16,62.73,63.71,62.39,63.23,2936764
2-Dec-16,61.19,62.70,60.85,62.05,2732365
1-Dec-16,66.33,66.39,60.77,61.23,8812416
30-Nov-16,66.01,66.76,65.54,66.18,3249798
29-Nov-16,65.76,66.32,65.49,66.03,1942515
28-Nov-16,65.98,66.81,65.64,65.90,2033614
25-Nov-16,65.96,66.25,65.84,66.08,625856
23-Nov-16,65.50,66.12,65.28,66.11,1712266
22-Nov-16,65.18,65.66,64.84,65.57,2328931
21-Nov-16,64.90,65.61,64.62,65.20,2913165
18-Nov-16,65.16,65.45,64.26,64.57,3068394
17-Nov-16,65.31,65.90,64.84,65.45,1578717
16-Nov-16,64.77,65.73,64.50,65.65,1831741
15-Nov-16,63.63,65.26,63.46,65.19,2296322
14-Nov-16,63.68,63.81,63.10,63.53,2413787
11-Nov-16,62.44,63.21,62.16,63.15,2409663
10-Nov-16,64.54,65.42,62.11,62.44,5048491
9-Nov-16,62.21,64.72,61.55,64.31,3321176
8-Nov-16,65.23,65.61,63.19,63.96,5088329
7-Nov-16,61.12,62.33,60.90,62.23,3442573
4-Nov-16,59.52,60.52,59.45,60.22,2109182
3-Nov-16,59.98,60.18,59.38,59.63,1211736
2-Nov-16,60.22,60.68,59.78,59.86,2063125
1-Nov-16,60.80,60.89,59.50,60.18,1993644
31-Oct-16,60.69,61.21,60.53,60.55,2411189
28-Oct-16,60.46,61.02,60.09,60.30,1062994
27-Oct-16,60.75,61.42,60.14,60.36,1613099
26-Oct-16,60.53,60.76,60.11,60.55,1552009
25-Oct-16,60.66,61.18,60.59,60.91,1654527
24-Oct-16,59.93,60.70,59.93,60.64,1159332
21-Oct-16,59.41,59.66,58.79,59.50,1004103
20-Oct-16,59.81,60.08,59.10,59.71,1301240
19-Oct-16,58.72,60.27,58.42,60.01,3082560
18-Oct-16,59.41,59.63,58.79,58.86,1740502
17-Oct-16,58.90,59.41,58.66,58.70,1347405
14-Oct-16,58.78,59.74,58.48,59.00,2029392
13-Oct-16,58.53,58.53,57.52,58.41,2022806
12-Oct-16,59.51,59.59,58.47,59.00,2898443
11-Oct-16,61.10,61.40,59.08,59.69,2434295
10-Oct-16,62.30,62.56,61.22,61.31,1362412
7-Oct-16,62.60,62.60,61.52,62.06,1184762
