Date,Open,High,Low,Close,Volume
9-Dec-16,144.08,147.76,142.49,146.25,2304901
8-Dec-16,140.77,144.20,140.76,143.34,2906091
7-Dec-16,142.68,143.45,136.81,141.62,4363825
6-Dec-16,145.00,145.40,142.90,145.40,1908030
5-Dec-16,143.92,146.35,143.05,145.00,2189228
2-Dec-16,143.88,144.92,143.04,143.56,1903782
1-Dec-16,143.44,144.68,142.65,143.08,1972562
30-Nov-16,141.58,145.09,141.40,143.81,3253392
29-Nov-16,142.70,143.45,141.16,141.25,1808670
28-Nov-16,142.39,144.05,142.13,143.11,1549542
25-Nov-16,141.37,143.15,140.51,143.07,846406
23-Nov-16,138.68,141.62,137.84,141.27,2119298
22-Nov-16,141.63,142.63,140.16,141.33,2286956
21-Nov-16,140.56,142.20,140.13,141.35,2030745
18-Nov-16,141.70,142.09,139.80,140.05,2541089
17-Nov-16,141.40,142.40,140.94,141.48,2458126
16-Nov-16,142.47,143.36,141.38,141.48,1837113
15-Nov-16,143.60,144.44,142.16,142.87,2499982
14-Nov-16,139.45,145.41,139.02,143.69,2828192
11-Nov-16,146.74,147.95,141.35,143.03,2951671
10-Nov-16,143.77,148.42,143.72,147.49,4024715
9-Nov-16,141.30,151.77,135.19,141.68,5653707
8-Nov-16,131.63,133.32,130.18,130.51,3605464
7-Nov-16,132.74,135.26,131.99,134.51,2447865
4-Nov-16,130.06,133.86,129.27,130.76,3505189
3-Nov-16,137.01,138.86,129.33,129.59,5052748
2-Nov-16,129.53,136.85,129.53,135.83,4652420
1-Nov-16,127.17,130.15,126.30,129.27,4632203
31-Oct-16,123.99,128.58,123.75,127.17,8527475
28-Oct-16,129.80,130.84,114.53,124.11,28158084
27-Oct-16,158.99,161.65,157.54,160.50,1928705
26-Oct-16,157.97,158.93,155.93,158.57,1837735
25-Oct-16,160.13,160.24,158.25,158.50,1550607
24-Oct-16,161.97,162.76,160.24,160.27,1386860
21-Oct-16,161.14,162.12,160.56,161.03,1597977
20-Oct-16,161.01,162.56,160.80,161.95,1051866
19-Oct-16,162.10,162.77,161.07,161.12,1171060
18-Oct-16,162.37,163.12,161.82,162.10,743683
17-Oct-16,161.21,161.32,159.81,160.65,1267335
14-Oct-16,162.69,163.23,160.95,161.00,979316
13-Oct-16,161.63,162.90,160.88,162.07,1549626
12-Oct-16,164.31,165.44,162.37,162.54,1596284
11-Oct-16,165.00,165.74,163.51,163.63,1898331
10-Oct-16,166.17,166.73,164.79,165.33,1284218
7-Oct-16,165.39,166.90,164.26,165.82,1256893
6-Oct-16,164.84,164.97,163.28,164.75,1677187
5-Oct-16,166.04,166.35,164.64,165.67,1555167
4-Oct-16,165.95,166.78,165.20,165.66,1208067
3-Oct-16,166.22,166.26,164.84,165.38,1164358
30-Sep-16,164.97,167.21,163.56,166.75,2085203
29-Sep-16,165.97,166.21,164.21,164.42,1444529
28-Sep-16,166.23,167.34,165.63,166.62,985195
27-Sep-16,165.18,167.01,165.18,166.36,1192408
26-Sep-16,166.01,166.82,165.03,165.18,1481367
23-Sep-16,167.95,169.00,166.13,167.08,1265380
22-Sep-16,167.10,168.89,167.06,168.12,1949856
21-Sep-16,165.40,166.78,164.30,166.40,1865520
20-Sep-16,165.13,166.20,164.36,164.80,2161091
19-Sep-16,165.97,166.69,164.48,165.00,2406753
16-Sep-16,168.24,168.66,164.02,166.16,5998039
15-Sep-16,167.84,169.84,163.97,168.97,5116645
14-Sep-16,175.59,176.36,167.35,167.70,5825361
13-Sep-16,178.49,179.45,174.77,175.84,2511444
12-Sep-16,175.22,181.53,175.11,180.47,1901181
9-Sep-16,181.43,181.82,176.02,176.09,2094884
8-Sep-16,184.52,185.21,182.88,183.04,1353609
7-Sep-16,184.00,186.28,184.00,184.96,971418
6-Sep-16,183.50,185.02,182.41,184.69,1431719
2-Sep-16,184.04,184.44,182.67,182.98,665545
1-Sep-16,184.72,184.72,182.13,183.27,796655
31-Aug-16,183.03,184.84,182.11,184.62,1430570
30-Aug-16,183.49,183.86,182.25,183.03,1081316
29-Aug-16,183.16,184.33,182.61,183.90,1178858
26-Aug-16,183.69,184.11,181.82,182.79,1661342
25-Aug-16,187.04,187.90,182.01,183.30,2898217
24-Aug-16,192.78,193.58,188.64,189.05,1536240
23-Aug-16,194.22,194.66,192.68,192.75,1048484
22-Aug-16,193.75,193.94,192.85,193.65,821885
19-Aug-16,193.78,194.77,192.97,193.85,801089
18-Aug-16,195.34,195.95,194.22,194.43,1085623
17-Aug-16,195.08,196.02,193.58,195.78,944136
16-Aug-16,195.46,196.08,194.85,195.01,501199
15-Aug-16,195.35,197.08,195.10,196.12,696353
12-Aug-16,196.28,196.50,194.45,195.24,634323
11-Aug-16,196.53,196.86,195.29,196.62,761474
10-Aug-16,196.29,196.49,194.94,195.65,947791
9-Aug-16,195.41,196.92,195.18,196.29,767205
8-Aug-16,194.95,195.35,193.79,195.10,768944
5-Aug-16,195.06,196.63,194.52,194.66,1029238
4-Aug-16,194.64,195.35,193.50,194.48,932368
3-Aug-16,193.04,195.31,192.94,195.14,1157669
2-Aug-16,192.17,195.00,191.84,193.53,1872532
1-Aug-16,195.20,195.38,191.73,192.09,1379860
