Date,Open,High,Low,Close,Volume
9-Dec-16,114.21,115.48,113.56,115.00,1794004
8-Dec-16,114.43,115.44,114.00,114.22,1653664
7-Dec-16,113.88,114.58,112.58,114.34,2070817
6-Dec-16,114.72,114.84,112.67,113.57,2859771
5-Dec-16,116.29,116.71,114.15,114.28,2535189
2-Dec-16,116.31,117.00,114.80,115.69,2262329
1-Dec-16,119.40,119.67,115.53,116.26,3641199
30-Nov-16,120.11,120.93,118.56,118.99,1956290
29-Nov-16,118.14,119.98,118.13,119.61,1696344
28-Nov-16,119.28,119.63,118.34,118.40,2331682
25-Nov-16,120.43,120.82,119.16,119.92,1398054
23-Nov-16,120.04,121.14,119.48,120.21,2612386
22-Nov-16,121.73,123.35,120.70,120.81,2106607
21-Nov-16,121.98,123.00,121.24,121.73,1488685
18-Nov-16,123.67,123.80,121.63,121.80,1525226
17-Nov-16,122.45,124.12,122.39,123.97,1139202
16-Nov-16,121.48,123.16,121.04,122.36,1091425
15-Nov-16,123.43,123.50,120.86,121.93,2027877
14-Nov-16,126.42,126.71,123.20,123.72,1597501
11-Nov-16,125.72,126.57,124.74,125.46,1526808
10-Nov-16,125.94,127.68,124.17,126.33,1403280
9-Nov-16,125.25,127.50,123.53,125.63,2097397
8-Nov-16,125.53,127.64,124.69,126.42,1216906
7-Nov-16,124.87,126.70,124.55,125.46,1273758
4-Nov-16,122.48,123.61,121.92,122.59,1511388
3-Nov-16,119.45,122.70,119.34,122.50,2375146
2-Nov-16,120.80,120.81,119.46,119.46,1459184
1-Nov-16,122.23,122.53,120.53,120.93,1205408
31-Oct-16,122.80,123.47,121.58,121.85,1854201
28-Oct-16,123.31,123.75,121.84,122.28,735877
27-Oct-16,124.10,124.61,122.45,122.86,1134803
26-Oct-16,123.39,124.13,122.59,123.32,905611
25-Oct-16,124.41,125.09,124.16,124.25,927388
24-Oct-16,125.06,125.67,124.44,124.64,1243018
21-Oct-16,121.15,124.05,120.95,123.99,1568705
20-Oct-16,122.52,123.19,121.96,122.12,948605
19-Oct-16,123.31,123.51,122.35,122.68,858953
18-Oct-16,124.00,124.06,122.49,122.89,804094
17-Oct-16,123.14,123.58,122.50,122.55,682212
14-Oct-16,124.00,124.65,122.79,123.15,958039
13-Oct-16,122.31,123.21,121.25,122.67,814039
12-Oct-16,122.56,123.78,121.79,123.37,605425
11-Oct-16,124.53,124.53,122.00,122.75,631084
10-Oct-16,125.00,125.41,124.46,124.65,438147
7-Oct-16,125.05,125.05,123.42,123.86,754808
6-Oct-16,124.00,125.32,122.79,125.04,833617
5-Oct-16,123.86,125.24,123.86,124.15,1009901
4-Oct-16,126.22,127.02,123.20,124.20,1274353
3-Oct-16,126.06,126.53,124.52,124.96,1355108
30-Sep-16,126.09,127.26,125.91,126.56,1475968
29-Sep-16,127.54,127.64,124.48,125.02,1059743
28-Sep-16,127.01,127.74,125.69,127.56,1024424
27-Sep-16,124.64,127.39,124.03,126.86,998540
26-Sep-16,124.06,125.92,123.72,124.93,995428
23-Sep-16,126.39,126.82,124.98,124.98,927869
22-Sep-16,127.90,128.40,126.56,126.83,1155060
21-Sep-16,125.70,127.75,125.43,127.56,964386
20-Sep-16,125.55,125.96,124.73,124.78,877183
19-Sep-16,123.71,125.70,123.71,124.68,950722
16-Sep-16,123.51,123.88,122.27,123.27,1145346
15-Sep-16,121.38,124.74,121.38,124.11,885286
14-Sep-16,121.97,122.91,121.10,121.52,757598
13-Sep-16,123.08,123.45,121.51,122.12,935179
12-Sep-16,121.29,124.45,120.95,124.24,974297
9-Sep-16,124.95,125.54,122.22,122.22,1002357
8-Sep-16,125.52,126.52,125.46,125.73,774930
7-Sep-16,125.63,125.90,124.93,125.69,792448
6-Sep-16,125.62,126.00,124.72,125.79,1021656
2-Sep-16,124.56,125.55,124.41,125.43,705711
1-Sep-16,123.52,124.41,122.64,123.94,811510
31-Aug-16,122.86,124.55,122.39,123.54,1324211
30-Aug-16,122.70,122.97,122.11,122.97,785095
29-Aug-16,121.78,122.85,121.60,122.60,1080689
26-Aug-16,121.59,122.55,120.99,121.57,1266075
25-Aug-16,120.60,121.36,120.60,121.09,488257
24-Aug-16,120.90,121.77,120.64,120.94,697568
23-Aug-16,121.00,121.97,120.65,121.27,817856
22-Aug-16,120.29,120.63,119.83,120.30,379627
19-Aug-16,119.59,120.75,119.00,120.30,782558
18-Aug-16,120.30,120.32,119.03,120.03,680439
17-Aug-16,120.20,120.45,119.09,120.10,828079
16-Aug-16,120.12,120.25,119.59,119.64,674536
15-Aug-16,120.36,120.60,119.22,120.26,863369
12-Aug-16,120.20,120.83,119.68,119.91,540405
11-Aug-16,120.12,120.69,119.81,120.41,741843
10-Aug-16,120.62,120.98,119.34,119.83,600643
9-Aug-16,120.44,120.95,120.15,120.58,581985
8-Aug-16,120.79,121.00,119.92,120.16,677078
5-Aug-16,120.80,121.47,120.41,120.90,908087
4-Aug-16,120.05,120.80,119.46,119.62,434573
3-Aug-16,120.02,120.51,119.50,120.51,755288
2-Aug-16,120.97,121.05,119.15,120.11,1030968
1-Aug-16,122.21,122.75,120.81,121.22,727370
29-Jul-16,121.37,122.71,121.35,122.20,1305696
28-Jul-16,118.00,122.23,117.51,121.40,1622666
27-Jul-16,118.13,118.13,116.53,117.42,843867
26-Jul-16,116.60,117.62,116.20,117.55,786675
25-Jul-16,117.26,117.53,116.36,117.16,599670
22-Jul-16,116.92,117.34,113.06,117.31,704021
21-Jul-16,116.85,117.57,116.31,116.83,894897
20-Jul-16,117.40,117.68,116.76,117.11,875966
19-Jul-16,116.13,116.66,115.58,116.58,818598
18-Jul-16,116.00,116.96,116.00,116.86,743658
15-Jul-16,115.80,116.26,114.88,115.64,1466467
14-Jul-16,115.00,115.39,114.05,115.20,827093
13-Jul-16,113.69,113.91,112.22,113.86,781733
12-Jul-16,111.48,113.29,110.95,112.98,1247921
11-Jul-16,109.64,110.91,109.41,110.26,1135731
8-Jul-16,108.95,109.30,108.23,108.87,1221004
7-Jul-16,106.68,107.96,105.62,107.31,824412
6-Jul-16,105.15,106.89,104.75,106.78,1155886
5-Jul-16,107.11,107.85,105.34,106.17,958897
1-Jul-16,107.11,109.10,107.11,107.86,891699
30-Jun-16,106.03,107.32,104.92,107.26,1709563
29-Jun-16,102.80,106.03,101.66,106.00,1439628
28-Jun-16,100.50,101.64,99.87,101.59,1232232
27-Jun-16,102.94,102.94,99.15,99.38,1790295
24-Jun-16,106.26,107.45,103.57,104.14,5008840
23-Jun-16,108.57,110.65,108.13,110.62,1326355
22-Jun-16,108.00,108.00,107.05,107.13,1116825
21-Jun-16,107.65,108.27,107.31,107.83,783611
20-Jun-16,108.17,109.22,107.25,107.31,1388979
17-Jun-16,107.55,108.30,106.37,106.74,1097462
16-Jun-16,106.31,107.68,105.44,107.49,659745
15-Jun-16,106.96,108.13,106.74,107.08,855740
14-Jun-16,107.14,107.67,106.42,106.86,913222
13-Jun-16,107.45,108.33,107.11,107.23,1021343
10-Jun-16,108.99,109.21,107.09,107.51,751036
9-Jun-16,109.64,110.19,109.09,110.04,742593
8-Jun-16,109.87,110.55,109.25,110.04,681360
7-Jun-16,110.33,110.62,109.52,109.62,757596
6-Jun-16,110.13,110.86,109.89,110.26,908190
3-Jun-16,110.02,110.33,108.51,109.64,1104707
2-Jun-16,110.23,111.04,109.73,110.45,917424
1-Jun-16,111.02,111.02,109.88,110.80,967144
31-May-16,112.05,112.75,111.00,111.81,1285302
27-May-16,111.09,111.66,110.48,111.47,537395
26-May-16,110.99,111.20,110.18,110.39,793621
25-May-16,111.50,111.68,110.10,111.25,862344
24-May-16,108.91,112.00,108.22,111.66,1347260
23-May-16,107.58,109.11,107.38,108.84,944214
20-May-16,107.54,108.63,107.27,108.07,1113360
19-May-16,106.19,107.07,105.25,106.85,700912
18-May-16,105.77,107.43,105.53,107.05,1090990
17-May-16,106.44,106.82,105.48,105.70,1050957
16-May-16,104.73,106.70,104.44,106.49,756550
13-May-16,105.74,106.59,104.67,104.92,769226
12-May-16,105.64,106.31,104.93,105.96,915698
11-May-16,104.96,106.06,104.74,105.14,988791
10-May-16,104.77,105.72,104.67,104.96,868031
9-May-16,104.00,104.80,103.58,104.52,661042
6-May-16,100.68,104.49,97.65,104.27,1095127
5-May-16,104.40,105.47,104.39,104.67,871954
4-May-16,103.96,105.03,103.30,104.29,955252
3-May-16,102.29,105.13,102.01,104.50,1395879
2-May-16,107.59,107.77,105.35,107.17,2120658
29-Apr-16,106.66,107.36,105.90,106.85,1785962
28-Apr-16,109.27,109.27,106.91,107.61,971815
27-Apr-16,106.90,108.24,106.32,107.92,1356375
26-Apr-16,104.18,106.83,104.12,106.76,1963870
25-Apr-16,102.88,103.33,102.59,103.16,898215
22-Apr-16,102.63,104.00,102.63,103.37,826527
21-Apr-16,103.72,104.55,103.38,103.50,1164198
20-Apr-16,102.85,104.55,102.76,104.13,1186238
19-Apr-16,101.63,103.36,101.25,103.14,1296501
18-Apr-16,99.27,101.09,98.83,100.96,968672
15-Apr-16,99.83,99.87,98.53,99.77,1073071
14-Apr-16,99.90,101.07,99.27,100.08,1413247
13-Apr-16,98.31,99.89,97.86,99.83,1152562
12-Apr-16,96.97,98.15,96.50,97.78,886060
11-Apr-16,97.86,98.28,96.55,96.59,542258
8-Apr-16,97.38,97.76,96.57,97.23,654468
7-Apr-16,96.84,97.44,95.83,96.73,1993198
6-Apr-16,96.41,97.84,96.23,97.71,1162508
5-Apr-16,97.09,97.15,95.98,96.38,764073
4-Apr-16,99.00,99.13,97.96,98.19,699442
1-Apr-16,97.75,100.27,97.24,99.30,1389741
31-Mar-16,98.95,99.72,98.84,98.98,1378727
30-Mar-16,99.72,99.85,98.65,98.94,923257
29-Mar-16,97.28,99.53,96.86,99.46,1229921
28-Mar-16,96.64,97.59,96.19,97.39,1486940
24-Mar-16,96.30,96.78,95.93,96.39,1350129
23-Mar-16,97.27,97.98,97.14,97.22,1668384
22-Mar-16,95.25,97.24,95.07,97.20,1487763
21-Mar-16,97.42,97.49,95.72,96.20,1043214
18-Mar-16,96.17,97.95,95.96,97.79,2285798
17-Mar-16,94.81,96.30,94.58,95.95,1621993
16-Mar-16,92.73,94.77,92.46,94.60,1253280
15-Mar-16,93.00,93.58,92.25,93.13,1222909
14-Mar-16,94.41,94.94,93.76,93.84,1652615
11-Mar-16,94.00,95.22,93.42,95.13,1126652
10-Mar-16,93.46,94.33,92.03,92.91,1247772
9-Mar-16,94.52,94.58,92.77,93.25,897637
8-Mar-16,93.38,94.63,93.05,93.95,1433775
7-Mar-16,94.12,94.69,93.53,94.14,1254328
4-Mar-16,94.31,95.50,93.78,95.06,1099039
3-Mar-16,92.05,94.46,91.72,94.32,1597863
2-Mar-16,91.91,92.89,91.44,92.52,1548473
1-Mar-16,90.50,92.65,90.25,92.26,1609317
29-Feb-16,89.13,90.86,88.75,89.74,1921156
26-Feb-16,90.00,90.70,89.11,89.30,1777136
25-Feb-16,88.80,90.15,87.54,90.11,1744294
24-Feb-16,86.12,88.64,85.36,88.46,1500804
23-Feb-16,88.50,88.50,87.01,87.20,1213605
22-Feb-16,89.16,90.00,88.68,89.45,1520849
19-Feb-16,87.68,88.23,86.75,87.95,1055629
18-Feb-16,88.49,88.88,86.76,87.82,1490167
17-Feb-16,87.79,89.56,87.77,88.87,1598911
16-Feb-16,87.27,87.99,86.35,87.32,1852216
12-Feb-16,84.13,85.59,82.89,85.52,1242474
11-Feb-16,82.77,84.00,81.95,82.26,1350233
10-Feb-16,84.50,86.46,83.99,84.77,1740681
9-Feb-16,82.58,84.64,82.22,83.59,2285050
8-Feb-16,84.60,84.77,82.02,83.37,3404624
5-Feb-16,86.90,86.90,84.94,85.76,3064426
4-Feb-16,81.77,88.00,81.77,87.00,3201574
3-Feb-16,82.11,82.15,78.55,80.77,1968144
2-Feb-16,82.71,83.23,81.40,81.68,1386616
1-Feb-16,84.17,85.74,83.52,84.14,1330769
29-Jan-16,83.12,85.16,82.30,85.02,2103500
28-Jan-16,84.27,84.45,82.01,82.38,1295077
27-Jan-16,84.24,85.26,82.76,83.51,959270
26-Jan-16,83.98,85.29,83.46,84.36,900858
25-Jan-16,85.26,86.51,83.66,83.87,1305776
22-Jan-16,83.46,85.55,83.14,85.50,1430399
21-Jan-16,82.92,84.14,81.47,81.77,1171828
20-Jan-16,81.82,83.59,79.64,82.51,1596296
19-Jan-16,84.72,85.22,82.47,83.33,1513547
15-Jan-16,83.10,83.54,81.59,83.22,1877427
14-Jan-16,84.87,85.54,83.08,84.90,1707777
13-Jan-16,88.88,89.30,83.81,84.37,1645747
12-Jan-16,88.93,89.67,87.64,88.72,1386281
11-Jan-16,89.12,89.25,87.50,88.47,1196124
8-Jan-16,91.51,91.81,88.34,88.51,1451763
7-Jan-16,92.61,92.72,89.69,91.12,1819548
6-Jan-16,93.96,95.14,93.64,94.08,840125
5-Jan-16,94.52,95.27,94.12,95.12,1049897
