Date,Open,High,Low,Close,Volume
9-Dec-16,43.49,44.04,43.23,43.73,12115063
8-Dec-16,42.90,43.72,42.70,43.58,14972868
7-Dec-16,42.50,42.79,42.28,42.64,16213352
6-Dec-16,42.49,42.74,41.97,42.51,11769504
5-Dec-16,42.30,42.84,41.81,42.09,12264184
2-Dec-16,42.09,42.09,41.14,41.83,11288363
1-Dec-16,41.76,42.54,41.58,42.16,14053940
30-Nov-16,41.02,41.64,41.01,41.36,14726566
29-Nov-16,40.44,40.92,40.29,40.60,8602864
28-Nov-16,40.63,41.00,40.34,40.44,10123600
25-Nov-16,41.10,41.20,40.79,41.10,4027471
23-Nov-16,40.50,41.18,40.22,41.04,9853631
22-Nov-16,40.56,40.77,39.97,40.54,12341112
21-Nov-16,40.44,40.80,40.11,40.56,10122257
18-Nov-16,40.00,40.66,39.89,40.43,16413329
17-Nov-16,39.02,39.97,38.72,39.97,12650072
16-Nov-16,39.01,39.48,38.96,39.19,18234923
15-Nov-16,38.81,40.04,38.40,40.00,18608046
14-Nov-16,38.88,39.88,38.78,39.35,25618994
11-Nov-16,37.37,38.75,37.34,38.49,22845455
10-Nov-16,36.72,38.94,36.72,38.02,38587204
9-Nov-16,34.70,36.91,34.47,36.52,28311033
8-Nov-16,33.81,34.28,33.54,34.10,7370494
7-Nov-16,33.57,34.00,33.57,34.00,11328047
4-Nov-16,32.82,33.21,32.56,32.78,7897846
3-Nov-16,33.07,33.23,32.77,32.81,8172454
2-Nov-16,33.12,33.17,32.73,32.92,8900448
1-Nov-16,33.68,33.83,32.91,33.36,8988743
31-Oct-16,33.71,33.88,33.49,33.57,8687190
28-Oct-16,33.69,34.03,33.17,33.52,10183535
27-Oct-16,33.82,34.00,33.58,33.82,12608435
26-Oct-16,33.15,33.65,33.06,33.59,9112972
25-Oct-16,33.39,33.59,33.20,33.35,7912666
24-Oct-16,33.57,33.68,33.34,33.38,9221301
21-Oct-16,32.60,33.52,32.54,33.44,13910338
20-Oct-16,32.84,33.19,32.58,32.90,10650671
19-Oct-16,32.84,33.00,32.18,32.93,18522741
18-Oct-16,32.25,32.51,32.04,32.32,13091636
17-Oct-16,32.05,32.17,31.61,31.79,10114266
14-Oct-16,32.24,32.79,31.89,32.07,13734116
13-Oct-16,31.49,33.00,30.96,31.73,13893520
12-Oct-16,32.18,32.38,31.88,31.91,6743261
11-Oct-16,32.49,32.76,31.95,32.18,6827702
10-Oct-16,32.62,32.71,32.41,32.56,6609180
7-Oct-16,32.34,32.52,31.95,32.31,11406104
6-Oct-16,32.48,32.65,32.20,32.39,11347166
5-Oct-16,32.17,32.72,32.10,32.56,11157666
4-Oct-16,32.07,32.40,31.81,32.04,9525387
3-Oct-16,32.02,32.15,31.46,31.95,10324254
30-Sep-16,31.27,32.32,31.00,32.06,16269726
29-Sep-16,31.77,32.11,30.74,31.04,12529741
28-Sep-16,31.44,31.80,31.32,31.77,7425143
27-Sep-16,30.82,31.49,30.62,31.35,9753462
26-Sep-16,31.53,31.57,30.96,31.03,10217675
23-Sep-16,32.12,32.25,31.67,31.91,9400557
22-Sep-16,32.13,32.44,31.98,32.24,8185280
21-Sep-16,31.84,32.06,31.50,31.92,10073632
20-Sep-16,31.84,32.00,31.65,31.70,8848978
19-Sep-16,31.72,32.10,31.52,31.60,7806455
16-Sep-16,31.67,31.80,31.38,31.59,14756151
15-Sep-16,31.55,32.14,31.50,31.95,10056469
14-Sep-16,31.49,31.80,31.31,31.56,11687598
13-Sep-16,31.69,32.00,31.27,31.46,13954085
12-Sep-16,31.32,32.32,31.14,32.24,13888148
9-Sep-16,31.98,32.27,31.59,31.59,16493884
8-Sep-16,31.70,32.20,31.61,32.04,12696066
7-Sep-16,31.68,31.94,31.58,31.69,10845008
6-Sep-16,31.96,32.22,31.55,31.75,14191389
2-Sep-16,31.96,32.21,31.67,31.89,12281929
1-Sep-16,32.14,32.37,31.44,31.91,11986456
31-Aug-16,32.13,32.31,31.72,32.06,15561210
30-Aug-16,31.45,32.19,31.45,32.19,13745602
29-Aug-16,31.21,31.60,31.15,31.41,9167771
26-Aug-16,31.12,31.58,30.93,31.16,10693437
25-Aug-16,30.91,31.06,30.77,30.97,7838740
24-Aug-16,30.82,31.16,30.72,30.91,12453478
23-Aug-16,30.80,30.97,30.67,30.72,7907729
22-Aug-16,30.44,30.70,30.39,30.60,6613882
19-Aug-16,30.40,30.72,30.26,30.55,8832109
18-Aug-16,30.27,30.74,30.20,30.55,13369434
17-Aug-16,30.27,30.47,30.12,30.37,12326976
16-Aug-16,29.99,30.37,29.86,30.25,22161925
