Date,Open,High,Low,Close,Volume
9-Dec-16,83.31,83.43,82.64,82.79,686375
8-Dec-16,83.32,83.57,82.65,83.30,757530
7-Dec-16,82.34,83.28,82.05,83.27,1240997
6-Dec-16,81.19,82.27,80.79,82.22,1258541
5-Dec-16,79.85,80.92,79.32,80.92,1568626
2-Dec-16,79.16,79.68,78.70,79.50,949253
1-Dec-16,80.25,80.85,78.81,79.19,1158519
30-Nov-16,81.12,81.20,80.10,80.25,1589526
29-Nov-16,80.66,81.30,80.65,81.11,674079
28-Nov-16,80.82,81.07,80.55,80.86,768969
25-Nov-16,80.25,81.20,80.25,80.98,392779
23-Nov-16,80.36,81.01,80.00,80.26,1134359
22-Nov-16,80.04,80.64,79.59,80.31,1083719
21-Nov-16,80.21,80.40,79.06,79.83,1203033
18-Nov-16,80.60,80.60,79.88,79.98,724772
17-Nov-16,80.39,81.43,79.93,80.35,1262523
16-Nov-16,81.79,82.20,80.49,80.51,1395217
15-Nov-16,80.90,81.83,80.69,81.80,1390162
14-Nov-16,80.50,81.37,80.46,80.60,1141155
11-Nov-16,79.13,80.50,79.01,80.38,1340713
10-Nov-16,79.30,79.83,78.57,79.19,918924
9-Nov-16,77.46,79.44,77.09,78.96,1344992
8-Nov-16,77.83,79.08,77.52,78.56,1517229
7-Nov-16,76.78,77.74,76.64,77.71,1407454
4-Nov-16,72.56,76.02,72.54,75.90,2657164
3-Nov-16,71.71,72.30,71.24,71.29,1308751
2-Nov-16,72.29,72.75,71.51,71.57,1075943
1-Nov-16,72.90,72.98,71.82,72.32,648833
31-Oct-16,72.71,73.04,72.05,72.58,1020705
28-Oct-16,73.56,74.23,72.75,72.83,1036786
27-Oct-16,73.67,73.93,73.22,73.48,1016547
26-Oct-16,74.07,74.40,73.55,73.58,651711
25-Oct-16,74.35,74.53,73.74,74.16,946293
24-Oct-16,74.11,74.91,73.87,74.49,591640
21-Oct-16,73.11,73.69,72.98,73.62,586553
20-Oct-16,73.75,73.94,73.40,73.57,510185
19-Oct-16,74.03,74.20,73.43,73.80,671523
18-Oct-16,73.79,74.20,73.68,73.80,477671
17-Oct-16,73.66,73.98,73.09,73.13,792669
14-Oct-16,73.53,74.05,73.34,73.58,766086
13-Oct-16,73.55,73.55,72.30,73.06,1231386
12-Oct-16,74.21,74.97,73.55,73.76,1578530
11-Oct-16,74.66,74.70,73.09,73.50,874190
10-Oct-16,74.89,74.99,74.40,74.67,501097
7-Oct-16,74.79,74.79,73.74,74.48,683025
6-Oct-16,74.34,74.78,74.05,74.64,626971
5-Oct-16,74.70,74.94,74.12,74.35,1084420
4-Oct-16,75.13,75.60,74.01,74.42,978526
3-Oct-16,75.98,76.39,75.17,75.25,1055833
30-Sep-16,77.49,77.50,76.05,76.28,1806338
29-Sep-16,76.46,77.37,76.16,77.21,1839410
28-Sep-16,76.29,76.96,76.16,76.79,1100128
27-Sep-16,75.95,76.44,75.73,76.32,1134902
26-Sep-16,75.72,76.16,75.61,75.95,611594
23-Sep-16,76.04,76.47,75.97,76.11,1275780
22-Sep-16,76.25,76.45,76.06,76.19,619662
21-Sep-16,75.21,75.78,75.08,75.73,1268858
20-Sep-16,76.14,76.24,75.04,75.21,714994
19-Sep-16,75.65,76.40,75.48,75.76,772715
16-Sep-16,75.73,75.91,75.37,75.63,3574170
15-Sep-16,75.56,76.11,75.53,76.04,1535930
14-Sep-16,75.91,75.99,75.25,75.47,1007998
13-Sep-16,76.57,77.99,76.03,76.09,1336478
12-Sep-16,76.77,77.28,75.90,77.23,1516419
9-Sep-16,77.02,77.58,76.56,76.65,1588093
8-Sep-16,77.83,77.99,77.36,77.37,1478706
7-Sep-16,78.15,78.42,77.86,78.08,1220190
6-Sep-16,77.92,78.99,77.51,78.32,1398365
2-Sep-16,77.18,77.99,77.06,77.95,1083842
1-Sep-16,76.96,77.02,76.05,76.80,1562726
31-Aug-16,77.19,77.19,76.68,76.99,1410306
30-Aug-16,77.35,77.66,77.15,77.51,1139565
29-Aug-16,77.20,77.64,76.93,77.29,834451
26-Aug-16,77.11,77.86,76.59,77.20,777182
25-Aug-16,76.82,77.38,76.78,77.18,956485
