Date,Open,High,Low,Close,Volume
9-Dec-16,20.73,20.85,20.13,20.50,23977968
8-Dec-16,20.75,20.99,20.29,20.66,36257447
7-Dec-16,19.50,20.54,19.30,20.44,44735727
6-Dec-16,18.62,19.09,18.58,19.06,22267802
5-Dec-16,19.00,19.00,18.40,18.61,26635463
2-Dec-16,18.46,19.20,18.30,18.79,25887613
1-Dec-16,19.70,19.83,18.18,18.48,40713063
30-Nov-16,19.58,19.76,19.36,19.53,26031699
29-Nov-16,19.92,20.20,19.38,19.42,37924427
28-Nov-16,20.18,20.28,19.94,19.99,22205885
25-Nov-16,19.95,20.44,19.79,20.13,16308002
23-Nov-16,19.63,19.93,19.47,19.91,20041278
22-Nov-16,19.64,19.80,19.45,19.74,22219087
21-Nov-16,19.39,19.67,19.34,19.49,22743987
18-Nov-16,18.90,19.33,18.85,19.21,29121570
17-Nov-16,18.35,19.34,18.25,19.18,45958053
16-Nov-16,17.94,18.33,17.93,18.24,21628990
15-Nov-16,17.66,18.17,17.66,18.10,25153907
14-Nov-16,17.77,17.98,17.53,17.71,26313257
11-Nov-16,17.08,17.68,16.90,17.67,31043283
10-Nov-16,17.35,17.76,16.75,16.99,30282198
9-Nov-16,16.95,17.35,16.75,17.20,33873254
8-Nov-16,17.30,17.55,17.06,17.41,18062694
7-Nov-16,17.02,17.43,17.02,17.38,21673246
4-Nov-16,16.46,17.02,16.45,16.68,18026593
3-Nov-16,16.66,16.81,16.56,16.62,17255092
2-Nov-16,16.95,17.02,16.50,16.68,24949749
1-Nov-16,17.20,17.41,16.58,16.98,27146092
31-Oct-16,17.54,17.76,17.16,17.16,23267609
28-Oct-16,17.60,17.67,17.10,17.20,20832423
27-Oct-16,17.82,17.90,17.40,17.53,21198258
26-Oct-16,17.30,17.93,17.20,17.64,23610533
25-Oct-16,17.10,17.62,17.10,17.54,27444029
24-Oct-16,17.07,17.16,16.97,17.06,13838733
21-Oct-16,17.00,17.07,16.80,16.94,18710303
20-Oct-16,17.05,17.50,17.05,17.20,17129735
19-Oct-16,17.00,17.25,16.85,17.22,18629459
18-Oct-16,17.21,17.66,17.20,17.41,20185708
17-Oct-16,17.02,17.16,16.94,16.99,12657797
14-Oct-16,17.03,17.41,16.99,17.13,23539801
13-Oct-16,16.56,17.00,16.17,16.85,28593655
12-Oct-16,16.88,17.04,16.67,16.78,17901774
11-Oct-16,17.40,17.47,16.53,16.86,38070237
10-Oct-16,17.72,17.84,17.49,17.50,18857618
7-Oct-16,17.72,17.80,17.30,17.61,23848990
6-Oct-16,17.64,17.88,17.54,17.73,21606840
5-Oct-16,17.55,18.33,17.28,17.70,67739499
4-Oct-16,17.98,18.04,17.66,17.80,54502815
3-Oct-16,17.99,18.02,17.60,17.73,26856131
30-Sep-16,17.75,18.00,17.58,17.78,21363073
29-Sep-16,17.45,17.78,17.34,17.54,31870194
28-Sep-16,18.16,18.16,17.15,17.44,42715601
27-Sep-16,17.53,18.08,17.35,18.00,28620966
26-Sep-16,17.35,17.60,17.18,17.36,19567204
23-Sep-16,17.45,17.74,17.43,17.48,17947621
22-Sep-16,17.89,18.05,17.41,17.59,25278043
21-Sep-16,17.25,17.70,17.23,17.66,31384949
20-Sep-16,17.05,17.27,16.72,16.92,17775812
19-Sep-16,17.63,17.77,16.85,16.95,23999927
16-Sep-16,18.08,18.08,17.34,17.48,37447381
15-Sep-16,16.90,17.46,16.85,17.45,24321661
14-Sep-16,16.88,17.08,16.65,16.93,18635625
13-Sep-16,16.92,17.14,16.46,16.75,24345814
12-Sep-16,16.61,17.20,16.37,17.15,28239183
9-Sep-16,17.33,17.74,16.69,16.81,31389592
8-Sep-16,17.18,17.86,16.88,17.45,39212054
7-Sep-16,17.21,17.35,17.02,17.16,23023491
6-Sep-16,16.80,17.08,16.75,17.01,22998632
2-Sep-16,16.96,16.97,16.57,16.70,16099536
1-Sep-16,16.61,16.80,16.30,16.64,15719453
31-Aug-16,16.70,16.74,16.14,16.49,21963655
30-Aug-16,17.00,17.01,16.51,16.74,23620941
29-Aug-16,16.92,17.25,16.61,16.91,34467790
26-Aug-16,16.34,16.80,16.28,16.51,24243670
25-Aug-16,15.90,16.55,15.88,16.20,34837771
24-Aug-16,16.20,16.24,15.38,15.51,26686933
23-Aug-16,16.27,16.54,16.14,16.18,23741423
22-Aug-16,16.15,16.43,15.91,16.19,22145768
19-Aug-16,16.16,16.45,16.03,16.25,35059370
18-Aug-16,15.55,15.80,15.51,15.77,16590746
17-Aug-16,15.53,15.76,15.46,15.52,22552119
16-Aug-16,15.58,15.59,15.23,15.49,21872688
15-Aug-16,15.09,15.70,15.08,15.53,29105196
12-Aug-16,14.46,14.99,14.43,14.93,24909905
11-Aug-16,14.25,14.48,14.21,14.43,14451251
10-Aug-16,14.48,14.50,14.03,14.20,15003183
9-Aug-16,14.56,14.70,14.40,14.48,12573716
8-Aug-16,14.53,14.72,14.38,14.42,16163524
5-Aug-16,14.22,14.78,14.20,14.52,29098372
4-Aug-16,13.61,14.20,13.60,14.03,23400072
3-Aug-16,13.27,13.58,13.27,13.51,17316605
2-Aug-16,13.55,13.58,13.02,13.40,23707639
1-Aug-16,13.81,13.92,13.55,13.56,16363941
29-Jul-16,13.91,13.94,13.62,13.74,21792899
28-Jul-16,14.13,14.19,13.70,13.81,25504204
27-Jul-16,14.85,14.89,14.06,14.19,35035816
26-Jul-16,14.00,14.69,13.93,14.67,38959762
25-Jul-16,14.00,14.33,13.88,13.92,51356951
22-Jul-16,13.21,13.23,13.02,13.13,18755858
21-Jul-16,13.48,13.50,13.08,13.18,16734740
20-Jul-16,13.33,13.62,13.24,13.59,35665960
19-Jul-16,13.22,13.26,13.05,13.22,30569879
18-Jul-16,13.25,13.36,13.09,13.34,17180502
15-Jul-16,13.31,13.50,13.04,13.13,18046227
14-Jul-16,13.50,13.55,13.27,13.29,18698912
13-Jul-16,13.24,13.39,13.07,13.29,23067396
12-Jul-16,13.00,13.46,12.98,13.23,35226755
11-Jul-16,12.79,12.98,12.61,12.64,22797147
8-Jul-16,12.39,12.72,12.38,12.62,27955735
7-Jul-16,11.90,12.55,11.89,12.20,33457144
6-Jul-16,11.76,11.85,11.50,11.73,35747849
5-Jul-16,12.38,12.45,11.80,11.91,37298860
1-Jul-16,12.58,12.90,12.31,12.50,68847094
30-Jun-16,13.34,13.78,13.22,13.76,48486133
29-Jun-16,13.30,13.42,12.94,13.19,36879795
28-Jun-16,12.64,13.04,12.62,12.99,34838098
27-Jun-16,13.13,13.24,12.10,12.23,45939547
24-Jun-16,13.50,13.85,13.13,13.21,77486062
23-Jun-16,13.41,14.16,13.41,14.05,71202971
22-Jun-16,12.78,13.04,12.67,12.72,26968150
21-Jun-16,12.54,12.83,12.42,12.75,25060548
20-Jun-16,12.51,12.66,12.29,12.32,21481659
17-Jun-16,11.97,12.35,11.95,12.20,20604243
16-Jun-16,11.87,11.98,11.58,11.95,22453124
15-Jun-16,12.16,12.25,11.95,12.02,17491711
14-Jun-16,12.07,12.32,11.74,11.92,21913156
13-Jun-16,12.00,12.36,11.94,12.05,15570211
10-Jun-16,12.32,12.37,12.04,12.14,21439308
9-Jun-16,12.47,12.70,12.24,12.51,21881739
8-Jun-16,13.08,13.09,12.51,12.58,25869795
7-Jun-16,12.83,13.15,12.81,13.00,21409543
6-Jun-16,12.89,13.04,12.76,12.77,24861230
3-Jun-16,13.02,13.04,12.63,12.86,28326022
2-Jun-16,12.95,13.20,12.75,13.11,31941886
1-Jun-16,12.61,13.09,12.31,13.09,35762055
31-May-16,12.66,12.91,12.26,12.72,49604325
27-May-16,11.97,12.43,11.82,12.31,29829774
26-May-16,11.71,12.03,11.69,11.95,23587130
25-May-16,11.59,11.78,11.42,11.60,29175613
24-May-16,11.31,11.50,11.16,11.49,25158480
23-May-16,10.84,11.17,10.82,11.14,28326476
20-May-16,10.31,10.81,10.28,10.80,31173734
19-May-16,10.00,10.26,9.92,10.07,18519356
18-May-16,9.68,10.28,9.68,10.05,26916927
17-May-16,9.65,9.92,9.50,9.67,22090850
16-May-16,9.61,9.69,9.51,9.68,16217832
13-May-16,9.66,9.79,9.41,9.56,21483118
12-May-16,10.15,10.26,9.35,9.63,40998792
11-May-16,10.02,10.33,10.01,10.10,17747008
10-May-16,9.94,10.11,9.84,10.09,19554616
9-May-16,10.00,10.07,9.76,9.87,20453841
