Date,Open,High,Low,Close,Volume
9-Dec-16,39.38,39.53,38.68,39.30,3580522
8-Dec-16,39.83,40.07,38.85,39.57,4676571
7-Dec-16,39.77,39.83,38.90,39.63,4668997
6-Dec-16,39.11,40.02,38.93,39.87,2568456
5-Dec-16,39.29,40.38,39.19,39.50,3804468
2-Dec-16,38.53,39.16,38.41,38.82,3524471
1-Dec-16,39.12,40.09,38.47,38.87,6185407
30-Nov-16,35.98,38.92,35.98,38.16,7851319
29-Nov-16,34.17,34.93,33.91,34.67,4145981
28-Nov-16,36.24,36.48,34.81,34.88,3050482
25-Nov-16,36.04,36.16,35.62,35.95,1096043
23-Nov-16,35.56,36.52,35.28,36.22,2654542
22-Nov-16,36.38,36.44,34.91,35.76,4526297
21-Nov-16,35.92,36.32,35.75,36.30,4281755
18-Nov-16,35.33,35.68,34.90,35.00,6717282
17-Nov-16,36.98,37.17,35.22,35.34,7276286
16-Nov-16,37.41,37.90,36.55,36.61,6302800
15-Nov-16,36.71,37.84,36.67,37.47,6999215
14-Nov-16,35.97,36.18,34.91,36.10,5300828
11-Nov-16,37.01,37.26,36.13,36.15,3369925
10-Nov-16,37.13,37.80,36.88,37.32,3292455
9-Nov-16,37.51,38.10,37.00,37.58,3560585
8-Nov-16,37.28,37.88,37.00,37.42,2502987
7-Nov-16,37.69,37.77,37.10,37.48,2947201
4-Nov-16,37.19,37.70,36.67,37.08,4198280
3-Nov-16,36.89,37.43,36.40,37.32,4002269
2-Nov-16,35.54,37.26,35.52,36.85,6711831
1-Nov-16,34.82,35.20,34.24,35.15,5811052
31-Oct-16,35.38,35.47,34.32,34.47,4129406
28-Oct-16,35.81,36.09,34.97,35.50,3274638
27-Oct-16,35.34,36.32,35.06,35.88,3790148
26-Oct-16,33.75,35.27,33.75,35.13,4694081
25-Oct-16,35.18,35.58,34.26,34.28,2460851
24-Oct-16,35.71,35.94,34.94,35.38,2304558
21-Oct-16,35.62,35.98,35.43,35.74,2453269
20-Oct-16,35.54,36.36,35.30,35.92,3192350
19-Oct-16,35.40,36.64,35.37,35.91,3326944
18-Oct-16,35.80,35.80,34.98,35.09,2206739
17-Oct-16,35.09,35.42,34.81,35.27,2271389
14-Oct-16,35.80,35.99,35.11,35.18,3380488
13-Oct-16,35.21,35.81,35.00,35.45,2614833
12-Oct-16,35.57,35.80,35.19,35.59,2379626
11-Oct-16,35.94,36.24,35.54,35.74,5048206
10-Oct-16,35.66,36.22,35.66,36.04,2341289
7-Oct-16,35.54,35.78,35.25,35.34,1659478
6-Oct-16,36.40,36.49,35.41,35.60,3370653
5-Oct-16,36.14,36.52,35.80,36.20,3568163
4-Oct-16,36.25,36.27,35.43,35.56,1899131
