Date,Open,High,Low,Close,Volume
9-Dec-16,33.61,33.66,32.59,32.79,9196191
8-Dec-16,33.73,34.06,33.47,33.87,6028349
7-Dec-16,33.45,34.02,33.25,33.62,8641193
6-Dec-16,33.40,33.86,32.90,33.02,7289501
5-Dec-16,32.71,33.97,32.65,33.48,9297174
2-Dec-16,32.55,33.67,32.15,33.58,8708746
1-Dec-16,32.10,32.85,31.52,32.27,13594357
30-Nov-16,33.00,33.20,31.80,32.44,12803067
29-Nov-16,32.75,33.83,32.55,33.55,7872884
28-Nov-16,32.25,33.50,32.06,33.45,8924866
25-Nov-16,31.72,32.15,31.56,31.92,3520709
23-Nov-16,31.68,31.94,30.82,31.50,9091125
22-Nov-16,33.37,33.39,32.12,33.20,7886862
21-Nov-16,33.11,33.41,32.75,33.07,5606443
18-Nov-16,32.51,33.34,32.25,32.69,8559091
17-Nov-16,33.89,34.27,32.17,32.70,7999179
16-Nov-16,33.82,33.89,33.05,33.76,6468584
15-Nov-16,32.36,34.03,32.25,33.91,9748480
14-Nov-16,31.24,32.76,30.19,32.60,13662149
11-Nov-16,34.38,34.56,31.36,31.59,15364107
10-Nov-16,36.88,36.90,34.39,34.68,11046430
9-Nov-16,38.25,38.40,36.24,37.04,11900546
8-Nov-16,36.58,37.05,35.64,36.06,7005416
7-Nov-16,36.82,36.82,35.81,36.49,8040394
4-Nov-16,37.61,37.95,37.19,37.80,5716418
3-Nov-16,37.38,37.90,37.01,37.75,4604287
2-Nov-16,38.56,38.87,36.94,37.18,8628580
1-Nov-16,37.70,38.46,37.23,37.95,10721019
31-Oct-16,35.59,37.10,35.26,37.04,8033204
28-Oct-16,34.90,35.92,34.57,35.38,6244888
27-Oct-16,36.06,36.38,34.15,34.79,8294739
26-Oct-16,36.46,36.67,35.76,36.18,4607053
25-Oct-16,35.97,36.96,35.79,36.59,6185660
24-Oct-16,36.57,36.67,35.56,35.84,5191940
21-Oct-16,36.80,37.00,36.00,36.35,4813940
20-Oct-16,36.97,37.15,36.35,37.01,5315208
19-Oct-16,36.88,37.16,35.94,36.98,7041434
18-Oct-16,35.60,36.29,35.25,36.17,6027543
17-Oct-16,34.65,35.33,34.59,35.03,4987508
14-Oct-16,34.35,35.02,34.22,34.23,4875268
13-Oct-16,34.90,35.65,34.30,34.81,5922542
12-Oct-16,33.93,34.79,33.72,34.52,5932192
11-Oct-16,33.92,34.44,33.29,33.85,7894738
10-Oct-16,34.19,34.56,33.78,34.06,4365770
7-Oct-16,34.78,34.85,33.57,33.97,8302998
6-Oct-16,33.62,34.28,33.47,34.05,10485822
5-Oct-16,34.65,35.10,34.01,34.59,8820415
4-Oct-16,36.68,36.87,34.00,34.25,13009219
3-Oct-16,39.04,39.33,37.86,38.10,5285443
30-Sep-16,39.48,39.87,39.14,39.29,6140455
29-Sep-16,38.97,39.36,38.58,39.05,4168431
28-Sep-16,38.39,39.36,37.81,39.21,4896328
27-Sep-16,38.87,38.87,37.91,38.48,6278148
26-Sep-16,39.54,40.04,39.24,39.26,5351459
23-Sep-16,40.41,40.91,39.31,39.56,7188990
22-Sep-16,41.51,41.97,40.25,40.77,7111618
21-Sep-16,38.84,41.15,38.68,41.03,11186172
20-Sep-16,38.38,38.67,37.78,38.15,5386610
19-Sep-16,38.79,38.88,38.22,38.43,5123770
16-Sep-16,38.83,38.94,37.86,38.26,12826627
15-Sep-16,38.38,39.40,38.23,39.20,7327096
14-Sep-16,39.18,39.46,38.08,38.60,7504610
13-Sep-16,39.88,40.06,38.56,39.02,6053504
12-Sep-16,38.75,40.58,38.40,40.36,7326380
9-Sep-16,41.28,41.30,39.14,39.30,7819721
8-Sep-16,41.97,42.69,41.47,41.59,4776771
7-Sep-16,41.76,42.12,41.13,42.09,5033421
6-Sep-16,41.09,42.00,40.26,42.00,7722809
2-Sep-16,40.29,40.99,39.87,40.52,8108809
1-Sep-16,38.03,39.44,37.62,39.43,7784101
31-Aug-16,38.02,38.56,37.76,38.24,8366162
30-Aug-16,40.46,40.56,38.27,38.60,8804161
29-Aug-16,39.57,41.14,39.52,40.91,5955056
26-Aug-16,40.78,41.45,39.48,39.93,7098838
25-Aug-16,39.91,40.97,39.59,40.16,8047920
24-Aug-16,42.50,42.50,39.59,39.85,11354549
23-Aug-16,43.76,43.82,43.08,43.15,3992280
22-Aug-16,43.49,43.73,43.06,43.32,4926735
19-Aug-16,43.65,44.31,43.25,44.17,5301826
18-Aug-16,44.33,44.70,43.84,44.43,4809563
17-Aug-16,44.05,44.35,42.92,44.00,8498587
16-Aug-16,45.01,45.10,43.85,44.29,7402753
15-Aug-16,45.16,45.45,44.79,44.92,3575691
12-Aug-16,45.98,46.07,44.97,45.17,4100274
11-Aug-16,45.69,45.91,45.20,45.43,4913008
10-Aug-16,45.76,46.02,44.87,45.57,6344544
9-Aug-16,44.77,45.47,44.48,45.00,5432539
8-Aug-16,44.13,45.09,44.13,44.65,5148744
5-Aug-16,43.79,44.49,43.59,44.43,7108746
4-Aug-16,45.09,45.44,44.84,44.91,5411650
3-Aug-16,45.68,45.68,44.71,45.02,6821273
2-Aug-16,44.88,45.91,44.57,45.86,10251924
1-Aug-16,43.78,44.24,42.95,44.16,5980261
29-Jul-16,43.04,44.17,42.66,44.00,9261046
28-Jul-16,42.45,42.81,41.77,42.67,6206952
27-Jul-16,41.37,42.59,40.65,42.32,9394848
26-Jul-16,40.39,41.28,40.17,41.13,5569677
25-Jul-16,41.05,41.05,39.66,40.13,5869863
22-Jul-16,40.36,41.48,40.23,41.27,6333104
21-Jul-16,40.29,40.87,39.76,40.52,9353764
20-Jul-16,40.68,40.69,39.05,39.29,9371239
19-Jul-16,41.42,41.56,41.00,41.39,5213156
18-Jul-16,41.42,41.63,40.93,41.63,4372680
15-Jul-16,41.24,41.57,41.04,41.33,5246798
14-Jul-16,40.16,41.68,39.93,41.62,7146424
13-Jul-16,40.64,41.27,40.57,40.88,8628857
12-Jul-16,40.67,40.95,39.91,39.96,9419789
11-Jul-16,40.65,41.09,40.37,41.06,6751652
8-Jul-16,40.72,41.39,40.20,41.14,10810226
7-Jul-16,40.79,41.27,40.24,40.96,9383516
6-Jul-16,41.02,41.46,40.52,41.42,10745090
5-Jul-16,40.98,40.99,39.54,40.38,8247644
1-Jul-16,39.86,40.49,39.47,40.34,9936950
30-Jun-16,38.23,39.24,37.76,39.12,8520005
29-Jun-16,37.65,37.96,37.50,37.69,7937007
28-Jun-16,36.92,37.77,36.78,37.17,7983945
27-Jun-16,37.69,38.45,36.85,37.69,10242443
24-Jun-16,38.50,38.68,36.64,37.19,13572676
23-Jun-16,35.41,35.87,35.09,35.39,5107619
22-Jun-16,34.76,35.82,34.49,35.72,6754328
21-Jun-16,34.58,35.22,34.29,34.83,6361701
20-Jun-16,34.69,35.49,34.54,35.33,8017141
17-Jun-16,36.11,36.29,35.14,35.65,16488609
16-Jun-16,37.33,37.39,35.36,35.61,9762969
15-Jun-16,35.21,36.71,35.09,36.24,8275706
14-Jun-16,36.03,36.06,34.77,35.15,7210714
13-Jun-16,36.83,37.00,35.53,35.89,7233043
10-Jun-16,35.99,36.82,35.41,35.79,7896079
9-Jun-16,35.48,35.96,35.30,35.90,6228142
8-Jun-16,36.11,36.41,35.28,35.38,8405243
7-Jun-16,35.07,35.37,34.80,34.95,6455655
6-Jun-16,35.30,35.68,34.76,35.43,9727021
3-Jun-16,33.87,35.46,33.74,35.40,11521211
2-Jun-16,32.27,32.69,31.68,32.35,7453320
1-Jun-16,32.52,32.97,32.06,32.66,8143340
31-May-16,31.83,33.06,31.62,32.41,18533481
27-May-16,32.24,32.95,31.69,31.96,8675560
26-May-16,32.79,33.08,32.08,32.45,7031307
25-May-16,31.58,32.66,30.86,32.38,10561523
24-May-16,33.07,33.23,31.70,31.74,11511838
23-May-16,33.06,34.30,32.80,33.83,7533311
20-May-16,34.38,34.58,32.88,33.73,9887221
19-May-16,32.53,34.35,32.37,34.14,10223254
18-May-16,34.96,35.66,33.41,33.52,12168378
17-May-16,35.17,35.75,34.72,35.55,9317532
16-May-16,34.69,35.54,34.65,35.42,12009272
13-May-16,33.41,34.24,33.16,34.07,8368959
12-May-16,34.04,34.23,33.03,33.21,6570509
11-May-16,33.85,34.70,32.74,33.88,9850650
10-May-16,31.94,33.17,31.73,33.03,8023817
9-May-16,32.88,32.89,31.80,31.83,8782690
6-May-16,33.27,34.62,33.27,34.13,7142558
5-May-16,32.75,33.30,32.37,32.86,6033078
4-May-16,33.38,33.84,32.04,32.35,7700126
3-May-16,34.50,34.59,33.39,33.83,7412983
2-May-16,35.06,35.20,33.93,34.34,8471345
29-Apr-16,33.32,34.99,33.31,34.97,11684322
28-Apr-16,32.18,33.60,32.17,32.99,8554285
27-Apr-16,32.12,32.34,31.25,32.10,8637534
26-Apr-16,31.68,32.10,31.19,31.97,6997661
25-Apr-16,31.34,31.59,30.85,31.11,5659188
22-Apr-16,31.85,32.35,30.67,31.23,7724360
21-Apr-16,30.96,32.58,30.96,32.19,12779604
20-Apr-16,30.77,31.75,30.22,30.45,10364290
19-Apr-16,30.28,31.11,30.09,30.91,8538615
18-Apr-16,29.28,29.53,28.81,29.46,6008890
15-Apr-16,28.91,29.47,28.51,29.37,6762473
14-Apr-16,29.52,29.64,28.26,28.68,8800236
13-Apr-16,30.41,30.47,29.35,29.48,9732532
12-Apr-16,31.23,31.25,30.00,30.63,9658270
11-Apr-16,29.56,31.15,29.35,31.11,12269636
8-Apr-16,28.12,29.36,28.11,29.10,7872472
7-Apr-16,28.12,28.55,27.93,27.96,8726553
6-Apr-16,27.00,27.75,27.00,27.74,5366403
5-Apr-16,26.83,27.33,26.50,27.30,6121193
4-Apr-16,26.60,26.61,26.12,26.30,4141155
1-Apr-16,26.00,26.66,25.63,26.62,6319603
31-Mar-16,26.97,27.10,26.42,26.58,5122434
30-Mar-16,26.73,26.90,26.19,26.75,7749472
29-Mar-16,25.78,27.03,25.51,26.95,7719244
28-Mar-16,25.69,25.77,25.32,25.70,4736186
24-Mar-16,25.14,25.49,24.59,25.40,8570678
23-Mar-16,26.55,26.56,24.96,24.98,13184768
22-Mar-16,28.15,28.29,27.08,27.39,6039367
21-Mar-16,27.63,28.09,27.40,27.79,5990907
18-Mar-16,27.46,28.28,27.42,27.79,11840804
17-Mar-16,27.84,28.39,27.40,27.46,9867866
16-Mar-16,26.20,27.65,25.46,27.55,14587306
15-Mar-16,25.87,26.48,25.84,26.37,6668135
14-Mar-16,26.88,27.13,26.08,26.13,6615294
11-Mar-16,27.15,27.49,26.38,26.68,9668217
10-Mar-16,26.15,27.62,25.99,27.35,11884659
9-Mar-16,25.40,26.27,24.88,26.14,9860315
8-Mar-16,26.79,26.94,25.37,25.89,8075998
7-Mar-16,26.48,27.09,26.02,26.53,9149482
4-Mar-16,27.03,27.98,26.07,26.11,12893953
3-Mar-16,26.26,27.13,26.16,26.82,8799567
2-Mar-16,25.51,26.41,25.31,26.24,6932286
1-Mar-16,26.28,26.46,25.08,25.39,11222785
29-Feb-16,25.71,26.38,25.64,25.83,10806786
26-Feb-16,25.11,26.24,25.11,25.35,11630445
25-Feb-16,25.31,25.94,25.03,25.85,9887831
24-Feb-16,25.93,26.40,25.29,25.58,12963423
23-Feb-16,25.62,25.85,25.08,25.39,7522099
22-Feb-16,24.08,25.49,24.08,25.12,11129507
19-Feb-16,24.92,25.60,24.73,24.84,8747093
18-Feb-16,24.21,25.33,23.12,25.07,14697021
17-Feb-16,24.79,25.15,24.10,24.84,11486640
16-Feb-16,24.66,25.45,24.35,24.56,14369259
12-Feb-16,24.80,25.95,24.56,25.78,13200117
11-Feb-16,26.00,26.10,24.82,25.04,20226787
10-Feb-16,23.81,24.38,22.70,24.31,16590491
9-Feb-16,25.56,26.02,23.96,24.30,24507901
8-Feb-16,25.02,25.94,24.89,25.19,20356509
5-Feb-16,22.61,24.50,22.31,24.41,16824309
4-Feb-16,22.89,24.15,22.78,23.38,19570896
3-Feb-16,20.31,22.40,20.30,22.34,16124017
2-Feb-16,20.25,20.41,19.60,20.07,6812160
1-Feb-16,20.02,20.64,20.02,20.55,9036462
29-Jan-16,19.41,20.07,19.32,19.96,8900256
28-Jan-16,19.25,19.75,18.72,19.53,10090757
27-Jan-16,18.54,19.48,18.18,19.44,13938243
26-Jan-16,17.84,18.80,17.76,18.50,9001470
25-Jan-16,16.94,17.80,16.87,17.67,9724651
22-Jan-16,16.43,16.93,16.27,16.68,5542506
21-Jan-16,16.47,16.77,16.05,16.69,6534305
20-Jan-16,16.61,16.72,16.08,16.56,10008503
19-Jan-16,17.81,17.85,16.06,16.31,10939570
15-Jan-16,17.65,17.87,17.45,17.70,10127810
14-Jan-16,17.17,17.60,16.93,17.27,7699502
13-Jan-16,17.07,17.61,17.04,17.48,8045966
12-Jan-16,17.12,17.18,16.38,17.01,13888282
11-Jan-16,18.12,18.24,16.66,17.01,8515642
8-Jan-16,18.51,18.78,17.90,18.01,8792416
7-Jan-16,18.80,19.11,18.22,18.86,12351449
6-Jan-16,18.71,19.05,18.53,18.56,6273244
5-Jan-16,18.57,18.57,18.13,18.42,5330942
4-Jan-16,18.44,18.75,18.16,18.44,6561837
31-Dec-15,17.72,18.05,17.67,17.99,4189221
30-Dec-15,17.71,17.81,17.62,17.77,3502703
29-Dec-15,18.14,18.17,17.87,18.03,4034875
28-Dec-15,18.29,18.41,17.74,17.91,3948019
24-Dec-15,18.29,18.61,18.23,18.54,2068276
23-Dec-15,17.86,18.25,17.76,18.14,6848821
22-Dec-15,17.53,17.89,17.48,17.80,4187012
21-Dec-15,18.09,18.25,17.50,17.65,5473256
18-Dec-15,17.80,18.15,17.58,17.71,10314120
17-Dec-15,18.44,18.44,17.50,17.61,9910891
16-Dec-15,18.79,19.26,18.65,19.08,7861332
15-Dec-15,18.45,18.58,18.07,18.40,5912664
14-Dec-15,19.06,19.13,18.22,18.35,7821496
