Date,Open,High,Low,Close,Volume
9-Dec-16,21.79,21.88,21.64,21.78,3375543
8-Dec-16,21.36,21.76,21.31,21.71,2793887
7-Dec-16,21.57,21.71,21.48,21.57,5540556
6-Dec-16,21.72,21.83,21.40,21.47,4653991
5-Dec-16,21.62,21.65,21.42,21.64,3376379
2-Dec-16,21.87,22.15,21.56,21.69,4973194
1-Dec-16,21.82,21.85,21.49,21.71,2732275
30-Nov-16,22.18,22.42,21.92,21.94,3416849
29-Nov-16,22.10,22.48,22.04,22.37,3787206
28-Nov-16,22.23,22.34,22.07,22.21,2664681
25-Nov-16,21.75,22.19,21.67,22.14,1779173
23-Nov-16,21.61,21.80,21.44,21.64,2228687
22-Nov-16,21.90,22.18,21.77,21.83,2604526
21-Nov-16,21.82,22.06,21.81,21.89,1975425
18-Nov-16,21.60,21.81,21.55,21.71,2372397
17-Nov-16,21.71,21.93,21.56,21.61,1454992
16-Nov-16,21.98,22.07,21.52,21.75,2257819
15-Nov-16,21.74,22.15,21.72,21.91,3116292
14-Nov-16,21.24,21.71,21.17,21.56,5346436
11-Nov-16,21.50,21.78,21.36,21.41,2470604
10-Nov-16,22.11,22.11,21.46,21.53,4789067
9-Nov-16,22.12,22.66,21.78,22.26,4317980
8-Nov-16,22.34,22.77,22.32,22.58,2951218
7-Nov-16,22.10,22.32,21.80,22.31,2895231
4-Nov-16,22.21,22.41,21.89,21.92,2146894
3-Nov-16,21.98,22.20,21.81,22.14,2173975
2-Nov-16,22.34,22.47,21.93,22.09,3233532
1-Nov-16,23.13,23.19,22.21,22.34,4578252
31-Oct-16,22.61,23.29,22.56,23.26,3771953
28-Oct-16,22.50,22.68,22.41,22.53,1542506
27-Oct-16,22.46,22.55,22.20,22.48,2379218
26-Oct-16,22.77,22.85,22.54,22.71,1991309
25-Oct-16,22.50,22.84,22.44,22.82,2222469
24-Oct-16,22.67,22.80,22.45,22.53,2959223
21-Oct-16,22.70,22.78,22.52,22.61,2944689
20-Oct-16,22.82,22.92,22.73,22.79,1909868
19-Oct-16,23.03,23.04,22.74,22.84,2156570
18-Oct-16,23.00,23.13,22.69,23.06,1864379
17-Oct-16,22.76,22.96,22.76,22.91,2257678
14-Oct-16,22.80,22.96,22.64,22.68,3120961
13-Oct-16,23.05,23.14,22.80,22.90,2541866
12-Oct-16,22.41,22.74,22.38,22.69,2106618
11-Oct-16,22.81,22.83,22.37,22.38,1924380
10-Oct-16,22.70,22.93,22.70,22.91,1851775
7-Oct-16,22.99,23.25,22.60,22.61,2878944
6-Oct-16,22.75,23.00,22.66,22.84,2148304
