Date,Open,High,Low,Close,Volume
9-Dec-16,109.89,110.72,109.13,110.60,1457012
8-Dec-16,109.88,110.38,109.00,110.02,1360617
7-Dec-16,106.64,109.86,106.05,109.75,1920623
6-Dec-16,105.96,106.25,105.16,106.21,1356608
5-Dec-16,106.20,106.92,105.62,105.96,1745376
2-Dec-16,106.65,107.10,105.09,105.60,1782230
1-Dec-16,106.87,107.89,106.58,106.83,2059523
30-Nov-16,105.00,107.32,104.75,106.46,3335070
29-Nov-16,103.82,104.86,103.23,104.37,2261762
28-Nov-16,103.72,104.24,102.77,103.99,1627147
25-Nov-16,104.24,104.56,103.91,104.34,919934
23-Nov-16,103.75,104.77,103.75,104.04,1505306
22-Nov-16,104.93,105.50,103.75,103.92,1827954
21-Nov-16,103.76,105.30,103.62,104.60,1717744
18-Nov-16,102.93,103.98,102.76,103.45,1870167
17-Nov-16,103.00,103.44,102.59,103.14,2566836
16-Nov-16,104.07,104.38,102.70,103.00,2213563
15-Nov-16,103.99,104.78,102.79,104.58,1974232
14-Nov-16,101.00,104.87,100.91,103.99,3119940
11-Nov-16,99.91,100.93,98.92,100.91,2738095
10-Nov-16,99.79,101.19,99.07,100.50,4422260
9-Nov-16,95.71,100.73,95.10,98.80,5764386
8-Nov-16,94.55,96.34,94.09,96.00,1554025
7-Nov-16,92.49,94.99,92.49,94.95,1490151
4-Nov-16,91.79,92.39,91.28,91.62,766855
3-Nov-16,92.21,92.53,91.55,91.76,1295786
2-Nov-16,91.42,92.53,91.32,91.99,1688346
1-Nov-16,93.28,93.28,90.98,91.60,1553137
31-Oct-16,92.73,93.54,92.42,93.00,1833829
28-Oct-16,91.51,93.16,91.36,92.27,2454975
27-Oct-16,90.65,91.58,90.53,91.35,2479253
26-Oct-16,91.90,92.37,89.95,90.03,2340770
25-Oct-16,92.79,93.56,92.56,93.27,2111781
24-Oct-16,93.84,94.26,92.85,92.95,1350498
21-Oct-16,92.35,93.01,92.07,92.92,1884713
20-Oct-16,95.01,95.15,92.94,93.13,1569352
19-Oct-16,95.25,96.38,94.90,95.64,1009300
18-Oct-16,95.25,95.69,94.48,94.98,999292
17-Oct-16,94.82,95.53,94.57,94.84,1021375
14-Oct-16,95.51,96.40,94.85,94.94,1473619
13-Oct-16,92.81,95.03,92.47,94.82,1923019
12-Oct-16,93.85,94.34,93.20,93.42,2167326
11-Oct-16,96.59,97.00,94.25,94.67,3044202
10-Oct-16,97.22,97.59,95.69,95.83,1743037
7-Oct-16,97.30,97.40,96.05,96.78,1441822
6-Oct-16,97.04,97.82,96.65,97.45,1638570
5-Oct-16,96.23,97.17,96.05,97.04,1199981
4-Oct-16,97.11,97.73,95.37,95.79,1456760
3-Oct-16,96.59,97.12,96.33,96.91,1350166
30-Sep-16,95.52,97.28,95.29,97.06,1921332
29-Sep-16,95.55,95.87,94.84,95.15,1796721
28-Sep-16,94.50,95.62,94.17,95.53,1100160
27-Sep-16,93.25,94.72,93.15,94.48,1086502
