Date,Open,High,Low,Close,Volume
9-Dec-16,57.99,58.14,56.94,57.01,1492318
8-Dec-16,56.97,57.96,56.34,57.91,1910446
7-Dec-16,56.11,57.09,55.21,57.09,1861831
6-Dec-16,55.94,56.32,55.19,56.12,1684471
5-Dec-16,55.13,56.50,54.82,56.42,2266167
2-Dec-16,54.46,55.45,54.22,54.69,1524509
1-Dec-16,55.89,56.00,54.00,54.42,1652585
30-Nov-16,54.38,55.75,54.04,54.93,2972047
29-Nov-16,51.65,52.92,50.96,52.44,2107018
28-Nov-16,54.25,54.50,52.75,52.82,1194064
25-Nov-16,53.57,53.94,53.20,53.75,625259
23-Nov-16,52.91,54.26,52.57,53.95,1778924
22-Nov-16,52.95,53.62,52.33,53.46,3276985
21-Nov-16,51.11,52.86,50.69,52.72,3236240
18-Nov-16,50.07,50.60,49.86,50.42,1099604
17-Nov-16,50.10,50.62,49.79,49.83,1531526
16-Nov-16,49.67,50.10,49.24,49.69,1676745
15-Nov-16,48.71,50.20,48.49,49.93,2114234
14-Nov-16,47.79,48.06,46.82,47.81,2029222
11-Nov-16,48.79,48.99,47.43,47.92,1708422
10-Nov-16,49.52,49.56,48.18,49.05,2151520
9-Nov-16,49.04,49.95,48.31,49.39,2364704
8-Nov-16,48.00,49.77,47.88,49.50,1729137
7-Nov-16,47.47,48.12,47.34,48.08,1600892
4-Nov-16,46.35,47.24,46.04,46.65,1729470
3-Nov-16,46.88,46.95,46.26,46.44,1672481
2-Nov-16,47.61,48.00,45.41,46.59,4500093
1-Nov-16,48.98,49.05,47.79,48.56,2096754
31-Oct-16,47.96,48.63,47.67,48.43,1946368
28-Oct-16,48.52,49.16,47.78,48.18,1049323
27-Oct-16,48.91,49.33,48.46,48.51,1551516
26-Oct-16,48.68,49.39,48.15,49.23,2409076
25-Oct-16,50.38,50.54,49.11,49.17,1480800
24-Oct-16,50.63,51.20,49.57,50.37,976551
21-Oct-16,50.50,50.73,50.30,50.63,806354
20-Oct-16,50.55,50.99,50.05,50.91,1010551
19-Oct-16,50.64,51.66,50.53,51.04,1376235
18-Oct-16,50.17,50.25,49.22,50.03,1015236
17-Oct-16,50.03,50.29,49.40,49.45,1103082
14-Oct-16,50.05,50.68,49.97,50.13,1838263
13-Oct-16,49.69,50.13,48.96,49.80,1736451
12-Oct-16,49.50,50.32,49.17,50.21,1091266
11-Oct-16,50.34,50.52,49.27,49.82,1114881
10-Oct-16,50.00,50.90,49.92,50.35,1346458
7-Oct-16,49.97,50.08,49.04,49.36,1529972
6-Oct-16,49.77,50.20,49.12,49.67,1421471
5-Oct-16,50.05,50.45,49.35,49.58,1998151
4-Oct-16,50.48,50.98,49.05,49.54,1959026
3-Oct-16,51.43,51.62,50.41,51.11,1496774
30-Sep-16,51.49,51.60,50.85,51.39,2050755
29-Sep-16,51.00,51.56,50.37,50.94,2176985
28-Sep-16,49.27,51.72,48.82,51.24,2787803
27-Sep-16,48.14,48.88,47.50,48.80,1572334
26-Sep-16,48.86,49.43,48.45,48.84,1610342
23-Sep-16,49.39,50.03,48.46,48.62,2040686
22-Sep-16,49.70,50.12,49.23,49.64,2203446
21-Sep-16,47.70,48.99,47.56,48.94,2609440
20-Sep-16,47.42,47.89,46.99,47.02,1534453
19-Sep-16,46.54,47.86,46.37,47.39,1883263
16-Sep-16,46.24,46.54,45.89,46.08,3731453
15-Sep-16,46.91,47.60,46.67,46.83,2159040
14-Sep-16,46.78,48.21,46.49,46.70,2598839
