Date,Open,High,Low,Close,Volume
9-Dec-16,59.19,59.70,58.96,59.33,3849639
8-Dec-16,58.44,59.24,58.06,59.19,1854847
7-Dec-16,58.62,59.11,58.55,58.80,2023869
6-Dec-16,58.55,58.87,58.18,58.38,1664114
5-Dec-16,58.04,58.38,57.64,58.38,2864227
2-Dec-16,58.50,58.94,57.97,58.28,2343089
1-Dec-16,58.47,58.51,57.60,58.04,2306610
30-Nov-16,59.75,60.02,58.79,58.80,3441938
29-Nov-16,60.62,61.23,60.42,60.46,3046836
28-Nov-16,59.59,61.04,59.59,60.74,2057773
25-Nov-16,58.93,59.47,58.93,59.29,1726114
23-Nov-16,58.68,59.27,58.60,58.71,1222675
22-Nov-16,59.12,59.44,58.95,59.32,2342205
21-Nov-16,58.46,59.22,58.38,59.16,1417716
18-Nov-16,58.65,58.97,58.14,58.38,1916479
17-Nov-16,58.64,59.19,58.60,58.67,2423540
16-Nov-16,59.18,59.44,58.26,58.71,1352820
15-Nov-16,58.37,59.18,58.22,59.10,2370944
14-Nov-16,58.18,58.41,57.63,58.15,5576737
11-Nov-16,58.54,59.15,58.22,58.48,3013026
10-Nov-16,59.00,59.45,58.03,58.50,4578637
9-Nov-16,60.83,60.85,59.34,59.41,3520013
8-Nov-16,61.21,62.23,61.14,62.02,2327300
7-Nov-16,60.36,61.10,59.50,61.09,3278383
4-Nov-16,61.40,61.75,59.77,59.83,2833276
3-Nov-16,60.14,60.47,59.80,60.20,3201354
2-Nov-16,60.94,60.96,59.86,60.26,3177545
1-Nov-16,62.10,62.11,61.01,61.21,2685810
31-Oct-16,61.25,62.68,61.23,62.12,2933956
28-Oct-16,60.81,61.18,60.54,60.99,1869955
27-Oct-16,60.67,60.81,60.19,60.70,1257087
26-Oct-16,60.70,61.16,60.38,60.92,1565583
25-Oct-16,60.36,60.80,60.28,60.79,1564595
24-Oct-16,60.57,60.70,60.19,60.51,1394241
21-Oct-16,60.53,60.71,60.05,60.31,1312897
20-Oct-16,60.98,61.26,60.69,60.84,1532847
19-Oct-16,60.69,61.10,60.48,60.89,2083584
18-Oct-16,60.74,61.12,60.20,60.93,1985369
17-Oct-16,60.26,60.76,60.09,60.40,1999804
14-Oct-16,60.06,60.54,59.79,59.80,2607155
13-Oct-16,59.39,60.52,59.17,60.37,3196850
12-Oct-16,58.94,59.43,58.86,59.31,1973829
11-Oct-16,59.39,59.51,58.68,58.82,2531678
10-Oct-16,59.41,59.59,59.16,59.47,2413778
7-Oct-16,59.43,59.90,59.07,59.32,3692902
6-Oct-16,58.33,59.23,58.23,59.01,3085576
5-Oct-16,58.81,59.28,58.20,58.75,4434904
4-Oct-16,60.22,60.22,58.46,58.82,3700890
3-Oct-16,61.05,61.07,59.85,60.16,2697002
30-Sep-16,62.05,62.36,60.93,61.17,3494971
29-Sep-16,62.10,62.44,61.48,61.76,2439995
28-Sep-16,62.37,62.59,61.75,62.38,2050062
27-Sep-16,64.17,64.39,62.79,62.85,2941282
26-Sep-16,64.13,64.28,63.77,63.90,2099864
23-Sep-16,63.96,64.40,63.56,64.20,2120841
22-Sep-16,64.09,64.35,63.56,64.02,2112971
21-Sep-16,62.52,63.72,62.42,63.71,3153306
20-Sep-16,62.94,63.10,62.50,62.55,2531187
19-Sep-16,62.45,62.90,62.34,62.67,2068412
16-Sep-16,61.81,62.56,61.39,62.42,3084191
15-Sep-16,61.25,61.88,60.97,61.84,1774611
14-Sep-16,61.06,61.54,60.76,61.43,2777080
13-Sep-16,61.38,61.49,60.44,60.82,3615725
12-Sep-16,60.74,61.72,60.74,61.55,2925750
9-Sep-16,62.58,62.72,60.81,60.83,2775753
8-Sep-16,62.70,63.16,62.63,63.09,1594168
7-Sep-16,62.81,63.03,62.47,62.90,1914943
6-Sep-16,62.72,63.36,62.51,62.99,2330320
2-Sep-16,61.76,62.56,61.64,62.35,2423709
1-Sep-16,61.93,62.21,61.62,61.81,2112229
31-Aug-16,61.87,62.05,61.48,61.94,3372987
30-Aug-16,62.39,62.73,61.86,61.87,2451664
29-Aug-16,62.14,62.71,62.14,62.36,3541238
26-Aug-16,63.47,63.81,61.97,62.10,2928296
25-Aug-16,63.72,63.89,63.37,63.44,1841355
24-Aug-16,63.70,63.83,63.20,63.69,1716389
23-Aug-16,64.69,65.20,63.81,63.85,2448318
22-Aug-16,64.95,65.28,64.65,64.69,4794099
19-Aug-16,64.90,65.02,64.22,64.79,3467638
18-Aug-16,63.62,65.18,63.50,65.17,3713095
17-Aug-16,62.49,63.78,62.00,63.68,4953066
16-Aug-16,62.66,63.04,62.29,62.64,5784784
15-Aug-16,64.15,64.34,63.44,63.45,1769141
12-Aug-16,64.35,64.50,64.07,64.12,1734294
11-Aug-16,63.60,64.10,63.45,64.08,1956656
10-Aug-16,63.66,63.77,63.40,63.61,1835662
9-Aug-16,63.53,63.90,63.40,63.46,2583671
8-Aug-16,63.97,64.22,63.49,63.51,1960697
5-Aug-16,64.40,64.49,63.71,63.90,2954026
4-Aug-16,64.92,65.39,64.31,64.51,2958798
3-Aug-16,64.34,64.78,64.02,64.55,3648847
2-Aug-16,64.05,64.36,63.64,64.33,3328733
1-Aug-16,63.78,64.24,63.68,64.15,1922023
29-Jul-16,63.73,64.19,63.55,63.94,2725450
28-Jul-16,64.09,64.09,62.90,63.75,2511903
27-Jul-16,64.00,64.30,63.28,63.95,1945538
26-Jul-16,64.91,65.01,64.06,64.16,2496467
25-Jul-16,64.96,64.96,64.32,64.93,1762449
22-Jul-16,64.19,65.02,63.84,65.02,2921903
21-Jul-16,64.09,64.25,63.75,64.16,3172138
20-Jul-16,64.40,64.55,64.03,64.26,2017133
19-Jul-16,64.60,64.67,64.12,64.41,1868876
18-Jul-16,64.71,65.02,64.51,64.52,2889614
15-Jul-16,64.53,64.75,64.18,64.62,3029141
14-Jul-16,64.22,64.53,63.93,64.20,2936172
13-Jul-16,64.18,64.59,63.89,64.56,2536846
12-Jul-16,64.46,64.50,63.64,63.70,2676884
11-Jul-16,64.44,64.75,63.85,64.73,2070988
8-Jul-16,64.14,64.85,63.47,64.83,2813925
7-Jul-16,65.10,65.33,64.16,64.40,4517275
6-Jul-16,64.86,65.43,64.50,65.39,5048899
5-Jul-16,63.97,65.03,63.97,64.89,2873712
